Time	Volt	Xaxis	Yaxis	Zaxis
405	81	372	455	493
599	47	284	453	474
787	40	465	388	576
977	128	399	341	469
1164	312	275	484	453
1274	266	379	390	505
1299	244	416	388	530
1324	224	432	380	555
1349	201	437	374	566
1374	181	431	378	562
1399	167	435	378	556
1424	159	450	376	544
1449	155	432	375	549
1474	150	433	367	552
1499	143	418	367	547
1524	132	428	363	537
1549	125	430	367	531
1574	118	429	369	523
1599	111	450	374	520
1624	100	224	309	592
1649	94	411	372	555
1674	84	396	367	529
1699	76	407	388	522
1728	69	478	384	531
1753	66	464	373	532
1778	65	506	386	529
1803	64	461	395	515
1828	63	487	386	518
1853	63	471	384	524
1878	64	462	368	531
1903	65	467	382	519
1928	64	480	404	514
1953	65	480	400	538
1978	66	491	425	535
2003	66	444	365	521
2028	66	425	362	525
2053	67	439	432	528
2078	68	496	385	524
2103	66	489	409	515
2128	66	457	411	506
2153	65	469	410	523
2178	63	466	415	515
2203	63	452	414	519
2228	69	451	424	498
2253	140	433	424	511
2278	270	391	397	564
2303	306	391	394	555
2332	316	396	405	586
2357	319	380	404	563
2382	317	361	409	549
2407	316	318	417	519
2432	315	291	422	537
2457	310	393	384	524
2482	296	433	397	519
2507	244	448	401	533
2532	180	457	394	529
2557	134	518	387	552
2582	100	540	395	543
2607	76	541	378	519
2632	64	533	397	522
2657	58	546	414	511
2682	55	517	396	516
2707	53	385	390	543
2732	49	334	415	535
2757	46	357	412	529
2782	49	309	420	540
2807	48	226	462	518
2832	49	389	411	547
2857	53	384	419	552
2882	51	402	425	558
2907	52	480	420	555
2936	50	486	418	517
2961	50	459	425	526
2986	52	471	423	535
3011	52	486	426	521
3036	52	440	401	523
3061	52	329	388	535
3086	48	279	414	510
3111	47	245	449	500
3136	46	273	442	524
3161	45	338	416	537
3186	43	281	434	526
3211	38	287	439	528
3236	38	388	410	523
3261	35	442	402	521
3286	34	463	406	537
3311	34	514	405	538
3336	33	553	393	523
3361	36	552	384	518
3386	39	579	409	509
3411	43	591	398	506
3436	47	571	393	478
3461	50	517	375	486
3486	54	420	361	510
3511	55	358	364	492
3540	62	214	378	384
3565	80	60	446	335
3590	171	77	486	447
3615	297	237	401	445
3640	311	194	442	384
3665	318	211	454	375
3690	319	213	476	406
3715	319	258	412	469
3740	318	264	476	472
3765	317	351	464	423
3790	313	265	376	459
3815	297	256	443	525
3840	185	342	428	496
3865	87	257	459	353
3890	48	222	471	391
3915	39	295	424	392
3940	38	252	442	410
3965	38	255	444	407
3990	37	271	441	379
4015	37	239	448	370
4040	38	240	453	389
4065	40	257	458	371
4090	47	262	462	355
4115	79	238	470	354
4144	219	257	463	369
4169	301	295	456	358
4194	315	268	414	361
4226	320	246	409	350
4251	319	201	431	332
4276	316	202	427	316
4301	303	203	389	413
4326	194	119	386	391
4351	91	261	541	275
4376	49	345	480	322
4401	40	338	433	397
4426	38	245	478	468
4451	36	249	450	470
4476	34	309	467	469
4501	33	392	456	527
4526	34	400	468	519
4551	35	335	465	528
4576	39	357	459	518
4601	40	365	465	509
4626	41	341	466	484
4651	43	297	472	472
4676	45	267	462	442
4701	47	245	452	428
4726	48	243	469	422
4755	64	281	476	418
4780	45	267	470	399
4805	43	253	480	377
4830	41	304	480	390
4855	40	316	482	373
4880	38	277	494	374
4905	37	282	486	385
4930	36	299	485	379
4955	35	281	493	365
4980	33	281	494	371
5005	33	298	494	380
5030	34	280	498	369
5055	33	272	501	364
5080	32	286	497	364
5105	32	295	500	368
5130	32	295	500	358
5155	32	286	500	367
5180	33	291	497	372
5205	33	304	502	370
5230	36	296	499	368
5255	39	285	499	375
5280	39	296	497	376
5305	40	300	501	377
5330	40	303	503	378
5355	41	295	498	385
5384	40	295	502	380
5409	39	294	500	383
5434	40	294	499	378
5459	39	307	503	376
5484	40	293	501	376
5509	40	287	505	380
5534	40	301	503	375
5559	38	304	503	379
5584	39	301	503	378
5609	38	298	504	378
5634	37	296	504	373
5659	37	298	504	372
5684	36	300	504	369
5709	36	296	503	375
5734	36	296	504	375
5759	36	296	506	374
5784	37	307	506	370
5809	35	292	504	378
5834	35	300	503	376
5859	35	304	502	379
5884	36	299	502	382
5909	36	294	498	384
