Time	Volt	Xaxis	Yaxis	Zaxis
219	79	411	466	535
400	73	405	395	540
424	75	361	379	549
448	77	346	376	543
472	80	340	383	557
496	85	328	372	548
520	90	306	379	520
544	93	324	380	520
568	95	312	383	526
592	97	310	385	527
616	99	324	378	537
640	106	319	377	535
664	112	325	386	523
688	118	319	381	533
712	128	331	393	529
736	140	346	385	553
760	162	358	385	553
784	191	349	392	554
808	227	372	405	568
832	245	403	409	585
856	248	364	403	571
880	249	367	409	558
904	249	399	414	555
928	247	421	431	551
1048	234	522	435	477
1072	230	508	439	490
1096	226	493	427	487
1120	219	518	414	480
1144	210	522	410	461
1168	199	525	399	461
1192	190	518	398	463
1216	186	510	397	482
1240	184	493	394	493
1264	183	509	391	486
1288	181	523	392	471
1312	179	521	390	474
1336	174	525	385	481
1360	170	517	386	488
1384	164	514	383	493
1408	154	507	378	493
1432	151	508	376	502
1456	151	509	363	510
1480	149	497	366	511
1504	148	489	369	516
1528	145	467	373	527
1552	138	490	365	533
1576	133	499	372	533
1696	186	470	398	536
1720	200	458	388	542
1744	210	464	381	546
1768	216	459	384	557
1792	221	477	367	559
1816	223	450	375	556
1840	224	454	368	541
1864	227	460	371	526
1888	228	461	367	524
1912	227	467	375	513
1936	227	455	381	511
1960	229	448	371	523
1984	231	460	372	526
2008	231	466	371	516
2032	232	470	363	497
2056	232	483	373	493
2080	232	506	370	485
2104	234	502	344	510
2128	233	448	327	555
2152	214	431	306	587
2176	194	425	283	567
2200	194	413	298	569
2224	198	458	306	562
2248	197	444	368	542
2368	206	427	464	490
2392	206	504	459	483
2416	228	557	444	496
2440	286	546	422	505
2464	282	520	417	521
2488	291	469	409	539
2512	292	411	409	585
2536	292	417	406	594
2560	296	434	407	560
2584	298	473	389	531
2608	300	497	393	522
2632	299	463	399	501
2656	297	482	394	487
2680	298	539	371	491
2704	299	490	388	492
2728	300	475	390	487
2752	294	524	385	480
2776	285	552	378	490
2800	285	523	391	500
2824	278	541	408	473
2848	264	562	403	441
2872	252	574	405	422
2896	243	547	416	412
3016	230	558	385	441
3040	232	551	375	450
3064	231	506	369	475
3088	230	508	367	482
3112	231	529	369	475
3136	235	517	364	465
3160	243	527	363	477
3184	250	513	367	489
3208	255	510	365	490
3232	261	504	359	487
3256	269	510	370	489
3280	276	515	361	502
3304	279	507	356	508
3328	282	506	361	506
3352	281	512	367	500
3376	280	525	368	502
3400	278	532	358	498
3424	275	512	363	491
3448	274	532	372	481
3472	272	535	369	473
3496	271	533	376	467
3520	270	532	382	467
3544	268	526	380	462
3665	254	480	419	487
3689	249	474	435	485
3713	246	463	428	496
3737	244	454	438	522
3761	242	420	456	522
3785	237	400	445	530
3809	232	403	456	538
3833	231	393	461	551
3857	229	395	446	553
3881	226	385	441	547
3905	221	399	449	533
3929	219	393	447	553
3953	215	363	441	567
3977	204	373	437	556
4001	192	390	435	555
4025	176	417	426	575
4049	160	418	446	607
4073	143	425	402	577
4097	131	380	395	623
4121	125	428	405	589
4145	121	449	405	516
4169	126	467	497	488
4193	140	469	438	533
4313	118	414	422	503
4337	113	475	412	514
4361	109	564	404	517
4385	106	502	407	519
4409	104	482	406	517
4433	104	501	402	517
4457	104	502	397	518
4481	105	502	390	503
4505	104	501	385	498
4529	109	488	383	507
4553	119	471	384	513
4577	130	479	390	543
4601	135	454	379	527
4625	139	438	386	539
4649	148	439	379	552
4673	153	447	379	555
4697	150	437	387	543
4721	150	450	399	540
4745	161	452	401	543
4769	172	460	401	526
4793	172	399	389	546
4817	166	412	392	553
4841	147	385	376	581
4865	136	385	416	550
4989	156	589	347	475
5012	169	557	430	479
5036	177	518	403	475
5059	181	488	407	484
5083	186	467	433	482
5106	185	438	453	444
5130	184	416	480	464
5153	196	360	432	533
5177	219	344	426	558
5201	228	346	364	518
5225	230	518	246	710
5248	229	473	366	640
5272	224	498	476	533
5296	203	491	440	526
5320	177	504	422	529
5343	156	496	411	516
