Time	Volt	Xaxis	Yaxis	Zaxis
400	124	550	505	685
595	124	547	504	681
783	124	551	503	689
979	124	555	509	684
1169	126	569	426	707
1358	131	519	522	648
1466	134	513	543	670
1491	136	547	582	658
1516	138	522	575	695
1541	140	510	582	681
1566	144	522	613	669
1591	152	477	636	672
1616	162	450	647	674
1641	169	477	650	644
1666	175	462	654	616
1691	179	409	649	622
1716	182	375	641	631
1741	182	389	637	610
1766	181	374	641	582
1791	180	381	634	577
1816	180	380	628	575
1841	179	353	608	598
1866	176	376	603	593
1895	172	405	600	582
1920	170	349	580	649
1945	165	129	496	662
1970	165	493	567	644
1995	165	402	582	623
2020	165	393	566	612
2045	164	420	559	627
2070	164	432	568	643
2095	163	436	572	663
2120	164	432	581	666
2145	164	417	594	661
2170	163	420	600	653
2195	163	408	602	653
2220	162	401	593	650
2245	161	403	586	643
2270	160	392	584	649
2295	158	390	578	650
2320	157	396	578	639
2345	152	414	583	639
2370	148	423	583	641
2395	145	440	583	648
2420	143	465	591	650
2445	141	455	598	654
2474	140	438	588	664
2499	139	430	583	667
2524	139	434	586	668
2549	137	440	581	679
2574	136	462	578	687
2599	137	460	573	671
2624	135	492	580	665
2649	135	489	567	667
2674	134	497	560	654
2699	134	524	566	653
2724	135	525	562	657
2749	135	524	561	661
2774	135	529	563	665
2799	135	538	561	666
2824	135	534	557	670
2849	134	523	555	671
2874	135	512	559	670
2899	135	510	563	667
2924	137	472	554	728
2949	136	475	591	697
2974	135	450	572	725
2999	135	482	576	685
3024	136	451	591	723
3053	136	457	591	677
3078	135	475	599	683
3103	134	453	595	678
3128	133	490	560	683
3153	131	487	554	672
3178	130	516	560	665
3203	129	527	562	665
3228	128	551	578	651
3253	126	530	569	660
3278	126	533	563	665
3303	124	557	568	666
3328	125	551	574	672
3353	123	550	565	688
3378	121	538	582	665
3403	121	545	549	688
3428	120	540	549	688
3453	120	551	540	690
3478	119	542	530	697
3503	119	556	532	693
3528	118	551	547	689
3553	118	557	551	685
3578	118	550	547	681
3603	116	540	561	670
3633	112	574	560	703
3658	110	554	567	691
3683	108	551	557	685
3708	107	561	562	671
3733	107	567	556	677
3758	105	560	557	681
3783	105	564	554	680
3808	106	569	555	674
3833	108	572	552	664
3858	110	567	552	673
3883	113	561	550	684
3908	119	571	551	684
3933	123	571	553	681
3958	128	566	557	678
3983	141	563	560	680
4008	167	565	564	677
4033	208	570	564	682
4058	241	575	564	684
4083	261	566	557	694
4108	272	547	559	685
4133	281	578	560	675
4158	281	565	569	661
4183	281	570	570	674
4208	279	549	567	674
4237	277	565	571	675
4262	277	562	575	677
4287	277	568	573	681
4312	276	550	571	685
4337	274	562	577	683
4369	268	560	575	684
4394	263	538	573	684
4419	261	550	572	679
4444	260	558	572	672
4469	259	566	571	674
4494	256	539	558	681
4519	256	531	555	688
4544	255	551	552	686
4569	255	559	548	688
4594	253	554	546	684
4619	253	543	543	687
4644	252	540	548	692
4669	251	562	559	682
4694	251	549	556	690
4719	251	506	560	688
4744	251	524	566	681
4769	251	530	564	681
4794	252	528	553	709
4823	255	502	558	748
4848	255	524	572	765
4873	254	545	585	763
4898	251	543	597	752
4923	245	512	608	742
4948	236	502	619	723
4973	221	525	630	682
4998	209	504	633	652
5023	195	500	627	630
5048	181	471	616	586
5073	168	469	621	564
5098	158	456	596	580
5123	150	419	594	584
5148	147	423	577	575
5173	146	400	559	577
5198	143	392	549	602
5223	141	435	557	618
5248	139	435	558	631
5273	138	416	555	644
5298	138	421	560	645
5323	139	447	567	652
5348	142	429	560	660
5373	145	440	556	662
5402	149	444	566	657
5427	153	451	574	656
5452	156	462	572	659
5477	158	480	570	664
5502	159	467	565	664
5527	161	448	552	664
5552	163	435	548	669
5577	163	441	544	678
5602	163	452	546	686
5627	163	452	540	681
5652	167	448	535	684
5677	168	449	543	693
5702	170	461	550	694
5727	179	450	548	691
5752	189	437	550	680
5777	190	454	558	686
5802	200	440	552	682
5827	204	448	556	681
5852	210	444	564	667
5877	219	455	542	662
5902	227	448	533	662
5927	232	453	518	675
5952	233	468	508	681
5977	230	450	507	682
6006	225	458	510	669
6031	221	471	516	667
6056	221	485	527	662
6081	220	475	528	677
6106	221	456	517	675
6131	223	460	514	685
6156	229	490	506	697
6181	231	500	497	701
6206	230	428	506	683
6231	233	486	506	693
6256	237	496	501	712
6281	234	474	490	739
6306	231	444	469	773
6331	230	449	469	745
6356	230	481	509	722
6381	231	478	546	687
6406	230	456	561	649
6431	230	464	587	617
6456	228	471	607	597
6481	229	484	621	577
6506	229	481	631	566
6531	230	489	625	566
6556	226	486	612	594
6585	213	471	604	623
6610	199	508	596	636
6635	191	558	595	651
6660	187	494	580	660
6685	184	461	552	675
6710	181	456	538	692
6735	179	481	534	695
6760	178	438	509	703
6785	177	402	491	707
6810	177	428	498	704
6835	176	420	506	701
6860	176	410	508	707
6885	177	410	510	688
6910	177	417	518	675
6935	177	416	527	668
6960	178	415	528	670
6985	179	429	523	669
7010	179	441	524	667
7035	181	438	520	671
7060	183	449	519	680
7085	187	458	515	683
7110	194	461	520	678
7135	200	461	516	672
7164	206	444	517	678
7189	209	442	516	672
7214	213	454	521	668
7239	215	436	526	666
7264	216	432	524	659
7289	214	448	528	663
7314	211	431	528	666
7339	207	448	527	671
7364	202	450	523	677
7389	203	445	519	686
7424	211	456	523	676
7449	216	433	511	676
7481	223	448	516	672
7506	226	440	523	665
7531	230	439	522	672
7556	231	424	522	673
7581	233	424	525	667
7606	235	433	525	672
7631	238	441	528	672
7666	238	427	523	671
7691	238	437	524	666
7716	239	442	536	656
7741	240	421	535	662
7770	241	414	531	661
7795	241	417	536	661
7820	242	408	538	652
7845	242	402	537	639
7870	242	425	536	632
7895	243	412	549	625
7920	242	409	548	633
7945	243	433	544	653
7970	243	423	533	669
7995	243	384	527	669
8020	243	352	524	661
8045	243	356	530	636
8070	243	343	531	597
8095	244	298	540	573
8120	244	330	549	555
8145	243	336	549	543
8170	243	329	559	526
8195	243	307	553	521
8220	244	340	558	518
8245	243	347	580	488
8270	244	267	588	486
8295	243	341	595	495
8320	244	378	607	493
8345	244	320	610	491
8374	244	377	623	492
8399	244	410	637	492
8424	244	391	650	490
8449	245	408	656	489
8474	245	388	661	492
8499	245	395	661	499
8524	245	384	663	507
8549	244	355	650	502
8574	246	347	639	494
8599	246	338	635	492
8624	245	339	634	485
8649	245	349	631	476
8674	245	354	637	481
8699	245	371	641	472
8724	245	357	641	473
8749	246	354	636	470
8774	246	359	643	471
8799	246	361	646	471
8824	246	368	633	473
8849	246	365	634	472
8874	246	374	648	468
8899	247	370	650	463
8924	247	348	651	460
8953	247	373	652	460
8978	246	377	658	455
9003	245	373	651	464
9028	245	361	648	464
9053	244	361	646	469
9078	244	368	643	473
9103	242	371	644	461
9128	241	363	642	464
9153	238	353	645	461
9178	235	365	646	460
9203	232	358	642	460
9228	230	360	642	461
9253	229	362	639	469
9278	229	362	636	485
9303	228	372	630	493
9328	228	364	622	483
9353	228	348	621	447
9378	229	321	615	428
9403	230	305	612	423
9428	230	338	611	423
9453	230	363	598	418
9478	230	321	586	433
9503	230	307	597	464
9532	230	312	601	493
9557	228	365	605	518
9582	226	423	625	558
9607	225	430	640	595
9632	223	413	639	608
9657	222	462	646	597
9682	222	490	643	594
9707	222	424	641	593
9732	225	389	658	590
9757	225	338	655	592
9782	225	322	638	597
9807	226	416	656	579
9832	225	379	631	575
9857	225	349	609	578
9882	225	341	606	577
9907	225	347	611	570
9932	226	360	611	573
9957	226	351	609	585
9982	226	362	616	580
10007	226	394	616	585
10032	225	395	615	590
10057	225	380	612	587
10082	226	383	611	590
10111	225	388	613	593
10136	226	388	611	595
10161	226	378	607	596
10186	226	371	606	595
10211	226	379	607	593
10236	226	390	605	590
10261	227	368	606	584
10286	225	348	598	576
10311	226	350	603	578
10336	225	374	603	582
10361	224	376	607	572
10386	225	365	603	562
10411	225	342	609	566
10436	224	377	610	571
10461	225	365	611	560
10486	223	360	608	552
10511	219	358	606	554
10536	212	357	607	554
10561	215	360	607	551
10593	222	359	605	554
10618	233	352	603	562
10643	236	351	599	564
10668	236	360	600	564
10697	235	353	600	562
10722	232	352	598	560
10747	229	352	598	559
10772	226	352	600	558
10797	226	357	600	564
10822	225	356	598	567
10847	226	354	601	562
10872	227	357	598	563
10897	227	349	595	568
10922	227	349	593	567
10947	228	354	595	566
10972	227	357	598	567
10997	227	353	596	567
11022	228	358	596	564
11047	227	358	597	561
11072	227	363	601	560
11097	228	361	602	558
11122	228	362	601	555
11147	228	352	597	559
11172	228	344	593	558
11197	227	350	595	559
11222	227	352	595	554
11251	227	349	596	550
11276	227	349	592	551
11301	226	343	593	553
11326	226	349	591	555
11351	225	347	591	557
11376	224	347	595	560
11401	223	350	598	559
11426	223	354	595	560
11451	224	358	595	561
11476	223	352	596	561
11501	223	355	598	557
11526	223	350	597	560
11551	223	350	595	558
11576	223	351	593	554
11601	223	352	597	549
11626	223	352	602	547
11651	222	355	605	539
11676	223	349	604	536
11701	222	342	602	536
11726	222	343	598	540
11751	224	345	599	544
11776	223	347	603	544
11805	224	349	597	549
11830	224	350	598	553
11855	223	351	604	553
11880	224	356	605	554
11905	223	362	604	554
11930	224	361	603	555
11955	224	354	601	558
11980	223	359	604	555
12005	224	359	604	556
12030	223	355	601	552
12055	223	350	601	551
12080	222	351	598	548
12105	223	347	597	547
12130	223	343	598	548
12155	223	345	599	547
12180	223	352	598	550
12205	222	354	599	548
12230	223	350	600	545
12255	223	350	598	544
12280	223	344	598	549
12305	222	352	599	545
12330	223	355	599	542
12359	222	358	599	541
12384	222	331	598	542
12409	222	352	597	541
12434	222	345	594	543
12459	222	343	597	542
12484	223	349	597	541
12509	223	347	597	542
12534	222	347	596	544
12559	222	346	594	542
12584	222	341	592	543
12609	223	342	592	546
12634	222	349	590	543
12659	222	340	590	545
