Time	Volt	Xaxis	Yaxis	Zaxis
431	74	493	494	682
624	93	493	497	685
811	98	516	498	690
998	94	514	500	698
1183	95	521	503	692
1374	89	530	497	685
1399	88	529	498	687
1424	87	531	498	690
1449	88	534	497	691
1474	88	521	508	693
1499	88	517	512	689
1524	89	509	507	683
1549	90	510	512	696
1574	91	521	512	691
1599	90	526	504	684
1624	90	518	489	679
1649	89	517	485	680
1674	88	525	485	683
1699	86	527	487	682
1724	81	522	498	685
1749	77	528	518	693
1774	75	523	509	706
1799	76	509	501	696
1824	78	508	504	684
1853	81	511	493	688
1878	82	526	488	684
1903	83	545	493	684
1928	84	537	486	679
1953	84	531	498	689
1978	86	495	508	696
2003	88	500	511	698
2028	90	501	507	685
2053	91	510	502	679
2078	93	510	491	679
2103	95	513	487	690
2128	96	529	484	697
2153	94	521	501	694
2178	94	516	500	684
2203	94	500	506	690
2228	98	519	508	685
2253	102	510	513	687
2278	105	510	519	672
2303	106	515	508	671
2328	106	507	505	693
2353	104	503	484	720
2378	103	516	501	691
2403	105	512	508	673
2428	106	505	501	687
2457	107	502	504	697
2482	106	498	503	683
2507	106	501	503	685
2532	105	505	504	683
2557	105	510	484	725
2582	108	531	482	705
2607	112	528	507	658
2632	114	507	513	649
2657	122	492	500	699
2682	136	480	506	706
2707	145	511	489	705
2732	163	509	505	687
2757	175	487	497	679
2782	174	496	493	689
2807	163	499	516	668
2832	158	517	523	679
2857	153	510	511	686
2882	143	521	488	706
2907	136	478	482	696
2932	133	496	478	697
2957	134	539	497	689
2982	134	533	510	678
3007	133	520	515	681
3036	132	522	520	689
3061	130	522	516	699
3086	125	521	518	691
3111	124	508	519	693
3136	123	508	512	685
3161	122	508	509	686
3186	122	507	511	690
3211	122	512	508	692
3236	121	515	505	686
3261	120	526	505	692
3286	119	526	506	687
3311	118	526	501	689
3336	116	517	504	690
3361	114	514	513	684
3386	113	517	513	687
3411	112	518	513	702
3436	108	513	513	697
3461	105	517	504	660
3486	102	512	449	726
3511	101	534	509	647
3536	102	490	492	663
3561	106	507	490	692
3586	116	524	512	723
3615	119	494	527	714
3640	116	525	533	653
3665	112	512	519	670
3690	108	502	527	713
3715	102	494	524	665
3740	95	523	520	635
3765	92	515	474	749
3790	89	516	448	735
3815	92	530	543	660
3840	94	498	514	677
3865	96	483	535	713
3890	95	508	530	678
3915	90	502	516	669
3940	84	516	481	697
3965	83	515	462	658
3990	80	558	421	721
4015	79	535	454	692
4040	83	535	510	627
4065	91	501	475	660
4090	99	504	477	732
4115	107	483	517	745
4140	112	472	532	661
4165	106	519	562	645
4190	102	536	535	672
4219	98	496	505	688
4244	97	493	498	723
4269	98	505	507	715
4294	97	520	512	680
4326	96	489	499	665
4351	95	492	516	661
4376	96	492	507	673
4401	93	490	513	687
4426	91	520	502	725
4451	89	487	516	696
4476	87	491	518	678
4501	83	498	505	691
4526	81	529	500	699
4551	78	521	502	656
4576	76	530	477	690
4601	75	524	478	691
4626	75	543	498	676
4651	74	533	491	680
4676	73	517	490	689
4701	73	531	502	717
4726	73	520	508	686
4751	74	508	511	677
4776	75	514	505	680
4801	76	520	496	684
4826	77	523	498	680
4855	80	520	494	686
4880	85	518	500	687
4905	90	515	506	693
4930	94	510	512	694
4955	94	503	513	689
4980	95	505	512	693
5005	95	515	516	698
5030	95	508	528	686
5055	94	510	523	678
5080	92	519	500	688
5105	92	517	492	692
5130	90	517	498	709
5155	88	520	493	688
5180	88	534	503	674
5205	89	516	498	713
5230	87	504	472	677
5255	88	524	464	699
5280	86	524	475	675
5305	84	523	488	640
5330	88	513	504	649
5355	94	517	498	679
5380	101	536	517	718
5405	107	509	496	732
5430	109	504	512	690
5459	107	514	516	692
5484	104	504	510	680
5509	102	506	510	677
5534	99	500	511	692
5559	96	512	510	694
5584	93	520	513	677
5609	90	516	514	691
5634	90	493	503	722
5659	86	517	491	685
5684	86	518	492	650
5709	85	524	417	714
5734	83	530	468	690
5759	84	540	507	653
5784	89	528	493	660
5809	96	513	481	692
5834	105	520	495	722
5859	107	517	503	711
5884	105	510	511	690
5909	103	470	506	704
5934	101	512	510	671
5959	98	525	506	680
5984	97	520	484	710
6009	96	512	506	671
6034	97	494	510	673
6063	108	465	517	713
6088	111	492	521	706
6113	112	538	530	680
6138	118	507	506	686
6163	123	496	502	690
6188	127	495	494	702
6213	127	506	504	682
6238	126	505	507	653
6263	129	493	507	661
6288	126	508	499	705
6313	129	489	484	729
6338	132	506	510	701
6363	136	498	521	689
6388	132	511	533	658
6413	124	526	486	725
6438	122	495	500	684
6463	117	485	513	653
6488	118	511	505	686
6513	120	503	516	715
6538	123	514	522	687
6563	121	513	524	669
6588	122	495	498	699
6613	126	499	462	723
6642	130	529	507	656
6667	134	517	502	668
6692	136	487	484	713
6717	134	495	522	696
6742	134	489	529	685
6767	143	486	539	665
6792	144	492	507	703
6817	153	517	505	692
6842	158	491	511	680
6867	152	500	522	698
6892	149	505	525	671
6917	144	504	520	676
6942	138	510	508	697
6967	132	517	501	699
6992	125	511	496	684
7017	121	508	495	691
7042	118	489	502	693
7067	117	509	513	697
7092	118	515	501	701
7117	118	517	494	690
7142	118	495	508	645
7167	119	504	510	660
7192	118	501	498	705
7221	116	510	497	696
7246	115	511	508	695
7271	115	511	504	688
7296	116	509	515	682
7321	116	503	515	692
7356	116	520	513	687
7381	114	510	505	690
7406	112	503	492	692
7438	112	505	509	678
7463	114	512	502	703
7488	111	502	518	681
7513	107	498	521	674
7538	101	509	509	691
7563	98	503	506	693
7598	92	521	502	681
7623	89	521	496	698
7648	86	523	495	691
7673	84	522	499	686
7698	81	509	505	677
7723	79	509	500	691
7748	77	503	500	698
7773	76	504	505	689
7798	77	516	505	681
7823	78	519	505	682
7852	81	537	491	682
7877	85	516	482	695
7902	93	511	485	695
7927	99	504	507	688
7952	104	502	511	703
7977	110	519	534	687
8002	113	499	524	706
8027	112	506	527	683
8052	112	500	524	679
8077	112	496	505	682
8102	111	488	497	706
8127	110	523	512	677
8152	111	504	514	685
8177	110	497	517	696
8202	111	509	519	706
8227	111	515	534	695
8252	111	534	527	713
8277	110	508	521	690
8302	108	540	502	667
8327	108	526	497	673
8352	107	504	451	694
8377	108	502	458	691
8402	108	514	494	684
8427	109	500	489	695
8456	109	495	502	713
8481	109	524	555	667
8506	108	527	538	671
8531	108	530	505	680
8556	108	521	495	685
8581	108	504	480	694
8606	110	514	481	690
8631	111	504	490	691
8656	112	508	502	690
8681	113	501	510	688
8706	112	514	514	698
8731	110	526	518	694
8756	106	525	525	665
8781	103	529	517	695
8806	103	542	483	712
8831	104	536	501	701
8856	101	509	505	676
8881	101	516	505	680
8906	100	502	500	702
8931	101	515	500	723
8956	105	531	517	673
8981	104	524	498	694
9006	103	497	506	661
9035	102	491	512	678
9060	100	494	504	707
9085	99	535	510	706
9110	95	524	508	668
9135	93	531	486	699
9160	91	496	513	660
9185	91	491	513	677
9210	94	485	520	687
9235	96	492	526	693
9260	104	513	510	711
9285	123	500	497	685
9310	141	503	498	680
9335	152	503	493	699
9360	147	505	498	685
9385	129	499	507	688
9410	113	512	504	689
9435	98	524	505	677
9460	94	531	489	709
9485	98	533	490	708
9510	96	516	479	689
9535	95	534	485	682
9560	92	497	501	639
9585	94	499	504	672
9610	95	516	499	689
9639	99	517	490	728
9664	104	509	493	731
9689	103	495	530	647
9714	101	537	524	659
9739	99	490	480	716
9764	101	517	511	687
9789	104	512	511	675
9814	107	510	504	687
9839	110	511	497	737
9864	112	506	514	680
9889	113	513	511	666
9914	113	515	508	676
9939	115	515	505	698
9964	116	511	507	682
9989	115	514	510	690
10014	114	516	501	699
10039	112	515	504	684
10064	109	506	504	690
10089	106	510	500	711
10114	100	520	505	686
10139	97	533	510	671
10164	95	514	501	678
10189	90	529	465	713
10218	85	513	490	670
10243	82	536	511	648
10268	84	503	493	673
10293	84	509	496	682
