Time	Volt	Xaxis	Yaxis	Zaxis
450	311	490	544	704
646	327	340	486	656
838	347	470	326	624
1030	336	645	409	695
1217	313	518	556	707
1327	321	440	542	700
1352	322	422	534	684
1377	324	418	529	677
1402	325	388	492	684
1427	332	372	463	667
1452	339	390	447	650
1477	342	406	431	637
1502	343	392	414	643
1527	346	378	380	657
1552	347	415	361	646
1577	347	450	359	627
1602	345	459	350	623
1627	344	471	337	633
1652	345	499	323	648
1677	344	539	317	650
1702	344	558	315	648
1727	342	564	325	649
1752	339	580	356	651
1781	338	603	371	654
1806	338	602	410	657
1831	340	612	415	686
1856	340	620	438	711
1881	337	599	464	705
1906	331	589	474	702
1931	324	576	502	691
1956	315	561	510	696
1981	311	540	523	691
2006	309	512	542	693
2031	309	484	558	701
2056	310	463	578	711
2081	313	453	583	713
2106	314	436	580	700
2131	316	409	566	689
2156	321	402	543	685
2181	324	397	529	676
2206	326	351	512	672
2231	332	350	469	660
2256	339	369	460	646
2281	342	382	455	645
2306	344	348	436	658
2331	345	382	417	659
2360	344	396	417	635
2385	345	408	407	643
2410	345	437	391	659
2435	344	463	376	655
2460	343	466	367	640
2485	342	472	358	635
2510	343	480	350	645
2535	343	505	336	658
2560	343	534	333	649
2585	343	555	340	649
2610	344	567	341	653
2635	343	598	348	662
2660	343	650	374	666
2685	341	683	402	666
2710	341	684	414	666
2735	339	668	421	671
2760	335	616	412	680
2785	330	592	408	686
2810	327	594	411	680
2835	326	586	410	672
2860	326	560	406	671
2885	325	538	402	667
2910	325	526	399	659
2939	326	504	394	656
2964	326	476	381	660
2989	325	438	384	655
3014	326	398	384	640
3039	328	359	394	632
3064	330	347	410	641
3089	333	315	428	644
3114	335	326	461	647
3139	338	341	494	678
3164	340	352	519	672
3189	345	392	568	677
3214	347	413	598	697
3239	350	442	601	720
3264	353	450	584	716
3289	352	495	589	694
3314	352	489	573	687
3339	351	465	548	701
3364	351	479	544	700
3389	351	488	543	694
3414	351	481	523	697
3439	350	495	513	690
3464	349	503	523	686
3489	349	510	489	693
3518	349	503	478	691
3543	347	506	468	684
3568	347	506	439	680
3593	346	514	430	670
3618	345	514	409	664
3643	345	520	382	661
3668	343	552	369	642
3693	342	537	325	660
3718	341	555	287	658
3743	341	598	298	631
3768	339	583	337	620
3793	337	529	344	643
3818	338	587	359	659
3843	340	585	371	664
3868	340	559	375	658
3893	340	533	382	656
3918	340	535	378	664
3943	341	524	393	664
3968	340	524	409	660
3993	341	516	422	664
4018	341	499	414	671
4043	341	507	405	667
4068	341	502	411	656
4093	341	476	407	659
4122	341	470	405	656
4147	342	456	392	656
4172	343	448	390	643
4197	344	434	390	650
4222	343	429	389	649
4254	343	416	397	633
4279	344	385	388	644
4304	345	371	383	641
4329	348	382	393	642
4354	349	409	408	640
4379	350	431	425	640
4404	350	427	437	651
4429	352	423	456	671
4454	354	446	482	687
4479	354	456	499	689
4504	354	459	518	689
4529	355	467	533	699
4554	355	496	561	680
4579	355	500	574	663
4604	357	470	564	653
4629	361	415	593	674
4654	370	418	571	776
4679	374	477	545	731
4708	373	357	554	655
4733	377	361	506	685
4758	377	427	481	694
4783	377	423	502	659
4808	377	415	483	658
4833	381	426	443	678
4858	382	533	438	681
4883	383	495	465	661
4908	384	476	465	657
4933	384	494	438	681
4958	384	506	444	668
4983	383	465	453	668
5008	384	473	446	672
5033	384	489	440	664
5058	383	477	439	658
5083	383	461	444	663
5108	384	492	430	676
5133	384	499	432	667
5158	382	499	431	670
5183	382	482	431	672
5208	382	496	422	674
5233	383	539	423	679
5258	381	556	439	651
5287	380	457	423	672
5312	380	492	389	665
5337	380	515	405	633
5362	380	502	407	648
5387	381	511	387	687
5412	380	521	389	652
5437	380	534	379	640
5462	378	546	379	659
5487	375	530	394	672
5512	372	532	402	659
5537	373	516	419	668
5562	373	524	406	663
5587	372	528	424	675
5612	368	489	433	662
5637	367	469	412	657
5662	366	440	408	653
5687	367	406	404	636
5712	370	344	388	631
5737	371	274	382	616
5762	374	306	361	596
5787	378	437	339	611
5812	379	377	309	626
5837	378	372	325	587
5862	378	414	351	607
5885	377	481	393	655
5910	377	563	444	688
5935	376	609	488	720
5960	374	669	512	736
5985	370	731	581	759
6010	368	762	588	799
6035	366	725	518	775
6060	359	511	558	732
6085	359	528	531	710
6110	362	545	511	703
6135	367	540	475	715
6160	370	563	453	688
6185	372	533	429	675
6210	373	489	406	663
6235	375	472	380	641
6260	379	459	357	634
6285	379	453	340	639
6310	378	470	317	633
6335	376	433	309	627
6360	371	463	311	611
6385	372	503	335	627
6410	375	499	358	644
6435	375	476	371	643
6464	377	487	361	643
6489	378	455	369	640
6514	379	478	375	643
6539	379	501	391	642
6564	379	488	404	668
6589	379	504	404	662
6614	379	493	397	641
6639	378	518	396	665
6664	377	488	430	665
6689	377	496	437	673
6714	377	542	435	682
6739	379	403	458	627
6764	378	562	454	669
6789	379	456	428	675
6814	378	455	411	656
6839	380	460	414	641
6864	380	445	409	656
6889	381	468	412	660
6914	380	458	428	643
6939	381	446	436	658
6964	382	432	439	666
6989	382	430	437	657
7014	383	399	448	647
7043	382	368	458	646
7068	381	354	459	650
7093	381	355	473	663
7118	379	321	484	636
7143	379	222	490	619
7168	382	330	480	652
7193	388	529	452	684
7218	389	425	466	664
7243	387	440	475	669
7268	389	431	472	671
7293	391	400	474	664
7328	390	385	476	671
7353	389	425	469	665
7384	389	448	448	664
7409	389	453	434	660
7434	389	456	403	657
7459	390	464	382	642
7484	390	459	360	630
7509	389	445	337	619
7544	391	475	287	615
7569	388	495	288	608
7594	389	492	284	604
7619	388	513	283	617
7648	387	545	290	635
7673	385	571	302	642
7698	384	603	318	657
7723	383	636	341	675
7748	382	673	379	697
7773	380	698	404	720
7798	378	645	444	702
7823	376	605	456	703
7848	375	569	472	706
7873	374	541	471	716
7898	374	511	494	698
7923	373	479	517	699
7948	373	462	538	702
7973	373	466	540	705
7998	373	452	537	694
8023	373	450	533	672
8048	372	430	536	654
8073	371	404	504	693
8098	372	411	474	699
8123	374	430	478	671
8148	375	402	457	652
8173	376	389	438	647
8198	378	405	421	658
8223	380	436	395	632
8252	380	406	378	626
8277	383	403	345	633
8302	385	434	332	604
8327	385	436	321	610
8352	385	456	283	625
8377	384	480	285	601
8402	384	509	294	613
8427	384	533	312	637
8452	383	576	344	643
8477	382	597	375	667
8502	381	662	416	690
8527	379	717	469	712
8552	376	716	494	741
8577	372	663	500	739
8602	369	623	507	726
8627	368	588	519	713
8652	369	521	539	713
8677	371	491	547	717
8702	373	461	544	709
8727	376	415	540	682
8752	377	392	523	662
8777	378	405	501	649
8802	379	375	437	663
8831	381	318	393	635
8856	382	296	385	597
8881	386	365	329	595
8906	389	533	313	633
8931	389	542	304	638
8956	389	476	313	624
8981	388	530	324	637
9006	387	541	335	636
9031	385	576	364	644
9056	384	551	378	667
9081	383	540	395	669
9106	381	529	424	676
