Time	Volt	Xaxis	Yaxis	Zaxis
430	317	329	573	401
626	302	346	616	392
814	264	393	612	376
1001	172	426	626	426
1187	177	315	574	526
1296	147	275	531	541
1321	160	271	532	541
1346	176	298	525	562
1371	190	338	502	546
1396	200	348	488	545
1421	206	316	482	548
1446	213	248	463	562
1471	220	259	514	567
1496	226	376	529	549
1521	227	344	523	567
1546	227	326	511	573
1571	231	313	501	581
1596	231	324	497	582
1621	233	346	481	574
1646	236	350	490	567
1671	239	361	492	550
1696	245	351	513	570
1721	251	361	530	587
1750	258	389	556	611
1776	260	382	553	633
1802	242	349	533	625
1828	222	339	510	601
1854	222	330	516	591
1880	224	380	514	576
1906	226	360	515	588
1932	225	341	511	592
1958	225	356	513	606
1984	221	375	511	628
2010	220	369	506	626
2036	218	363	517	615
2062	217	378	524	621
2088	216	367	520	621
2114	215	354	517	605
2140	216	356	522	606
2166	215	374	518	616
2192	213	371	518	616
2218	212	367	520	611
2244	211	354	519	606
2270	211	358	518	602
2296	209	342	518	597
2322	208	395	503	618
2352	208	387	512	631
2377	209	383	517	628
2402	210	377	513	616
2427	209	358	527	606
2452	208	370	524	601
2477	208	345	518	595
2502	208	345	513	595
2527	208	361	516	620
2552	208	378	515	629
2577	211	382	513	627
2602	213	413	521	619
2627	213	365	524	609
2652	212	351	534	597
2677	212	361	521	597
2702	212	361	521	608
2727	211	366	517	608
2752	212	365	507	610
2777	213	369	510	611
2802	213	367	512	610
2827	213	346	507	599
2852	213	366	519	610
2877	211	371	526	611
2902	209	368	530	615
2932	208	354	525	606
2957	207	343	507	598
2982	206	400	488	627
3007	206	376	505	617
3032	206	368	512	605
3057	206	359	543	609
3082	207	351	535	602
3107	206	352	513	609
3132	207	374	493	616
3157	208	360	499	605
3182	208	357	513	614
3207	209	380	533	603
3232	210	354	532	601
3257	211	349	526	594
3282	211	354	528	600
3307	211	363	520	605
3332	211	355	512	616
3357	212	359	503	612
3382	212	368	502	612
3407	212	363	513	606
3432	212	364	525	606
3457	210	346	537	609
3482	211	379	542	603
3512	211	345	528	592
3537	211	361	521	601
3562	211	360	517	609
3587	212	360	513	612
3612	211	356	512	610
3637	212	383	513	613
3662	210	353	510	605
3687	212	357	521	602
3712	212	377	526	612
3737	212	371	525	616
3762	210	355	520	610
3787	211	378	504	637
3812	211	369	518	618
3837	213	369	516	609
3862	213	355	520	603
3887	212	364	516	624
3912	212	366	510	603
3937	213	358	515	595
3962	213	346	526	593
3987	214	370	532	610
4012	212	377	526	613
4037	209	360	521	617
4062	210	344	512	594
4087	210	366	504	604
4117	212	373	508	613
4143	213	383	507	611
4169	212	359	523	620
4195	212	344	529	599
4221	212	361	518	607
4247	211	378	533	607
4279	212	386	551	584
4305	211	345	535	585
4331	212	327	512	605
4357	213	354	516	595
4383	214	363	516	608
4409	214	366	517	613
4435	215	352	522	601
4461	215	345	523	600
4487	214	388	492	647
4513	215	372	520	608
4539	213	343	519	590
4565	213	344	519	597
4591	212	373	519	621
4617	212	379	519	629
4643	212	375	516	623
4669	213	372	517	607
4695	213	349	521	590
4725	212	352	520	590
4750	212	357	524	606
4775	213	372	524	625
4800	213	374	521	634
4825	212	351	510	622
4850	213	344	508	612
4875	214	350	518	622
4900	214	348	525	617
4925	215	354	526	598
4950	216	363	528	568
4975	217	371	544	568
5000	220	389	542	568
5025	220	379	549	586
5050	223	396	554	590
5075	225	370	547	602
5100	227	330	532	608
5125	227	319	525	596
5150	225	354	509	589
5175	226	367	501	608
5200	217	338	512	641
5225	214	366	519	622
5250	212	351	514	599
5275	213	339	506	593
5305	224	372	527	595
5330	226	363	529	596
5355	227	341	528	590
5380	227	356	521	591
5405	225	356	519	619
5430	225	378	520	621
5455	226	376	504	619
5480	226	354	511	608
5505	225	360	525	608
5530	227	373	530	612
5555	227	374	519	611
5580	227	348	515	600
5605	228	353	517	612
5630	229	371	513	618
5655	229	371	517	613
5680	229	358	518	608
5705	228	359	520	612
5730	229	383	515	618
5755	228	371	514	626
5780	228	368	512	610
5805	228	372	508	610
5830	228	360	519	609
5855	228	372	522	618
5880	224	361	526	618
5903	222	389	520	623
5928	222	392	504	614
5953	222	376	504	614
5978	221	376	513	616
6003	221	355	525	602
6028	221	358	528	599
6053	222	348	525	599
6078	223	353	516	602
6103	222	346	513	619
6128	223	380	514	627
6153	225	378	516	623
6178	225	359	513	612
6203	227	343	515	600
6228	226	358	512	606
6253	224	369	519	613
6278	223	368	520	604
6303	224	370	518	606
6328	221	354	521	605
6353	221	363	513	623
6378	221	377	504	621
6403	222	369	513	613
6428	222	369	520	608
6453	222	361	513	610
6483	222	363	518	619
6509	221	365	522	621
6535	221	357	517	608
6561	222	381	521	597
6587	223	356	528	593
6613	223	354	532	598
6639	224	365	519	604
6665	224	358	511	609
6691	225	358	516	604
6717	224	365	517	612
6743	225	367	513	610
6769	226	351	522	599
6795	226	345	518	600
6821	225	413	508	626
6847	227	369	504	627
6873	226	383	516	611
6899	226	360	526	604
6925	225	357	529	602
6951	224	359	529	602
6977	222	354	520	603
7003	222	362	504	617
7029	223	364	508	619
7055	224	367	518	613
7085	226	364	523	596
