Time	Volt	Xaxis	Yaxis	Zaxis
536	108	501	480	428
730	111	498	478	431
919	112	503	478	432
1116	117	503	476	438
1304	122	503	472	439
1492	127	506	467	440
1683	130	508	463	440
1869	131	506	464	441
2054	130	505	466	442
2242	129	499	472	439
2428	130	495	479	442
2619	131	497	481	437
2644	130	494	481	438
2669	131	496	481	438
2694	132	496	480	438
2719	131	497	479	439
2744	131	498	478	439
2769	132	497	480	439
2794	132	496	480	438
2819	132	496	481	438
2844	132	495	481	439
2869	131	495	480	438
2894	132	497	480	440
2923	132	496	480	440
2948	131	493	480	441
2973	132	495	480	440
2998	132	495	480	441
3023	132	493	480	439
3048	132	495	481	438
3073	131	496	481	438
3098	132	495	482	438
3123	132	496	484	437
3148	131	496	483	436
3173	132	495	483	439
3198	132	495	484	438
3223	132	495	485	438
3248	132	493	485	438
3273	132	494	484	438
3298	132	494	483	437
3323	132	495	483	436
3348	132	495	484	436
3373	132	496	484	435
3398	131	493	484	434
3423	131	496	484	436
3448	132	496	485	434
3473	132	498	485	433
3502	132	496	484	434
3527	132	495	485	433
3552	130	494	486	433
3577	131	495	487	432
3602	132	495	487	432
3627	132	495	487	430
3652	131	495	486	430
3677	132	495	485	429
3702	131	495	487	431
3727	130	496	488	428
3752	132	495	486	431
3777	132	496	486	429
3802	132	494	486	430
3827	132	495	487	430
3852	133	495	486	430
3877	133	496	484	431
3902	132	494	485	431
3927	132	496	485	430
3952	132	495	486	430
3977	132	496	487	431
4002	132	495	486	432
4027	132	494	484	433
4052	131	495	486	432
4081	131	495	485	434
4106	132	494	483	434
4131	131	494	484	434
4156	132	494	486	431
4181	131	495	483	432
4206	130	496	481	429
4231	131	496	485	430
4256	131	496	486	433
4281	131	495	486	433
4306	130	494	485	433
4331	131	495	483	433
4356	129	496	483	433
4381	131	496	485	432
4406	131	497	486	433
4431	129	496	484	432
4456	130	494	485	434
4481	130	496	486	433
4506	130	494	484	434
4531	130	495	485	432
4556	131	495	482	433
4581	130	495	484	432
4606	130	495	483	433
4631	131	495	485	433
4660	131	494	486	432
4685	130	496	486	433
4710	131	495	484	433
4735	130	495	483	433
4760	131	495	486	434
4785	131	496	486	434
4810	130	494	484	433
4835	131	494	484	432
4860	131	494	485	434
4885	131	494	486	434
4910	130	496	485	435
4935	131	494	484	434
4960	131	494	482	434
4985	131	495	486	434
5010	131	496	486	434
5035	132	494	484	434
5060	132	494	486	434
5085	131	492	483	433
5110	131	492	485	432
5135	130	493	486	433
5160	131	496	490	433
5185	131	496	487	434
5210	131	493	486	433
5235	131	493	487	433
5264	131	493	485	433
5289	131	494	487	433
5314	131	494	488	435
5339	132	493	487	434
5364	131	493	486	433
5396	133	494	487	432
5421	131	494	485	432
5446	131	493	488	432
5471	131	492	486	435
5496	130	493	489	432
5521	132	493	486	432
5546	132	494	487	433
5571	131	492	487	434
5596	131	493	486	433
5621	131	492	486	432
5646	131	492	488	435
5671	132	493	489	433
5696	132	493	490	432
5721	130	493	489	432
5746	132	493	489	433
5771	131	494	488	433
5796	131	493	487	434
5821	130	492	485	433
5850	131	493	484	433
5875	130	493	486	433
5900	130	493	486	434
5925	131	493	489	433
5950	131	494	488	432
5975	132	493	486	435
6000	133	493	487	435
6025	132	493	486	436
6050	133	494	486	437
6075	131	494	489	437
6100	133	493	485	438
6125	133	489	482	439
6150	133	494	484	437
6175	132	494	485	437
6200	132	495	486	439
6225	133	493	483	438
6250	133	493	482	438
6275	133	493	483	438
6300	133	492	483	441
6325	133	493	484	439
6350	133	497	483	437
6375	133	493	481	437
6400	134	496	481	434
6429	133	500	481	431
6454	133	501	482	431
6479	133	497	483	430
6504	134	500	481	431
6529	133	499	480	429
6554	133	501	474	429
6579	133	500	477	431
6604	133	500	477	429
6629	133	501	480	430
6654	134	499	482	431
6679	134	499	483	428
6704	134	501	485	430
6729	135	504	485	433
6754	136	502	484	435
6779	136	500	479	435
6804	135	498	476	435
6829	137	499	473	434
6854	135	502	475	433
6879	136	504	478	435
6904	135	500	477	433
6929	136	505	477	432
6954	135	502	474	434
6979	136	506	475	432
7004	135	505	473	436
7026	135	506	472	436
7051	135	501	468	433
7076	135	504	467	432
7101	135	508	473	435
7126	135	505	479	438
7151	136	503	478	444
7176	135	506	475	441
7201	134	502	467	440
7226	134	496	464	444
7251	133	503	460	441
7276	134	499	468	442
7301	133	507	469	440
7326	134	511	471	432
7351	133	507	466	432
7376	134	510	466	428
7401	133	509	463	427
7426	134	512	463	426
7451	134	515	463	422
7476	134	511	465	420
7501	133	514	469	421
7526	133	515	470	421
7551	133	514	469	420
7576	134	511	467	422
7605	134	509	469	427
7630	133	513	472	427
7655	134	506	469	431
7680	132	507	470	431
7705	132	506	471	432
7730	132	507	472	432
7755	132	506	469	429
7780	132	507	472	427
7805	131	507	472	427
7830	132	507	473	427
7855	131	508	473	426
7880	130	508	473	427
7905	130	507	475	427
7930	129	506	473	429
7955	131	505	474	430
7980	131	505	472	430
8005	130	503	474	429
8030	130	504	473	429
8055	130	505	472	428
8080	130	507	473	427
8105	130	507	474	428
8130	131	506	476	427
8155	131	504	475	427
8184	130	503	476	427
8209	131	503	476	426
8234	131	505	475	424
8259	131	506	475	424
8284	131	505	473	423
8309	131	504	474	423
8334	130	506	478	423
8359	131	506	481	419
8384	130	507	480	419
8409	131	506	479	419
8434	130	505	479	419
8459	131	508	481	418
8484	132	507	480	416
8516	130	504	478	416
8549	131	505	478	416
8574	130	506	479	415
8599	130	504	480	415
8624	130	504	480	415
8649	131	507	483	415
8684	131	505	477	414
8709	131	506	477	411
8734	130	506	478	414
8759	131	507	480	414
8788	132	504	481	417
8813	133	503	482	419
8838	131	499	484	421
8863	132	503	480	420
8888	131	503	478	417
8913	132	503	478	417
8938	132	506	480	415
8963	131	504	483	415
8988	132	505	484	414
9013	132	504	483	414
9038	132	506	481	415
9063	132	504	480	415
9088	132	504	481	414
9113	131	502	481	416
9138	132	503	481	416
9163	132	502	481	414
9188	132	504	481	416
9213	133	504	480	414
9238	133	504	481	414
9263	132	505	484	414
9288	132	503	482	414
9313	132	505	483	416
9338	133	503	481	414
9363	132	503	478	414
9392	132	503	479	413
9417	132	504	480	413
9442	133	506	481	411
9467	132	507	481	412
9492	134	505	482	413
9517	131	503	482	414
9542	132	502	482	415
9567	134	503	482	414
9592	133	505	482	414
9617	133	505	481	412
9642	133	504	480	415
9667	132	501	482	415
9692	133	502	482	416
9717	133	502	483	414
9742	132	504	483	413
9767	134	504	481	413
9792	133	506	481	413
9817	132	501	481	414
9842	133	503	484	417
9867	133	502	486	415
9892	133	502	484	414
9917	133	505	482	414
9942	133	506	480	415
9971	133	504	481	416
9996	133	503	483	416
10021	133	501	483	415
10046	133	503	482	416
10071	133	504	484	414
10096	133	506	480	414
10121	133	505	480	416
10146	133	502	477	415
10171	133	502	480	415
10196	134	502	481	416
10221	133	502	483	418
10246	133	504	482	416
10271	133	504	483	414
10296	134	504	481	417
10321	134	503	482	414
10346	134	503	483	416
10371	133	502	481	416
10396	133	504	482	415
10421	133	502	480	415
10446	133	502	480	417
10471	133	503	481	417
10496	133	502	484	416
10525	134	504	483	413
10550	134	505	482	411
10575	134	504	481	413
10600	133	503	480	415
10625	133	502	481	416
10650	134	503	484	417
10675	133	502	483	419
10700	133	503	480	417
10725	133	504	477	415
10750	133	502	481	416
10775	134	502	486	417
10800	134	503	487	415
10825	134	503	482	416
10850	133	503	480	415
10875	133	502	483	414
10900	133	502	483	418
10925	133	504	483	417
10950	133	503	481	416
10975	133	503	480	414
11000	134	504	480	416
11025	133	504	483	416
11050	133	503	482	416
11075	134	503	481	418
11097	134	501	482	417
11122	133	503	483	416
11147	134	502	484	415
11172	133	503	484	418
11197	133	501	483	417
11222	134	501	483	417
11247	134	503	482	416
11272	134	504	481	418
11297	133	502	483	417
11322	134	500	481	418
11347	134	499	484	415
11372	133	501	483	417
11397	132	502	485	417
11422	134	503	481	417
11447	134	503	482	415
11472	133	503	482	418
11497	134	502	481	419
11522	134	500	483	421
11547	134	500	484	421
11572	133	501	483	420
11597	133	501	483	419
11628	133	503	481	418
11657	135	503	482	419
11682	134	502	485	419
11707	135	500	486	420
11732	135	501	484	420
11757	134	502	483	418
11782	133	504	481	419
11807	134	501	479	419
11832	134	502	478	418
11857	134	500	479	422
11882	134	501	484	420
11907	134	501	485	420
11932	135	500	484	418
11957	135	504	484	415
11982	134	503	483	417
12007	134	504	482	417
12032	134	502	483	419
12057	135	500	481	421
12082	134	499	480	421
12107	134	500	481	419
12132	135	501	481	420
12157	134	502	485	418
12182	135	501	486	417
12211	135	502	483	417
12236	135	502	481	418
12261	135	503	483	416
12286	135	501	483	417
12311	134	502	484	419
12336	135	500	482	418
12361	134	500	481	417
12386	135	500	483	419
12411	136	501	484	416
12436	136	500	482	420
12461	135	501	483	421
12486	135	500	484	419
12511	136	501	487	420
12536	136	500	485	419
12561	135	501	481	419
12586	135	500	481	419
12611	135	498	487	419
12636	136	498	487	421
12661	135	500	489	419
12686	137	500	489	420
12711	135	500	487	419
12736	136	498	485	420
12765	136	498	482	418
12790	136	498	485	420
12815	135	500	486	419
12840	136	499	484	417
12865	135	498	484	419
12890	135	500	485	417
12915	136	499	485	420
12940	136	498	483	420
12965	136	498	485	419
12990	137	500	486	418
13015	135	499	487	419
13040	137	499	485	418
13065	136	498	486	418
13090	135	499	486	421
13115	136	498	487	419
13140	136	499	487	417
13165	136	499	487	417
13190	136	499	485	418
13215	136	498	487	417
13240	136	498	486	418
13265	136	497	486	418
13290	135	496	487	418
13315	136	499	488	418
13344	136	499	486	417
13369	136	499	487	417
13394	135	499	485	419
13419	136	498	484	420
13444	136	495	488	419
13469	136	497	488	418
13494	136	499	491	418
13519	135	500	490	418
13544	136	500	486	418
13569	134	499	486	418
13594	136	498	484	421
13619	135	496	486	420
13644	135	496	486	421
13669	136	496	487	418
13694	135	498	489	418
13719	135	500	489	420
13744	135	499	488	418
13769	134	500	488	419
13794	135	501	487	419
13819	135	498	485	420
13844	135	495	483	420
13869	135	496	482	419
13898	135	499	486	420
13932	134	500	487	421
13957	135	500	485	418
13982	135	499	484	418
14006	135	498	485	417
14031	134	498	485	419
14056	135	497	487	419
14081	136	498	489	420
14106	135	498	489	422
14131	135	499	488	421
14156	135	498	488	421
14181	135	496	487	420
14206	135	496	487	420
14231	136	497	488	420
14256	134	498	488	420
14281	134	496	487	419
14306	135	496	487	418
14331	135	497	488	419
14356	136	497	487	420
14381	135	498	487	417
14406	135	497	488	419
14431	136	498	490	421
14459	135	497	487	420
14484	136	497	488	420
14509	136	495	491	420
14534	136	495	489	422
14559	136	495	488	420
14583	136	497	489	421
14608	136	496	487	421
14633	135	494	488	420
14658	136	496	490	420
14683	136	495	490	420
14708	135	497	490	419
14733	135	495	489	419
14758	136	495	488	421
14782	136	495	490	418
14807	135	494	490	420
14832	136	495	490	419
14857	135	494	490	420
14882	137	495	491	420
14907	135	495	489	417
14932	136	494	490	417
14957	135	495	491	417
14981	135	494	492	417
15019	135	494	492	418
15044	136	492	492	420
15069	135	494	491	419
15094	136	494	490	418
15119	136	494	492	416
15144	135	493	492	418
15169	135	494	494	416
15194	136	492	492	416
15219	135	494	494	416
15244	135	493	493	416
15269	135	493	493	416
15294	136	492	491	416
15319	136	493	493	415
15344	136	494	493	413
15369	136	491	494	414
15394	136	491	494	414
15419	135	492	495	415
15444	137	492	493	415
15469	136	493	493	416
15494	135	492	493	415
15519	135	491	494	414
15550	135	491	494	413
15575	136	492	496	411
15603	135	492	497	415
15628	137	491	494	412
15653	135	492	493	412
15677	136	493	495	412
15702	136	492	495	412
15727	137	490	496	413
15752	136	491	496	412
15777	136	492	497	412
15802	137	491	495	411
15827	135	493	495	410
15852	137	493	493	411
15877	135	492	496	411
15902	136	492	496	411
15927	136	492	496	412
15951	136	492	495	411
15976	136	492	495	411
16001	135	492	494	413
16026	135	492	495	412
16051	136	493	496	412
16076	136	491	495	412
16101	136	493	495	411
16126	136	494	493	413
16154	136	493	494	413
16179	136	494	493	414
16204	136	492	494	413
16229	135	494	495	414
16254	136	493	493	413
16279	136	493	495	413
16304	135	494	494	414
16329	136	493	491	413
16354	136	494	491	413
16379	135	493	493	414
16404	135	493	493	415
16429	135	493	493	415
16454	136	495	492	415
16479	135	495	492	415
16504	136	494	492	418
16528	135	493	491	418
16553	135	494	492	417
16578	134	494	492	416
16603	135	495	492	416
16628	136	495	492	417
16653	135	495	490	418
16678	136	495	490	419
16707	135	495	490	417
16732	135	494	491	418
16757	135	494	491	419
16782	135	495	490	418
16807	135	495	490	419
16832	135	494	490	418
16857	135	495	490	419
16882	136	496	490	419
16907	135	495	489	421
16932	136	496	490	419
16957	135	495	490	419
16982	136	494	491	420
17007	137	495	490	419
17031	135	494	490	420
17056	135	496	490	419
17081	135	494	489	419
17106	135	495	489	421
17131	136	494	489	421
17156	136	493	490	421
17181	137	493	489	420
17206	136	494	489	420
17231	136	495	489	420
17260	136	495	489	421
17285	137	494	489	420
17310	136	495	490	418
17335	136	493	489	420
17360	137	493	490	420
17385	136	493	491	421
17410	137	494	491	420
17435	135	495	491	419
17460	136	495	489	419
17485	136	494	490	418
17510	136	494	491	419
17535	137	493	490	418
17560	137	494	489	418
17585	136	494	489	419
17610	137	494	491	419
17635	136	495	492	420
17660	137	494	491	418
17685	136	492	491	417
17710	136	494	491	418
17735	137	495	490	418
17760	137	494	491	418
17785	136	495	493	418
17810	136	495	492	417
17838	136	495	491	417
17863	137	494	491	417
17888	136	495	490	415
17913	136	495	491	416
17938	137	495	491	418
17963	136	493	491	418
17988	136	494	493	418
18013	136	494	493	419
18038	136	494	491	417
18063	136	495	490	416
18088	136	496	490	415
18113	136	496	490	418
18138	136	494	489	417
18163	135	495	492	419
18187	135	494	491	418
18212	137	495	492	419
18237	136	496	489	420
18262	136	495	489	418
18287	136	495	489	419
18312	136	495	487	418
18337	135	496	489	418
18362	136	497	491	419
18390	136	497	491	422
18415	136	495	490	421
18440	136	494	487	420
18464	136	494	488	422
18489	136	496	488	420
18514	135	496	486	419
18539	135	496	488	420
18563	135	496	488	421
18588	137	494	487	422
18613	136	496	488	422
18638	136	495	490	423
18663	136	494	485	422
18688	135	495	485	421
18713	136	497	487	423
18738	136	497	486	424
18763	137	495	487	424
18788	137	493	487	425
18813	135	495	488	423
18838	136	497	486	422
18863	136	497	486	424
18888	136	498	486	422
18913	137	496	486	424
18941	136	496	488	423
18966	136	495	488	424
18991	137	495	489	424
19016	137	496	487	423
19040	136	496	487	423
19065	136	496	487	422
19090	137	496	488	423
19115	137	497	487	421
19140	136	499	487	422
19165	137	495	487	423
19190	137	495	487	424
19215	136	496	488	422
19240	135	497	487	423
19265	136	497	489	422
19290	136	496	487	422
19315	136	498	487	424
19340	136	497	488	422
19365	136	498	488	423
19390	136	498	487	424
19415	136	498	486	423
19439	136	497	484	423
19464	137	497	485	424
19492	135	495	485	426
19517	137	497	485	425
19542	137	498	484	422
19567	136	498	482	423
19592	137	498	483	423
19616	136	501	485	423
19640	137	501	482	420
19665	137	502	484	419
19690	136	502	484	418
19715	136	499	481	422
19740	136	498	481	420
19765	136	502	485	423
19797	137	502	487	424
19822	137	502	484	426
19846	136	501	479	423
19870	136	500	476	424
19895	136	501	478	425
19920	137	498	481	426
19945	137	498	480	424
19970	137	501	482	422
20003	137	504	481	420
20027	137	505	480	417
20052	137	502	481	420
20080	137	503	480	422
20104	137	501	479	422
20128	137	501	479	420
20152	137	502	481	421
20176	136	501	484	420
20200	136	501	484	422
20224	137	501	486	423
20248	138	501	482	424
20272	137	503	481	421
20296	137	503	480	420
20320	137	502	480	422
20344	138	501	481	423
20368	137	500	482	422
20392	137	499	482	421
20416	137	500	482	419
20440	138	501	482	418
20464	137	504	482	419
20488	138	503	484	418
20512	138	501	484	420
20536	137	499	485	422
20560	138	499	485	421
20584	138	500	487	424
20612	137	499	485	425
20636	138	500	484	425
20660	138	498	484	424
20684	139	498	485	424
20708	138	500	484	424
