Time	Volt	Xaxis	Yaxis	Zaxis
484	338	399	321	560
679	325	381	336	485
866	317	420	383	550
1059	319	373	436	491
1249	319	389	398	533
1437	314	359	340	516
1545	302	352	358	548
1604	289	347	354	551
1628	275	357	353	528
1652	264	357	353	525
1676	260	359	351	525
1700	260	356	373	522
1724	252	356	357	545
1748	255	337	344	527
1772	257	341	361	518
1796	256	317	363	527
1820	261	326	328	532
1844	261	307	342	516
1868	259	305	336	488
1892	264	316	317	477
1916	258	326	303	503
1940	253	318	312	539
1964	257	323	315	533
1992	257	320	362	511
2017	255	331	364	518
2042	254	319	367	531
2067	259	316	382	534
2092	263	298	381	537
2117	260	301	379	535
2142	260	294	354	528
2167	262	311	359	522
2192	260	321	353	512
2217	229	320	346	501
2242	243	322	342	512
2267	251	327	342	513
2292	255	328	343	523
2317	257	323	363	506
2342	260	314	379	506
2367	262	308	380	537
2392	261	313	380	538
2417	262	313	402	512
2442	259	334	389	513
2467	256	324	403	488
2492	230	320	376	496
2517	247	326	363	507
2542	255	330	346	529
2571	256	350	335	525
2596	260	361	328	538
2621	262	353	312	543
2646	260	357	316	520
2671	259	345	315	516
2696	259	339	315	521
2721	257	333	316	523
2746	255	334	321	506
2771	260	330	317	516
2796	263	299	337	509
2821	262	306	323	501
2846	261	337	345	483
2871	258	287	326	537
2896	255	381	287	554
2921	257	321	321	496
2946	261	306	317	494
2971	261	297	342	497
2996	260	318	331	515
3021	260	333	312	487
3046	258	331	336	488
3071	256	320	304	509
3096	258	336	337	505
3121	254	348	342	539
3150	260	348	343	506
3175	258	352	333	518
3200	263	353	328	504
3225	260	213	321	565
3250	258	392	337	486
3275	262	341	312	520
3300	262	361	313	473
3325	258	337	327	498
3350	258	344	380	362
3375	261	355	248	576
3400	259	369	238	534
3425	256	397	272	519
3450	260	355	260	726
3475	265	300	295	719
3500	259	382	314	506
3525	258	452	298	462
3550	260	366	280	515
3575	259	354	292	484
3600	264	343	257	549
3625	258	370	261	489
3650	260	377	262	527
3675	256	367	295	483
3700	256	415	285	485
3729	258	387	213	531
3754	256	297	272	486
3779	259	316	242	465
3804	263	415	259	535
3829	262	404	324	540
3854	261	373	354	514
3879	262	402	353	504
3904	258	382	334	537
3929	257	342	373	579
3954	256	347	361	539
3979	258	353	366	531
4004	256	362	350	522
4029	257	331	354	541
4054	255	325	399	548
4079	260	333	350	545
4104	258	340	370	528
4129	260	348	350	557
4154	257	335	373	545
4179	257	346	363	524
4204	262	357	404	543
4229	260	372	366	545
4254	261	364	370	523
4279	259	361	377	538
4304	260	352	377	541
4333	260	345	378	559
4358	260	366	386	552
4383	256	362	382	542
4408	252	371	371	535
4433	256	366	371	537
4458	254	342	380	557
4483	257	376	384	539
4508	256	332	356	534
4533	258	394	326	544
4558	257	360	324	604
4583	257	163	429	499
4608	257	337	394	478
4633	0	353	365	571
4658	0	366	343	565
4683	120	317	354	492
4708	189	343	427	573
4733	225	420	247	639
4758	246	490	459	726
4783	226	381	375	526
4808	246	324	400	500
4833	251	323	363	536
4858	254	143	552	84
4883	258	393	260	461
4912	260	354	362	494
4937	261	341	327	546
4962	259	341	372	514
4987	262	349	361	491
5012	261	366	405	294
5037	264	324	139	750
5062	259	148	21	93
5087	258	321	335	487
5112	256	295	332	491
5137	255	347	330	475
5162	254	379	292	466
5187	256	283	251	428
5212	231	336	317	487
5237	245	300	340	507
5262	251	293	317	507
5287	256	328	316	500
5312	255	313	356	468
5337	254	314	313	532
5362	228	307	349	500
5387	244	331	326	511
5412	252	338	363	510
5437	258	399	467	482
5462	262	277	307	535
5487	258	305	308	495
5516	260	329	292	432
5541	262	319	273	483
5566	255	387	343	436
5591	262	296	459	615
5616	264	311	281	483
5641	263	296	257	477
5666	260	278	329	421
5691	262	295	277	462
5716	265	298	308	464
5741	264	317	312	356
5766	263	539	368	507
5791	258	202	183	567
5816	256	270	319	352
5841	258	322	331	313
5866	256	287	271	390
5891	258	267	294	388
5916	258	295	313	405
5941	258	303	297	392
5966	256	313	296	363
5991	255	314	291	402
6016	256	270	247	400
6041	257	344	229	455
6066	255	375	307	425
6095	258	331	273	372
6120	261	291	283	409
6145	260	302	299	405
6170	260	293	289	431
6195	259	303	301	412
6220	260	327	274	434
6245	257	359	300	389
6270	255	315	257	421
6295	254	325	251	412
6320	259	315	274	408
6345	260	320	275	416
6370	261	310	280	427
6395	262	304	289	422
6420	263	304	266	422
6445	264	314	304	326
6470	263	314	288	404
6495	263	311	273	415
6520	257	317	253	426
6545	230	290	262	421
6570	244	299	278	406
6595	253	298	273	407
6620	257	312	290	422
6645	262	301	278	424
6707	276	378	174	680
6732	267	355	313	441
6757	262	223	299	416
6782	262	304	303	449
6807	258	288	272	432
6832	261	315	303	442
6857	234	333	328	461
6882	247	310	304	417
6907	251	312	270	439
6932	250	310	278	447
6957	253	317	290	441
6982	255	318	273	445
7007	256	318	281	431
7032	257	317	288	447
7057	259	289	272	460
7082	257	314	290	466
7107	260	304	287	456
7132	259	425	130	431
7157	254	323	291	465
7182	252	286	200	393
7207	254	337	281	457
7232	255	352	291	470
7257	260	350	230	463
7286	258	341	269	462
7311	261	319	296	489
7336	261	322	276	483
7361	258	431	350	753
7386	259	356	299	456
7411	256	328	324	400
7436	229	354	263	501
7468	246	366	250	492
7493	256	382	226	528
7524	261	542	465	248
7549	261	360	276	541
7574	262	369	364	467
7599	261	383	331	513
7624	261	351	336	498
7649	232	311	382	546
7674	245	417	235	515
7699	249	360	299	515
7724	252	374	212	584
7749	256	341	338	533
7784	264	318	405	508
7809	232	383	403	457
7834	248	369	326	511
7859	254	415	308	581
7884	257	377	349	534
7913	262	366	307	537
7938	260	414	306	488
7963	262	385	331	563
7988	256	354	279	579
8013	201	400	291	527
8038	167	434	236	509
8063	178	466	204	353
8088	211	384	392	522
8113	236	184	320	430
8138	252	361	306	496
8163	259	401	309	528
8188	261	419	311	523
8213	261	426	321	513
8238	258	409	323	532
8263	256	359	325	511
8288	257	413	294	531
8313	256	403	307	539
8338	257	413	293	502
8363	261	428	303	464
8388	234	413	242	425
8413	249	405	290	501
8438	255	430	274	512
8463	255	414	286	509
8492	259	408	284	513
8517	257	406	283	510
8542	258	415	295	480
8567	256	422	275	509
8592	260	422	284	512
8617	263	432	293	501
8642	259	423	305	458
8667	263	407	326	467
8692	257	750	269	406
8717	252	480	334	514
8742	255	457	311	513
8767	254	444	317	514
8792	257	436	310	515
8817	257	439	311	493
8842	261	432	292	511
8867	260	415	326	509
8892	260	416	323	537
8917	257	438	316	521
8942	254	432	323	516
8967	256	430	311	558
8992	257	416	297	521
9017	258	440	307	527
9042	258	394	333	523
9071	257	406	310	525
9096	260	426	281	500
9121	261	395	308	520
9146	263	417	300	528
9171	260	403	301	530
9196	262	411	284	509
9221	258	427	345	507
9246	255	422	314	498
9271	258	395	297	517
9296	256	428	297	510
9321	260	420	295	526
9346	261	413	301	525
9371	259	376	320	508
9396	261	387	300	525
9421	256	413	267	595
9446	254	389	299	531
9471	252	373	313	514
9496	255	402	288	534
9521	228	360	310	518
9546	243	405	330	496
9571	251	355	313	464
9596	259	357	318	511
9621	257	369	356	487
9650	255	394	345	520
9675	260	342	320	506
9700	261	383	288	578
9725	233	370	300	563
9750	242	304	298	433
9775	249	383	333	540
9800	256	366	314	553
9825	255	391	351	539
9850	259	391	332	528
9875	263	382	326	542
9900	264	401	335	524
9925	263	396	333	534
9950	234	399	333	540
9975	247	381	349	526
10000	254	399	338	497
10025	255	390	321	550
10050	259	434	388	521
10075	261	370	332	547
10100	261	409	318	519
10125	254	398	332	530
10150	261	407	346	541
10175	255	396	335	548
10200	256	385	332	527
10229	255	400	343	537
10254	256	379	336	539
10279	255	401	340	535
10304	255	387	328	561
10329	257	398	327	541
10354	257	397	328	541
10379	258	400	337	539
10404	257	393	340	533
10429	252	394	335	547
10454	254	403	343	539
10479	254	404	340	531
10504	254	400	338	538
10529	259	399	331	526
10554	262	393	335	550
10579	263	402	346	534
10604	263	398	333	538
10629	233	400	340	530
10654	247	397	327	542
10679	254	409	320	530
10704	257	407	324	541
10729	256	369	339	532
10754	259	397	332	547
10779	261	419	359	544
10808	256	403	351	504
10833	260	408	315	556
10858	262	413	335	549
10883	258	383	328	543
10908	256	406	345	563
10933	253	412	344	534
10958	257	404	338	520
10983	258	399	332	534
11008	259	402	330	534
11033	264	412	337	545
11058	262	402	437	415
11083	260	413	399	409
11108	255	436	304	555
11133	252	400	330	537
11158	254	394	312	546
11183	257	413	333	537
11208	257	415	331	540
11233	260	406	340	504
11258	264	434	347	527
11283	261	464	309	485
11308	260	399	315	541
11333	259	455	353	538
11362	264	393	341	519
11387	262	411	343	540
11412	254	415	344	520
11437	258	401	360	519
11462	257	424	353	541
11487	256	423	355	529
11512	257	428	324	542
11537	230	427	346	543
11562	244	419	373	570
11587	254	433	292	543
11612	255	376	198	661
11637	252	388	353	501
11662	254	417	371	477
11687	254	425	359	532
11712	256	398	358	541
11737	257	398	338	541
11762	258	393	350	530
11787	260	393	345	557
11844	264	404	353	528
11869	259	393	332	541
11894	262	385	367	535
11919	262	404	346	531
11948	262	400	337	537
11973	259	413	342	520
11998	261	411	361	538
12023	261	395	339	569
12048	260	410	358	503
12073	255	388	339	530
12098	258	380	338	551
12123	254	492	319	522
12148	258	368	341	576
12173	261	404	346	545
12198	263	393	348	513
12223	259	421	360	543
12248	257	400	360	545
12273	257	404	338	525
12298	257	404	228	715
12323	259	392	352	559
12348	259	407	371	531
12373	257	416	356	544
12398	262	386	355	564
12423	261	386	356	557
12448	261	394	357	555
12473	260	411	362	545
12502	261	404	353	556
12527	260	395	370	538
12552	259	413	367	541
12577	256	399	355	546
12602	258	381	348	554
12627	260	396	353	541
12652	259	403	358	533
12677	258	375	358	562
12702	261	404	354	541
12727	260	399	357	548
12752	262	403	357	528
12777	261	401	346	549
12802	259	406	357	550
12827	258	405	357	532
12852	232	404	352	529
12877	247	394	354	560
12902	252	403	347	530
12927	258	381	344	553
12952	259	386	350	558
12977	262	387	344	545
13002	256	390	343	543
13027	254	390	369	504
13052	264	361	301	612
13081	257	388	354	548
13106	257	411	363	537
13131	259	380	368	549
13156	259	398	340	550
13181	257	408	347	544
13206	257	406	338	557
13231	262	391	359	508
13256	256	406	343	550
13281	256	427	356	537
13306	255	419	348	538
13331	257	445	307	434
13356	231	414	378	539
13381	246	376	358	588
13406	255	369	333	508
13431	261	402	339	541
13456	259	399	330	543
13481	254	409	347	549
13506	254	398	336	531
13538	263	409	330	533
13563	261	398	335	536
13588	260	399	331	541
13613	259	386	330	539
13642	261	402	337	542
13667	230	408	332	543
13692	243	403	335	543
13717	251	381	342	543
13742	254	399	350	547
13767	255	404	362	520
13792	260	268	269	602
13817	266	419	369	524
13842	265	408	354	548
13867	262	395	334	524
13898	267	390	320	529
13923	264	383	338	560
13948	259	404	315	493
13973	253	435	384	494
13998	256	405	304	538
14023	258	516	404	490
14048	259	381	325	530
14073	262	392	336	546
14098	263	385	339	534
14123	232	387	336	562
14158	241	302	335	585
14183	249	414	338	534
14212	256	428	331	507
14237	257	391	323	545
14262	259	410	332	519
14287	257	416	345	546
14312	255	416	315	542
14337	257	415	340	506
14362	259	381	288	569
14387	257	432	306	486
14412	259	306	350	458
14437	261	377	331	534
14462	263	403	335	525
14487	261	405	348	526
14512	232	414	338	532
14537	245	409	328	470
14562	255	407	289	541
14587	254	389	304	561
14612	254	403	274	542
14637	256	384	322	559
14662	258	407	381	609
14687	259	376	320	497
14712	259	444	337	486
14737	257	457	335	551
14766	262	425	344	508
14791	259	459	310	535
14816	258	469	426	500
14841	259	447	331	560
14866	262	363	257	718
14891	264	482	311	541
14916	261	429	329	506
14941	263	446	373	550
14966	264	475	362	491
14991	258	454	344	506
15016	259	462	385	528
15041	260	419	329	545
15066	258	440	356	541
15091	261	438	343	546
15116	258	486	403	535
15141	257	406	272	733
15166	259	424	348	504
15191	261	438	373	556
15216	258	438	363	542
15241	254	448	378	513
15266	253	308	363	490
15291	253	402	335	536
15316	257	413	349	585
15345	255	446	373	558
15370	259	414	368	512
15395	261	340	238	621
15420	260	448	385	576
15445	259	441	392	542
15470	260	430	375	529
15495	253	435	360	554
15520	257	429	360	539
15545	253	425	369	537
15570	254	433	385	545
15595	257	428	373	548
15620	259	424	377	551
15645	260	418	383	546
15670	261	414	348	571
15695	261	411	349	530
15720	259	413	375	532
15745	256	417	390	552
15770	258	420	362	555
15795	258	411	354	538
15820	261	421	376	549
15845	260	421	386	551
15870	259	408	368	549
15899	259	409	352	563
15924	259	398	380	559
15949	260	408	364	560
15974	258	401	381	552
15999	261	400	376	555
16024	256	404	384	548
16049	257	399	379	549
