Time	Volt	Xaxis	Yaxis	Zaxis
190	88	523	476	397
334	89	524	476	400
358	89	525	476	399
382	88	522	478	401
406	89	523	474	400
430	89	521	478	403
454	88	538	484	396
478	89	548	498	399
502	89	544	489	398
526	89	526	473	407
550	90	527	460	414
574	90	530	464	414
598	90	543	467	422
622	89	518	479	427
646	90	510	467	430
670	89	481	471	437
694	89	506	464	439
718	89	531	474	434
742	88	511	476	450
766	90	512	474	451
790	90	515	477	461
814	89	506	474	472
838	89	501	472	474
862	88	498	472	474
886	88	517	472	466
1000	87	462	471	495
1024	88	456	468	496
1048	88	448	464	498
1072	86	472	468	487
1096	87	492	471	479
1120	86	505	472	476
1144	86	506	476	478
1168	86	500	477	475
1192	86	496	476	473
1216	87	497	476	471
1240	87	505	476	466
1264	87	516	479	462
1288	87	509	477	461
1312	87	503	475	461
1336	88	506	474	461
1360	88	509	477	463
1384	88	515	479	461
1408	89	519	483	458
1432	88	518	485	451
1456	88	511	484	452
1480	88	508	480	452
1504	88	507	476	451
1528	88	509	473	450
1552	87	515	475	449
1670	88	510	484	439
1694	87	512	484	437
1718	86	515	485	434
1742	87	513	485	437
1766	87	513	484	438
1790	86	511	482	437
1814	87	510	485	437
1838	88	509	486	434
1862	87	513	486	431
1886	87	500	498	426
1910	87	508	485	431
1934	86	507	488	431
1958	86	508	485	431
1982	86	511	488	430
2006	86	515	484	431
2030	87	510	487	430
2054	86	519	485	429
2078	86	512	487	430
2102	86	511	488	430
2126	87	510	488	429
2150	86	512	489	428
2174	86	512	487	431
2198	86	512	486	429
2222	86	510	486	431
2338	86	512	486	429
2362	85	512	487	430
2386	85	510	485	429
2410	86	510	486	433
2434	86	510	487	432
2458	86	510	489	430
2482	86	509	489	432
2506	87	510	487	432
2530	85	513	485	428
2554	86	513	487	427
2578	87	510	485	429
2602	86	511	486	430
2626	86	509	487	433
2650	86	510	488	431
2674	87	511	487	432
2698	86	512	486	429
2722	86	509	487	427
2746	87	512	487	425
2770	86	512	486	428
2794	86	508	486	432
2818	86	508	487	433
2842	86	510	490	429
2866	86	511	488	425
2890	86	508	488	426
2914	86	512	488	429
3029	86	506	491	427
3053	86	511	490	426
3077	87	513	489	423
3101	86	511	486	426
3125	86	510	489	427
3149	87	508	489	428
3173	86	506	489	429
3197	87	508	489	425
3221	86	514	487	425
3245	86	513	488	426
3269	86	510	486	428
3293	85	508	489	425
3317	86	511	491	425
3341	86	508	492	426
3365	85	508	490	427
3389	86	511	489	426
3413	86	510	487	425
3437	85	511	488	425
3461	86	509	490	425
3485	86	508	491	426
3509	86	507	490	426
3533	86	510	491	425
3557	86	510	490	425
3581	86	510	490	425
3697	86	508	492	425
3721	85	508	490	426
3745	86	508	490	426
3769	85	510	490	425
3793	87	509	489	424
3817	86	505	490	425
3841	86	510	492	423
3865	85	510	491	423
3889	86	509	492	422
3913	86	508	489	427
3937	86	509	490	424
3961	86	509	489	424
3985	86	510	490	423
4009	86	509	491	424
4033	86	508	490	426
4057	86	509	490	423
4081	86	509	491	422
4105	86	511	491	422
4129	86	510	490	422
4153	86	509	489	422
4177	86	509	489	422
4201	85	510	490	423
4225	86	509	490	422
4249	85	509	490	422
4273	87	509	490	424
4387	86	509	490	423
4411	86	510	492	421
4435	86	509	491	422
4459	86	510	491	423
4483	86	510	490	423
4507	86	509	489	424
4531	87	510	490	425
4555	87	509	491	421
4579	86	509	492	423
4603	87	509	491	423
4627	87	510	489	424
4651	87	509	490	423
4675	88	510	490	425
4699	86	509	489	424
4723	87	510	489	425
4747	86	510	490	424
4771	87	511	490	425
4795	87	510	489	424
4819	87	510	489	424
4843	86	510	490	423
4867	87	511	490	425
4891	87	510	488	425
4915	87	510	489	426
4939	87	510	491	422
5057	88	511	489	425
5080	87	511	490	426
5103	87	512	490	424
5126	86	510	490	427
5149	86	508	489	425
5172	87	511	490	425
5195	87	511	489	426
5218	87	509	488	425
5241	87	510	488	425
5264	87	510	489	424
5287	86	510	489	424
5310	86	510	490	425
5333	87	509	489	426
5397	88	511	487	424
5420	87	511	487	422
5443	88	512	489	423
5466	87	510	488	425
5489	87	511	489	425
5512	87	509	488	426
5535	87	509	488	426
5558	87	511	487	426
5581	87	512	488	423
5604	88	512	488	423
5627	87	510	488	423
5654	88	508	490	425
5677	88	508	490	426
5700	86	509	489	425
5723	86	510	489	423
5746	87	508	496	420
5769	87	511	489	422
5792	87	511	489	424
5815	87	510	490	425
5838	88	510	490	425
5861	88	509	491	423
5884	87	509	489	424
5907	87	511	491	424
5930	87	511	490	422
5953	87	511	489	423
5976	87	511	490	424
5999	87	510	490	424
6022	87	510	491	423
6045	87	507	491	425
6068	87	508	493	423
6091	87	510	491	423
6114	87	508	490	422
6137	88	510	491	422
6160	88	509	491	422
6183	87	509	492	423
6206	87	509	492	424
6233	87	508	492	423
6256	86	509	492	421
6279	86	509	492	420
6302	86	510	491	422
6325	87	509	491	421
6348	86	509	492	421
6371	86	508	492	425
6394	87	508	492	424
6417	87	508	492	424
6440	86	508	492	421
6463	86	509	493	422
6486	87	510	491	422
6509	87	509	491	424
6532	87	510	492	424
6555	88	508	492	424
6578	87	508	492	423
6601	87	508	492	423
6624	87	508	491	424
6647	87	510	491	424
6670	87	508	490	422
6693	87	509	491	420
6716	87	508	491	422
6739	87	508	493	422
6762	87	507	494	425
6789	87	507	494	424
6812	87	505	493	423
6835	87	507	493	423
6858	87	507	493	422
6881	88	506	493	423
6904	88	507	494	422
6927	87	507	493	421
6950	88	507	494	421
6973	88	507	494	418
6996	87	503	495	424
7019	88	507	491	427
7042	88	509	494	420
7065	88	507	494	421
7088	88	508	493	419
7111	88	507	493	421
7135	88	508	492	422
7158	88	509	491	424
7181	88	507	492	426
7204	88	506	492	423
7228	88	508	494	421
7251	88	509	493	419
7275	87	512	492	420
7298	87	510	489	423
7321	87	509	488	427
7344	88	509	490	426
7365	87	508	489	424
7388	87	508	492	423
7411	87	510	491	420
7434	88	511	491	422
7457	88	511	492	425
7480	88	509	487	424
7503	87	507	488	426
7526	87	507	492	425
7549	88	508	493	424
7572	88	510	492	423
7595	88	511	492	424
7618	88	510	490	426
7641	89	508	489	428
7664	89	507	489	428
7687	89	506	491	425
7710	89	509	491	426
7733	89	510	491	423
7756	88	511	490	425
7779	89	511	490	425
7802	88	510	488	428
7825	88	508	488	428
7848	88	510	490	425
7871	89	510	492	424
7894	89	511	494	424
7921	88	509	491	425
7944	89	509	490	425
7968	88	509	490	427
7991	88	509	490	426
8015	88	509	490	423
8038	89	511	491	424
8062	89	510	490	424
8085	88	509	490	425
8109	88	508	490	427
8132	88	507	491	426
8156	88	509	490	426
8179	89	511	491	423
8203	89	511	491	422
8226	88	510	491	423
8250	88	508	491	425
8273	89	508	489	427
8297	89	509	492	424
8320	89	509	491	423
8344	88	510	491	421
8367	88	510	491	424
8391	88	510	491	424
8414	88	509	490	426
8438	88	508	491	424
8461	88	509	492	423
8500	88	509	492	421
8524	88	510	493	421
8548	88	510	492	421
8572	88	509	491	424
8596	88	508	492	424
8620	88	509	492	423
8644	88	508	492	423
8668	88	508	492	423
8692	87	508	490	422
8716	88	509	491	424
8740	89	508	492	424
8764	89	508	492	424
8788	88	508	493	424
8812	88	508	493	423
8836	88	509	492	424
8860	88	508	491	424
8884	88	510	491	424
8908	88	509	491	423
8932	88	509	492	422
8956	88	509	492	422
8980	88	509	493	422
9004	87	508	493	424
9028	87	509	492	424
9052	87	508	492	423
9076	88	509	492	423
9105	88	508	493	423
9129	86	508	494	422
9153	88	508	494	421
9177	87	507	494	422
9201	87	509	493	423
9225	88	507	494	423
9249	88	508	494	422
9273	87	508	494	422
9297	88	507	495	421
9321	88	508	494	422
9345	88	507	493	423
9369	87	508	493	423
9393	87	508	494	423
9417	87	509	493	422
9441	87	507	493	422
9465	87	508	493	424
9489	87	508	492	423
9513	88	508	491	423
9537	88	509	492	423
9561	89	509	492	422
9585	87	509	493	423
9609	88	509	492	423
9633	88	509	490	423
9657	87	508	493	423
9686	88	510	490	424
9710	88	509	490	424
9775	88	510	491	422
9799	89	510	490	424
9823	88	511	490	423
9847	88	509	492	424
9871	88	508	491	426
9895	88	509	490	425
9919	87	510	492	424
9943	89	511	491	426
9967	88	509	489	426
9991	88	508	490	427
10015	89	508	490	426
10039	90	508	490	425
10063	89	510	490	425
10087	89	511	490	426
10111	89	511	490	424
10147	88	510	490	427
10171	89	508	490	429
10195	89	511	488	427
10219	89	508	489	428
10243	89	510	489	426
10267	88	512	490	426
10291	89	512	489	426
10319	89	510	489	428
10343	88	509	488	427
10367	89	511	489	426
10391	89	511	489	424
10415	89	512	488	425
10439	89	510	489	426
10463	88	509	489	426
10487	89	508	490	428
10511	90	511	489	428
10535	90	509	489	426
10559	89	510	489	426
10583	89	511	490	425
10607	89	509	490	425
10631	89	509	490	425
10655	90	510	490	426
10679	88	510	490	426
10703	89	510	490	426
10727	88	510	491	425
10751	89	511	490	425
10775	90	510	490	424
10799	89	509	491	423
10823	88	510	491	422
10847	89	510	490	425
10876	89	509	491	425
10900	88	509	490	424
10924	88	511	489	425
10948	88	511	491	425
10972	88	509	491	424
10996	88	510	492	424
11020	88	510	491	424
11044	88	510	492	425
11068	88	510	492	426
11092	88	508	493	427
11116	88	508	490	426
11140	88	509	492	424
11164	88	509	491	422
11188	88	510	491	422
11212	89	510	491	422
11236	88	509	493	423
11260	88	509	493	425
11284	88	508	491	427
11308	88	509	491	423
11332	87	508	493	425
11356	88	510	492	422
11380	88	508	493	423
11404	87	508	492	423
11459	88	508	493	423
11483	88	507	492	423
11507	88	509	493	422
11531	87	508	494	424
11555	88	507	494	423
11579	88	509	494	424
11603	88	506	495	425
11627	88	507	495	423
11651	88	506	495	423
11675	88	509	495	419
11699	87	508	496	420
11723	87	507	496	425
11747	87	505	493	423
11771	87	504	494	425
11795	88	507	494	423
11819	87	506	497	421
11843	88	506	496	423
11867	88	504	495	423
11891	87	506	495	422
11915	87	507	493	421
11939	87	508	494	420
11963	88	506	494	425
11987	88	505	496	423
12011	88	508	494	422
12040	87	505	495	423
12064	88	505	492	425
12088	87	512	494	422
12112	87	508	494	420
12136	88	508	493	420
12160	87	508	494	422
12184	88	506	494	423
12208	87	506	494	425
12232	88	507	494	423
12256	88	507	495	420
12280	88	508	494	423
12304	87	507	492	422
12328	88	507	494	422
12352	88	508	496	421
12376	88	507	494	421
12400	88	507	494	424
12424	89	508	493	426
12448	87	503	494	424
12472	88	506	494	421
12496	88	511	494	417
12520	88	508	493	422
12544	88	507	493	422
12568	88	505	495	424
12596	89	506	495	422
12620	88	505	496	422
12644	88	509	497	423
12668	87	507	494	423
12692	89	507	494	422
12716	87	507	493	421
12740	87	506	495	423
12764	88	506	496	423
12798	89	506	496	421
12822	88	507	495	421
12846	88	508	494	422
12870	87	507	494	420
12894	88	507	494	420
12918	88	507	494	421
12942	88	506	497	422
12966	88	505	496	423
12990	88	506	497	421
13014	88	505	496	420
13038	88	508	495	418
13062	88	508	496	420
13086	88	507	496	421
13110	88	505	495	421
13134	88	505	496	423
13163	88	505	496	421
13187	89	506	496	420
13211	88	507	496	418
13235	87	506	496	420
13259	88	506	496	420
13283	88	506	496	420
13307	87	505	495	421
13331	88	505	496	422
13355	88	506	496	422
13379	87	508	497	419
13403	87	507	495	418
13427	88	508	496	417
13451	88	506	494	418
13475	87	505	496	421
13499	88	505	496	419
13523	87	505	496	420
13547	88	506	497	418
13571	88	507	495	417
13595	88	507	494	420
13619	87	507	494	420
13643	88	506	495	421
13667	87	505	497	422
13691	87	505	497	419
13715	87	506	499	419
13737	87	507	496	418
13761	88	507	496	419
13785	88	507	494	421
13809	88	506	494	419
13833	87	507	495	419
13857	88	505	496	418
13881	87	506	498	417
13905	87	505	498	420
13929	88	506	496	421
13953	88	507	495	420
13977	88	507	493	419
14001	88	505	495	418
14025	88	506	497	417
14049	87	506	498	418
14073	87	505	497	421
14097	87	506	495	423
14121	88	506	496	420
14145	87	506	493	419
14169	87	507	496	418
14193	88	507	496	416
14217	87	505	496	419
14241	87	506	497	422
14306	87	508	495	419
14335	88	509	495	418
14359	88	508	494	417
14383	88	507	495	420
14407	88	506	494	423
14431	88	507	495	420
14455	88	506	494	420
14479	88	508	494	417
14503	88	508	494	418
14527	89	509	495	417
14551	88	508	493	422
14575	87	507	493	421
14599	88	507	495	419
14623	87	508	496	418
14647	88	508	494	417
14671	88	508	494	419
14695	88	509	492	419
14719	88	509	493	422
14743	88	507	493	420
14767	89	508	493	421
14791	88	508	493	420
14815	90	509	492	419
14839	89	511	492	418
14863	89	514	495	419
14891	89	511	492	424
14915	90	505	493	423
14939	89	505	493	424
14963	89	508	493	420
14987	89	511	494	420
15011	89	510	492	420
15035	88	510	492	422
15059	90	507	491	426
15083	91	507	490	424
15107	89	508	491	422
15131	90	510	492	420
15155	89	511	492	422
15179	90	509	490	424
15203	91	508	490	422
15227	90	511	490	423
15251	89	509	491	421
15275	90	510	492	420
15299	89	510	491	422
15323	90	511	490	422
15347	89	509	489	425
15371	90	508	491	423
15395	89	509	492	422
15419	90	511	493	419
15448	90	511	493	423
15472	90	509	491	426
15496	88	507	490	426
15520	90	508	492	425
15544	90	509	492	422
15568	90	511	493	419
15592	90	511	491	421
15616	90	511	491	421
15640	90	510	490	422
15664	89	508	491	423
15688	89	507	492	424
15712	90	509	492	422
15736	89	510	493	420
15760	90	512	493	419
15784	90	512	491	422
15808	89	508	492	425
15832	89	506	491	425
15856	90	507	493	423
15880	90	512	494	418
15904	89	511	493	420
15928	89	510	492	421
15952	90	510	490	423
15976	89	509	491	425
16000	90	509	492	424
16029	89	510	493	424
16053	89	509	493	423
16077	89	509	492	424
16101	88	510	491	424
16125	90	509	491	426
16149	89	509	492	426
16173	88	508	491	423
16197	89	509	492	423
16221	89	508	492	424
16245	89	508	492	425
16269	89	509	491	423
16293	89	509	491	424
16317	89	508	491	424
16341	89	507	492	424
16365	89	508	494	423
16389	90	509	493	422
16413	89	512	493	417
16437	88	510	492	423
16461	89	508	491	421
16485	88	507	493	424
16509	89	508	494	420
16533	89	508	495	422
16557	89	509	496	422
16586	88	509	495	422
16610	88	508	494	423
16634	89	509	493	420
16658	88	507	493	422
16682	88	507	494	421
16706	88	509	494	421
16730	88	507	494	422
16754	89	509	493	421
16778	88	508	493	422
16802	88	508	492	421
16826	88	508	494	419
16850	88	508	494	420
16874	88	508	494	422
16898	88	505	494	422
16922	88	509	493	423
16946	89	509	493	422
16970	89	509	493	421
16994	89	509	493	420
17018	89	510	493	420
17042	89	508	493	422
17066	89	508	493	423
17090	89	507	492	423
17114	89	509	493	423
17142	89	509	493	420
17166	89	510	492	420
17190	89	510	491	421
17214	89	511	492	421
17238	89	510	490	422
17262	89	510	491	422
17286	89	510	492	421
17310	88	511	491	419
17334	90	511	492	421
17358	90	510	491	420
17382	89	511	490	421
17406	90	512	492	420
17430	90	513	493	422
17454	91	510	491	422
17478	89	509	493	423
17502	90	508	492	424
17526	90	508	494	424
17550	90	509	491	424
17574	89	511	491	423
17598	89	511	490	424
17622	90	510	490	422
17646	90	509	492	425
17670	89	510	492	424
17699	90	510	490	425
17723	90	509	490	426
17747	90	509	490	425
17771	90	510	489	424
17795	89	512	490	424
17819	91	510	490	424
17843	91	509	490	427
17867	90	510	490	426
17891	90	511	490	425
17915	91	512	489	424
17939	91	512	490	424
17963	91	510	489	425
17987	91	511	490	425
18011	91	511	489	426
18035	90	509	491	426
18059	90	510	490	426
18083	90	510	492	424
18107	91	511	490	425
18131	91	511	492	425
18155	91	511	492	426
18179	91	508	491	427
