Time	Volt	Xaxis	Yaxis	Zaxis
453	97	476	465	450
648	96	474	464	453
835	96	472	464	451
1023	101	473	471	450
1148	100	475	470	448
1336	100	472	473	444
1364	100	472	473	443
1388	99	471	474	446
1412	100	473	475	443
1436	101	474	474	442
1460	101	477	475	444
1484	101	475	478	443
1508	100	473	473	441
1532	100	473	471	441
1556	100	471	471	441
1580	100	473	473	441
1604	99	473	479	444
1628	100	477	477	443
1652	100	475	474	445
1676	99	476	473	440
1700	98	475	474	440
1724	99	472	475	440
1748	100	475	476	438
1776	99	473	473	442
1801	100	474	476	441
1826	100	474	474	442
1851	99	476	477	442
1876	100	475	480	441
1901	100	474	479	438
1926	100	475	477	438
1951	100	474	477	441
1976	100	473	475	443
2001	100	471	476	443
2026	101	474	476	442
2051	100	475	478	442
2076	100	475	477	440
2101	101	474	479	439
2126	101	474	479	442
2151	100	475	476	440
2176	101	473	475	440
2201	101	474	476	440
2226	99	474	479	438
2251	100	474	480	439
2276	100	472	479	438
2301	101	476	480	437
2326	101	476	478	438
2355	99	475	478	439
2380	100	474	478	437
2405	100	475	478	438
2430	101	473	478	439
2455	100	472	480	440
2480	101	474	480	441
2505	101	474	480	438
2530	102	476	479	438
2555	101	477	478	439
2580	101	474	478	436
2605	101	472	478	439
2630	102	472	479	437
2655	101	473	478	438
2680	102	474	478	436
2705	102	475	477	438
2730	101	475	477	436
2755	101	474	479	439
2780	102	472	479	441
2805	102	470	480	444
2830	103	472	479	440
2855	102	474	479	440
2880	103	475	476	442
2905	102	474	476	444
2930	101	473	476	440
2959	103	472	477	441
2984	103	470	478	440
3009	103	473	476	442
3034	103	473	475	440
3059	102	473	472	441
3084	101	472	474	440
3109	102	473	473	440
3134	103	472	476	442
3159	103	470	475	446
3184	103	468	477	448
3209	102	468	475	448
3234	102	470	475	449
3259	101	473	477	443
3284	101	472	477	446
3309	100	469	476	451
3334	99	467	476	450
3359	100	468	475	448
3384	99	470	476	446
3409	99	472	477	447
3434	100	470	476	446
3459	99	470	476	447
3484	100	470	475	447
3509	100	471	474	445
3538	101	474	475	444
3563	101	475	474	444
3588	102	475	472	442
3613	100	474	471	441
3638	101	473	472	443
3663	101	475	471	442
3688	100	474	475	442
3713	100	474	478	442
3738	100	475	475	442
3763	100	477	473	443
3788	99	473	472	444
3813	98	474	472	442
3838	98	473	475	442
3863	98	475	480	444
3888	98	475	475	447
3913	97	474	474	446
3938	97	477	476	446
3963	97	481	476	446
3988	98	478	469	442
4013	98	476	466	438
4038	97	474	464	438
4063	97	476	466	444
4088	97	474	467	446
4113	98	476	468	443
4142	97	476	467	445
4167	98	479	470	448
4192	98	479	472	448
4217	99	478	471	443
4242	98	477	468	443
4267	98	476	469	444
4292	97	476	467	446
4317	98	475	468	445
4342	97	472	465	448
4367	97	472	464	452
4392	97	471	462	454
4417	95	475	466	448
4442	95	477	469	447
4467	96	478	471	448
4492	96	474	471	449
4517	97	471	470	452
4542	97	472	468	452
4567	95	474	467	451
4592	95	474	467	450
4617	96	476	467	449
4642	96	477	467	448
4667	96	473	466	450
4692	96	471	464	450
4717	97	471	464	452
4746	97	470	463	451
4771	97	472	466	452
4796	98	472	464	453
4821	97	470	465	454
4846	97	469	464	456
4871	98	469	468	457
4896	97	470	468	455
4921	98	470	466	454
4946	97	469	462	456
4971	99	467	464	456
4996	97	468	467	454
5021	97	468	469	453
5046	97	471	471	453
5071	97	471	468	451
5096	98	472	469	450
5121	98	473	468	450
5146	99	471	466	448
5171	98	471	467	451
5196	97	473	467	451
5221	97	470	471	450
5246	97	472	472	449
5271	97	473	469	452
5296	98	473	469	451
5321	98	474	471	446
5346	98	475	473	447
5375	97	472	473	448
5400	97	472	471	447
5425	97	473	470	447
5450	97	472	472	449
5475	97	475	472	448
5500	97	473	470	446
5525	98	472	469	447
5550	97	471	472	446
5575	97	472	472	448
5600	97	474	472	448
5625	98	475	471	448
5650	97	473	471	445
5675	98	473	471	447
5700	98	473	470	447
5725	98	472	469	446
5750	98	474	470	447
5775	98	475	472	445
5800	98	477	470	448
5825	98	475	471	446
5850	98	474	470	446
5875	98	472	470	448
5900	98	474	470	448
5925	98	475	470	447
5950	98	476	469	447
5979	97	475	469	449
6004	99	475	470	447
6029	99	474	466	450
6054	97	473	467	448
6079	98	471	467	449
6104	99	471	469	451
6129	100	474	468	452
6154	99	475	468	449
6179	96	475	464	448
6204	97	475	467	446
6229	96	474	467	449
6254	96	475	469	447
6279	95	476	470	447
6304	95	474	468	450
6329	95	473	469	450
6354	95	476	468	451
6379	95	475	472	454
6404	94	478	472	450
6429	94	479	465	443
6454	93	479	460	444
6479	93	474	456	449
6504	94	474	459	450
6529	94	476	463	450
6554	94	480	468	442
