Time	Volt	Xaxis	Yaxis	Zaxis
432	60	409	375	509
627	59	414	375	502
814	60	417	374	504
1002	62	424	379	515
1189	61	431	377	512
1380	62	434	381	504
1405	62	431	381	510
1430	64	440	382	516
1455	64	442	379	512
1480	64	437	379	507
1505	63	436	378	502
1530	65	438	377	508
1555	65	439	383	508
1580	67	440	384	504
1605	66	446	379	508
1630	68	437	379	508
1655	69	438	378	509
1680	68	438	375	514
1705	63	437	382	503
1730	61	440	371	507
1755	60	455	380	500
1780	60	457	375	501
1805	61	440	379	509
1830	61	434	375	517
1859	62	437	380	507
1884	62	440	382	503
1909	63	443	381	508
1934	63	443	378	506
1959	63	439	379	503
1984	64	435	373	506
2009	64	440	376	505
2034	62	450	375	505
2059	63	446	377	503
2084	64	439	380	504
2109	63	441	379	501
2134	63	441	377	500
2159	64	443	375	509
2184	63	442	378	506
2209	63	444	380	504
2234	64	444	377	507
2259	63	442	379	505
2284	64	442	373	504
2309	64	441	374	502
2334	64	443	381	507
2359	63	442	377	502
2384	64	438	378	504
2409	63	438	376	507
2434	63	443	387	506
2463	63	443	376	505
2488	64	441	375	506
2513	64	445	377	503
2538	63	442	376	513
2563	63	438	380	501
2588	64	443	377	505
2613	63	442	378	509
2638	63	445	376	515
2663	63	441	376	506
2688	64	442	382	506
2713	64	444	378	513
2738	63	440	374	507
2763	63	441	380	514
2788	64	444	381	506
2813	63	439	377	513
2838	63	440	377	513
2863	63	442	378	507
2888	64	442	381	512
2913	63	440	378	511
2938	63	439	377	512
2963	62	442	375	499
2988	64	442	377	513
3013	63	447	382	512
3038	63	444	382	514
3067	62	440	377	514
3092	64	444	378	515
3117	63	443	379	514
3142	64	442	378	511
3167	63	440	378	513
3192	63	441	377	513
3217	63	442	380	509
3242	63	445	379	504
3267	64	446	376	511
3292	64	443	377	510
3317	64	443	379	513
3342	64	446	377	510
3367	62	439	385	514
3392	62	442	379	512
3417	63	439	379	515
3442	64	444	375	514
3467	63	444	380	502
3492	63	441	379	509
3517	64	442	381	520
3542	63	442	381	510
3567	63	444	380	506
3592	63	443	376	507
3617	63	441	374	506
3642	63	444	380	513
3667	64	447	383	507
3696	63	439	381	512
3721	64	445	378	515
3746	63	443	376	514
3771	62	445	373	518
3796	63	441	377	502
3821	64	443	378	511
3846	63	439	385	511
3871	64	444	382	512
3896	63	444	374	516
3921	62	443	376	513
3946	63	441	385	511
3971	62	442	380	509
3996	62	444	379	514
4021	63	442	378	516
4046	63	442	377	509
4071	63	439	378	511
4096	62	442	377	511
4121	63	443	380	508
4146	63	441	379	509
4171	63	441	383	511
4196	62	441	380	511
4221	63	439	378	511
4246	63	439	377	521
4271	63	441	379	540
4300	63	442	379	513
4325	63	441	380	516
