Time	Volt	Xaxis	Yaxis	Zaxis
205	241	351	632	499
356	248	353	621	545
380	247	352	609	558
404	247	357	614	553
428	248	362	607	548
452	247	379	604	558
476	248	368	600	573
500	247	355	602	576
524	247	364	601	571
548	245	393	604	568
572	245	378	609	568
596	246	349	607	563
620	246	351	609	558
644	246	361	610	560
668	247	377	606	563
692	248	366	606	564
716	248	374	602	569
740	248	369	600	567
764	249	368	600	567
788	247	366	599	566
812	247	375	601	573
836	244	368	602	574
860	244	352	599	568
884	245	351	600	568
992	259	347	609	566
1016	259	352	604	573
1040	262	361	605	567
1064	263	385	608	578
1088	265	362	604	570
1112	265	362	603	564
1136	267	369	603	567
1160	267	372	602	564
1184	269	368	603	565
1208	269	364	604	555
1232	269	366	608	547
1256	271	373	612	538
1280	271	364	606	539
1304	271	355	611	547
1328	271	368	606	541
1352	271	363	608	531
1376	271	342	608	530
1400	271	344	613	531
1424	272	356	608	523
1448	271	340	608	514
1472	271	339	610	510
1496	271	341	604	497
1520	272	345	612	476
1636	271	335	607	420
1660	270	330	607	417
1684	269	329	605	404
1708	270	350	609	396
1732	270	342	609	381
1756	271	345	613	377
1780	270	348	615	365
1804	270	360	614	367
1828	270	385	615	362
1852	271	366	618	345
1876	271	355	622	342
1900	270	383	623	342
1924	270	387	624	335
1948	270	372	626	331
1972	270	371	626	323
1996	270	382	621	321
2020	269	384	625	322
2044	269	394	622	328
2068	270	398	621	324
2092	270	395	619	335
2116	270	404	616	343
2140	270	403	618	343
2164	269	399	621	347
2278	269	384	627	367
2302	269	371	621	374
2326	269	376	623	368
2350	269	388	631	367
2374	269	376	635	367
2398	269	362	630	377
2422	269	401	632	390
2446	270	382	635	379
2470	270	375	633	382
2494	269	380	633	392
2518	269	390	644	390
2542	269	384	640	394
2566	269	369	636	394
2590	270	372	640	395
2614	269	378	641	403
2638	269	372	639	402
2662	269	377	640	401
2686	269	372	647	405
2710	272	376	639	408
2734	273	377	642	415
2758	274	378	636	431
2782	273	364	637	430
2806	274	362	643	420
2922	273	362	660	418
2946	272	373	648	435
2970	272	412	649	432
2994	269	365	634	451
3018	266	381	632	440
3042	263	384	647	426
3066	259	368	644	429
3090	253	369	649	434
3114	246	374	655	437
3138	244	366	661	428
3162	245	369	666	425
3186	249	368	663	437
3210	253	357	663	443
3234	253	380	664	441
3258	253	370	657	438
3282	251	370	666	435
3306	249	382	677	432
3330	250	388	687	423
3354	250	374	704	423
3378	251	378	718	411
3402	253	395	723	424
3426	255	401	701	456
3450	254	392	692	484
3474	255	398	677	505
3591	246	398	695	469
3615	242	362	704	424
3639	242	312	719	377
3663	244	348	730	391
3687	245	477	729	458
3711	247	554	737	516
3735	247	523	708	548
3759	248	538	647	616
3783	249	589	632	629
3807	250	643	630	607
3831	250	619	613	590
3855	253	550	624	587
3879	256	552	594	593
3903	260	611	625	586
3927	265	644	602	584
3951	271	615	611	570
3975	275	677	623	601
3999	276	649	630	605
4023	276	613	616	609
4047	275	651	631	592
4071	274	690	624	574
4095	274	655	621	585
4119	274	651	613	593
4235	273	691	575	572
4259	272	705	570	570
4283	271	686	579	563
4307	271	666	580	555
4331	270	656	579	547
4355	271	656	569	536
4379	270	645	583	542
4403	271	628	589	559
4427	271	593	598	560
4451	271	590	614	546
4475	270	590	610	547
4499	271	571	637	550
4523	271	519	672	545
4547	270	509	689	545
4571	270	530	707	546
4595	271	513	711	536
4619	270	420	717	504
4643	271	369	735	500
4667	270	412	732	503
4691	271	410	713	491
4715	270	371	698	450
4739	270	322	702	433
4763	270	358	689	458
4882	271	370	658	431
4905	271	370	653	417
4929	270	356	644	410
4952	271	348	647	408
4976	272	344	641	405
4999	271	329	636	400
5023	272	325	626	389
5047	271	328	631	392
5071	272	343	629	396
5094	270	354	629	400
5118	271	345	629	408
5141	271	346	627	410
5165	270	351	622	413
5188	271	351	616	405
5212	272	340	612	404
5236	272	335	613	405
5260	272	336	616	403
5284	272	358	620	393
5307	272	303	605	393
5331	272	366	620	382
5354	272	346	636	394
5418	272	344	602	409
5441	271	336	607	424
5464	272	344	597	425
5485	271	360	610	414
5508	271	357	624	414
5531	271	337	607	423
5554	271	332	612	421
5577	271	377	618	414
5600	271	353	592	410
5623	270	337	618	419
5646	270	342	616	419
5670	270	350	618	416
5693	269	352	612	422
5717	269	347	606	426
5740	269	344	611	431
5764	269	341	617	430
5787	268	342	616	430
5810	269	348	613	424
5833	270	344	611	419
5857	269	350	615	421
5880	270	350	608	418
5904	269	351	609	418
5927	270	350	612	416
5951	270	347	613	414
5974	270	348	613	415
5998	271	350	617	420
6025	270	336	621	439
6048	270	348	615	419
6072	270	351	614	420
6095	270	348	613	419
6119	270	349	612	417
6142	270	349	618	417
6166	271	350	606	418
6189	270	344	616	416
6213	270	349	609	418
6236	271	351	610	418
6260	270	346	610	420
6283	271	348	607	419
6307	270	347	609	418
6330	270	347	610	417
6354	271	348	610	414
6377	270	348	608	417
6401	270	347	608	415
6424	270	347	609	418
6474	270	346	609	417
6497	269	346	609	418
6520	270	345	609	418
6543	269	345	609	420
6566	269	346	611	418
6593	270	346	610	415
6616	270	346	609	417
6639	269	346	607	416
6662	270	345	607	419
6685	269	345	606	418
6708	269	345	605	417
6731	269	336	589	418
6754	269	350	599	421
6777	270	345	606	419
6800	270	348	607	418
6824	268	345	606	418
6847	269	344	608	419
6870	269	344	607	418
6893	269	345	606	418
6917	269	347	606	417
6940	268	347	607	417
6963	268	346	607	418
6986	268	346	610	417
7010	269	345	608	420
7033	269	346	608	419
7056	268	346	608	420
7079	269	346	608	418
7103	270	347	607	417
7130	268	347	610	416
7153	270	346	610	418
7176	269	345	609	420
7199	269	345	609	421
7222	269	346	607	419
7245	268	347	605	418
7268	269	345	607	416
7291	270	346	610	416
7314	269	346	607	418
7337	269	346	609	419
7360	269	346	608	418
7383	269	346	607	416
7406	269	347	607	414
7429	269	346	607	413
7452	269	345	608	416
7475	268	345	608	418
7498	269	347	608	419
7521	270	347	606	418
7544	269	346	611	416
7567	269	348	607	414
7590	269	348	605	415
7613	269	344	608	416
7636	269	346	606	417
7659	268	345	607	417
7686	268	346	606	415
7709	268	347	604	414
7732	268	346	605	414
7755	269	345	605	415
7778	268	346	605	415
7801	268	345	605	416
7824	268	344	606	418
7847	268	347	602	413
7870	268	347	599	413
7893	268	343	608	413
7916	268	343	610	414
7939	268	343	606	413
7962	268	349	624	409
7985	269	345	593	416
8008	268	343	598	417
8031	267	345	601	417
8054	267	342	605	417
8077	268	344	602	411
8100	269	344	601	413
8123	268	334	561	373
8146	267	347	599	415
8169	269	338	593	422
8192	267	343	602	415
8219	268	346	603	414
8242	268	344	597	416
8265	268	341	595	420
8288	268	335	599	419
8311	268	344	597	419
8334	267	344	599	418
8357	267	344	601	418
8380	268	340	600	417
8403	267	341	600	417
8426	268	343	599	418
8449	268	346	597	417
8472	267	347	601	418
8495	267	345	603	420
8518	268	346	602	425
8541	268	336	606	430
8564	268	332	614	421
8587	267	351	606	424
8610	268	343	608	425
8633	268	341	606	423
8656	268	343	602	424
8679	268	343	601	426
8702	268	339	602	425
8725	268	340	606	429
8752	267	341	604	427
8775	267	342	604	426
8798	267	343	603	426
8821	267	341	605	424
8844	267	339	604	425
