Time	Volt	Xaxis	Yaxis	Zaxis
475	154	570	529	680
667	120	568	508	684
853	116	596	512	709
1039	222	541	527	667
1170	197	435	553	667
1359	160	445	532	684
1386	159	440	529	675
1410	160	462	526	675
1434	159	449	526	677
1458	159	435	527	677
1482	159	442	527	674
1506	159	448	525	672
1530	159	446	528	672
1554	160	447	530	668
1578	159	449	529	669
1602	159	445	529	666
1626	159	444	529	666
1650	160	446	529	667
1674	160	447	531	668
1698	160	449	528	670
1722	160	446	526	672
1746	160	451	523	672
1770	160	449	521	675
1798	159	445	521	679
1823	159	456	519	680
1848	159	457	520	681
1873	158	454	521	680
1898	155	456	523	679
1923	153	458	524	682
1948	145	470	526	684
1973	139	477	524	708
1998	132	481	527	697
2023	126	499	517	696
2048	124	501	522	704
2073	107	504	511	711
2098	89	509	522	711
2123	84	481	547	692
2148	83	456	564	671
2173	82	449	575	657
2198	87	457	571	651
2223	92	459	570	642
2248	100	487	559	640
2273	104	506	547	643
2298	106	504	532	657
2323	108	495	515	670
2348	109	474	516	689
2377	111	481	516	698
2402	110	506	515	704
2427	110	520	509	699
2452	109	518	513	697
2477	109	507	513	709
2502	106	489	525	714
2527	104	494	536	684
2552	102	538	515	687
2577	100	548	521	683
2602	99	555	517	692
2627	99	571	520	681
2652	95	602	516	666
2677	95	606	512	664
2702	96	612	514	675
2727	99	579	506	676
2752	102	592	504	677
2777	106	607	508	669
2802	113	588	505	686
2827	118	588	504	682
2852	124	584	503	678
2877	129	575	500	683
2902	132	556	503	683
2927	139	556	496	676
2952	147	565	496	687
2981	158	555	488	693
3006	178	563	482	707
3031	194	541	479	696
3056	204	547	486	700
3081	204	546	493	691
3106	189	556	493	704
3131	161	540	495	694
3156	126	515	510	683
3181	102	500	522	678
3206	111	491	516	690
3231	120	482	525	666
3256	125	490	552	666
3281	135	495	549	673
3306	141	505	545	666
3331	144	479	551	663
3356	146	460	554	663
3381	148	470	549	652
3406	144	442	552	654
3431	139	414	561	649
3456	134	402	557	654
3481	129	426	543	674
3506	125	427	540	668
3531	122	378	550	649
3560	117	378	537	657
3585	116	381	533	661
3610	115	381	539	655
3635	114	407	537	651
3660	115	411	533	658
3685	114	418	533	658
3710	113	411	529	642
3735	112	410	533	641
3760	111	423	537	645
3785	111	413	540	648
3810	111	407	540	648
3835	112	408	533	653
3860	111	412	526	658
3885	112	404	524	653
3910	110	409	521	653
3935	110	410	522	676
3960	108	415	523	659
3985	109	418	526	652
4010	108	423	526	652
4035	109	436	527	660
4060	108	446	527	666
4085	108	426	525	660
4110	108	411	520	656
4139	109	448	523	662
4164	107	439	524	672
4189	106	426	523	673
4214	103	415	518	672
4239	102	412	515	664
4264	101	449	524	677
4289	101	457	529	688
4314	102	429	530	656
4339	101	443	520	639
4364	101	492	510	667
4389	101	455	512	694
4414	100	498	501	737
4439	102	488	513	695
4464	103	477	517	676
4489	104	501	515	695
4514	111	493	505	710
4539	121	507	514	720
4564	111	511	533	720
4589	101	498	552	703
4614	92	460	575	682
4639	86	428	591	663
4664	83	460	595	655
4689	87	475	590	629
4714	90	515	578	634
4743	95	525	545	642
4768	94	535	519	663
4793	92	547	506	677
4818	90	566	501	683
4843	89	573	495	679
4868	90	586	490	681
4893	89	599	486	689
4918	89	593	490	691
4943	88	577	498	686
4968	88	579	503	680
4993	88	590	499	680
5018	88	595	495	684
5043	89	581	496	687
5068	91	579	498	680
5093	94	599	508	670
5118	98	615	487	672
5143	99	603	492	678
5168	101	577	488	678
5193	101	575	487	679
5218	106	589	486	684
5243	116	591	484	679
5268	128	582	485	676
5293	136	582	494	674
5318	142	602	495	666
5347	147	591	488	665
5372	152	588	483	658
5397	156	603	471	667
5422	160	605	465	679
5447	163	610	459	684
5472	168	624	456	700
5497	178	598	464	684
5522	197	595	459	696
5547	166	595	470	690
5572	114	572	495	686
5597	80	554	503	676
5622	70	555	495	688
5647	77	551	498	701
5672	97	531	508	679
5697	102	556	522	681
5722	116	529	519	675
5747	130	537	536	665
5772	134	537	553	649
5797	134	546	547	634
5822	131	522	549	647
5847	130	490	552	661
5872	129	497	557	660
