Time	Volt	Xaxis	Yaxis	Zaxis
207	323	436	492	664
376	322	420	473	658
400	322	415	466	654
424	322	417	472	656
448	321	426	492	665
472	322	455	506	677
496	321	454	491	676
520	320	423	475	668
544	321	417	471	659
568	321	415	456	656
592	323	408	442	637
616	324	370	445	619
640	326	400	455	642
664	328	401	448	651
688	328	417	452	633
712	328	426	492	634
736	328	418	511	657
760	327	411	514	669
784	327	416	523	664
808	327	442	532	670
832	326	455	523	683
856	326	442	522	688
880	325	458	527	689
904	325	471	529	693
1020	323	452	512	683
1044	323	452	513	677
1068	322	430	522	669
1092	322	437	527	667
1116	322	436	529	658
1140	323	430	530	657
1164	323	441	535	660
1188	322	426	537	654
1212	321	412	532	662
1236	322	413	518	668
1260	321	424	516	662
1284	321	434	523	655
1308	321	394	527	673
1332	321	431	527	666
1356	322	439	521	664
1380	320	416	518	647
1404	322	402	511	655
1428	323	404	508	646
1452	323	424	507	646
1476	322	395	502	644
1500	323	384	503	635
1524	324	375	489	632
1548	327	367	466	615
1663	346	349	514	620
1687	346	338	514	609
1711	347	348	518	624
1735	347	379	516	647
1759	348	396	516	648
1783	347	422	512	657
1807	346	425	502	663
1831	346	427	493	663
1855	346	427	478	665
1879	345	442	470	665
1903	346	446	462	677
1927	345	441	464	670
1951	344	442	455	669
1975	345	461	457	678
1999	344	471	457	690
2023	344	475	457	689
2047	343	469	462	684
2071	343	484	464	688
2095	343	494	465	685
2119	343	478	464	687
2143	342	476	458	693
2167	342	476	464	688
2191	341	465	478	681
2305	332	481	514	705
2329	333	490	516	699
2353	333	456	503	682
2377	333	459	498	692
2401	334	486	494	697
2425	334	519	500	696
2449	333	504	507	685
2473	334	482	496	693
2497	335	486	484	695
2521	336	507	468	685
2545	336	491	464	657
2569	337	455	439	660
2593	339	456	427	679
2617	341	476	435	669
2641	341	453	449	664
2665	340	450	466	689
2689	340	471	481	691
2713	340	469	489	680
2737	339	463	495	674
2761	338	459	503	670
2785	339	440	508	669
2809	337	429	503	667
2833	337	420	503	660
2948	335	410	503	651
2972	336	416	504	654
2996	336	420	504	655
3020	336	426	496	660
3044	338	434	489	665
3068	339	431	497	667
3092	340	420	495	668
3116	342	417	488	664
3166	347	411	488	644
3190	348	399	488	634
3214	348	381	485	655
3238	348	397	498	666
3262	348	393	500	653
3286	349	395	492	649
3310	350	405	485	647
3334	349	411	487	646
3358	350	415	487	649
3382	349	411	483	653
3406	349	413	477	653
3430	349	418	476	655
3454	348	426	479	652
3478	349	421	479	656
3502	349	427	477	662
3526	349	434	476	662
3643	348	432	483	671
3667	348	434	479	670
3691	347	435	480	668
3715	348	438	485	670
3739	347	440	493	672
3763	347	443	493	668
3787	346	449	495	669
3811	345	451	499	677
3835	346	466	498	679
3859	345	468	494	679
3883	344	474	490	678
3907	342	476	474	693
3931	341	470	483	709
3955	340	478	482	701
3979	337	481	484	688
4003	336	465	494	678
4027	334	462	492	685
4051	335	477	489	688
4075	334	475	482	679
4099	333	450	477	673
4123	334	444	474	674
4147	334	457	473	677
4171	333	456	479	667
4285	335	452	481	661
4309	333	433	475	665
4333	333	432	480	670
4357	332	448	483	668
4381	332	439	480	669
4405	332	441	478	666
4429	332	432	486	660
4453	332	432	489	671
4477	330	437	489	669
4501	331	439	491	662
4525	331	431	491	663
4549	331	427	492	661
4573	331	427	494	662
4597	330	427	492	659
4621	329	425	500	656
4645	329	399	503	656
4669	329	406	502	657
4693	329	414	497	660
4717	329	423	500	653
4741	328	410	490	649
4765	328	407	492	646
4789	328	417	498	646
4813	328	400	506	663
4932	317	403	476	650
4955	319	401	465	656
4978	324	412	451	649
5001	328	404	457	642
5024	332	419	468	649
5047	334	406	461	661
5070	335	436	462	656
5093	336	385	454	640
5116	335	433	448	648
5139	336	434	462	647
5162	336	424	478	660
5185	337	430	480	667
5208	337	434	487	661
5231	337	423	485	657
5254	338	424	487	660
5277	337	427	493	664
5300	337	428	502	666
5323	339	424	498	663
5346	338	429	491	663
5369	338	435	492	663
5392	339	439	497	668
5456	338	448	527	674
5479	338	442	539	675
5506	337	473	559	690
5529	335	462	554	692
5552	334	461	548	705
5575	334	463	528	721
5598	335	489	517	711
5621	335	461	508	663
5644	337	436	490	651
5667	340	420	472	646
5690	341	419	406	636
5713	344	399	349	636
5736	349	417	361	665
5759	354	449	404	678
5782	356	436	418	663
5805	357	420	400	661
5828	358	432	406	672
5851	358	459	422	673
5874	358	438	433	640
5897	356	438	431	619
5920	354	433	436	637
5943	354	441	451	659
5966	354	471	468	671
5989	353	468	500	672
6012	351	496	542	692
6035	350	552	601	754
6062	347	590	640	796
6085	341	552	652	776
6108	331	429	597	712
6131	327	504	585	696
6154	329	510	562	696
6177	329	503	533	709
6200	330	499	515	697
6223	332	489	496	672
6246	331	462	476	672
6269	329	464	459	669
6292	328	400	469	662
6315	331	435	436	651
6338	332	405	424	652
6361	333	401	412	630
6384	334	389	380	616
6407	337	389	364	607
6430	342	393	362	630
6453	349	438	369	644
6476	357	486	418	672
6499	361	374	405	660
6522	361	338	409	615
6545	362	357	409	620
6568	363	373	424	606
6595	364	365	421	608
6618	364	390	424	623
6641	363	369	441	630
6664	363	389	445	628
6687	362	388	443	632
6710	362	426	453	649
6733	361	440	456	674
6756	360	453	458	678
6779	359	468	466	684
6802	358	509	477	701
6825	358	541	480	730
6848	357	534	480	735
6871	357	540	491	735
6894	357	550	499	730
6917	357	555	506	745
6940	356	546	515	742
6963	354	521	530	723
6986	351	481	538	697
7009	347	427	523	676
7032	344	466	512	677
7055	342	519	522	702
7078	341	516	515	715
7101	338	522	507	715
7128	339	512	502	697
7151	339	501	495	688
7174	340	493	489	683
7197	339	460	487	680
7220	341	450	485	675
7243	340	451	484	669
7266	340	465	480	677
7289	339	457	482	674
7312	339	464	475	668
7335	338	463	474	670
7358	339	459	464	669
7381	338	438	457	666
7404	338	421	448	654
7427	340	419	439	646
7450	340	443	447	648
7473	340	421	450	659
7496	340	421	457	662
7519	340	429	460	659
7542	341	423	449	650
7565	341	409	428	638
7588	343	382	415	629
7611	346	367	401	635
7634	353	404	409	663
7657	357	443	426	661
7684	358	404	428	644
7707	360	395	438	648
7731	359	399	448	641
7754	360	404	448	644
7778	360	407	441	647
7801	360	414	442	649
7825	361	427	445	651
7848	359	411	444	648
7872	361	442	442	663
7895	359	448	450	663
7919	359	449	456	667
7942	360	446	467	671
7966	359	467	474	683
7989	358	490	480	695
8013	358	494	481	703
8036	358	494	479	703
8060	357	487	479	694
8083	356	490	485	692
8107	356	504	486	697
8130	354	484	489	696
8154	351	485	501	705
8177	350	502	509	719
8201	347	511	521	706
8240	341	496	533	705
8264	339	524	537	705
8288	336	540	545	703
8312	336	492	543	706
8336	336	490	537	702
8360	338	475	530	688
8384	338	453	525	677
8408	339	436	517	672
8432	340	430	516	668
8456	339	440	515	666
8480	339	440	513	658
