Time	Volt	Xaxis	Yaxis	Zaxis
214	306	348	516	594
344	304	353	513	594
368	304	356	512	597
392	304	359	513	598
416	305	357	514	598
440	304	358	511	597
464	304	356	512	598
488	304	351	517	595
512	303	349	516	593
536	304	341	514	593
560	304	357	505	608
584	304	373	509	604
608	304	370	515	607
632	305	369	514	610
656	306	371	511	607
680	305	356	520	599
704	305	356	516	600
728	305	363	516	604
752	306	358	512	605
776	305	326	517	585
800	303	341	513	587
824	303	345	518	594
848	304	374	513	637
872	304	385	509	625
950	305	367	512	610
974	306	350	520	600
998	305	353	517	603
1022	304	352	516	599
1046	304	343	515	600
1070	304	350	512	602
1094	304	386	515	604
1118	304	366	522	608
1142	305	385	519	622
1166	306	393	516	616
1190	305	389	518	616
1214	303	384	516	627
1238	301	353	507	610
1262	300	301	521	566
1286	301	353	514	593
1310	302	371	518	609
1334	302	371	513	607
1358	303	354	514	597
1382	303	346	515	597
1406	302	352	514	599
1430	302	357	516	605
1454	302	368	513	624
1478	303	371	517	605
1563	302	340	513	609
1587	301	340	516	589
1611	303	389	505	625
1635	303	376	516	613
1659	304	353	515	604
1683	303	368	512	613
1707	303	335	524	593
1731	303	337	517	595
1755	303	376	526	584
1779	303	398	501	634
1803	305	391	516	617
1827	306	364	511	609
1851	305	339	518	596
1875	304	331	517	590
1899	305	352	518	599
1923	305	371	523	587
1947	307	375	510	616
1971	308	377	519	615
1995	307	363	518	609
2019	307	370	513	616
2043	307	359	512	610
2067	307	362	513	603
2091	307	368	520	614
2175	310	358	516	599
2199	310	358	503	604
2223	310	378	502	609
2247	309	348	519	604
2271	306	332	521	592
2295	305	358	511	604
2319	305	385	505	643
2343	305	365	516	612
2367	305	391	513	616
2391	306	382	510	616
2415	306	364	518	613
2439	305	324	512	592
2463	305	330	520	581
2487	305	363	519	604
2511	305	370	515	611
2535	306	359	512	604
2559	306	362	513	603
2583	307	356	517	614
2607	308	356	518	604
2631	309	374	514	612
2655	308	351	520	605
2679	309	373	515	609
2703	308	365	508	609
2727	306	372	514	613
2806	311	395	506	600
2830	309	375	499	630
2854	306	394	497	622
2878	307	291	500	542
2902	307	302	513	653
2926	309	208	463	680
2950	311	392	531	602
2974	311	466	545	568
2998	311	451	549	528
3022	310	315	539	562
3046	310	278	533	612
3070	308	336	527	608
3094	308	376	513	589
3118	307	362	511	591
3142	308	301	514	589
3166	307	411	516	600
3190	306	333	528	597
3214	305	362	520	603
3238	304	370	518	609
3262	304	362	520	606
3286	304	359	514	603
3310	304	364	515	606
3334	302	376	513	613
3421	302	361	515	607
3445	301	368	514	611
3469	301	360	517	605
3493	301	354	518	598
3517	301	364	515	602
3541	299	363	514	605
3565	301	359	518	603
3589	300	361	518	606
3613	301	364	514	607
3637	300	362	517	606
3661	300	358	517	600
3685	300	360	515	603
3709	300	363	514	607
3733	299	358	515	602
3757	299	356	516	600
3781	299	362	517	602
3805	299	362	517	606
3829	298	359	516	603
3853	299	358	514	600
3877	298	361	514	605
3901	299	364	513	607
3925	298	363	517	607
3949	299	360	519	604
4033	299	349	512	602
4057	298	357	519	605
4081	299	377	511	611
4105	300	363	520	608
4129	300	373	517	610
4153	300	365	519	605
4177	300	376	513	607
4201	299	352	518	611
4225	298	341	517	599
4249	299	367	511	613
4273	300	385	512	616
4297	301	367	520	609
4321	302	355	522	606
4345	302	366	513	616
4369	302	356	520	614
4393	302	363	523	608
4417	302	379	516	616
4441	299	374	514	611
4465	298	368	505	614
4489	297	315	531	582
4513	299	338	514	589
4537	299	372	513	609
4561	300	366	519	606
4650	300	360	518	605
4673	299	347	517	599
4696	299	345	518	600
4719	299	377	509	609
4742	300	371	522	613
4765	300	380	513	610
4788	300	375	515	608
4811	299	354	521	608
4834	299	341	520	599
4857	301	350	524	582
4880	302	388	514	623
4903	304	366	523	611
4926	305	377	512	603
4949	305	371	515	616
4972	302	377	516	610
4995	300	390	515	626
5018	299	336	539	599
5041	299	328	522	584
5064	300	353	521	601
5087	300	378	514	614
5110	300	360	520	604
5174	300	371	526	612
5197	301	389	518	622
5220	301	380	514	611
5247	300	348	520	599
5270	300	322	522	589
5293	300	348	519	597
5316	300	361	523	611
5339	301	361	521	608
5362	302	415	528	609
5385	302	368	527	603
5408	303	379	518	614
5431	303	361	518	606
5454	302	346	520	606
5477	302	332	526	597
5500	301	367	512	656
5523	303	363	512	612
5546	305	396	514	614
5569	306	388	515	612
5592	306	396	509	596
5615	305	370	522	596
5638	305	384	489	609
5661	303	261	527	611
5684	303	327	525	617
5707	302	331	542	594
5730	302	392	544	571
5753	303	433	556	542
5780	302	378	537	576
5803	301	301	533	618
5826	301	350	513	654
5849	301	388	519	595
5872	301	336	524	597
5895	300	335	520	593
5918	301	390	521	611
5941	300	362	519	609
5964	300	355	516	601
5987	299	358	517	605
6010	299	367	518	612
6033	298	366	521	610
6056	298	363	519	608
6079	298	360	519	604
6102	298	365	519	606
6125	298	366	518	609
6148	297	361	517	605
6171	297	358	519	603
6194	296	361	519	607
6217	296	363	516	611
6240	297	362	519	609
6263	298	377	520	618
6286	299	382	514	617
6313	300	347	526	601
6336	300	357	521	606
6359	300	364	517	607
6382	300	360	523	613
6405	299	361	520	615
6428	299	374	518	613
6451	300	378	518	615
6474	301	355	524	614
6497	302	358	518	612
6520	301	352	520	613
6543	300	364	515	620
6566	299	385	520	623
6589	297	383	520	628
6612	297	359	521	606
6635	298	326	529	583
6658	299	361	520	605
6681	299	372	516	610
6704	298	362	519	608
6727	299	359	521	608
6750	298	358	519	610
6773	298	373	509	623
6796	299	365	523	610
6819	299	374	517	611
6846	299	362	519	607
6869	298	354	521	613
6892	298	354	521	610
6915	298	377	520	628
6938	299	375	520	615
6961	299	357	518	604
6984	300	359	521	615
7007	299	359	520	613
7030	300	376	517	617
7053	300	371	521	611
7076	300	371	522	612
7099	299	375	525	615
7122	298	392	517	630
7145	297	352	511	609
7168	298	349	528	601
7191	298	331	529	587
7214	299	357	521	605
7237	299	378	517	614
7260	298	360	521	605
7283	298	363	519	608
7306	298	364	520	611
7329	299	363	518	623
7352	299	368	514	615
7375	300	376	517	616
7402	301	373	519	614
7425	302	352	522	602
7449	303	364	523	616
7472	302	362	521	603
7496	303	374	520	607
7519	303	387	518	617
7543	301	369	521	611
7566	300	369	514	612
7590	299	356	525	604
7613	299	355	525	603
7637	300	366	522	609
7660	300	378	521	604
7684	301	364	525	608
7707	300	368	517	615
7731	300	364	520	616
7754	301	347	520	604
