Time	Volt	Leap_angle
0.0	49	3.49793575512
0.0	48	3.4853751416
0.1	48	3.54668533985
0.2	48	3.67343795933
0.3	48	3.84562727921
0.4	48	3.6703450952
0.5	49	3.3990331942
0.6	48	3.2227003561
0.7	49	3.20747735292
0.8	49	3.12480745126
0.9	48	3.11696643919
1.0	49	3.05735852658
1.1	48	3.27386990644
1.2	49	3.43051018322
1.3	49	3.49911100385
1.4	48	3.39644019288
1.5	48	3.45853256494
1.6	48	3.47102097376
1.7	48	3.59422999596
1.8	48	3.87378468589
1.9	47	4.05419862992
2.0	48	4.18029486535
2.1	48	4.27709141629
2.2	48	4.4357066736
2.3	48	4.52882906682
2.4	48	4.61057175157
2.5	48	4.69786190847
2.6	48	4.71430378302
2.7	49	4.67889295284
2.8	49	4.63493659934
2.9	45	4.63624655261
3.0	49	4.61312017089
3.1	48	4.60279037691
3.2	48	4.62317272363
3.3	48	4.67109933591
3.4	48	4.67839052977
3.5	48	4.64561673774
3.6	48	4.62113852571
3.7	49	4.59120030164
3.8	48	4.58483893247
3.9	48	4.56007814126
4.0	48	4.52865606127
4.1	48	4.51869712502
4.2	49	4.49845200677
4.3	48	4.47522782598
4.4	49	4.45733498242
4.5	48	4.37900099883
4.6	48	4.32689734079
4.7	49	4.22132135597
4.8	49	4.13303830038
4.9	49	4.05028412179
5.0	49	3.83001425934
5.1	49	3.76389992152
5.2	48	3.72268000341
5.3	48	3.67690101288
5.4	49	3.7081343764
5.5	48	3.75634894815
5.6	48	3.73580657602
5.7	48	3.7287764713
5.8	260	3.68025440538
5.9	49	3.70306165392
6.0	48	3.77034532699
6.1	48	3.73606863771
6.2	48	3.74784247531
6.3	48	3.73381430691
6.4	48	3.70205685477
6.5	49	3.69962305455
6.6	48	3.6654872459
6.7	49	3.64679667685
6.8	49	3.62844167994
6.9	49	3.5919412806
7.0	49	3.60331600123
7.1	50	3.63178584278
7.2	49	3.58233459199
7.3	48	3.53557170157
7.4	49	3.51608017951
7.5	49	3.49076378905
7.6	49	3.4667878628
7.7	48	3.42799807875
7.8	49	3.41976375915
7.9	48	3.44122308797
8.0	49	3.45371732134
8.1	49	3.41162436605
8.2	49	3.4115669776
8.3	49	3.37550856086
8.4	49	3.39194096704
8.5	49	3.42079413178
8.6	49	3.42016449646
8.7	49	3.42365465284
8.8	49	3.40863888714
8.9	48	3.39032440564
9.0	49	3.39130598114
9.1	49	3.38888039638
9.2	49	3.39095957513
9.3	47	3.39488344255
9.4	49	3.42428364718
9.5	49	3.40973003791
9.6	49	3.34667493099
9.7	49	3.28425862047
9.8	50	3.25533935801
9.9	50	3.2982968298
10.0	49	3.298831004
10.1	49	3.34497798972
10.2	50	3.64120846508
10.3	50	3.76275523032
10.4	49	3.80760640287
10.5	49	3.78992587777
10.6	50	3.7366975109
10.7	49	3.73470571638
10.8	49	3.72057546012
10.9	50	3.70369612366
11.0	49	3.73716909644
11.1	47	3.66094387975
11.2	49	3.52708862342
11.3	49	3.48773369804
11.4	48	3.46526267851
11.5	49	3.42531266179
11.6	48	3.40915579151
11.7	49	3.39269125188
11.8	50	3.35357088135
11.9	48	3.37057485252
12.0	49	3.34298737666
12.1	49	3.29497113559
12.2	50	3.27548410565
12.3	49	3.27912807778
12.4	48	3.29402032121
12.5	50	3.39609430996
12.6	49	3.43632664342
12.7	49	3.49776783025
12.8	49	3.50805236817
12.9	49	3.48183431503
13.0	49	3.48778983473
13.1	48	3.50397569738
13.2	49	3.50207535618
13.3	48	3.45768330275
13.4	49	3.37231698459
13.5	49	3.32801986969
13.6	49	3.31965580259
13.7	48	3.28264873131
13.8	48	3.23936312021
13.9	49	3.22470442907
14.0	49	3.23307165257
14.1	48	3.22178900218
14.2	48	3.21223466474
14.3	48	3.21467158377
14.4	49	3.19291768816
14.5	48	3.19273373968
14.6	48	3.22033030001
14.7	48	3.22470442907
14.8	48	3.25533935801
14.9	48	3.2508257389
15.0	48	3.22154593097
15.1	49	3.19506297206
15.2	49	3.20973490462
15.3	49	3.21272219627
15.4	48	3.20955191898
15.5	48	3.2008786453
15.6	47	3.22355072088
15.7	49	3.22276110388
15.8	49	3.300492327
15.9	49	3.3186530593
16.0	49	3.28717825956
16.1	248	3.28205227589
16.2	48	3.2969313252
16.3	47	3.30588586732
16.4	48	3.29598107566
16.5	49	3.28920261024
16.6	48	3.28390093546
16.7	48	3.3025085255
16.8	47	3.33765372485
16.9	48	3.39845714246
17.0	49	3.37591454528
17.1	48	3.34842948352
17.2	49	3.30961471352
17.3	48	3.28050098481
17.4	49	3.23416143532
17.5	49	3.22652523455
17.6	50	3.22197129356
17.7	49	3.1940211568
17.8	49	3.1668756056
17.9	49	3.13612652563
18.0	48	3.13312876246
18.1	48	3.14535166088
18.2	49	3.15188016365
18.3	49	3.09970962019
18.4	48	3.07071171383
18.5	49	3.08648177001
18.6	49	3.08800363458
18.7	49	3.09838305568
18.8	48	3.09901482382
18.9	48	3.07638042016
19.0	48	3.05402714091
19.1	48	3.07472547315
19.2	49	3.07415239951
19.3	49	3.11049060618
19.4	48	3.1253086069
19.5	48	3.12048164637
19.6	48	3.07695307924
19.7	46	3.08076808876
19.8	49	3.08787684115
19.9	48	3.05678220017
20.0	50	3.06464928905
20.1	49	3.17249606854
20.2	49	3.19818638371
20.3	49	3.18942085475
20.4	48	3.13550222775
20.5	48	3.11721765675
20.6	48	3.1386224766
20.7	49	3.14522717706
20.8	49	3.14205117503
20.9	48	3.13537735327
21.0	50	3.13962030195
21.1	48	3.14958118618
21.2	50	3.16706105442
21.3	49	3.16879138722
21.4	49	3.13999440479
21.5	49	3.15343257895
21.6	49	3.15306006891
21.7	49	3.13094108581
21.8	49	3.12480745126
21.9	50	3.38691555694
22.0	49	3.67775295738
22.1	49	4.02875936565
22.2	234	4.08192705198
22.3	49	4.02107190466
22.4	50	3.89988179367
22.5	49	3.93910147586
22.6	49	3.97862424073
22.7	49	4.04326722024
22.8	49	4.04883334513
22.9	49	4.10770506916
23.0	49	4.08552369945
23.1	49	4.0385663605
