Time	Volt	Leap_angle
0.0	332	62.4791851589
0.0	334	62.4768130131
0.1	333	62.3892908483
0.2	334	62.2748404186
0.3	333	62.2179445762
0.4	333	62.2204477928
0.5	333	62.2108109612
0.6	332	62.2061514697
0.7	333	62.1754293401
0.8	333	62.0921362157
0.9	333	61.7788915005
1.0	333	61.5289627051
1.1	333	61.5103715974
1.2	333	61.6053850193
1.3	333	61.7455271413
1.4	333	61.9773778158
1.5	333	62.2564321639
1.6	332	62.3783025438
1.7	333	62.5429867093
1.8	333	62.6517296219
1.9	334	62.8473475231
2.0	334	63.1165835359
2.1	333	63.3249916008
2.2	334	63.645390776
2.3	333	63.920533693
2.4	333	64.0786962123
2.5	333	64.15396871
2.6	333	64.2513874309
2.7	333	64.3931908355
2.8	338	64.4744675109
2.9	334	64.5437830658
3.0	333	64.5286453359
3.1	332	64.4778772839
3.2	333	64.4047805546
3.3	333	64.3784052596
3.4	334	64.4011055177
3.5	333	64.4018723431
3.6	333	64.3862754736
3.7	334	64.3424922455
3.8	334	64.2738351589
3.9	333	64.2796122703
4.0	333	64.3316012369
4.1	332	64.3115291667
4.2	333	64.2530140006
4.3	334	64.1776204901
4.4	333	64.0733421787
4.5	333	63.9504172033
4.6	333	63.6735484423
4.7	333	63.262785217
4.8	333	62.8621519133
4.9	332	62.6684629772
5.0	333	62.5001356085
5.1	334	62.3428576484
5.2	333	62.2014377295
5.3	333	62.027596613
5.4	334	61.7522652027
5.5	332	61.4447053675
5.6	333	61.1779688583
5.7	333	60.9357765228
5.8	333	60.7994831078
5.9	332	60.7376270052
6.0	332	60.6393320377
6.1	333	60.4359510278
6.2	333	60.4168125377
6.3	333	60.3995871498
6.4	332	60.427729068
6.5	334	60.4757222815
6.6	334	60.5132083146
6.7	334	60.5064600479
6.8	333	60.4230877235
6.9	333	60.2596896691
7.0	333	60.0047674701
7.1	334	59.8410516044
7.2	333	59.6665192316
7.3	333	59.4596696106
7.4	332	59.2575878163
7.5	333	59.0243243235
7.6	332	58.9121047929
7.7	333	58.7896228831
7.8	332	58.6026091707
7.9	332	58.478602266
8.0	334	58.3950027883
8.1	332	58.2941972517
8.2	333	58.2640820032
8.3	333	58.2596728973
8.4	332	58.2673385031
8.5	332	58.2178120728
8.6	333	58.0388039071
8.7	334	57.895499832
8.8	333	57.8320404302
8.9	333	57.7950211989
9.0	333	57.8000661268
9.1	333	57.8500684393
9.2	332	58.111560637
9.3	333	58.2925193096
9.4	333	58.5900413983
9.5	332	59.0338395891
9.6	333	59.4744942755
9.7	333	59.7693256338
9.8	334	60.0086968131
9.9	333	60.1451968224
10.0	333	60.2076955453
10.1	333	60.201694183
10.2	332	60.1371105038
10.3	332	60.039018305
10.4	333	59.965879679
10.5	333	59.8994906412
10.6	333	59.8660701162
10.7	333	59.7912998082
10.8	333	59.7233892766
10.9	332	59.7443260153
11.0	332	59.9212898139
11.1	333	60.2927384993
11.2	332	60.6273645033
11.3	333	60.8798352163
