Time	Volt	Xaxis	Yaxis	Zaxis
411	109	531	453	415
611	109	529	452	416
804	111	529	451	416
998	112	529	451	417
1185	112	533	448	415
1375	114	531	448	414
1568	115	532	443	416
1759	112	534	443	417
1949	109	531	444	415
2058	111	532	440	417
2083	111	533	442	417
2108	112	534	441	418
2133	112	533	440	418
2158	111	534	439	417
2183	110	533	438	417
2208	110	535	440	418
2233	109	534	439	419
2258	106	534	439	417
2283	102	532	439	414
2308	100	532	439	415
2333	95	535	440	414
2358	92	535	437	414
2383	88	533	435	412
2412	83	532	437	412
2437	82	531	440	411
2462	78	534	440	410
2487	76	535	439	405
2512	75	534	438	397
2537	74	533	435	390
2562	72	537	435	390
2587	72	543	437	390
2612	72	540	433	389
2637	73	539	431	390
2662	71	538	430	390
2687	72	537	429	389
2712	72	535	429	388
2737	72	537	431	390
2762	73	536	430	391
2787	72	537	428	392
2812	72	535	430	387
2837	73	537	429	380
2862	73	537	431	377
2887	73	545	430	377
2912	72	543	428	376
2937	74	540	428	375
2962	73	537	430	376
2987	73	531	429	377
3016	71	537	429	376
3041	68	540	429	372
3066	69	538	430	371
3091	66	539	426	377
3116	66	536	428	374
3141	64	535	429	375
3166	65	536	429	376
3191	60	536	429	377
3216	18	539	429	375
3241	17	536	430	376
3266	19	536	431	378
3291	19	535	432	376
3316	18	533	432	371
3341	18	535	432	371
3366	18	538	431	372
3391	19	535	429	372
3416	19	535	431	367
3441	18	534	431	364
3466	19	536	432	364
3491	19	536	429	364
3516	18	535	430	362
3541	18	531	429	363
3566	19	531	429	358
3591	19	534	429	353
3616	18	538	429	349
3638	19	519	423	352
3663	19	536	422	348
3688	19	482	409	334
3713	18	535	414	343
3738	18	495	432	313
3763	19	535	436	149
3788	19	522	421	335
3813	19	565	410	319
3838	21	484	434	296
3863	20	639	388	447
3888	20	448	366	425
3913	20	511	409	389
3938	21	470	438	330
3963	20	512	418	333
3988	20	523	432	344
4013	20	568	436	331
4038	20	518	425	335
4063	20	529	434	330
4088	20	515	428	329
4113	19	497	415	343
4138	20	514	430	342
4163	19	541	433	336
4188	20	522	432	336
4213	20	533	437	328
4242	19	558	443	354
4267	20	526	432	341
4292	19	538	442	337
4317	20	532	432	291
4342	19	527	428	332
4367	20	532	438	324
4392	18	506	440	325
4417	18	520	422	366
4442	17	512	424	334
4467	18	526	429	341
4492	18	522	425	317
4517	20	515	425	328
4542	20	505	423	315
4567	19	512	443	305
4592	20	530	429	327
4617	20	527	420	309
4642	20	539	434	313
4667	21	521	432	320
4692	20	518	432	325
4717	20	518	436	329
4742	20	518	436	330
4767	20	517	436	329
4792	19	517	437	325
4817	19	514	438	326
4846	19	515	440	322
4871	19	517	441	320
4903	18	521	441	318
4928	19	522	441	321
4963	19	517	441	320
4988	18	517	443	321
5013	18	527	442	326
5038	18	517	444	323
5063	18	508	441	327
5088	17	514	443	326
5113	17	519	443	327
5138	17	512	442	326
5163	17	512	444	332
5188	17	511	442	331
5213	17	516	449	327
5238	17	513	443	331
5263	16	515	448	327
5288	17	515	446	328
5313	17	513	448	326
5338	17	515	449	323
5363	16	514	450	320
5388	17	516	450	319
5413	18	515	449	321
5438	18	515	446	321
5463	17	514	447	321
5492	17	514	446	321
5517	17	513	447	324
5542	16	515	446	324
5567	18	514	446	324
5592	17	513	446	325
5617	17	514	444	323
5642	17	515	449	324
5667	17	512	446	323
5692	17	515	450	321
5717	17	513	449	320
5742	17	514	450	321
5767	17	515	449	322
5792	16	515	448	321
5817	17	514	447	323
5842	17	513	449	324
5867	17	514	450	321
5892	18	513	450	324
5917	18	509	449	317
5942	16	513	446	318
5967	17	513	445	318
