Time	Volt	Xaxis	Yaxis	Zaxis
465	22	472	373	525
658	18	451	407	533
845	18	425	404	551
1033	17	459	401	565
1219	14	423	438	547
1328	15	408	453	528
1353	15	390	460	530
1378	13	389	481	514
1403	14	397	478	514
1428	14	404	481	502
1453	13	395	484	499
1478	14	387	484	510
1503	14	378	472	521
1528	14	371	474	514
1553	13	370	486	504
1578	14	366	490	505
1603	14	386	502	476
1628	14	408	517	452
1653	14	427	521	451
1678	15	434	520	458
1703	15	423	520	456
1728	15	415	521	466
1753	15	415	512	488
1778	15	447	505	498
1807	15	437	509	499
1832	14	421	510	501
1857	15	445	511	495
1882	15	471	513	493
1907	15	462	511	495
1932	15	444	508	500
1957	15	443	506	496
1982	17	442	507	487
2007	16	429	511	484
2032	17	418	516	482
2057	18	418	516	481
2082	16	420	519	488
2107	16	399	530	485
2132	17	396	534	476
2157	17	421	534	469
2182	18	418	532	462
2207	18	387	534	471
2232	19	376	530	468
2257	19	403	526	464
2282	19	413	529	465
2307	19	397	526	463
2332	20	386	521	456
2357	20	383	519	446
2382	21	393	515	430
2411	20	423	505	439
2436	20	427	499	450
2461	20	434	490	446
2486	21	450	484	431
2511	20	468	478	424
2536	20	471	473	428
2561	20	483	477	425
2586	20	491	471	411
2611	19	490	461	404
2636	19	506	461	413
2661	19	525	459	416
2686	17	526	447	405
2711	17	532	442	411
2736	18	541	442	418
2761	18	534	436	409
2786	18	559	430	407
2811	17	573	424	406
2836	18	574	417	412
2861	17	558	412	421
2886	17	559	407	419
2911	17	557	402	418
2936	17	555	394	421
2961	17	564	390	417
2986	18	548	385	428
3015	16	556	380	421
3040	17	556	374	416
3065	17	551	376	416
3090	18	551	372	416
3115	17	560	367	419
3140	17	562	364	421
3165	18	541	356	432
3190	17	560	329	457
3215	17	560	330	490
3240	17	473	331	497
3265	17	412	327	539
3290	18	422	346	543
3315	32	464	392	519
3340	18	472	414	503
3365	18	477	413	503
3390	18	467	406	503
3415	18	469	395	508
3440	35	473	378	512
3465	20	462	368	524
3490	19	451	365	535
3515	17	463	359	540
3540	16	447	383	561
3565	16	379	404	572
3590	69	366	396	565
3615	66	415	397	558
3644	74	424	371	553
3669	93	418	372	528
3694	110	452	366	505
3719	13	477	356	509
3744	175	476	333	527
3769	203	470	302	550
3794	14	491	292	543
