Time	Volt	Xaxis	Yaxis	Zaxis
395	107	468	486	302
593	72	469	470	280
782	46	457	468	266
979	22	444	460	268
1167	21	432	459	266
1354	20	434	459	266
1547	22	432	460	265
1736	22	428	461	267
1924	21	434	459	264
2032	21	434	458	265
2057	22	435	458	265
2082	22	434	458	266
2107	22	433	458	268
2132	22	433	460	266
2157	22	431	461	266
2182	23	431	460	264
2207	22	431	459	262
2232	22	433	459	262
2257	22	435	456	263
2282	22	436	456	265
2307	23	435	459	265
2332	23	436	460	265
2357	23	436	460	263
2382	23	435	458	263
2411	22	435	458	262
2436	23	436	457	261
2461	23	435	457	263
2486	23	435	456	263
2511	23	433	457	263
2536	23	437	456	262
2561	24	434	455	262
2586	25	434	457	260
2611	25	435	456	265
2636	25	436	457	266
2661	25	435	457	266
2686	24	434	454	267
2711	25	435	455	266
2736	25	435	456	266
2761	24	435	454	265
2786	25	434	455	265
2811	24	435	456	264
2836	24	436	456	263
2861	24	436	456	263
2886	24	436	456	264
2911	25	436	456	263
2936	24	437	456	265
2961	23	436	457	264
2986	23	436	458	263
3015	23	438	457	265
3040	24	440	455	265
3065	24	440	456	265
3090	24	441	456	264
3115	24	441	455	266
3140	24	439	456	265
3165	25	438	457	268
3190	24	437	459	269
3215	24	436	460	269
3240	23	435	458	268
3265	23	434	458	265
3290	25	434	458	265
3315	24	435	457	265
3340	24	436	457	264
3365	25	437	456	266
3390	24	440	456	266
3415	24	439	458	268
3440	25	439	456	266
3465	23	440	457	265
3490	24	439	457	265
3515	24	439	456	266
3540	24	438	457	266
3565	25	440	457	267
3590	24	438	456	268
3619	25	438	458	267
3644	24	438	458	269
3669	24	437	460	266
3694	25	437	459	266
3719	24	438	459	263
3744	24	438	459	264
3769	27	437	460	260
3794	28	435	462	261
3819	28	437	464	259
3844	30	437	468	264
3869	31	436	470	268
3894	33	437	471	268
3919	34	439	469	266
3944	35	447	469	267
3969	34	454	469	266
3994	34	459	467	265
4019	34	464	466	271
4044	35	467	466	278
4069	35	476	469	276
4094	36	479	475	276
4119	38	480	478	282
4144	42	477	477	281
4169	44	485	482	299
4194	40	485	483	316
4219	35	475	488	344
4248	30	476	490	354
4273	30	474	502	371
4298	29	461	490	393
4323	29	475	484	397
4348	30	494	485	398
4373	30	505	480	407
4398	32	521	468	412
4423	30	514	466	416
4448	30	510	456	424
4473	30	502	451	439
4498	29	498	443	452
4523	28	481	436	468
4548	29	482	433	482
4573	29	478	424	496
4598	30	480	424	501
4623	30	490	432	500
4648	30	498	435	499
4673	30	501	439	496
4698	29	503	441	491
4723	30	507	439	486
4748	29	507	443	481
4773	30	504	447	478
4798	30	505	450	474
4823	29	502	451	468
4859	29	505	451	466
4884	29	504	453	463
4909	30	504	456	458
4934	30	508	457	455
4959	30	518	455	459
4984	31	514	456	457
5009	33	510	460	453
5034	32	510	461	448
5059	33	513	459	446
5084	33	505	466	440
5109	33	508	470	439
5134	33	506	472	444
5159	34	503	473	442
5184	32	505	478	439
5209	33	504	480	439
5234	32	501	480	441
5259	33	506	480	440
5284	33	510	480	433
5309	33	517	480	430
5334	34	523	479	425
5359	33	524	473	422
5384	33	519	469	423
5409	33	514	468	421
5434	33	512	468	422
5459	34	504	471	419
5488	34	499	476	420
5513	34	497	475	422
5538	36	497	477	424
5563	36	496	481	428
5588	36	500	483	429
5613	36	500	486	430
5638	36	504	486	431
5663	36	504	489	430
5688	36	503	490	430
5713	36	504	492	432
5738	37	502	490	431
5763	36	501	490	431
5788	36	502	486	428
5813	36	505	485	425
5838	36	506	486	419
5863	36	512	484	414
5888	36	514	483	415
5913	35	514	482	418
5938	36	511	480	418
5963	36	510	480	424
5988	36	510	479	425
6013	35	510	480	423
6038	36	509	481	425
6063	35	508	482	425
6092	35	508	481	423
6117	36	506	482	424
6142	35	506	481	424
6167	36	504	484	423
6192	36	500	487	424
6217	37	498	487	426
6242	36	497	482	431
6267	36	496	482	432
6292	36	497	483	431
6317	35	500	482	429
6342	35	504	481	430
6367	35	503	481	430
6392	34	501	481	430
6417	35	500	482	431
6442	35	500	482	430
6467	34	501	482	430
6492	35	503	482	429
6517	35	501	481	431
6542	36	502	482	429
6567	35	503	483	433
6592	35	503	482	432
6617	35	503	481	434
6642	35	505	483	434
6667	35	507	483	433
6696	34	509	482	435
6721	35	507	482	433
6746	35	507	482	432
6771	34	507	484	432
6796	36	510	482	431
6821	35	503	484	430
6846	35	500	483	431
6871	35	494	482	432
6896	35	499	479	430
6921	35	497	480	427
6946	34	507	477	425
6971	34	501	473	420
6996	34	505	468	419
7021	34	506	465	416
7046	34	507	463	411
7071	33	518	458	413
7096	34	528	454	416
7121	34	534	456	413
7146	34	535	456	416
7171	33	535	454	421
7196	33	530	456	426
7221	33	522	458	422
7246	33	521	460	419
7271	33	517	461	418
7296	33	512	457	415
