Time	Volt	Xaxis	Yaxis	Zaxis
475	65	476	460	498
670	62	480	461	486
859	68	490	456	493
1048	71	483	465	493
1174	75	486	465	493
1363	76	487	461	490
1390	76	492	465	487
1414	76	489	465	488
1438	76	489	464	490
1462	77	486	463	493
1486	77	489	464	491
1510	77	489	461	488
1534	77	493	461	487
1558	78	491	459	491
1582	78	490	459	493
1606	77	491	457	492
1630	78	493	456	491
1654	77	491	454	491
1678	77	493	458	487
1702	77	491	458	489
1726	78	491	459	491
1750	77	493	458	493
1774	77	493	457	492
1798	78	490	453	492
1826	78	493	452	493
1851	78	494	450	492
1876	78	497	450	489
1901	78	496	449	487
1926	78	498	445	490
1951	78	498	443	491
1976	76	497	444	491
2001	14	501	445	491
2026	13	499	443	494
2051	13	504	442	489
2076	13	500	440	493
2101	14	503	442	492
2126	14	505	445	480
2151	13	505	440	491
2176	13	508	436	491
2201	13	505	428	491
2226	13	507	427	489
2251	12	505	426	490
2276	12	511	422	488
2301	14	508	427	487
2326	13	505	429	490
2351	13	509	422	488
2376	13	508	420	488
2401	13	506	427	486
2430	13	507	421	489
2455	12	519	421	480
2480	12	514	433	480
2505	12	515	423	482
2530	13	511	423	486
2555	13	513	426	483
2580	13	514	426	481
2605	12	515	437	481
2630	12	508	438	483
2655	13	511	432	485
2680	13	510	423	488
2705	12	510	433	482
2730	12	515	428	480
2755	13	510	446	483
2780	13	516	427	483
2805	13	509	450	482
2830	13	508	421	484
2855	12	507	440	487
2880	13	505	430	493
2905	12	506	436	490
2930	13	507	437	485
2955	13	503	439	489
2980	12	504	437	489
3005	13	503	437	491
3034	13	503	434	490
3059	13	502	436	492
3084	13	500	440	495
3109	14	502	440	491
3134	13	500	442	493
3159	13	501	438	496
3184	13	498	437	496
3209	13	497	435	495
3234	13	499	444	496
3259	14	496	444	494
3284	13	499	448	492
3309	14	494	445	498
3334	13	490	442	499
3359	13	490	444	499
3384	13	490	449	500
3409	14	487	452	502
3434	14	490	453	500
3459	14	487	451	501
3484	13	485	455	501
3509	14	487	459	500
3534	14	486	457	497
3559	14	489	454	498
3584	14	485	460	501
3609	14	483	463	501
3634	14	484	460	503
3663	15	483	462	501
3688	14	486	462	498
3713	15	486	459	498
3738	14	484	459	500
3763	14	484	461	497
3788	14	486	463	497
3813	15	485	461	496
3838	15	485	461	497
3863	15	486	461	496
3888	15	489	462	495
3913	15	486	461	497
3938	15	487	464	497
3963	15	486	464	500
3988	14	485	463	497
4013	15	483	460	497
4038	15	485	461	497
4063	15	489	458	497
4088	15	488	459	497
4113	15	486	457	498
4138	15	485	457	496
4163	14	486	461	497
4188	14	484	458	499
4213	15	485	463	498
4238	15	485	460	497
4267	14	486	466	496
4292	15	484	468	497
4317	14	484	470	495
4342	15	487	468	494
4367	16	486	466	496
4392	14	485	463	494
4417	14	489	463	495
4442	15	486	464	493
4467	15	484	465	496
4492	15	487	465	495
4517	15	480	467	497
4542	15	484	465	493
4567	15	484	469	493
4592	15	483	471	494
4617	16	482	472	492
4642	15	486	478	490
4667	15	486	479	489
4692	15	486	474	487
4717	15	485	475	490
4742	14	485	473	490
4767	14	483	478	487
4792	15	483	479	485
4817	15	483	480	486
4842	14	484	479	488
4867	14	485	478	486
4896	14	480	467	516
4921	15	486	478	484
4946	15	486	475	486
4971	15	486	478	485
4996	15	487	479	486
5021	14	485	482	486
5046	15	488	476	486
5071	14	485	475	486
5096	14	485	473	487
5121	15	483	469	491
5146	14	486	473	486
