Time	Volt	Xaxis	Yaxis	Zaxis
450	91	436	423	539
643	88	412	390	541
832	78	397	414	548
1020	68	489	366	525
1206	86	426	374	549
1315	87	439	368	541
1340	86	441	371	537
1365	86	441	373	536
1390	86	441	373	539
1415	87	439	376	536
1440	86	443	374	536
1465	86	443	375	535
1490	86	442	375	536
1515	87	443	375	534
1540	86	444	375	534
1565	86	441	376	536
1590	86	440	378	536
1615	85	438	376	536
1640	86	442	375	534
1665	86	441	376	535
1690	86	440	376	535
1715	87	440	377	535
1740	86	443	377	535
1765	87	442	375	535
1794	87	440	376	536
1819	86	440	376	536
1844	87	441	376	535
1869	88	441	376	536
1894	87	440	377	535
1919	87	441	377	537
1944	87	441	375	537
1969	87	441	375	536
1994	87	439	375	536
2019	87	440	376	536
2044	87	442	377	537
2069	87	441	375	536
2094	87	439	376	537
2119	87	440	376	535
2144	86	441	375	537
2169	87	440	377	536
2194	87	441	377	535
2219	88	444	377	535
2244	87	440	377	536
2269	87	443	374	538
2294	87	444	375	537
2319	87	434	374	536
2344	87	436	378	535
2369	87	444	379	534
2398	87	443	376	536
2423	87	441	374	537
2448	87	441	376	533
2473	88	441	379	535
2498	87	446	377	535
2523	87	442	376	533
2548	87	441	375	537
2573	87	444	377	534
2598	87	448	375	533
2623	88	447	375	533
2648	87	444	377	535
2673	88	444	377	534
2698	88	445	377	534
2723	88	445	376	534
2748	88	444	375	535
2773	87	445	375	537
2798	88	447	377	533
2823	88	447	376	535
2848	88	444	375	535
2873	89	444	376	533
2898	87	446	375	534
2923	88	447	376	534
2948	88	447	377	532
2973	89	448	378	533
3002	89	447	376	532
3027	88	448	375	533
3052	89	446	377	533
3077	89	446	376	534
3102	89	445	376	534
3127	88	447	376	532
3152	89	448	376	534
3177	89	447	377	534
3202	88	448	375	534
3227	88	448	378	533
3252	89	448	377	534
3277	90	447	376	533
3302	90	447	376	534
3327	90	446	375	533
3352	89	447	378	532
3377	90	447	377	533
3402	90	447	376	533
3427	89	446	377	534
3452	90	446	377	535
3477	89	445	377	535
3502	88	444	375	535
3527	89	453	378	532
3552	89	449	376	532
3577	89	448	376	533
3602	89	452	377	533
3631	89	447	376	534
3656	89	445	376	538
3681	90	448	375	540
3706	89	439	377	544
3731	86	417	372	547
3756	83	418	376	526
3781	78	449	387	575
3806	74	425	386	552
3831	78	466	369	526
3856	14	475	368	522
3881	14	466	387	521
3906	15	480	383	536
3931	92	485	383	524
3956	15	468	394	516
3981	16	457	389	506
4006	15	476	376	530
4031	15	474	372	526
4056	15	459	376	516
4081	15	467	367	525
4106	15	494	372	517
4131	15	461	371	559
4156	15	456	377	518
4181	16	466	383	527
4206	15	437	376	561
4235	15	403	375	554
4267	14	405	373	534
4292	14	429	382	539
4317	14	436	400	526
4342	128	380	389	545
4367	132	404	376	551
4392	126	421	378	541
4417	14	448	366	534
4442	14	456	380	544
4467	14	456	386	534
4492	14	462	385	531
4517	13	459	382	551
4542	14	459	386	544
4567	14	454	377	520
4592	15	434	389	512
4617	15	449	384	521
4642	14	460	361	556
4667	14	522	330	556
4692	13	436	389	526
4717	14	421	391	516
4742	136	454	363	545
4767	13	480	362	535
4792	13	439	388	525
4817	13	439	378	535
4846	164	433	379	545
4871	13	432	376	547
4896	14	444	378	526
4921	13	455	381	533
4946	14	463	378	539
4971	14	471	378	532
4996	13	457	374	538
5021	13	430	392	528
5046	104	442	394	536
5071	78	437	392	534
5096	66	376	383	549
5121	62	477	355	541
5146	15	505	381	518
5171	14	467	383	522
5196	90	461	375	532
5221	98	453	371	539
5246	100	447	370	503
5271	99	460	389	536
5296	96	470	371	529
5321	98	469	371	523
5346	104	448	371	528
5371	112	455	365	527
5396	116	433	368	549
5421	115	452	374	527
5450	115	468	375	517
5475	115	458	379	522
5500	116	469	375	529
5525	120	468	375	528
5550	121	466	372	522
5575	121	470	371	522
5600	123	464	374	527
5625	125	460	376	527
5650	125	459	374	525
5675	126	464	374	524
5700	127	463	373	526
5725	128	465	374	524
5750	128	468	373	526
5775	128	461	376	525
5800	129	463	374	524
5825	128	465	375	526
5850	126	463	373	529
5875	124	464	373	525
5900	124	465	374	525
5925	123	465	375	527
5950	123	465	374	527
5975	122	463	375	524
6000	123	466	373	524
6025	123	462	371	529
6054	124	461	373	525
6079	125	465	375	526
6104	125	462	375	526
6129	125	459	372	527
6154	126	461	374	525
6179	127	463	373	524
6204	127	460	372	525
6229	127	461	373	526
6254	127	463	374	527
6279	128	463	372	525
6304	127	464	374	524
6329	128	462	373	526
6354	128	459	373	527
6379	129	461	373	532
6404	126	464	375	524
6429	125	464	375	526
6454	121	463	373	525
6479	118	463	374	525
6504	114	460	373	524
6529	112	461	375	526
6554	110	460	375	526
6579	106	463	373	528
6604	105	461	373	525
6633	103	462	375	526
6658	103	464	378	526
6683	102	463	376	528
6708	101	462	373	528
6733	101	461	373	527
6758	100	464	375	527
6783	99	465	376	526
6808	99	464	376	527
6833	98	463	375	525
6858	98	464	375	525
6883	98	463	373	526
6908	99	463	372	526
6933	98	463	374	527
6958	98	464	375	526
6983	98	466	376	524
7008	98	463	374	526
7033	98	463	375	522
7058	98	458	368	525
7083	99	466	380	526
7108	100	463	374	526
7133	99	464	375	525
7158	99	466	375	526
7183	99	465	371	525
7208	99	463	376	525
7237	99	462	376	525
7262	99	464	375	525
7287	100	465	375	526
7312	98	464	374	525
7337	98	464	373	523
7377	98	464	374	526
7402	98	465	375	526
7427	97	464	374	524
7452	97	464	374	524
7477	98	465	374	523
7502	97	464	373	526
7537	97	464	374	524
7562	97	467	376	525
7587	96	466	376	524
7612	96	464	374	525
7637	96	462	372	524
7662	96	463	375	524
7687	96	467	375	524
7712	96	466	376	526
7737	95	467	375	525
7762	96	463	375	523
7787	95	464	373	523
7812	95	466	373	526
7837	96	469	375	523
7866	94	464	375	524
7891	95	468	375	523
7916	95	467	375	525
7941	95	468	373	524
7966	95	466	372	525
7991	95	467	372	524
8016	96	465	375	523
8041	95	469	377	525
8066	95	467	376	524
8091	95	465	374	523
8116	95	466	374	524
8141	94	467	374	522
8166	94	466	375	527
8191	94	465	375	523
8216	94	464	374	524
8241	93	468	376	524
8266	94	470	373	524
8291	93	466	373	523
8316	94	465	374	525
8341	93	467	375	523
8366	93	465	375	524
8391	92	466	374	522
8416	93	469	375	524
8441	93	467	373	522
8466	92	465	374	525
8495	93	466	375	523
8520	92	466	376	523
8545	93	464	374	524
8570	92	465	374	524
8595	92	468	375	525
8620	92	470	375	523
8645	91	470	374	523
8670	91	466	374	527
8695	92	463	378	525
8720	92	471	378	523
8745	91	463	371	523
8770	91	469	372	522
8795	91	470	373	523
8820	91	467	374	523
8845	91	468	375	523
8870	91	465	375	524
8895	91	468	373	525
8920	91	463	374	522
8945	90	467	372	524
8970	90	470	375	523
8995	90	466	374	522
9020	90	469	375	521
9045	88	468	375	522
9070	89	469	373	524
9099	83	467	373	524
9124	83	466	375	523
9149	13	471	375	524
9174	13	470	377	524
9199	13	471	374	526
9224	14	466	374	527
9249	84	465	372	521
9274	13	471	373	525
9299	83	467	376	524
9324	87	463	372	527
9349	88	463	374	525
9374	87	466	372	522
9399	86	465	372	524
9424	87	466	375	523
9449	87	464	375	524
9474	87	465	374	526
9499	87	466	372	523
9524	87	466	372	523
9549	87	465	371	524
9574	87	464	374	523
9599	88	466	375	523
9624	87	467	375	523
9649	87	466	372	523
9674	86	463	372	523
9703	87	463	371	524
9728	88	467	375	525
9753	88	466	374	524
9778	88	465	374	524
9803	88	464	372	524
9828	88	468	374	523
9853	88	466	373	524
9878	88	465	374	526
9903	89	465	374	524
9928	88	463	374	524
