Time	Volt	Xaxis	Yaxis	Zaxis
200	305	342	604	426
220	304	337	604	425
243	304	336	605	424
266	304	337	602	425
289	304	337	601	425
312	304	338	599	425
335	304	342	600	424
358	304	343	599	423
381	303	341	598	422
404	303	339	600	420
427	304	340	599	422
450	303	339	599	424
473	303	341	599	423
496	304	340	597	424
519	304	339	596	424
542	303	342	596	425
565	304	341	597	424
588	303	342	596	426
611	302	341	597	424
634	303	341	596	426
657	303	344	598	425
680	302	341	597	424
703	303	340	597	425
726	303	338	598	424
747	303	338	598	422
770	303	336	597	424
793	303	337	597	423
816	302	336	597	428
839	302	335	595	423
862	302	337	596	425
885	303	339	596	427
908	302	338	595	426
931	302	336	593	426
954	301	340	594	426
977	302	341	594	428
1000	301	339	594	428
1023	301	339	593	428
1046	301	339	595	428
1069	301	338	596	426
1092	301	335	598	427
1115	300	335	596	427
1138	301	336	595	427
1161	299	335	595	425
1184	301	333	594	427
1207	301	332	590	426
1230	300	335	588	429
1253	301	336	587	431
1279	300	333	586	428
1302	299	332	586	425
1325	299	327	586	419
1348	299	333	592	418
1371	298	355	598	428
1394	299	369	599	426
1417	298	373	600	423
1440	299	372	604	416
1463	298	381	616	411
1486	299	377	633	410
1509	298	364	646	415
1532	298	350	647	421
1555	298	332	642	429
1578	298	325	637	432
1601	297	321	630	435
1624	297	314	619	437
1647	297	321	611	435
1670	298	321	610	432
1693	298	326	608	426
1716	298	340	609	422
1739	298	348	615	419
1762	298	350	615	421
1785	297	352	611	424
1808	297	355	608	429
1834	297	357	610	437
1857	297	351	608	442
1880	297	350	605	444
1903	296	350	606	448
1926	297	353	606	450
1949	296	350	606	448
1972	297	340	608	447
1995	297	345	613	441
2018	297	341	621	435
2041	297	334	623	439
2064	296	342	623	446
2087	296	341	618	452
2110	295	343	614	457
2133	295	344	611	465
2156	293	345	609	465
2179	293	340	611	463
2202	294	334	615	458
2225	292	326	620	454
2291	291	319	619	474
2314	292	319	612	482
2337	291	322	602	496
2360	291	328	598	503
2383	291	341	589	517
2409	289	360	582	525
2432	289	370	580	531
2455	290	359	577	539
2478	289	354	574	534
2501	289	355	581	533
2524	289	354	585	535
2547	288	354	591	536
2570	288	338	595	540
2593	289	331	594	537
2616	287	332	595	545
2639	286	342	597	555
2662	286	350	595	558
2685	286	353	593	563
2708	284	362	591	565
2731	284	356	590	570
2754	284	351	587	579
2777	285	360	583	581
2800	285	365	577	585
2823	285	374	575	593
2846	285	365	573	589
2869	285	375	577	591
2892	286	365	573	589
2915	285	363	577	588
2941	286	369	582	585
2964	286	369	584	580
2987	286	368	590	576
3010	287	359	594	572
3033	286	356	599	570
3056	286	360	598	574
3079	286	365	596	580
3102	285	360	596	583
3125	284	359	596	587
3148	284	362	595	589
3171	283	359	593	593
3194	283	361	593	593
3217	283	364	591	596
3240	283	366	590	596
3263	283	366	590	597
3286	283	370	592	596
3309	283	371	593	595
3332	283	372	595	595
3355	283	376	597	592
3378	284	379	597	593
3401	284	378	594	597
3424	283	380	592	600
3447	284	383	590	603
3474	285	386	588	606
3497	285	387	588	612
3520	285	381	588	613
3543	287	377	586	617
3566	288	396	585	617
3589	288	391	599	607
3612	289	368	601	595
3635	289	370	595	596
3658	290	374	589	602
3681	291	384	587	609
3704	291	402	586	613
3727	292	391	585	612
3750	294	387	590	609
3773	294	388	584	618
3796	294	380	583	615
3819	295	393	585	617
3842	296	397	582	611
3865	296	397	590	603
3888	297	390	587	602
3911	299	393	591	603
3934	301	384	584	612
3957	303	389	580	610
3980	304	407	585	608
4003	307	393	584	610
4030	308	388	588	610
4053	307	383	581	604
4076	309	374	582	593
4099	310	370	582	593
4122	310	359	579	586
4145	311	357	583	579
4168	311	365	583	571
4191	312	346	574	568
4214	312	342	574	564
4237	313	346	582	553
4260	314	341	584	540
4283	312	342	580	526
4349	312	322	595	512
4372	313	329	591	506
4395	313	321	590	502
4418	312	315	588	490
4441	312	305	590	490
4464	313	302	583	488
4487	313	320	582	491
4510	312	330	579	486
4533	312	323	574	489
4556	311	320	574	481
4579	312	322	580	478
4605	311	325	577	472
4628	311	327	578	478
4651	310	329	577	473
4674	310	319	578	470
4697	310	313	575	469
4720	310	317	573	465
4743	310	322	575	462
4766	310	326	575	462
4789	311	335	579	466
4812	309	335	578	467
4835	310	329	577	467
4858	311	331	575	468
4881	310	325	574	472
4904	311	322	574	461
4927	310	319	575	456
4950	311	325	573	450
4973	312	332	575	437
4996	311	329	576	426
5019	311	333	577	425
5042	311	353	572	419
5065	310	352	580	401
5088	310	340	580	401
5111	310	335	576	403
5138	310	350	575	398
5161	311	355	577	399
5184	310	352	583	387
5207	310	345	584	382
5230	309	341	584	377
5253	310	337	587	373
5276	310	336	585	370
5299	309	339	588	369
5322	309	342	590	372
5345	309	342	587	373
5368	309	346	587	375
5391	309	349	587	379
5414	309	352	585	378
5437	309	354	584	380
5460	308	355	585	380
5483	308	351	590	380
5506	309	354	586	376
5529	308	351	576	380
5552	309	348	583	377
5575	309	350	580	380
5598	309	348	578	380
5621	308	346	580	380
5644	308	348	580	383
5667	309	348	583	381
5688	309	345	582	378
5711	309	348	581	378
5734	309	341	580	380
5757	310	346	579	378
5780	308	346	580	378
5803	308	345	579	379
5826	310	350	579	380
5849	310	348	578	379
5872	309	349	580	380
5895	309	352	583	380
5930	309	348	583	381
5953	309	351	587	380
5976	309	350	591	379
5999	309	347	589	378
