Time	Volt	Xaxis	Yaxis	Zaxis
196	169	429	588	635
353	361	340	655	564
377	360	315	645	602
401	376	362	634	627
425	372	413	633	618
449	365	448	637	587
473	349	464	632	531
497	291	382	629	561
521	269	321	635	559
545	284	358	641	542
569	304	378	645	533
593	318	360	632	577
617	328	375	620	586
641	337	370	632	580
665	343	365	638	569
689	346	388	642	554
713	348	409	655	557
737	314	413	671	540
761	205	434	672	556
785	221	438	667	519
809	241	436	705	541
833	258	412	700	557
857	268	421	683	567
881	273	434	690	564
1004	257	459	685	560
1028	252	474	688	552
1052	249	501	688	555
1076	249	524	690	556
1100	251	516	686	551
1124	254	479	673	545
1148	259	461	659	547
1172	260	466	649	562
1196	262	455	645	566
1220	262	427	636	563
1244	259	423	629	556
1268	257	420	628	535
1292	255	398	619	519
1316	254	366	611	526
1340	252	351	613	539
1364	250	382	606	535
1388	247	394	592	529
1412	247	347	584	530
1436	248	309	577	539
1460	246	327	583	534
1484	245	353	572	539
1508	242	320	557	545
1532	243	296	553	539
1652	247	323	520	552
1676	253	323	514	569
1700	256	322	507	569
1724	258	322	508	563
1748	261	315	508	557
1772	261	315	503	554
1796	260	318	500	553
1820	258	309	496	557
1844	257	305	490	567
1868	245	292	477	569
1892	205	264	451	582
1916	161	311	452	628
1940	137	422	453	658
1964	120	466	458	672
1988	108	416	496	642
2012	101	361	511	616
2036	94	349	516	603
2060	90	349	521	592
2084	89	361	518	585
2108	89	366	510	586
2132	91	371	500	586
2156	90	379	494	605
2180	92	392	496	621
2294	118	404	520	643
2318	148	406	504	645
2342	176	426	471	688
2366	193	390	475	638
2390	201	306	499	606
2414	248	388	475	609
2438	280	389	453	626
2462	286	357	432	658
2486	295	385	407	694
2510	298	391	396	706
2534	298	374	421	672
2558	298	341	426	632
2582	299	330	424	602
2606	299	376	450	593
2630	300	393	493	577
2654	299	367	516	556
2678	300	394	520	558
2702	300	437	531	572
2726	299	456	557	580
2750	299	420	580	573
2774	299	375	570	594
2798	298	412	561	629
2822	297	448	570	637
2846	297	437	571	634
2961	300	407	583	671
2985	300	421	578	680
3009	300	431	571	684
3033	300	429	555	689
3057	301	430	543	680
3081	302	431	542	674
3105	302	414	524	671
3129	303	420	521	681
3153	304	432	516	690
3177	305	432	519	684
3201	305	427	518	675
3225	306	424	527	662
3249	307	413	533	649
3273	307	426	543	640
3297	310	429	535	647
3321	311	430	529	654
3345	310	423	524	660
3369	309	416	522	679
3393	305	438	537	685
3417	297	530	531	778
3441	293	378	458	782
3465	279	399	571	693
3489	258	449	570	625
3606	174	374	609	600
3630	141	403	573	618
3654	111	421	566	620
3678	87	430	552	630
3702	69	383	517	647
3726	57	398	494	675
3750	51	417	485	682
3774	48	436	483	680
3798	46	412	475	681
3822	49	395	469	683
3846	71	451	475	660
3870	144	469	487	635
3894	179	457	494	614
3918	323	485	500	600
3942	359	537	486	674
3966	356	229	405	824
3990	356	363	615	625
4014	354	479	522	673
4038	354	469	502	722
4062	353	445	522	693
4086	357	461	508	685
4110	360	436	494	666
4134	339	444	481	669
4158	179	426	404	685
4272	58	374	469	696
4296	67	403	498	660
4320	72	451	513	626
4344	75	455	524	607
4368	85	404	520	608
4392	95	389	523	582
4416	104	412	556	573
4440	111	417	559	563
4464	120	425	557	580
4488	133	402	564	606
4512	146	407	569	616
4536	163	405	536	684
4560	187	420	575	690
4584	206	447	548	701
4608	232	426	553	710
4632	263	421	572	681
4656	282	433	556	669
4680	299	437	561	648
4704	314	405	546	633
4728	318	369	536	620
4752	319	384	524	612
4776	323	375	514	619
4800	322	350	499	615
4919	319	374	513	607
4942	318	355	516	600
4965	313	341	518	587
4988	311	342	528	590
5011	308	341	524	580
5034	303	341	518	570
5057	301	336	516	581
5080	301	344	509	583
5103	302	355	504	555
5126	303	329	496	547
5149	301	298	482	555
5172	305	329	488	564
5195	310	366	492	571
5218	313	386	494	585
5241	316	370	499	589
5264	317	358	503	590
5287	319	364	503	585
5310	320	339	496	594
5333	321	311	501	583
5356	321	303	511	560
5379	321	293	503	579
5402	321	304	497	588
5425	322	339	501	585
5452	323	354	514	560
5475	323	340	530	583
5498	324	353	543	596
5521	324	392	551	578
5544	324	413	576	570
5567	325	422	598	573
5590	325	437	603	610
5613	327	414	584	624
5636	327	406	589	627
5659	327	467	585	647
5682	327	512	562	679
5705	327	483	550	686
5728	327	446	556	672
5751	327	455	547	678
5774	328	455	530	694
5797	328	437	528	693
5820	329	419	518	691
5875	329	444	510	690
5898	328	453	507	672
5921	329	449	502	666
5944	329	449	496	683
5967	328	421	500	684
5990	328	394	506	698
6013	325	445	491	757
6040	323	423	467	756
6063	315	464	539	683
6086	300	469	521	663
6110	263	445	540	651
6133	229	401	570	635
6156	201	364	575	626
6179	181	380	574	607
6202	163	448	561	613
6226	146	472	524	631
6249	129	398	502	605
6272	107	378	499	591
6295	89	420	496	628
6318	80	447	477	647
6341	82	427	481	645
6364	85	420	497	665
6388	89	455	490	677
6411	109	451	489	674
6434	135	436	503	649
