Time	Volt	Xaxis	Yaxis	Zaxis
180	89	423	516	659
201	89	424	513	658
224	93	422	511	657
247	92	421	510	653
270	93	424	510	657
293	93	427	512	655
316	95	427	513	655
339	95	428	516	657
362	95	422	521	658
385	95	419	520	659
408	95	418	517	661
431	94	422	518	659
454	96	418	513	658
477	96	419	513	658
500	96	422	510	661
523	96	422	513	660
546	98	421	513	659
569	100	416	514	656
592	100	418	516	669
615	101	420	516	663
638	102	422	517	660
661	103	416	517	657
684	105	408	514	655
707	106	410	514	656
733	105	421	512	661
756	106	420	515	660
779	106	417	516	659
802	105	415	515	657
825	105	420	512	660
848	105	421	513	661
871	106	416	514	656
894	107	415	515	656
917	108	416	516	658
940	108	419	515	657
963	109	413	514	659
986	109	400	501	677
1009	104	396	505	659
1032	107	436	526	678
1055	111	445	515	692
1078	111	472	537	670
1101	108	431	544	645
1124	107	414	554	629
1147	99	433	546	641
1170	95	406	526	630
1193	90	400	528	649
1216	83	412	513	660
1239	71	410	503	648
1262	62	392	494	662
1288	56	439	492	677
1311	55	431	489	669
1334	57	454	485	672
1357	59	451	485	666
1380	57	442	491	662
1403	58	445	496	670
1426	59	438	502	678
1449	59	436	507	681
1472	59	431	505	667
1495	60	429	517	655
1518	60	432	513	659
1541	60	421	510	670
1564	59	431	509	673
1587	60	447	501	667
1610	60	430	509	666
1633	60	431	504	668
1656	58	435	509	661
1679	59	437	515	662
1702	59	429	509	679
1725	57	435	510	667
1748	58	438	510	664
1771	58	442	505	671
1794	58	448	505	666
1817	58	439	509	665
1840	58	428	503	663
1866	59	403	504	654
1889	59	412	510	658
1912	59	432	507	663
1935	60	437	507	666
1958	60	431	507	665
1981	60	426	510	662
2004	61	425	510	662
2027	62	429	510	661
2050	61	429	509	665
2073	62	426	507	661
2096	61	429	508	660
2119	61	428	509	668
2142	62	428	508	667
2165	61	442	506	669
2188	61	432	510	666
2211	61	430	506	666
2234	62	430	508	665
2257	62	428	506	665
2280	61	429	507	665
2303	61	432	509	664
2326	62	433	507	667
2349	61	436	508	667
2372	62	432	511	665
2395	61	426	510	665
2422	60	427	510	664
2445	61	428	509	665
2468	61	431	508	664
2491	61	429	508	665
2514	61	428	510	664
2537	62	428	507	664
2589	61	428	507	665
2612	61	428	506	666
2635	61	428	508	665
2658	61	430	510	665
2681	61	431	508	666
2704	60	428	509	664
2727	60	426	510	663
2750	62	427	510	663
2773	62	423	508	662
2796	61	426	511	660
2819	61	421	511	660
2842	62	422	511	663
2865	61	424	507	664
2888	61	430	509	666
2911	61	428	510	665
2934	61	426	507	665
2957	61	430	510	664
2980	61	428	512	661
3003	61	425	513	662
3029	60	427	513	664
3052	61	425	515	662
3075	60	427	512	661
3098	61	423	513	660
3121	60	422	510	661
3144	60	424	511	659
3167	60	424	515	656
3190	60	424	515	662
3213	61	425	512	663
3236	60	426	510	666
3259	60	429	513	663
3282	61	426	514	661
3305	61	423	513	657
3328	61	416	511	659
3351	61	422	511	661
3374	62	428	511	662
3397	61	426	511	663
3420	61	426	512	663
3443	61	421	510	660
3466	61	425	508	660
3489	61	421	510	660
3512	61	426	505	669
3535	61	427	503	672
3558	61	437	511	657
3584	61	429	511	658
3607	61	429	509	659
3630	63	400	519	658
3653	72	405	520	658
3676	80	434	515	651
3699	86	415	517	650
3722	88	407	517	656
3745	89	407	514	656
3768	88	423	515	658
3791	87	422	510	658
