Time	Volt	Xaxis	Yaxis	Zaxis
170	201	433	479	663
191	201	433	480	663
214	200	433	479	664
237	200	434	479	661
260	199	433	479	661
283	199	432	481	662
306	199	433	481	663
329	198	431	480	664
352	198	432	479	663
375	199	434	479	661
398	198	434	480	663
421	199	433	478	660
444	199	433	479	661
467	198	434	481	661
490	198	431	481	665
513	197	429	480	663
536	197	432	480	662
559	197	429	479	661
582	197	432	478	663
605	196	435	479	663
628	194	432	479	667
651	189	430	476	668
674	180	426	473	671
697	165	415	467	666
717	138	410	468	668
740	115	416	469	670
763	101	417	468	671
786	86	406	479	660
809	76	394	490	650
832	70	388	511	649
855	67	398	516	648
878	65	419	521	647
901	63	432	532	652
924	61	435	530	651
947	57	431	540	644
970	57	421	548	633
993	55	417	547	627
1016	54	414	553	616
1039	54	412	546	614
1062	53	395	534	607
1085	54	401	531	602
1108	55	392	513	609
1131	57	407	502	620
1154	64	413	489	614
1177	136	431	486	605
1200	316	369	443	635
1223	332	368	402	814
1246	324	433	434	707
1272	326	454	516	638
1295	330	397	469	658
1318	332	407	484	663
1341	335	393	478	653
1364	336	414	470	644
1387	336	429	464	647
1410	336	429	461	646
1433	337	416	457	649
1456	338	418	453	652
1479	339	416	444	651
1502	339	416	439	650
1525	339	428	430	648
1548	340	439	428	656
1571	341	440	426	665
1594	342	461	439	684
1617	343	460	440	696
1640	344	473	445	694
1663	346	482	475	695
1686	346	462	493	693
1709	346	446	505	691
1732	347	434	506	681
1755	347	421	496	655
1778	347	396	497	628
1805	347	383	508	626
1828	348	378	517	629
1851	347	359	526	622
1874	347	348	525	620
1897	348	296	512	613
1920	348	332	515	614
1943	349	368	496	629
1966	349	404	513	634
1989	349	393	503	652
2012	352	404	496	673
2035	353	430	470	693
2058	356	429	438	703
2081	356	411	424	677
2104	276	408	390	643
2127	85	503	399	693
2150	52	499	468	606
2173	50	525	542	566
2196	42	361	537	548
2219	41	327	606	531
2242	49	446	571	539
2265	65	563	526	574
2288	379	419	433	787
2311	372	321	336	842
2334	373	574	679	651
2361	374	388	491	650
2384	373	420	460	691
2407	374	437	513	661
2430	374	400	485	639
2453	374	380	466	616
2476	373	352	479	616
2499	374	370	490	613
2522	374	387	498	610
2545	375	415	496	622
2568	375	453	472	633
2591	375	467	482	632
2614	374	369	486	628
2637	375	310	503	635
2660	375	421	513	652
2683	376	419	490	648
2706	375	363	498	651
2729	374	383	496	659
2752	374	390	493	652
2775	374	391	502	642
2798	375	391	498	639
2841	374	385	501	630
2864	376	392	505	635
2887	375	376	496	647
2913	374	396	503	638
2936	376	403	491	641
2959	375	387	484	640
2982	376	377	494	630
3005	374	392	493	628
3028	375	389	491	639
3051	374	396	494	638
