Time	Volt	Xaxis	Yaxis	Zaxis
194	218	317	490	452
363	220	336	492	461
387	208	315	491	468
411	202	309	487	469
435	193	314	483	471
459	182	316	487	474
483	178	310	484	480
507	178	303	482	478
531	182	314	488	486
555	177	331	488	490
579	188	323	487	486
603	185	328	489	485
627	177	335	493	491
651	167	347	492	486
675	169	313	494	478
699	169	306	478	499
723	170	325	486	482
747	170	328	487	473
771	170	305	489	475
795	166	318	488	484
819	162	321	483	497
843	155	322	483	494
867	147	331	485	498
891	142	313	480	506
999	140	328	464	478
1023	138	298	468	468
1047	138	311	460	488
1071	140	334	459	491
1095	142	340	468	491
1119	149	322	473	499
1143	165	311	468	522
1167	184	336	474	527
1191	206	332	476	521
1215	228	319	471	521
1239	248	330	481	521
1263	268	345	476	514
1287	282	329	464	538
1311	293	306	470	549
1335	296	355	482	557
1359	292	330	469	543
1383	291	327	476	532
1407	289	335	473	546
1431	288	327	474	549
1455	289	347	479	557
1479	288	334	467	552
1503	288	333	471	550
1527	286	319	469	553
1645	277	330	488	527
1669	274	328	477	530
1693	273	349	471	544
1717	274	344	466	555
1741	275	332	478	556
1765	276	315	484	549
1789	277	337	488	549
1813	279	332	480	546
1837	281	332	483	546
1861	282	337	477	546
1885	284	335	480	548
1909	285	338	477	553
1933	285	338	479	550
1957	286	334	480	547
1981	287	330	483	546
2005	287	339	481	552
2029	288	337	482	554
2053	288	335	482	548
2077	289	335	481	550
2101	288	333	480	552
2125	288	336	484	552
2149	289	334	488	551
2173	288	336	484	557
2287	288	340	480	557
2311	288	331	482	551
2335	287	333	486	550
2359	287	341	485	558
2383	288	337	486	557
2407	289	339	481	558
2431	290	341	481	559
2455	290	345	481	563
2479	290	331	488	557
2503	290	335	482	556
2527	291	339	482	553
2551	291	338	486	557
2575	290	336	485	553
2599	291	336	487	551
2623	290	335	484	554
2647	291	339	484	560
2671	291	333	486	556
2695	290	337	484	555
2719	290	337	486	548
2743	290	339	484	556
2767	290	340	485	562
2791	290	343	486	547
2815	291	346	490	510
2930	293	335	493	544
2954	294	336	488	540
2978	294	327	489	531
3028	295	338	484	546
3052	296	326	496	534
3076	297	336	478	568
3100	296	345	479	573
3124	294	332	489	550
3148	294	314	512	505
3172	296	316	503	520
3196	299	324	499	528
3220	300	319	499	516
3244	301	320	506	519
3268	300	335	493	548
3292	299	343	480	561
3316	299	346	490	564
3340	298	328	487	541
3364	297	327	498	535
3388	297	329	496	539
3412	297	331	496	544
3436	297	334	489	553
3460	297	335	491	553
3484	297	332	490	546
3508	297	330	493	543
3625	297	330	493	545
3649	296	333	489	549
3673	297	333	487	549
3697	296	334	491	547
3721	297	333	494	546
3745	296	331	489	549
3769	297	336	492	552
3793	297	337	493	551
3817	297	332	491	547
3841	297	332	492	546
3865	296	334	490	550
3889	297	334	489	552
3913	297	334	489	550
3937	297	334	487	552
3961	297	333	494	548
3985	298	331	492	547
4009	297	333	493	549
4033	297	335	487	554
4057	297	336	491	552
4081	297	333	488	553
4105	297	333	488	553
4129	298	336	489	550
4153	298	329	498	548
4267	297	336	487	553
4291	297	333	491	549
4315	296	332	491	552
4339	296	333	492	555
4363	296	335	493	552
4387	296	339	491	553
4411	295	338	490	556
4435	295	342	486	554
4459	297	336	487	552
4483	298	334	488	552
4507	299	322	497	540
4531	299	328	498	541
4555	298	333	495	549
4579	298	334	493	550
4603	299	328	493	544
4627	297	329	492	544
4651	296	337	483	558
4675	296	353	480	562
4699	295	337	491	551
4723	295	319	500	544
4747	296	330	487	549
4771	295	343	494	554
4795	294	334	487	553
4913	300	328	492	542
4936	300	328	497	542
4959	300	318	501	527
4982	301	321	486	572
5005	301	340	476	555
