Time	Volt
405	203
593	341
783	397
976	87
1164	115
1352	131
1459	248
1483	273
1507	314
1531	350
1555	358
1579	376
1603	387
1627	392
1651	402
1675	368
1699	366
1723	395
1747	396
1771	401
1795	409
1819	400
1843	403
1867	397
1891	404
1915	399
1939	408
1963	409
1987	408
2011	373
2035	384
2059	396
2083	397
2107	403
2131	415
2155	414
2179	402
2203	410
2227	403
2251	403
2275	407
2299	406
2323	394
2347	408
2371	412
2395	405
2419	413
2443	406
2467	376
2491	358
2515	344
2543	385
2567	389
2591	401
2615	397
2639	400
2663	315
2687	316
2711	362
2735	521
2759	531
2783	490
2807	395
2831	304
2855	371
2879	401
2903	508
2927	440
2951	424
2975	419
2999	406
3023	388
3047	398
3071	378
3095	396
3119	398
3143	404
3167	405
3191	410
3215	418
3239	401
3263	391
3287	395
3311	405
3335	394
3359	549
3383	760
3407	401
3431	387
3455	384
3479	407
3503	392
3527	269
3551	241
3575	222
3599	307
3623	220
3647	189
3671	140
3695	29
3719	209
3743	251
3771	338
3795	355
3819	329
3843	367
3867	380
3891	326
3915	364
3939	389
3963	477
3987	131
4011	105
4035	54
4059	20
4083	25
4107	181
4131	270
4155	332
4179	320
4203	363
4227	370
4251	378
4282	399
4306	402
4340	411
4364	411
4388	408
4412	405
4436	403
4460	401
4484	394
4508	404
4532	412
4556	414
4580	414
4604	402
4628	403
4652	411
4676	405
4700	410
4724	396
4748	406
4772	409
4796	413
4820	409
4844	414
4868	409
4892	402
4916	412
4940	415
4964	411
4988	415
5012	414
5040	423
5064	411
5088	407
5112	363
5136	383
5160	389
5184	396
5208	400
5232	404
5256	404
5280	406
5304	396
5328	0
5352	80
5376	165
5400	277
5424	252
5448	312
5472	344
5496	386
5520	401
5544	398
5568	343
5592	379
5616	419
5640	413
5664	401
5688	361
5712	355
5736	422
5760	416
5784	394
5808	353
5832	380
5856	426
5880	450
5904	440
5928	370
5952	473
5976	537
6000	479
6024	449
6048	414
6072	432
6096	415
6120	398
6144	399
6168	396
6192	398
6216	407
6240	403
6268	406
6292	369
6316	386
6340	393
6364	401
6388	405
6412	401
6436	400
6460	361
6484	385
6508	387
6532	399
6556	392
6580	361
6604	380
6628	361
6652	381
6676	393
6700	398
6724	407
6748	406
6772	410
6796	411
6820	410
6844	372
6868	384
6892	399
6916	403
6940	408
6964	402
6988	399
7012	408
7036	410
7060	406
7084	410
7108	415
7132	403
7156	407
7180	401
7204	403
7228	408
7252	409
7283	411
7307	401
7341	413
7365	411
7389	406
7413	406
7437	408
7461	370
7485	360
7509	383
7537	386
7561	402
7585	401
7609	405
7633	408
7657	402
7681	405
7705	409
7729	410
7753	403
7777	410
7801	402
7825	411
7849	404
7873	407
7897	405
7921	406
7945	407
7969	408
7993	408
8017	408
8041	405
8065	412
8089	369
8113	382
8137	392
8161	392
8185	397
8209	406
8233	398
8257	405
8281	404
8305	410
8329	415
8353	406
8377	408
8401	412
8425	406
8449	404
8473	408
8497	404
8521	380
8545	396
8569	393
8593	400
8617	368
8641	357
8665	384
8689	394
8713	400
8737	407
8765	363
8789	380
8813	396
8837	402
8861	391
8885	398
8909	402
8933	400
8957	404
8981	412
9005	405
9029	399
9053	395
9077	404
9101	406
9125	377
9149	391
9173	395
9197	401
9221	405
9245	408
9269	399
9293	360
9317	349
9341	373
9365	385
9389	390
9413	396
9437	406
9461	406
9485	375
9509	394
9533	377
9557	379
9581	394
9605	369
9629	380
9653	394
9677	399
9701	359
9725	387
9749	386
9773	402
9797	406
9821	403
9845	407
9869	408
9893	408
9917	416
9941	415
9965	406
9993	404
10017	407
10041	404
10065	405
10089	405
10113	403
10137	410
10161	412
10185	402
10209	407
10233	408
10257	407
10288	408
10312	407
10346	412
10370	410
10394	409
10418	415
10442	403
10466	400
10490	410
10514	413
10538	412
10562	408
10586	415
10610	400
10634	404
10658	409
10682	405
10706	410
10730	414
10754	413
10778	410
10802	403
10826	403
10850	411
10874	408
10898	411
10922	402
10946	371
10970	389
10994	353
11018	373
11042	392
11066	361
11090	382
11114	399
11142	392
11166	406
11190	410
11214	402
11238	409
11262	404
11286	413
11310	411
11334	411
11358	406
11382	409
11406	405
11430	410
11454	401
11478	403
11502	408
11526	409
11550	407
11574	413
11598	412
11622	415
11646	408
11670	410
11694	375
11718	353
11742	337
11766	370
11790	392
11814	399
11838	399
11862	400
11886	401
11910	408
11934	410
11958	409
11982	410
12006	414
12030	410
12054	413
12078	414
12102	381
12126	396
12150	398
12174	405
12198	402
12222	398
12250	405
12274	401
12298	407
12322	406
12346	407
12370	398
12394	408
12418	408
12442	410
12466	407
12490	403
12514	404
12538	381
12562	395
12586	404
12610	368
12634	390
12658	399
12682	395
12706	397
12730	365
12754	384
12778	387
12802	395
12826	394
12850	365
12874	385
12898	393
12922	401
12946	406
12970	406
12994	406
13018	401
13042	406
13066	414
13090	416
13114	414
13138	381
13162	391
13186	395
13210	395
13234	397
13258	400
13282	404
13313	408
13337	411
13371	403
13399	406
13423	371
13447	387
13471	391
13495	397
13519	404
13543	372
13567	358
13591	382
13615	399
13639	360
13663	385
13687	395
13711	394
13735	396
13759	405
13783	399
13807	398
13831	407
13855	409
13879	408
13903	383
13927	398
13951	403
13975	408
13999	410
14023	407
14047	403
14071	408
14095	397
14119	400
14143	378
14167	392
14191	407
14215	406
14239	405
14263	407
14287	366
14311	380
14335	369
14359	385
14383	394
14407	404
14431	395
14455	401
14479	404
14507	406
14531	379
14555	399
14579	399
14603	394
14627	400
14651	410
14675	409
14699	408
14723	410
14747	409
14771	412
14795	409
14819	406
14843	413
14867	403
14891	406
14915	375
14939	391
14963	393
14987	401
15011	401
15035	400
15059	413
15083	401
15107	401
15131	401
15155	405
15179	409
15203	415
15227	406
15251	410
15275	370
15299	391
15323	397
15347	400
15371	405
15395	366
15419	385
15443	394
15467	404
15491	397
15515	402
15539	405
15563	405
15587	409
15611	413
15639	413
15663	411
15687	363
15711	386
15735	394
15759	394
15783	407
15807	402
15831	401
15855	407
15879	409
15903	411
15927	409
15951	410
15975	407
15999	401
16023	402
16047	411
16071	402
16095	403
16119	409
16143	408
16167	408
16191	417
16215	367
16239	386
16263	372
16287	389
16318	395
16342	395
