Time	Volt	Xaxis	Yaxis	Zaxis
874	364	362	314	519
1065	332	368	307	516
1258	316	360	306	522
1455	315	364	299	515
1635	316	363	313	521
1823	318	368	324	515
2014	315	366	310	530
2199	294	364	313	526
2387	315	377	310	530
2574	326	351	331	519
2753	316	335	313	522
2858	304	361	305	518
2883	281	362	301	529
2908	270	373	305	530
2933	269	357	329	514
2958	263	353	304	520
2983	261	364	327	513
3008	262	359	308	513
3033	259	365	310	512
3058	259	364	300	521
3083	257	362	310	514
3108	256	359	308	520
3133	260	351	269	593
3156	262	354	295	523
3181	259	361	275	605
3207	260	345	322	520
3233	263	356	327	530
3259	269	364	335	525
3285	265	359	331	519
3311	266	364	331	497
3337	265	345	329	524
3363	266	348	321	520
3388	265	354	334	529
3414	266	355	324	542
3440	263	356	330	525
3466	262	360	341	525
3492	263	366	349	521
3518	260	365	335	525
3543	258	354	330	538
3569	265	366	337	544
3594	264	363	331	548
3620	266	364	343	546
3646	268	357	337	536
3672	268	367	359	533
3698	264	370	348	541
3724	263	372	343	544
3754	267	370	348	535
3779	260	370	343	535
3804	262	363	354	550
3829	260	368	351	548
3854	262	366	349	553
3879	259	370	351	541
3904	260	376	358	539
3929	258	371	361	545
3954	257	380	340	551
3979	261	367	354	535
4004	258	356	349	553
4029	261	360	364	538
4054	263	391	281	534
4079	266	372	364	541
4104	263	360	361	543
4129	264	368	351	544
4154	265	369	358	545
4179	258	367	357	545
4204	261	368	358	543
4229	258	311	344	338
4254	263	378	360	524
4279	236	378	351	549
4304	244	370	358	546
4334	226	369	359	543
4359	241	366	353	550
4384	254	366	352	554
4409	260	366	343	552
4434	264	373	336	572
4459	262	375	353	552
4484	262	370	346	552
4509	259	379	349	545
4534	258	379	354	533
4559	261	388	372	518
4584	261	380	355	522
4609	266	384	343	530
4634	267	387	345	533
4659	265	388	331	548
4684	266	394	338	531
4709	259	384	339	527
4734	261	387	331	539
4759	260	388	330	539
4784	259	387	332	547
4809	260	389	325	539
4834	263	393	326	535
4859	261	384	325	513
4884	257	409	340	480
4914	6	396	325	530
4939	0	393	296	526
4964	17	398	323	515
4989	34	386	315	520
5014	36	394	308	530
5039	28	388	298	521
5064	22	413	305	499
5089	33	384	284	533
5114	139	372	312	517
5139	170	381	298	517
5164	207	345	347	485
5189	211	374	304	510
5214	241	382	292	528
5239	255	342	284	334
5264	229	382	313	526
5289	241	390	319	507
5314	250	432	290	526
5339	260	399	319	529
5364	258	391	298	537
5389	263	396	301	496
5414	264	398	289	550
5439	259	409	347	511
5464	259	412	307	529
5489	265	388	310	519
5519	261	400	311	518
5545	261	397	316	534
5570	264	412	334	523
5596	262	411	323	535
5622	263	407	280	505
5648	262	394	302	496
5680	266	539	237	527
5706	262	337	262	509
5741	265	447	263	545
5766	266	433	279	477
5791	261	291	280	752
5817	257	466	646	613
5842	257	505	188	434
5868	265	418	326	503
5893	259	416	300	426
5918	262	422	269	496
5943	259	424	281	489
5969	262	404	267	514
5994	260	374	305	488
6020	234	408	270	506
6045	218	393	289	501
6071	244	381	266	542
6096	252	356	263	455
6126	260	443	312	571
6151	263	434	305	353
6176	260	345	250	517
6201	254	334	309	437
6226	254	213	389	394
6251	262	352	299	533
6276	271	355	311	306
6301	264	478	243	440
6326	259	365	309	489
6351	261	361	290	511
6376	262	302	201	517
6401	260	384	287	477
6426	264	328	289	498
6451	265	354	293	509
6476	259	365	283	488
6501	257	363	310	489
6526	264	402	270	506
6551	265	365	269	505
6576	264	363	298	506
6601	259	354	271	511
6626	260	383	337	514
6651	238	346	271	452
6676	247	383	291	486
6701	255	370	308	474
6730	264	357	275	493
6755	258	364	278	483
6780	256	364	280	497
6805	259	344	271	488
6830	259	376	287	488
6855	255	390	196	529
6880	259	280	142	470
6905	263	136	197	579
6930	260	401	314	238
6955	0	168	146	739
6980	37	303	366	540
7005	56	345	337	493
7030	68	339	288	471
7055	60	325	321	476
7080	15	296	328	510
7105	4	299	330	486
7130	0	311	345	512
7155	0	399	208	677
7180	10	247	310	485
7205	58	306	293	480
7230	229	357	310	501
7255	268	369	315	488
7280	288	331	262	497
7305	284	317	258	526
7335	263	377	288	486
7360	230	370	297	448
7385	225	343	281	457
7410	179	343	260	469
7435	34	315	278	440
7460	90	317	286	509
7485	139	342	287	427
7510	198	327	265	455
7535	228	324	256	484
7560	247	315	266	444
7585	228	323	264	472
7610	245	330	280	436
7635	253	332	266	470
7660	257	348	284	484
7685	261	341	278	462
7710	260	336	277	472
7735	261	345	280	466
7760	266	350	289	486
7785	267	338	271	229
7810	264	312	304	461
7835	93	337	289	471
7860	104	330	250	496
7885	110	348	268	576
7914	164	332	263	472
7939	217	340	294	450
7964	239	347	291	502
7990	256	341	276	498
8015	224	342	278	481
8040	247	365	295	486
8065	253	362	303	487
8090	255	354	283	509
8115	256	337	306	502
8140	109	377	285	490
8165	259	367	297	491
8190	376	354	248	501
8215	380	352	283	476
8240	450	363	278	491
8265	557	359	263	502
8290	563	354	296	478
8315	526	350	290	496
8340	870	342	280	498
8365	934	367	274	472
8390	953	336	300	493
8415	735	345	275	494
8440	719	351	284	475
8465	709	349	282	475
8495	460	345	277	473
8520	456	349	288	467
8545	448	345	261	491
8570	432	347	275	486
8595	424	340	284	469
8620	384	346	285	480
8645	375	338	281	485
8670	402	349	277	481
8695	392	371	290	474
8720	397	351	286	481
8745	401	349	286	486
8770	386	348	283	479
8802	364	346	274	489
8827	331	349	269	469
8862	313	361	287	471
8887	315	357	282	487
8912	309	348	270	487
8937	306	362	275	473
8962	310	352	269	477
8987	335	358	262	491
9012	489	359	302	470
9037	645	359	276	463
9062	655	359	275	468
9087	663	360	263	475
9110	681	357	274	472
9135	685	359	273	476
9160	694	355	274	472
9185	741	356	263	480
9210	745	351	286	476
9235	789	348	281	472
9260	811	351	279	443
9285	860	355	277	452
9310	590	363	240	474
9335	618	381	294	457
9360	618	391	289	452
9385	619	353	322	476
9410	596	320	341	517
9435	591	323	346	594
9460	667	345	309	582
9485	671	355	292	527
9510	660	358	303	506
9535	542	350	306	494
9560	392	402	294	482
9585	352	359	294	564
9610	342	623	375	647
9635	294	396	286	514
9660	250	355	329	473
9689	262	381	303	513
9714	262	461	218	511
9739	258	385	330	558
9764	257	403	318	553
9789	261	371	334	538
9814	263	355	374	530
9839	263	347	324	549
9864	261	323	422	533
9889	260	293	363	578
9914	267	353	346	520
9939	266	354	376	557
9964	261	340	381	547
9989	261	334	391	550
10014	261	324	402	558
10039	232	361	408	548
10064	251	356	415	534
10089	259	354	425	531
10114	262	388	419	531
10139	261	350	442	554
10164	260	378	359	573
10189	257	391	434	557
10214	256	335	455	548
10239	236	362	440	537
10268	243	365	416	532
10293	257	352	445	609
10318	257	447	592	523
10343	255	362	415	517
10368	257	360	448	525
10393	260	360	432	572
10418	261	351	355	493
10443	260	387	434	533
10468	258	377	466	528
10493	233	303	381	581
10518	247	338	452	533
10543	253	336	432	538
10568	231	338	435	536
10593	249	335	430	535
10618	254	348	422	515
10643	254	366	443	536
10668	260	366	441	538
10693	262	347	424	558
10718	262	343	437	541
10743	259	381	412	559
10768	261	350	422	556
10794	234	353	438	532
10824	250	365	426	572
10849	255	343	440	531
10874	257	366	465	537
10899	261	345	464	528
10924	230	352	455	567
10949	248	348	353	497
10974	250	303	464	459
10999	254	343	366	611
11024	255	363	470	548
11049	256	362	456	539
11074	263	372	429	540
11099	264	371	451	551
11124	265	363	462	532
11149	261	356	466	527
11174	262	356	476	526
11199	234	354	470	538
11224	248	351	460	547
11249	254	349	418	596
11274	258	350	442	522
11299	265	353	481	505
11324	265	366	475	521
11349	307	365	454	539
11379	346	334	429	511
11404	378	334	542	509
11429	312	357	473	523
11454	229	339	478	532
11479	247	366	482	529
11504	301	350	468	539
11529	279	351	483	508
11554	342	339	444	562
11579	360	335	429	531
11604	306	341	452	528
11629	285	360	425	478
11654	273	323	445	490
11679	269	340	453	534
11704	271	354	471	528
11729	238	340	454	531
11754	250	338	439	531
11779	258	332	449	525
11804	255	328	433	537
11829	260	320	429	520
11854	264	335	442	518
11879	235	322	411	556
11911	250	361	497	484
11941	253	335	432	530
11976	263	348	408	553
12000	262	346	439	581
12024	254	405	381	459
12048	263	419	375	526
12072	261	353	417	546
12096	261	355	391	562
12120	255	345	415	542
12144	262	366	404	550
12168	258	403	325	459
12192	259	326	425	557
12216	260	366	406	547
12240	253	341	415	537
12264	257	344	404	537
12288	263	318	415	520
12312	230	330	411	516
12336	244	334	396	526
12360	220	319	404	556
12384	240	291	297	560
12408	226	348	369	476
12432	243	386	386	558
12456	253	413	324	574
12480	229	351	418	532
12508	251	361	399	546
12532	253	348	429	527
12556	260	347	406	553
12580	260	340	380	563
12604	256	375	422	533
12628	262	343	376	540
12652	261	318	371	605
12676	261	320	372	546
12700	265	351	402	554
12724	260	340	393	548
12748	261	325	358	547
12772	262	317	366	568
12796	259	320	386	514
12820	259	333	357	549
12844	262	379	405	560
12868	262	342	410	522
12892	238	316	429	519
12916	249	389	422	479
12940	244	418	328	611
12964	251	345	396	566
12988	260	347	393	542
13012	261	342	406	548
13040	263	354	410	516
13064	266	347	397	541
13088	262	356	375	573
13112	261	347	396	491
13136	264	421	310	599
13160	258	379	358	583
13184	258	334	410	556
13208	264	363	412	571
13232	261	352	465	521
13256	262	371	426	579
13280	263	411	488	455
13304	257	370	437	519
13328	260	422	363	573
13352	261	392	436	537
13376	260	390	346	544
13400	264	386	384	567
13424	260	392	393	551
13448	258	359	390	561
13472	262	272	752	425
13496	259	467	554	534
13520	261	393	338	584
13544	265	381	374	556
13572	266	370	398	549
13596	258	393	390	561
13620	261	389	376	560
13644	255	380	387	564
13668	260	388	381	585
13692	264	323	373	336
13716	260	382	450	548
13740	255	377	456	537
13764	261	388	434	551
13788	257	385	403	558
13812	231	383	415	565
13836	250	379	428	571
13860	253	362	397	522
13884	258	392	419	543
13908	262	383	396	534
13932	230	392	387	545
13956	246	395	420	561
13980	252	415	335	559
14004	252	373	390	542
14028	258	405	382	569
14052	259	371	406	561
14076	254	377	409	546
14104	257	375	458	512
14128	274	338	592	597
14152	263	361	378	585
14176	263	361	357	567
14200	261	363	380	552
14224	260	359	375	555
14248	262	362	376	557
14272	260	362	390	536
14296	230	369	393	541
14320	246	370	388	563
14344	251	356	386	565
14368	255	382	380	553
14392	258	363	380	547
14416	255	374	373	537
14440	255	375	371	553
14464	258	379	380	554
14488	257	369	377	543
14512	254	379	370	560
14536	261	378	376	554
14560	259	374	376	558
14584	256	373	381	547
14608	259	240	536	615
14632	254	377	371	556
14660	228	370	383	556
14684	248	368	377	560
14708	258	389	384	555
14732	254	380	390	558
14756	260	369	387	551
14780	258	391	392	540
14804	257	388	381	552
14828	265	390	363	540
14860	258	391	393	572
14884	264	386	385	576
14908	265	391	394	570
14932	261	388	405	564
14966	265	371	343	540
14990	262	382	392	542
15014	233	396	392	545
15038	243	403	393	543
15062	252	403	392	541
15086	256	405	387	556
15110	257	419	394	567
15134	261	382	394	582
15158	264	391	385	557
15182	258	396	348	546
15210	233	415	339	568
15234	248	378	390	584
15258	252	398	362	566
15282	254	393	352	545
15306	261	378	370	531
15330	258	372	362	523
15354	260	370	372	554
15378	261	375	366	558
15402	230	372	375	545
15426	248	365	382	527
15450	251	369	383	541
15474	255	366	373	552
15498	262	368	381	543
15522	255	369	375	552
15546	259	379	357	557
15570	264	373	378	559
15594	255	414	370	581
15618	254	382	368	538
15642	229	384	372	552
15666	240	377	387	554
15690	253	383	375	547
15714	259	386	370	548
15742	262	387	370	552
15766	258	381	370	546
15790	261	387	389	574
15814	259	383	378	553
15838	255	380	372	537
15862	257	384	379	544
15886	230	383	383	550
15910	252	438	357	460
15934	259	425	374	549
15958	255	392	374	569
15982	254	400	380	544
16006	262	387	388	537
16030	260	389	372	554
16054	263	371	406	539
16078	261	349	752	623
16102	254	393	376	548
16126	256	395	373	549
16150	261	399	369	550
16174	260	393	384	544
16198	265	399	381	559
16222	260	391	376	558
16246	254	392	380	551
16270	256	400	370	564
16292	260	390	372	546
16316	265	384	383	551
16340	261	390	381	551
16364	256	393	377	564
16388	263	388	398	554
16412	265	395	386	564
16436	261	397	390	552
16460	266	395	393	557
16484	257	401	396	566
16508	258	393	399	556
16532	263	395	398	552
16556	261	394	398	556
16580	264	404	398	557
16604	260	397	396	552
16628	256	398	398	550
16652	263	403	396	553
16676	262	396	394	543
16700	257	395	401	552
16724	260	403	401	572
16748	261	391	398	548
16772	261	408	406	559
16796	261	393	425	533
16824	262	395	403	548
16848	261	397	409	547
16872	260	403	409	559
16896	261	401	408	557
16920	256	406	411	563
16944	260	402	415	557
16968	263	403	413	555
16992	258	387	430	540
17016	263	410	301	671
17040	255	363	420	538
17064	257	368	416	511
17088	261	385	417	559
17112	257	380	426	558
17136	261	376	422	548
17160	266	377	419	552
17184	261	385	418	560
17208	265	383	419	551
17232	267	384	414	552
17256	262	392	422	562
17280	262	391	411	564
17304	265	385	437	553
17328	261	388	427	560
