Time	Volt	Leap_angle
0.0	45	4.01961060211
0.1	45	3.97118507856
0.2	43	3.89163829247
0.3	46	3.82991200441
0.4	46	3.64781667654
0.5	37	3.55655336274
0.6	46	3.50777329509
0.7	46	3.49815964243
0.8	46	3.51585743195
0.9	46	3.5063217575
1.0	47	3.51758335705
1.1	46	3.53158219988
1.2	46	3.54331622362
1.3	46	3.55379968621
1.4	46	3.55512171679
1.5	46	3.54171339006
1.6	46	3.55027186767
1.7	47	3.5299740451
1.8	46	3.52508964199
1.9	46	3.54010983171
2.0	46	3.56831511816
2.1	46	3.56183446164
2.2	46	3.56007496468
2.3	46	3.54458692174
2.4	46	3.5401651389
2.5	46	3.49720802252
2.6	46	3.46040020898
2.7	46	3.44082480034
2.8	46	3.43752292969
2.9	46	3.4054208324
3.0	47	3.39338367543
3.1	46	3.3981114646
3.2	47	3.38916924739
3.3	47	3.38882262323
3.4	46	3.37863917871
3.5	46	3.37742206063
3.6	46	3.40306282929
3.7	46	3.42845496176
3.8	47	3.44980354007
3.9	47	3.44622621048
4.0	47	3.46356724257
4.1	47	3.45649398556
4.2	46	3.41552452097
4.3	46	3.38575923702
4.4	94	3.36284054304
4.5	46	3.35532183199
4.6	47	3.35304541807
4.7	46	3.34737686224
4.8	46	3.34673343088
4.9	47	3.3580631545
5.0	46	3.3577716307
5.1	47	3.33718442521
5.2	46	3.33184149451
5.3	47	3.32442943032
5.4	46	3.2936042537
5.5	46	3.25606095706
5.6	47	3.26842359225
5.7	46	3.27422868608
5.8	45	3.29324758261
5.9	47	3.29651562469
6.0	46	3.27452763911
6.1	46	3.27057926117
6.2	46	3.27045953902
6.3	46	3.2963374513
6.4	47	3.28360283488
6.5	46	3.27655979714
6.6	46	3.27518523983
6.7	46	3.2600268998
6.8	46	3.25606095706
6.9	45	3.28413939646
7.0	46	3.29520879636
7.1	47	3.31351662811
7.2	46	3.30268636634
7.3	46	3.28807150891
7.4	46	3.28890498967
7.5	45	3.28604646219
7.6	46	3.27398950402
7.7	46	3.26842359225
7.8	46	3.25040414833
7.9	46	3.23887959458
8.0	45	3.24763233597
8.1	45	3.25136770368
8.2	45	3.27650004576
8.3	45	3.30274564449
8.4	45	3.34363152807
8.5	46	3.35263666753
8.6	44	3.37179443937
8.7	45	3.38084047034
8.8	46	3.36388833099
8.9	46	3.37481247408
9.0	45	3.4089260659
9.1	46	3.42691273775
9.2	46	3.47248724916
9.3	46	3.47845875244
9.4	46	3.44389611344
9.5	45	3.39753525676
9.6	46	3.31694179836
9.7	46	3.34474386137
9.8	46	3.34994935323
9.9	46	3.34017508205
10.0	46	3.3482540696
10.1	45	3.35222786721
10.2	46	3.3717363738
10.3	45	3.42279674724
10.4	46	3.43273528622
10.5	45	3.41449256005
10.6	48	3.40409825107
10.7	46	3.39557541959
10.8	46	3.38812926863
10.9	46	3.39078635888
11.0	46	3.39672840177
11.1	47	3.40404073589
11.2	47	3.41196867648
11.3	46	3.39822669446
11.4	47	3.37429031486
11.5	46	3.35847124535
11.6	46	3.36650637575
11.7	47	3.37840738046
11.8	46	3.39983950286
11.9	46	3.41798850126
12.0	46	3.45349055643
12.1	46	3.49698407437
12.2	48	3.52442306322
12.3	47	3.53440856149
12.4	48	3.54320570663
12.5	47	3.58763236513
12.6	56	3.6104815958
12.7	47	3.60358768456
12.8	47	3.64136978346
12.9	47	3.67871115944
13.0	48	3.6613717307
13.1	47	3.6444872038
13.2	46	3.55016156693
13.3	48	3.51530050139
13.4	46	3.49048333544
13.5	47	3.49154893948
13.6	47	3.50721508241
13.7	47	3.51524480348
13.8	47	3.51496630074
13.9	47	3.50665678098
14.0	47	3.50352865089
14.1	47	3.50129256333
14.2	46	3.50101295209
14.3	47	3.47986563429
14.4	47	3.45666391304
14.5	47	3.44543074455
14.6	47	3.42856917301
14.7	44	3.43911733153
14.8	46	3.43752292969
14.9	46	3.45830611539
15.0	45	3.52547842148
15.1	47	3.57281171144
15.2	46	3.59433894611
15.3	47	3.59041466089
15.4	47	3.56858946268
15.5	46	3.52525626702
15.6	47	3.50967055495
15.7	46	3.50676844837
15.8	47	3.51145527602
15.9	48	3.51646995383
16.0	46	3.53856087983
16.1	46	3.56403261291
16.2	46	3.60652056214
16.3	46	3.63399561714
16.4	46	3.63367231935
16.5	47	3.65167935654
16.6	46	3.65644842636
16.7	46	3.64792402836
16.8	46	3.63421113304
16.9	46	3.62439220329
17.0	46	3.61920227051
17.1	47	3.6175788916
17.2	46	3.62709235606
17.3	46	3.65618066578
17.4	46	3.62968261549
17.5	47	3.62779406703
17.6	46	3.61134918785
17.7	46	3.60434828908
17.8	47	3.61687520143
17.9	46	3.61552156666
18.0	47	3.61091541785
18.1	47	3.58364610943
18.2	41	3.57237326825
18.3	46	3.55253227918
18.4	46	3.53385455088
18.4	46	3.50805236817
18.5	46	3.49104422017
18.6	46	3.45989095137
18.7	46	3.42588420318
18.8	46	3.3744643769
19.0	47	3.35444647079
19.0	47	3.36673899242
19.1	46	3.40369562443
19.2	46	3.45320707938
19.3	46	3.49983834124
19.4	46	3.56507626058
19.5	46	3.63448050997
19.6	46	3.62374386764
19.7	47	3.6204463687
19.8	48	3.6489973731
19.9	46	3.68440200181
20.0	47	3.69925255347
20.1	46	3.74695418667
20.2	46	3.76759178326
20.3	47	3.78723825362
20.4	46	3.80106954324
20.5	47	3.80750354705
20.6	46	3.82479577767
20.7	47	3.84786708684
20.8	46	3.82269614839
20.9	46	3.8637121687
21.0	47	3.85376580368
21.1	47	3.85391823711
21.2	46	3.86168437577
21.3	46	3.84908825156
21.4	47	3.85995991547
21.5	47	3.87863445082
21.6	45	3.86406692322
21.7	47	3.86867577618
21.8	47	3.87434069561
21.9	47	3.89038012924
22.0	46	3.92864788707
22.1	46	3.94044349986
22.2	47	3.94764287404
22.3	47	3.95240215241
22.4	47	3.97734431544
22.5	47	3.98879978743
22.6	46	3.98978155942
22.7	47	3.99880257035
22.8	245	4.0035500429
22.9	47	4.01127102899
23.0	47	3.99723515895
23.1	47	3.99978189106
23.2	47	4.02992580041
23.3	48	4.0555509159
23.4	47	4.08010354251
23.5	47	4.07534899509
23.6	47	4.07482037017
23.7	46	4.07121428303
23.8	47	4.06100378769
23.9	47	4.04486523839
24.0	47	4.02851631597
24.1	47	3.99948811998
24.2	46	4.00653269039
24.3	47	4.01878229518
24.4	47	4.04089324151
24.5	47	4.10732364488
24.6	47	4.10059522873
24.7	47	4.09500369643
24.8	47	4.09136750283
24.9	47	4.09739417223
25.0	47	4.09772872775
25.1	46	4.08973973974
25.2	46	4.07121428303
25.3	47	4.06370338882
25.4	46	4.05202436927
25.5	46	4.04060245454
25.6	46	4.02535533686
25.7	47	4.02559857707
25.8	46	4.0614859907
25.9	46	4.03895426694
26.0	46	3.97670419856
26.1	46	3.92430896956
26.2	46	3.88982640869
26.3	44	3.87014338002
26.4	46	3.85691487222
26.5	47	3.85203780379
26.6	47	3.91161383096
26.7	47	3.94645215906
26.8	45	4.00721691972
26.9	47	4.06302865642
27.0	45	4.10956400642
27.1	46	4.11356502295
27.2	46	4.12369308556
27.3	46	4.12777532007
27.4	46	4.12706359264
27.5	47	4.1337490009
27.6	46	4.15256190176
27.7	46	4.17842047077
27.8	47	4.21779387496
27.9	46	4.25569940611
28.0	46	4.27214312965
28.1	46	4.28404600687
28.2	46	4.30620716795
28.3	44	4.30911703355
28.4	46	4.30197526803
28.5	46	4.30338636287
28.6	46	4.30620716795
28.7	46	4.29477604644
28.8	46	4.2955512244
28.9	219	4.28491453852
29.0	47	4.25137125741
29.1	46	4.24962033138
29.2	46	4.26002316553
29.3	46	4.26282666734
29.4	47	4.26943748117
29.5	47	4.26098851332
29.6	46	4.30092802809
29.7	47	4.32273096702
29.8	46	4.33069792723
29.9	47	4.31892338312
30.0	47	4.25726382508
30.1	47	4.35622036243
30.2	47	4.40015078989
