Time	Volt	Leap_angle
0.0	114	5.40602502945
0.1	113	5.41630989305
0.2	117	5.44172120082
0.3	121	5.48908698558
0.4	126	5.53626115396
0.5	133	5.5846524647
0.6	182	5.65769558413
0.7	301	5.97697671049
0.8	299	60.9199379071
0.9	298	66.1333580009
1.0	299	70.0824720177
1.1	299	73.1963109245
1.2	299	76.2139054367
1.3	164	78.6318556955
1.4	55	80.3448248241
1.5	58	71.5279564954
1.6	59	63.8137928682
1.7	61	60.2879631362
1.8	63	56.669253305
1.9	64	51.5522172659
2.0	69	8.79354660798
2.1	272	4.8841916656
2.2	304	5.00123915022
2.3	299	51.2828141572
2.4	299	56.3276823436
2.5	298	59.2032193705
2.6	298	60.8261183336
2.7	249	61.9114049042
2.8	64	62.9915278402
2.9	57	64.8006987841
3.0	57	4.2685199237
3.1	58	3.32790221172
3.2	59	2.97282355268
3.3	62	2.80804965875
3.4	66	2.68438187573
3.5	257	2.68066043537
3.6	296	4.36134288756
3.7	296	52.0424138784
3.8	297	55.6634732652
3.9	297	59.6306167869
4.0	296	62.5200639056
4.1	296	64.4780002762
4.2	174	65.4070282945
4.3	55	66.2431186327
4.4	56	28.4772428584
4.5	57	8.87353975499
4.6	58	4.26783162638
4.7	59	3.60641197952
4.8	61	3.39049764547
4.8	175	3.23990700037
4.9	300	3.85595010797
5.0	302	43.9459059633
5.1	302	54.8940487323
5.2	303	59.1754171458
5.4	303	62.2697766259
5.4	282	63.8343646307
5.5	60	65.1753512591
5.6	57	66.7407275522
5.7	56	66.5315800831
5.8	57	62.5300199663
5.9	58	52.9409131267
6.0	59	38.152945864
6.1	61	8.97944768497
6.2	212	4.90504486182
6.3	305	4.16391238815
6.4	305	49.3526010005
6.5	304	55.9654568814
6.6	305	58.7770920196
6.7	305	61.8719093497
6.8	298	63.5568203158
6.9	85	64.518730263
7.0	54	67.2998520289
7.1	56	3.54651972035
7.2	57	3.01824217578
7.3	57	2.75882155793
7.4	58	2.62316161042
7.5	69	2.67415376157
7.6	276	2.70855510019
7.7	307	36.5740230251
7.8	304	65.1241046526
7.9	304	69.3726578527
8.0	304	72.7763959079
8.1	296	74.4977972544
8.2	73	75.5800883828
8.3	53	75.1767886755
8.4	55	12.6827419681
8.5	56	6.5122557646
8.6	57	3.64561526852
8.7	55	3.14734273303
8.8	58	2.88527290451
8.9	265	2.91268810517
9.0	309	4.33155712212
9.1	309	54.6616704002
9.2	311	58.6239557233
9.3	311	61.0211209635
9.4	311	62.7499637933
9.5	113	64.403608569
9.6	51	65.8383108382
9.7	51	66.3764900044
9.8	53	66.1232709217
