Time	Volt	Leap_angle
0	64	5.842444109
0	66	5.868187017
0.1	82	6.574202461
0.2	163	9.021905489
0.3	170	4.414726889
0.4	172	9.96302554
0.5	171	14.46107701
0.6	171	17.43956277
0.7	133	20.28201048
0.8	72	21.91849004
0.9	60	28.8422742
1	57	15.31794254
1.1	58	8.376533889
1.2	58	6.495915031
1.3	59	5.966735359
1.4	60	5.830017692
1.5	61	6.005050693
1.6	62	6.200299105
1.7	68	6.514634124
1.8	81	6.860098058
1.9	102	9.773865372
2	144	15.48632366
2.1	154	26.64714825
2.2	153	34.59025981
2.3	154	39.00189743
2.4	153	41.85175304
2.5	153	44.25688284
2.6	153	46.56643822
2.7	152	48.416628
2.8	153	51.43148522
2.9	153	53.70278386
3	153	55.80027351
3.1	77	57.8597123
3.2	61	54.44555299
3.3	59	5.128468752
3.4	58	4.621180914
3.5	59	5.046205297
3.6	58	5.715391583
3.7	60	5.969034622
3.8	64	6.320837155
3.9	68	7.074292874
4	70	7.85173002
4.1	70	8.954930334
4.2	72	9.781466743
4.3	74	10.5327626
4.4	81	12.19648591
4.5	127	15.79695333
4.6	148	20.97659691
4.7	151	27.33018737
4.8	152	31.5819206
4.9	153	33.98333861
5	152	36.44204829
5.1	154	38.55802704
5.2	153	40.74801909
5.3	153	42.86004785
5.4	152	44.42961273
5.5	152	46.40986498
5.6	104	47.86407584
5.7	67	46.83634186
5.8	61	36.81306589
5.9	60	13.62746077
6	59	7.586152704
6.1	61	5.439055693
6.2	61	4.482487358
6.3	62	4.210357956
6.4	65	4.370673809
6.5	65	4.232719134
6.6	65	3.763327619
6.7	66	3.735754161
6.8	67	4.665728441
6.9	76	7.689011647
7	103	9.705289016
7.1	126	11.43287161
7.2	144	14.24598055
7.3	147	19.56015876
7.4	146	23.49481752
7.5	146	25.58153928
7.6	146	27.56348146
7.7	145	29.03258203
7.8	144	29.58638525
7.9	144	29.84800857
8	147	30.16720594
8.1	147	30.55730404
8.2	144	30.69409491
8.3	95	30.44720898
8.4	66	28.45460864
8.5	59	48.28297964
8.6	59	45.37931194
8.7	58	33.74515144
8.8	58	26.2823397
8.9	58	20.03284571
9	60	16.08925052
9.1	60	13.69653082
9.2	63	12.67167775
9.3	64	12.26427419
9.4	72	13.08856151
9.5	84	14.59660955
9.6	122	19.41175102
9.7	148	28.39480905
9.8	153	34.57932188
9.9	174	40.45464652
10	154	44.45837864
10.1	155	48.48238614
10.2	154	52.33345715
10.3	154	55.32001736
10.4	154	57.22416925
10.5	153	59.14303204
10.6	154	61.01369555
10.7	154	62.32807029
10.8	154	63.06351416
10.9	150	63.70872352
11	151	64.00984604
11.1	143	64.28326641
11.2	81	64.58478949
11.3	66	63.49444407
11.4	63	36.20751906
11.5	63	12.27754672
11.6	62	6.857181133
11.7	62	5.22794695
11.8	62	5.17494497
11.9	63	5.45589137
12	63	5.76707759
12.1	64	6.036080601
12.2	66	6.260058476
12.3	73	6.803944838
12.4	108	10.17697298
12.5	150	14.87087546
12.6	154	29.35873604
12.7	155	35.43928626
12.8	154	40.39607257
12.9	155	44.49760687
13	153	48.75137703
13.1	152	51.85284719
13.2	153	53.90471492
13.3	153	55.01222179
