Time	Volt	Leap_angle
0.0	103	26.9373081097
0.1	101	27.0646954762
0.2	102	27.1991079834
0.3	103	26.9404138413
0.4	102	26.4553673137
0.5	102	26.2904136285
0.6	103	26.2263912461
0.7	108	26.2241578025
0.8	133	26.2314525491
0.9	147	27.2912515697
1.0	166	30.7296887726
1.1	179	37.7682859827
1.2	178	46.0347775401
1.3	177	50.754206873
1.4	177	52.9435963193
1.5	177	54.3077162225
1.6	177	55.0699135022
1.7	176	55.1437305471
1.8	176	55.0241176526
1.9	176	54.9226680704
2.0	176	54.7204141623
2.1	165	54.5381386017
2.2	149	54.4972016482
2.3	127	53.3483980291
2.4	106	50.1920014365
2.5	91	44.3455960982
2.6	83	38.9575749914
2.7	81	33.6300022602
2.8	81	28.6214525426
2.9	81	26.521170824
3.0	83	25.3694440027
3.1	92	24.907285669
3.2	91	24.8032877579
3.3	99	25.2099351654
3.4	125	26.4972452027
3.5	158	30.066004366
3.6	170	37.8472436069
3.7	170	47.8434314627
3.8	170	53.5238653512
3.9	169	55.9141675776
4.0	168	56.6050120836
4.1	169	57.3148867916
4.2	169	57.6356469343
4.3	170	57.7924179067
4.4	168	57.7105961701
4.5	139	57.4464473664
4.6	108	56.8477647276
4.7	92	53.3959566252
4.8	81	45.8134391274
4.9	72	37.1619545622
5.0	71	32.2436529024
5.1	68	28.5488915795
5.2	68	26.0776549479
5.3	69	24.759160475
5.4	69	23.7794693618
5.5	69	22.9612125834
5.6	77	22.263659629
5.7	120	22.0826102319
5.8	138	22.8366264678
5.9	155	25.1852128057
6.0	168	27.6910583999
6.1	179	31.2433973629
6.2	181	36.7184774648
6.3	184	44.3721050272
6.4	185	51.1071386371
6.5	188	55.5342330907
6.6	192	59.6125458112
6.7	195	62.1941756215
6.8	197	64.123888242
6.9	197	66.2364600094
7.0	197	67.5617601978
7.1	197	68.5645818114
7.2	196	69.3778101934
7.3	192	69.8748671052
7.4	187	70.2335465103
7.5	180	70.4031627019
7.6	170	69.9747427956
7.7	152	67.9590200824
7.8	143	64.9676212405
7.9	138	59.8858513792
8.0	135	48.1388188053
8.1	133	42.3070155179
8.2	127	41.230530803
8.3	126	41.5375422537
8.4	124	41.3185396792
8.5	130	41.3179758771
