Time	Volt	Leap_angle
0.0	315	79.1967937546
0.1	316	79.1967607258
0.2	314	79.1967329121
0.3	313	79.1966946682
0.4	314	79.1966599011
0.5	314	79.1966338257
0.6	314	79.1966077503
0.7	315	79.1965729832
0.8	314	79.1965521229
0.9	314	79.1965173557
1.0	314	79.1964930187
1.1	314	79.196465205
1.2	313	79.196446083
1.3	315	79.1964269611
1.4	314	79.1964078391
1.5	314	79.1963869788
1.6	313	79.1963643802
1.7	312	79.1963469966
1.8	312	79.1963191828
1.9	313	79.1963139677
2.0	312	79.1962878924
2.1	313	79.1962739855
2.2	312	79.196267032
2.3	312	79.196242695
2.4	312	79.1962322648
2.5	312	79.1962200963
2.6	312	79.1962131429
2.7	313	79.1962027127
2.8	313	79.1961922826
2.9	313	79.1961783757
3.0	313	79.1961627304
3.1	313	79.1961523003
3.2	314	79.1961401318
3.3	313	79.19613144
3.4	314	79.1961192714
3.5	313	79.1961140564
3.6	312	79.1961071029
3.7	313	79.196093196
3.8	313	79.1960810275
3.9	314	79.1960740741
4.0	314	79.1960671206
4.1	315	79.1960532137
4.2	314	79.1960532137
4.3	313	79.196049737
4.4	314	79.1960375685
4.5	314	79.1960288767
4.6	315	79.1960254
4.7	314	79.1960149698
4.8	315	79.1960080163
4.9	315	79.196006278
5.0	315	79.1959906327
5.1	316	79.1959923711
5.2	315	79.1959941095
5.3	315	79.1959819409
5.4	315	79.195968034
5.5	316	79.1959662957
5.6	314	79.1959697724
5.7	316	79.1959576039
5.8	316	79.1959541271
5.9	315	79.1959454353
6.0	315	79.1959471737
6.1	316	79.195943697
6.2	316	79.1959280517
6.3	314	79.1959210983
6.4	315	79.1959332668
6.5	315	79.1959193599
6.6	316	79.1959071914
6.7	316	79.1959106681
6.8	315	79.1959124065
6.9	314	79.1959071914
7.0	315	79.1959002379
7.1	315	79.1958950228
7.2	315	79.1958915461
7.3	315	79.1958811159
7.4	314	79.1958828543
7.5	313	79.1958811159
7.6	315	79.1958845927
7.7	315	79.1958793776
7.8	314	79.1958706858
7.9	315	79.1958706858
8.0	314	79.1958672091
8.1	313	79.1958637323
