Time	Volt	Leap_angle
0.0	305	72.2339356254
0.0	306	72.2286567856
0.1	306	72.216990427
0.2	305	72.2052981996
0.3	305	72.1970432411
0.4	304	72.1885081127
0.5	305	72.1823311438
0.6	304	72.1758472486
0.7	305	72.1710725115
0.8	303	72.1659675985
0.9	304	72.162152271
1.0	304	71.6169619611
1.1	305	70.8180215285
1.2	303	70.3426887284
1.3	304	70.1061569196
1.4	304	69.9149781037
1.5	304	69.7812201433
1.6	304	69.6966895688
1.7	304	69.617169686
1.8	304	69.5637345816
1.9	304	69.5109006765
2.0	303	69.4739467708
2.1	305	69.4362836198
2.2	304	69.2778484234
2.3	304	69.1688596025
2.4	304	69.0828778267
2.5	304	68.9921221457
2.6	303	68.9317560384
2.7	303	68.8722294668
2.8	303	68.8309253218
2.9	304	68.7888257052
3.0	304	68.7587160559
3.1	303	68.7273615588
3.2	304	68.7044969457
3.3	303	68.6802027189
3.4	304	68.6621796888
3.5	304	68.6428086948
3.6	303	68.6282686836
3.7	303	68.6124582207
3.8	302	68.598179292
3.9	304	68.5873105263
4.0	303	68.5753220332
4.1	304	68.5661208943
4.2	304	68.5559303595
4.3	303	68.5480599543
4.4	303	68.5392662462
4.5	302	68.5324408035
4.6	302	68.5247819825
4.7	302	68.5188109787
4.8	302	68.5120763322
4.9	302	68.5068095113
5.0	302	68.5008414406
5.1	302	68.4961578386
5.2	301	68.4908500633
5.3	302	68.4866653736
5.4	301	68.481889541
5.5	301	68.4773870463
5.6	302	68.4738095468
5.7	301	68.4704045077
5.8	301	68.4665000871
5.9	301	68.462788312
6.0	301	68.4598401184
6.1	301	68.4564549455
6.2	302	68.4537489534
6.3	301	68.450646363
6.4	302	68.4481532274
6.5	301	68.4453075491
6.6	301	68.4430144426
6.7	301	68.4403761318
6.8	301	68.438253698
6.9	300	68.4358227755
7.0	301	68.4338471619
7.1	302	68.4315777435
7.2	300	68.4297526354
7.3	301	68.4276484077
7.4	302	68.4259444383
7.5	301	68.4239650176
7.6	300	68.4223711787
7.7	304	68.4205184108
7.8	301	68.4187427428
7.9	301	68.4173104404
8.0	301	68.4156320578
8.1	301	68.414284196
8.2	301	68.4127049414
8.3	302	68.4114323435
8.4	302	68.4099577319
8.5	302	68.4087475475
8.6	301	68.4073482019
8.7	301	68.4062041074
8.8	300	68.4048892139
8.9	302	68.4038130492
9.0	302	68.4025532285
9.1	301	68.4015468332
9.2	303	68.4003549437
9.3	301	68.3993944461
9.4	301	68.3982557984
9.5	301	68.3973448737
9.6	301	68.396272326
9.7	301	68.3953668986
9.8	302	68.4035743085
9.9	302	68.3605192453
10.0	301	68.1684745321
10.1	301	67.7754396456
10.2	301	67.3862001262
10.3	301	66.8646944346
10.4	301	66.3395363232
10.5	302	65.6564113582
10.6	301	64.7298083843
10.7	300	64.0145495117
10.8	301	63.6126096499
10.9	301	63.1693409712
11.0	302	62.720119573
11.1	301	62.1616446073
11.2	302	61.8144365033
11.3	302	61.4650923386
11.4	301	61.1263781353
11.5	301	60.6362775895
11.6	301	60.1935061701
11.7	301	59.781902102
11.8	301	59.548195487
11.9	301	59.2277305082
12.0	301	58.9742151151
12.1	301	58.7806901207
12.2	301	58.6063659717
12.3	301	58.0647674686
12.4	302	57.6032271584
12.5	301	57.2698805742
12.6	301	56.6467777465
12.7	301	56.358921372
12.8	301	56.5304972417
12.9	301	56.5357741911
13.0	301	56.4795739242
13.1	301	56.4273909659
13.2	302	56.3593643973
13.3	301	56.2848877091
13.4	302	56.2399274994
13.5	302	56.1746792902
13.6	301	56.0579605881
13.7	301	56.0206936101
13.8	301	56.0184408453
13.9	302	56.0578906069
14.0	301	56.1443682595
14.1	301	56.1910597131
14.2	300	56.1068510696
14.3	300	56.0950302102
14.4	301	56.0802610903
14.5	301	56.0260267001
14.6	302	56.0290534402
14.7	302	56.0640528517
14.8	304	56.1701859433
14.9	301	56.2938826726
15.0	301	56.4968629539
15.1	302	56.9433224235
15.2	302	57.0274035129
15.3	302	56.9782515711
15.4	302	56.8323321868
15.5	302	56.6955478259
15.6	301	56.6319066766
15.7	302	56.1346871865
15.8	302	56.2294602319
15.9	302	56.6382732939
16.0	303	57.0228970561
16.1	304	57.9698487093
16.2	302	58.4652325042
16.3	303	59.152237171
16.4	302	59.7157726526
16.5	302	60.0766717312
16.6	302	60.3549724396
16.7	303	60.6274115298
16.8	302	60.9281339669
16.9	302	61.3315468831
17.0	303	61.7989895883
17.1	303	61.9817995878
17.2	303	62.3281551223
17.3	303	62.7496718444
17.4	302	63.4641298009
17.5	303	63.8242276121
17.6	302	63.7189620229
17.7	302	63.6764728038
17.8	303	63.5225107937
17.9	303	63.4624692981
18.0	303	63.4927572913
18.1	303	63.4531280446
18.2	303	63.4427781008
18.3	303	63.6459586461
18.4	303	64.2568774882
18.5	303	65.0803551955
18.6	303	66.0460120141
18.7	304	66.4418496684
18.8	303	66.9903778618
18.9	303	67.2957910385
19.0	303	67.4313564912
19.1	303	67.5342458077
19.2	303	67.5933547387
19.3	303	67.6454449274
19.4	304	67.7726266266
19.5	304	68.3210749731
19.6	304	68.8969130853
19.7	304	69.3322394956
19.8	304	69.6294613834
19.9	303	70.3356424042
20.0	304	71.060319124
20.1	305	71.9954767808
20.2	304	72.7620757578
20.3	303	73.2533810749
20.4	304	73.4421260657
20.5	304	73.4408879758
20.6	304	73.4462410985
20.7	304	73.4229427961
20.8	304	73.2660661569
20.9	304	73.1375856556
21.0	304	72.7738859393
21.1	304	72.7650006627
21.2	304	72.7521171462
21.3	304	72.7790774606
21.4	304	72.8798899737
21.5	304	72.9956797411
21.6	304	73.0800647339
21.7	304	73.1298025386
21.8	303	73.0717330688
21.9	303	72.8867508412
22.0	303	72.7756861838
22.1	303	72.7202137869
22.2	304	72.6752836544
22.3	305	72.5774677573
22.4	304	72.4183984381
22.5	302	72.3529587173
22.6	304	72.3049517297
22.7	303	72.302485443
22.8	303	71.7325616103
22.9	302	71.4669135905
23.0	303	71.401845699
23.1	302	71.3839437537
23.2	302	71.3429600124
23.3	304	71.2889396238
23.4	303	71.2520569144
23.5	302	71.1940877474
23.6	303	71.4681832511
23.7	303	72.2646767518
23.8	303	72.7900463938
23.9	302	73.1676980552
24.0	303	73.3897701822
24.1	302	73.7404213202
24.2	302	73.9338389882
24.3	302	74.3173218986
24.4	302	74.5252049312
24.5	302	74.6679912433
24.6	304	74.7915825035
24.7	303	74.8679906825
24.8	302	74.879942666
24.9	302	74.8365058197
25.0	302	74.6151846392
25.1	302	74.4726880781
25.2	302	74.4005280162
25.3	302	74.2343976662
25.4	303	74.12632142
25.5	302	74.0791263913
25.6	301	74.0208621097
25.7	302	73.9793379269
25.8	302	73.9396584145
25.9	302	73.9126726099
26.0	303	73.885752457
26.1	304	73.8668046779
26.2	302	73.8473146583
26.3	302	73.8332416847
26.4	302	73.8184760742
26.5	302	73.8076300699
26.6	302	73.7960526361
26.7	303	73.7874211288
26.8	302	73.7781045803
26.9	303	73.7710764209
27.0	302	73.7634042012
27.1	302	73.7575653598
27.2	302	73.7511518605
27.3	301	73.7452806396
27.4	302	73.7407610496
27.5	302	73.7365597475
27.6	302	73.7318585227
27.7	303	73.7275165044
27.8	302	73.724140301
27.9	302	73.7203548995
28.0	302	73.7173734887
28.1	302	73.9886574607
28.2	302	74.9096720067
28.3	302	75.2217759919
28.4	302	75.4895528866
28.5	301	75.6479781981
28.6	302	75.726022884
28.7	302	75.7887269796
28.8	302	75.7136739727
28.9	301	75.6192722718
29.0	303	75.3787966897
29.1	302	75.224958237
29.2	302	75.1464674775
29.3	301	75.082048398
29.4	298	75.0365299734
29.5	301	75.0076049544
29.6	301	74.980226519
29.7	302	74.9617612857
29.8	301	74.9434341454
29.9	300	74.930624545
30.0	300	74.9174887758
30.1	301	74.9080661733
30.2	300	74.8981974592
