Time	Volt	Leap_angle
0.0	73	47.9405745723
0.0	73	47.9896350773
0.1	74	48.05918372
0.2	75	48.1750979504
0.3	74	48.4183401147
0.4	75	48.7244224694
0.5	77	49.0512218824
0.6	82	49.3684878202
0.7	92	49.8739495267
0.8	108	51.0067324973
0.9	127	54.0463409527
1.0	140	56.8877102847
1.1	161	58.977765899
1.2	179	59.6954864528
1.3	181	62.0218135928
1.4	182	64.3091189268
1.5	182	65.4976059532
1.6	181	66.0030373817
1.7	179	66.4362331981
1.8	172	66.7949542182
1.9	170	66.909614085
2.0	166	67.1560816846
2.1	163	67.3324077895
2.2	161	67.7480024603
2.3	158	68.2240580936
2.4	159	68.7188608165
2.5	157	69.0629145446
2.6	158	69.2581739001
2.7	154	69.3647903445
2.8	147	69.420485455
2.9	139	69.4297653879
3.0	134	69.2891561007
3.1	132	69.0042249902
3.2	131	68.7759450889
3.3	127	68.4934195499
3.4	115	68.0131054267
3.5	103	67.175379873
3.6	90	65.1373469146
3.7	81	63.3584031952
3.8	81	24.7997625619
3.9	74	25.0004808486
4.0	76	23.2233443137
4.1	86	21.3271628515
4.2	116	20.5426856325
4.3	134	20.2211166104
4.4	148	22.6221993926
4.5	156	26.9003984129
4.6	167	30.0100679479
4.7	173	35.4887828719
4.8	173	41.8692758066
4.9	173	47.2806716474
5.0	173	49.7297254858
5.1	174	51.4771545019
5.2	173	52.7737130157
5.3	172	53.8245245008
5.4	164	54.4103559439
5.5	150	54.7666485038
5.6	138	54.9268326264
5.7	126	53.9921232694
5.8	113	51.0019297059
5.9	99	45.9840533733
6.0	91	38.3201004235
6.1	85	33.9435676486
6.2	77	30.6835627354
6.3	72	26.9649615865
6.4	71	24.5784528001
6.5	70	22.2101641422
6.6	70	19.7078063144
6.7	68	18.014743488
6.8	68	17.081452079
6.9	71	16.6755232103
7.0	105	15.5346100324
7.1	385	14.8722193931
7.2	159	18.4099706518
7.3	174	23.1114084191
7.4	176	28.0479037336
7.5	176	31.4543759868
7.6	175	35.8607652356
7.7	175	39.936729474
7.8	175	43.6804217001
7.9	171	46.4166213212
8.0	148	48.1335865664
8.1	125	49.493191919
8.2	107	50.5984041972
8.3	94	48.9908227429
8.4	86	42.0257434499
8.5	81	29.3478120422
8.6	77	24.390015672
8.7	74	20.9490193206
8.8	74	18.1065584952
8.9	72	15.8705254823
9.0	71	14.554350921
9.1	72	13.2065720182
9.2	72	11.4367991202
9.3	70	9.70275644318
9.4	68	8.18611564479
9.5	67	7.36409854614
9.6	75	7.17107666535
9.7	94	7.15612399549
9.8	98	8.13431477949
9.9	121	9.33262502545
10.0	155	10.8901966695
10.1	170	17.743098799
10.2	177	24.0057547714
10.3	179	28.3814558749
10.4	178	33.2835165133
10.5	178	38.3933931383
10.6	180	41.946976413
10.7	179	44.5968033153
10.8	177	46.6190311151
10.9	166	48.2029603454
11.0	157	49.41318017
11.1	146	49.9570487109
11.2	141	49.8855744291
11.3	134	49.6136429453
11.4	125	48.4595449376
11.5	116	46.6146986752
11.6	108	40.9222197495
11.7	99	31.6750590766
11.8	89	27.1161323281
11.9	82	24.1028615448
12.0	81	21.7436445359
12.1	78	20.6191907836
12.2	81	18.7618884403
12.3	82	17.6136579934
12.4	82	17.3698724001
12.5	82	17.1691309638
12.6	85	17.1673955273
12.7	87	17.1121196214
12.8	88	17.0061132056
12.9	115	16.9220268445
13.0	140	18.333364468
13.1	156	21.6524744162
13.2	174	25.6374626139
13.3	174	29.7492776405
13.4	172	34.4431926031
13.5	172	37.4798746474
13.6	172	39.3929031298
13.7	172	40.3771719114
13.8	170	40.9074317356
13.9	170	41.3402748723
14.0	169	41.4842157169
14.1	133	41.463300564
14.2	92	40.6268334263
14.3	79	29.6261812353
14.4	73	20.0328257665
14.5	70	16.9021047331
14.6	69	15.1207629807
14.7	69	14.5683689949
14.8	69	13.4571898881
14.9	70	12.9246832941
15.0	71	12.7069381015
15.1	71	12.6578769649
15.2	73	12.6827730777
15.3	78	12.834980494
15.4	85	14.1306437578
15.5	114	15.6588347032
15.6	166	17.6275795238
15.7	175	20.8393684429
15.8	175	29.2270109085
15.9	173	32.9884561376
16.0	174	35.7278287659
16.1	175	38.055162459
16.2	175	40.6358013459
16.3	177	42.5906744476
16.4	169	44.0859141532
16.5	132	45.1361857603
16.6	99	45.5185370604
16.7	86	33.7140556026
16.8	80	22.8876794543
16.9	76	18.8832337243
17.0	73	17.8578947073
17.1	73	17.312997169
17.2	77	16.740298794
17.3	72	16.2036423388
17.4	73	15.8973282117
17.5	74	15.7071588789
17.6	76	15.6731133408
17.7	79	15.6981998625
17.8	85	16.0124359676
17.9	94	17.0466191758
18.0	115	18.4534890818
18.1	159	20.4190610133
18.2	175	25.6240333874
18.3	176	30.3926709459
18.4	175	35.8307726293
18.5	177	40.4236145553
18.6	176	43.2534344577
18.7	177	45.0790420407
18.8	176	46.2157236142
18.9	176	46.844268049
19.0	176	47.1601942372
19.1	174	47.1917728446
19.2	151	46.9998776502
19.3	109	46.5610343831
19.4	90	41.0938580515
19.5	84	33.7557364684
19.6	80	25.0645886082
19.7	79	22.7268061807
19.8	77	20.9188629127
19.9	74	19.86273342
20.0	72	18.4982649681
20.1	73	17.4555315567
20.2	72	17.0573219535
20.3	72	16.9105248103
20.4	73	16.6983704074
20.5	78	16.5722542956
20.6	93	16.5732720014
20.7	104	17.3053985848
20.8	134	19.5154211556
20.9	157	22.1883265451
21.0	171	26.5450917253
21.1	176	31.8225673159
21.2	176	36.1062177372
21.3	175	38.9848119269
21.4	175	41.2292146778
21.5	176	42.9718907376
21.6	175	44.3156626109
21.7	175	44.8165609841
21.8	149	45.1632771365
21.9	128	45.2052667185
22.0	102	40.6664163042
22.1	89	33.8131961566
22.2	82	26.7500274442
22.3	81	22.3884319729
22.4	78	20.2869260337
22.5	78	18.9711993207
22.6	77	18.1875999799
22.7	77	17.821353022
22.8	77	17.2088260099
22.9	77	16.8881562605
23.0	81	16.7469253383
23.1	91	16.6715000982
23.2	97	16.8081507637
23.3	125	18.7302000977
23.4	149	20.6149136742
23.5	165	23.1726957499
23.6	177	26.312441349
23.7	178	31.3621591526
23.8	178	34.8261389827
23.9	177	36.7645140122
24.0	178	39.7419747502
24.1	178	41.7039325625
24.2	178	43.4338983845
24.3	159	45.4148543472
24.4	125	46.8314489339
24.5	100	44.7073274496
24.6	91	33.8950485299
24.7	85	24.5959683019
24.8	81	20.8115306725
24.9	78	18.9179405798
25.0	76	17.6767836304
25.1	74	16.6460421632
25.2	74	15.934091586
25.3	73	15.5223767081
25.4	73	15.207216579
25.5	75	15.1002735983
25.6	80	15.0859778415
25.7	100	15.2405103307
25.8	108	17.1690152734
25.9	132	20.5754680063
26.0	156	23.0720943754
26.1	177	25.8247802967
26.2	187	30.5933837828
26.3	188	37.8961867886
26.4	190	44.4246803683
26.5	190	46.4250550779
26.6	190	48.0355668282
26.7	189	48.9680818273
26.8	189	49.7299850849
26.9	186	50.2806032552
27.0	140	51.0110999862
27.1	106	51.2779030351
27.2	97	41.8793190198
27.3	344	29.3512819276
27.4	87	26.2989014939
27.5	84	23.6562576097
27.6	80	22.2885338548
27.7	79	21.0841801462
27.8	78	20.4295616279
27.9	78	20.3261210157
28.0	78	20.2653639735
28.1	79	20.2088020643
28.2	78	20.2147131528
28.3	78	20.2345200296
28.4	78	20.2341941815
28.5	78	20.2064292552
28.6	77	20.2478162693
28.7	79	20.4367515193
28.8	79	20.5760996287
28.9	78	20.670053405
29.0	78	20.6641122146
29.1	79	20.5873491171
29.2	77	20.4472727643
29.3	78	20.3133165652
29.4	78	20.1677345615
29.5	78	19.998063531
29.6	78	19.8527199453
29.7	77	19.6627216005
29.8	76	19.5921937598
29.9	77	19.4878207964
30.0	77	19.3897084147
30.1	77	19.3167260127
30.2	77	19.2310393275
