Volt	Gesture	Length
65	0	5.5
67	0	5
68	0	5
70	0	5
74	0	5
79	0	5
80	0	5
67	0	5
69	0	5
69	0	5
120	15	5
130	15	5
131	15	5
128	15	5
129	15	5
130	15	5
129	15	5
133	15	5
130	15	5
130	15	5
160	30	5
164	30	5
165	30	5
166	30	5
171	30	5
172	30	5
173	30	5
173	30	5
173	30	5
158	30	5
199	45	5
202	45	5
185	45	5
194	45	5
201	45	5
187	45	5
189	45	5
191	45	5
192	45	5
191	45	5
223	60	5
225	60	5
226	60	5
227	60	5
224	60	5
228	60	5
229	60	5
231	60	5
231	60	5
219	60	5
260	75	5
280	75	5
282	75	5
285	75	5
274	75	5
269	75	5
260	75	5
264	75	5
282	75	5
281	75	5
298	90	5
297	90	5
297	90	5
296	90	5
300	90	5
299	90	5
299	90	5
298	90	5
298	90	5
298	90	5
