Volt	Gesture	Length
63	0	6
63	0	6
64	0	6
67	0	6
71	0	6
70	0	6
72	0	6
71	0	6
71	0	6
75	0	6
102	15	6
97	15	6
116	15	6
123	15	6
123	15	6
121	15	6
127	15	6
128	15	6
132	15	6
130	15	6
151	30	6
180	30	6
165	30	6
194	30	6
192	30	6
191	30	6
203	30	6
194	30	6
208	30	6
205	30	6
230	45	6
232	45	6
215	45	6
211	45	6
209	45	6
216	45	6
232	45	6
222	45	6
229	45	6
227	45	6
252	60	6
254	60	6
259	60	6
258	60	6
254	60	6
251	60	6
247	60	6
245	60	6
247	60	6
260	60	6
298	75	6
299	75	6
289	75	6
300	75	6
304	75	6
290	75	6
293	75	6
289	75	6
313	75	6
295	75	6
340	90	6
338	90	6
336	90	6
334	90	6
334	90	6
332	90	6
331	90	6
331	90	6
331	90	6
333	90	6
