Volt	Gesture	Length
66	0	5.5
66	0	5.5
68	0	5.5
67	0	5.5
75	0	5.5
77	0	5.5
82	0	5.5
72	0	5.5
75	0	5.5
79	0	5.5
154	15	5.5
161	15	5.5
125	15	5.5
139	15	5.5
150	15	5.5
163	15	5.5
177	15	5.5
153	15	5.5
169	15	5.5
164	15	5.5
190	30	5.5
187	30	5.5
199	30	5.5
195	30	5.5
202	30	5.5
206	30	5.5
190	30	5.5
196	30	5.5
191	30	5.5
179	30	5.5
227	45	5.5
210	45	5.5
220	45	5.5
208	45	5.5
210	45	5.5
212	45	5.5
229	45	5.5
227	45	5.5
238	45	5.5
230	45	5.5
256	60	5.5
251	60	5.5
255	60	5.5
258	60	5.5
256	60	5.5
262	60	5.5
262	60	5.5
263	60	5.5
261	60	5.5
260	60	5.5
288	75	5.5
294	75	5.5
291	75	5.5
286	75	5.5
294	75	5.5
296	75	5.5
291	75	5.5
290	75	5.5
289	75	5.5
285	75	5.5
319	90	5.5
317	90	5.5
318	90	5.5
315	90	5.5
315	90	5.5
312	90	5.5
317	90	5.5
317	90	5.5
315	90	5.5
319	90	5.5
