Time	Volt	Xaxis	Yaxis	Zaxis
236	255	536	441	397
416	239	543	441	392
440	238	539	443	393
464	237	540	443	396
488	237	539	440	395
512	236	537	440	395
536	235	538	438	396
560	233	539	437	394
584	231	542	437	394
608	230	540	434	390
632	230	540	435	389
656	229	543	435	390
680	229	539	434	394
704	229	538	435	396
728	228	539	436	395
752	229	540	437	396
776	228	538	437	396
800	227	539	437	398
824	227	538	436	396
848	228	540	436	396
872	227	540	437	398
896	227	540	438	397
920	227	540	438	396
944	227	539	435	396
1057	226	538	438	394
1081	225	540	438	394
1105	224	541	438	393
1129	223	539	438	393
1153	223	539	439	391
1177	224	540	442	393
1201	223	538	441	394
1225	223	539	440	394
1249	223	539	439	392
1273	222	538	439	391
1297	222	539	438	391
1321	222	539	440	389
1345	221	539	440	388
1369	221	539	441	387
1393	221	538	442	388
1417	221	538	442	388
1441	220	538	440	387
1465	219	539	437	387
1489	219	538	437	386
1513	219	539	436	387
1537	218	539	436	387
1561	217	539	439	386
1585	217	540	439	385
1706	217	536	446	381
1730	219	538	446	383
1754	217	538	448	384
1778	218	536	445	385
1802	218	536	444	386
1826	217	537	444	385
1850	216	537	444	386
1874	217	537	444	385
1898	218	538	445	384
1922	217	537	445	382
1946	218	537	444	382
1970	217	536	445	382
1994	217	537	444	383
2018	218	536	443	383
2042	218	537	443	382
2066	218	537	442	384
2090	217	537	443	383
2114	218	537	441	384
2138	217	537	441	383
2162	218	538	443	381
2186	218	538	444	382
2210	218	537	446	382
2234	218	537	445	385
2354	217	537	439	386
2378	218	539	443	385
2402	217	542	446	384
2426	217	539	442	388
2450	219	538	438	390
2474	217	538	438	386
2498	217	538	441	385
2522	217	539	442	384
2546	217	537	440	384
2570	217	538	438	385
2594	217	538	441	386
2618	217	538	441	388
2642	217	539	439	389
2666	217	540	438	390
2690	216	540	438	391
2714	216	540	435	391
2738	217	541	435	391
2762	217	538	436	391
2786	216	540	437	392
2810	216	540	438	392
2834	217	540	436	392
2858	217	539	435	392
2882	217	539	434	393
3003	216	540	436	393
3027	216	541	437	394
3051	216	541	435	393
3075	216	540	435	394
3099	216	540	435	396
3123	217	540	434	395
3147	217	539	436	395
3171	216	539	434	394
3195	216	541	434	394
3219	216	541	435	395
3243	216	539	433	395
3267	216	542	432	394
3291	217	540	431	392
3315	216	541	431	396
3339	216	541	430	394
3363	216	540	431	395
3387	217	541	431	396
3411	216	540	432	395
3435	217	542	433	394
3459	215	539	436	392
3483	218	541	437	395
3507	215	542	436	396
3531	216	542	433	397
3555	217	540	430	396
3677	216	538	435	393
3701	215	540	435	395
3725	217	540	433	395
3749	216	541	432	395
3773	215	541	432	395
3829	216	542	433	394
3853	215	541	433	395
3877	217	540	435	395
3901	216	540	435	393
3925	215	540	435	393
3949	216	541	435	394
3973	216	541	436	393
3997	216	540	435	395
4021	215	540	435	395
4045	216	542	434	395
4069	216	542	431	395
4093	217	541	430	396
4117	215	541	429	395
4141	216	542	430	395
4165	216	542	431	396
4189	216	543	431	397
4213	216	542	429	398
4237	216	541	430	398
4357	217	543	425	402
4381	217	542	426	403
4405	216	541	425	404
4429	216	539	428	406
4453	217	540	427	403
4477	217	540	427	404
4501	216	542	427	404
4525	217	542	429	405
4549	216	543	427	404
4573	218	543	427	406
4597	217	542	426	407
4621	217	541	424	405
4645	218	541	423	403
4669	217	544	428	402
4693	217	545	430	406
4717	218	545	434	409
4741	217	542	425	412
4765	217	540	423	409
4789	216	541	424	408
4813	217	540	415	408
4837	218	539	419	405
4861	218	545	432	406
4885	217	543	432	408
5009	218	543	425	404
5032	217	546	427	403
5055	216	542	425	402
5078	216	542	423	403
5101	213	544	427	397
5124	206	550	426	398
5147	195	540	432	400
5170	155	548	425	395
5193	129	560	436	411
5216	105	536	441	406
5239	92	546	425	413
5262	87	539	419	420
5285	83	517	406	414
5308	80	531	411	409
5331	84	537	417	410
5354	93	542	420	409
5377	104	529	427	412
5400	114	540	436	413
5423	121	547	443	407
5446	126	547	440	406
5469	128	545	442	408
5533	132	542	433	403
5556	134	537	420	396
5579	137	536	419	398
5606	138	539	423	400
