Time	Volt	Xaxis	Yaxis	Zaxis
446	58	415	314	528
639	57	397	327	518
825	58	411	317	542
1008	58	389	369	521
1186	58	433	349	553
1369	59	402	374	543
1395	59	400	376	562
1420	59	367	368	585
1445	58	334	351	584
1470	59	333	334	563
1495	59	350	340	543
1520	59	361	346	539
1545	59	383	349	545
1570	59	395	342	547
1595	58	381	332	555
1620	59	379	328	560
1645	58	373	326	553
1670	58	370	326	540
1695	58	374	334	534
1720	59	382	341	538
1745	58	389	341	545
1770	59	389	340	546
1795	58	391	346	548
1820	58	392	353	555
1849	60	387	356	558
1875	59	373	369	552
1901	59	372	362	549
1927	59	378	367	545
1953	59	391	367	540
1979	60	389	370	538
2005	60	377	365	537
2031	58	381	364	538
2057	57	399	362	537
2083	56	399	363	537
2109	56	391	363	538
2135	53	397	350	536
2161	49	395	351	535
2187	47	378	360	538
2213	45	383	364	531
2239	44	389	366	515
2265	44	380	360	520
2291	49	378	367	525
2317	53	385	366	530
2343	43	379	367	525
2369	49	365	365	526
2395	85	390	375	522
2421	58	351	358	538
2447	42	346	345	555
2477	42	369	332	549
2502	43	368	315	570
2527	44	354	315	592
2552	44	357	332	582
2577	43	336	327	582
2602	43	334	331	574
2627	44	333	330	568
2652	46	339	350	573
2677	46	309	358	570
2702	47	312	366	558
2727	49	342	373	550
2752	50	337	380	560
2777	52	312	369	565
2802	50	321	362	569
2827	51	334	360	560
2852	52	331	349	563
2877	54	327	343	556
2902	53	349	375	518
2927	54	318	376	524
2952	53	294	364	528
2977	54	350	349	531
3002	54	375	347	519
3027	54	359	345	523
3052	53	340	318	530
3082	54	399	331	527
3107	54	358	308	520
3132	54	346	298	528
3157	54	361	299	543
3182	53	359	313	526
3207	54	350	330	519
3232	54	354	335	530
3257	54	370	333	539
3282	54	366	341	545
3307	56	378	335	561
3332	56	367	333	553
3357	56	377	333	545
3382	57	371	323	538
3407	57	336	345	531
3432	57	338	352	535
3457	57	341	336	538
3482	57	328	338	527
3507	57	333	337	526
3532	58	340	338	517
3557	58	326	350	508
3582	60	327	350	516
3607	59	320	339	521
3632	60	297	337	531
3657	61	317	351	524
3682	61	332	354	526
3712	61	322	348	534
3737	61	338	347	527
3762	60	346	350	514
3787	62	344	358	513
3812	63	352	362	505
3837	65	361	362	493
3862	66	353	358	497
3887	67	357	356	497
3912	67	365	354	493
3937	69	364	349	502
3962	70	366	336	503
3987	69	367	341	490
4012	69	367	343	489
4037	68	357	343	501
4062	68	351	352	492
4087	67	334	334	514
4112	66	344	333	533
4137	64	358	313	549
4162	62	354	309	543
4187	62	357	314	535
4212	64	378	312	539
4237	62	381	313	526
4262	62	363	329	526
4287	62	389	310	530
4317	62	407	299	505
4343	62	387	296	505
4375	62	410	301	506
