Time	Volt	Xaxis	Yaxis	Zaxis
435	57	369	396	551
629	70	372	398	551
816	81	379	403	554
1000	96	382	401	552
1178	96	390	400	554
1360	95	390	395	553
1385	94	389	397	553
1410	94	387	400	552
1435	94	391	399	552
1460	94	377	398	551
1485	94	383	397	551
1510	93	385	396	551
1535	94	384	398	551
1560	95	402	397	553
1585	95	386	398	551
1610	95	388	399	552
1635	95	379	397	552
1660	96	389	400	553
1685	95	390	398	551
1710	95	384	396	553
1735	95	389	396	553
1760	95	395	396	553
1785	95	388	397	552
1810	95	388	397	553
1839	94	386	395	554
1864	95	380	397	553
1889	94	378	398	555
1914	95	398	398	553
1939	95	388	396	552
1964	96	390	396	553
1989	96	373	399	556
2014	94	390	399	554
2039	95	386	400	551
2064	95	388	398	552
2089	95	367	398	554
2114	95	397	397	553
2139	96	382	397	554
2164	96	381	399	554
2189	95	388	399	551
2214	95	385	398	554
2239	95	386	397	554
2264	96	383	396	553
2289	95	385	398	552
2314	95	383	398	551
2339	95	386	399	552
2364	95	384	397	553
2389	94	390	396	552
2414	94	384	398	552
2443	94	393	397	552
2468	95	389	396	553
2493	95	383	396	553
2518	95	396	396	554
2543	95	377	400	552
2568	96	389	397	552
2593	95	393	385	551
2618	96	389	392	554
2643	95	380	401	554
2668	95	390	403	553
2693	94	385	399	553
2718	95	387	393	552
2743	95	391	393	552
2768	95	386	396	554
2793	93	384	399	553
2818	93	387	396	552
2843	94	389	391	553
2868	93	385	391	553
2893	94	383	394	553
2918	93	388	396	555
2943	93	389	398	554
2968	92	387	397	554
2993	93	386	394	553
3018	92	386	395	553
3047	93	386	397	553
3072	95	384	395	553
3097	98	382	392	552
3122	99	386	404	549
3147	99	391	402	550
3172	101	390	396	552
3197	102	386	394	553
3222	102	390	395	551
3247	101	382	398	552
3272	101	378	398	551
3297	101	386	398	552
3322	102	389	396	552
3347	101	386	396	553
3372	101	385	396	552
3397	101	387	395	554
3422	101	386	396	551
3447	102	385	396	553
3472	101	380	398	552
3497	100	387	397	552
3522	101	387	397	552
3547	100	385	396	553
3572	101	384	397	553
3597	100	382	398	553
3622	100	385	399	551
3651	100	384	397	552
3676	99	387	397	553
3701	100	388	395	554
3726	100	389	393	547
3751	100	368	396	552
3776	100	386	394	553
3801	100	383	397	553
3826	99	374	398	552
3851	99	382	399	552
3876	99	378	399	553
3901	100	387	394	551
3926	100	380	395	554
3951	100	379	397	553
3976	100	382	396	552
4001	99	380	397	551
4026	100	379	397	552
4051	99	383	394	551
4076	99	379	397	550
4101	99	378	395	552
4126	99	379	398	551
4151	99	381	396	551
4176	99	380	398	551
4201	99	386	399	552
4226	98	390	395	552
4255	99	385	394	552
4280	98	381	394	552
4305	98	385	397	553
4337	98	382	396	554
4362	97	381	396	553
4387	97	382	396	553
4412	97	384	396	552
4437	97	383	395	554
4462	96	383	397	553
4487	96	383	396	554
4512	96	382	395	553
4537	96	382	395	552
4562	97	379	395	552
4587	96	384	396	553
4612	97	383	399	554
4637	101	386	396	549
4662	106	384	392	554
4687	108	379	391	557
4712	107	396	400	548
4737	107	384	402	550
4762	104	390	401	550
4787	103	383	399	550
4812	103	385	394	554
4837	102	385	397	551
4866	101	386	397	554
4891	100	386	397	555
4916	100	383	396	554
4941	98	384	396	553
4966	99	382	396	554
