Time	Volt	Xaxis	Yaxis	Zaxis
326	215	351	379	558
520	150	375	401	535
707	115	355	386	525
903	108	393	384	547
1092	109	345	390	556
1280	91	372	399	521
1388	81	317	357	653
1413	82	369	404	522
1438	85	337	380	554
1463	91	363	385	554
1488	92	381	378	543
1513	94	369	387	550
1538	96	352	386	549
1563	97	369	392	547
1588	97	363	390	550
1613	97	375	393	547
1638	96	376	401	558
1663	95	352	402	552
1688	94	352	398	546
1713	95	364	395	552
1738	94	354	394	550
1763	94	356	390	548
1788	93	356	378	547
1817	94	360	372	545
1842	93	343	365	540
1867	93	343	356	536
1892	93	344	356	541
1917	93	340	368	538
1942	95	344	378	543
1967	97	356	375	549
1992	97	369	366	545
2017	97	353	362	542
2042	97	350	361	540
2067	98	362	363	549
2092	98	359	368	545
2117	98	356	374	544
2142	98	358	380	545
2167	97	347	386	543
2192	98	347	390	547
2217	100	346	392	547
2242	98	346	396	542
2267	98	344	392	546
2292	96	344	394	545
2317	95	344	395	544
2342	92	341	390	547
2367	89	349	390	547
2392	89	351	384	547
2417	89	351	380	546
2446	88	352	376	544
2471	89	353	376	545
2496	89	348	375	542
2521	89	347	375	542
2546	89	351	376	545
2571	89	350	375	545
2596	89	349	375	543
2621	89	347	376	543
2646	88	347	378	543
2671	89	352	375	542
2696	90	348	377	544
2721	89	346	378	546
2746	90	349	379	545
2771	90	344	380	549
2796	90	343	384	551
2821	91	358	386	553
2846	92	343	381	559
2871	89	342	381	563
2896	87	339	375	566
2921	85	340	376	555
2946	84	343	379	532
2971	87	346	382	510
2996	93	364	384	512
3021	102	345	380	540
3050	111	358	385	541
3075	117	345	381	538
3100	122	356	404	531
3125	126	345	393	536
3150	132	351	407	530
3175	142	373	392	532
3200	151	359	399	531
3225	152	376	392	522
3250	150	368	386	519
3275	149	330	361	646
3300	143	289	353	533
3325	136	392	402	532
3350	131	317	380	563
3375	130	381	388	549
3400	131	357	378	542
3425	131	353	383	547
3450	133	348	378	537
3475	134	347	384	544
3500	133	353	378	547
3525	135	359	382	544
3550	134	334	383	547
3575	133	359	385	548
3600	134	364	385	549
3629	132	341	385	546
3654	132	349	383	545
3679	130	352	382	541
3704	130	343	382	541
3729	130	352	383	546
3754	130	349	388	544
3779	131	347	390	543
3804	133	345	397	547
3829	136	347	393	545
3854	138	339	391	544
3879	138	341	388	542
3904	138	350	386	548
3929	137	348	384	545
3954	137	345	380	544
3979	136	347	367	543
4004	135	356	351	542
4029	134	366	327	544
4054	134	371	353	545
4079	130	335	375	547
4104	128	348	350	541
4129	128	356	353	541
4154	127	353	350	539
4179	128	350	358	541
4204	128	345	362	542
4233	128	347	371	538
4258	128	339	387	543
4283	127	348	404	545
4315	129	344	432	550
4340	128	349	452	556
4365	130	363	457	559
4390	132	363	402	558
4415	136	336	393	529
4440	137	334	390	540
4465	137	349	391	544
4490	137	359	395	551
4515	138	352	391	549
4540	138	352	384	548
4565	138	350	382	549
4590	137	358	382	547
4615	137	350	375	546
4640	137	356	373	545
4665	136	345	366	543
4690	137	350	358	540
4715	137	349	348	538
4740	136	347	347	541
4765	136	348	349	540
4790	134	352	374	543
4819	133	346	379	545
4844	133	347	386	544
4869	133	354	386	545
4894	132	345	388	543
4919	135	344	386	542
4944	135	347	385	547
4969	136	351	392	546
4994	135	342	393	545
5019	135	345	390	545
5044	136	343	380	542
5069	135	345	381	543
5094	136	344	380	544
5119	135	348	376	544
5144	134	341	374	543
5169	135	344	373	541
5194	134	346	372	541
5219	134	350	381	543
5244	133	344	388	546
5269	134	351	396	547
5294	134	338	405	545
5319	134	339	402	544
5344	129	345	397	544
5369	125	347	387	547
5398	115	339	385	542
5423	109	345	384	544
5448	109	349	382	547
5473	107	345	388	544
5498	105	342	387	545
5523	106	353	390	546
5548	106	348	389	545
5573	107	342	385	544
5598	106	344	381	545
5623	107	349	382	545
5648	108	348	384	542
5673	106	345	383	545
5698	107	344	384	543
5723	108	349	385	545
5748	109	349	384	543
5773	109	342	385	544
5798	111	346	384	547
5823	112	353	383	543
5848	111	348	385	545
5873	111	357	394	543
5898	110	332	396	544
5923	111	341	397	544
5948	110	344	387	545
5973	109	344	387	543
5996	107	344	381	547
6021	107	346	367	541
6046	106	348	345	542
6071	103	357	336	543
6096	101	371	352	544
6121	99	360	383	545
6146	99	327	395	542
6171	100	355	380	543
6196	99	360	387	543
6221	99	345	381	541
6246	101	354	385	545
6271	102	351	381	549
6296	102	354	378	545
6321	102	355	380	546
6346	101	340	383	542
6371	102	331	388	543
6396	102	353	389	549
6421	102	356	389	546
6446	102	336	390	548
6471	100	344	387	546
6496	100	352	385	547
6521	98	350	391	546
6546	98	340	389	542
6575	98	344	388	544
6600	98	350	380	542
6625	98	345	372	542
6650	98	348	354	541
6675	97	362	353	547
6700	99	354	379	546
6725	99	340	362	541
6750	100	332	376	544
6775	99	354	366	541
6800	99	352	374	541
6825	99	348	375	543
6850	99	343	384	540
6875	100	342	391	545
6900	99	345	396	541
6925	98	351	410	547
6950	99	353	422	553
6975	98	357	421	548
7000	98	339	389	553
7025	97	348	398	535
7050	96	328	396	543
7075	98	345	395	541
7100	98	337	389	542
7125	98	343	387	541
7150	98	338	381	542
7179	97	343	374	541
7204	97	345	368	541
7229	97	345	361	542
7254	98	352	360	543
7279	97	347	357	542
7304	97	353	356	542
7329	97	359	362	544
7354	98	341	381	542
7388	99	338	385	540
7420	100	333	389	541
7445	99	342	382	542
7470	100	343	376	542
7495	100	343	370	541
7520	99	337	370	541
7545	99	335	370	539
7580	99	340	372	540
7605	98	338	373	542
7630	99	343	377	541
7655	98	337	381	541
7680	99	337	383	539
7705	99	336	384	542
7730	99	338	386	544
7755	98	341	389	542
7780	98	341	393	542
7805	99	345	397	545
7834	98	345	400	545
7859	98	345	410	543
7884	99	342	420	544
7909	98	343	428	546
7934	97	341	401	547
7959	96	344	397	543
7984	97	351	403	546
8009	96	343	401	546
8034	98	342	402	545
8059	97	347	404	547
8084	97	341	401	545
8109	97	341	397	542
8134	97	337	392	542
8159	97	335	388	542
8184	98	332	384	540
8209	97	335	379	538
8234	99	337	377	539
8259	98	337	373	540
8284	98	339	369	539
8309	98	338	363	541
8334	98	347	360	543
8359	99	352	379	543
8384	100	336	384	544
8409	100	340	376	540
8438	100	337	378	541
8463	101	346	375	538
8488	100	339	380	541
8513	100	341	381	542
8538	100	339	386	541
