Time	Volt	Xaxis	Yaxis	Zaxis
477	335	364	353	543
672	334	362	348	538
862	334	357	355	541
1055	335	361	368	546
1244	330	350	364	545
1431	329	358	362	544
1615	328	361	353	546
1793	328	374	349	543
1976	332	368	346	541
2001	333	361	349	542
2026	333	358	350	542
2051	334	359	348	539
2076	333	350	348	541
2101	334	352	348	540
2126	334	344	349	538
2151	334	342	352	537
2176	334	343	355	539
2201	335	342	356	539
2226	336	351	356	539
2251	335	350	357	542
2276	336	355	357	542
2301	335	356	356	543
2326	336	359	355	544
2355	337	355	355	542
2380	337	358	355	543
2405	336	350	354	541
2430	337	353	354	540
2455	338	350	354	540
2480	338	346	352	539
2505	338	355	353	539
2530	339	347	351	539
2555	339	348	352	540
2580	339	349	355	540
2605	340	354	356	541
2630	341	360	353	539
2655	340	357	353	543
2680	340	354	355	544
2705	341	358	351	538
2730	341	360	350	538
2755	341	357	350	543
2780	341	356	351	540
2805	341	360	351	540
2830	340	357	351	542
2855	340	356	351	543
2880	341	355	351	542
2905	340	359	353	541
2934	341	355	354	543
2959	341	355	356	542
2984	340	357	356	541
3009	340	356	355	541
3034	340	355	356	542
3059	339	356	355	541
3084	339	357	354	541
3109	339	358	356	544
3134	339	360	354	544
3159	339	361	353	542
3184	339	358	351	541
3209	339	359	352	540
3234	339	357	349	541
3259	339	354	351	540
3284	338	358	352	542
3309	337	355	353	542
3334	338	355	354	541
3359	339	356	355	541
3384	337	354	353	542
3409	337	356	354	542
3434	337	356	355	543
3459	337	357	355	542
3484	336	360	355	545
3513	336	359	352	543
3538	335	357	352	542
3563	335	358	353	540
3588	334	357	351	541
3613	334	357	352	541
3638	334	356	351	541
3663	333	355	352	541
3688	333	357	351	541
3713	333	354	352	540
3738	333	356	351	541
3763	334	359	353	540
3788	332	360	353	545
3813	332	350	353	541
3838	333	356	353	541
3863	331	360	353	540
3888	331	353	351	542
3913	332	353	354	543
3938	332	361	352	543
3963	331	357	351	543
3988	332	353	349	542
4013	332	359	353	541
4038	332	357	351	543
4063	333	354	357	542
4092	333	359	356	542
4117	333	355	356	541
4142	333	358	354	542
4167	332	358	355	542
4192	334	361	354	540
4217	333	361	354	543
4242	333	360	359	546
4267	334	363	354	544
4292	333	367	350	542
4317	333	365	354	546
4342	333	372	357	547
4367	333	370	354	547
4392	333	371	354	546
4417	333	376	353	545
4442	334	375	351	543
4467	334	376	350	545
4492	334	376	345	544
4517	333	377	341	543
4542	333	366	340	542
4567	335	375	338	540
4592	334	374	342	541
4617	335	368	345	544
4642	335	371	347	544
4667	335	370	345	544
4696	335	367	344	541
4721	335	368	346	545
4746	334	360	350	542
4771	335	359	347	541
4796	335	360	347	540
4828	335	352	351	541
4853	335	342	351	538
4878	335	352	352	540
4903	336	337	352	540
4928	337	347	353	541
4953	336	345	354	540
4978	337	348	353	541
5003	337	351	352	540
5028	337	358	353	542
5053	338	361	355	542
5078	339	359	353	544
5103	338	359	353	543
5128	338	364	351	543
5153	339	363	352	542
5178	337	361	351	543
5203	339	360	352	543
5228	338	361	351	543
5253	339	360	353	543
5282	339	358	353	542
5307	339	357	352	543
5332	338	355	353	542
5357	338	354	356	540
5382	338	359	358	543
5407	336	352	361	545
5432	335	353	359	541
5457	336	355	359	540
5482	335	360	357	543
5507	335	358	357	542
5532	335	355	357	543
5557	335	355	356	543
5582	334	357	359	544
5607	334	356	358	542
5632	333	354	356	542
5657	332	357	352	538
5682	332	359	354	531
5707	330	345	362	543
5732	330	345	357	532
5757	327	338	371	534
5782	327	328	404	555
5807	326	347	392	549
5832	326	351	391	551
5861	326	354	399	553
5886	327	366	395	549
5911	326	365	400	551
5936	327	370	402	554
5961	327	372	401	554
5986	328	366	401	556
6011	327	362	400	555
6036	329	371	395	556
6061	328	361	392	548
6086	328	365	394	550
6111	328	362	392	551
6136	328	358	392	546
6161	328	356	396	550
6186	329	360	397	547
6211	329	352	400	552
6236	329	352	393	549
6261	328	357	395	549
6286	329	359	397	553
6311	330	353	393	555
6336	330	351	387	548
6361	330	354	384	543
6386	330	359	379	547
6411	331	353	378	546
6436	331	358	374	547
6458	331	359	371	542
6492	332	362	380	547
6517	332	359	383	552
6542	332	354	378	546
6567	332	360	377	546
6592	332	365	379	550
6617	332	358	380	551
6642	332	363	377	548
6667	332	364	378	549
6692	332	367	372	549
6717	332	358	375	548
6742	332	361	373	546
6767	332	360	371	546
6792	331	360	367	541
6817	332	362	370	545
6842	331	356	372	550
6867	331	358	365	543
6892	330	356	365	543
6917	331	357	367	544
6942	331	355	367	549
6967	330	360	369	547
6992	331	357	363	545
7017	331	361	364	544
7046	330	369	366	551
7071	332	360	369	553
7096	333	365	368	549
7121	332	366	369	544
7146	332	364	368	544
7171	333	364	369	552
7196	332	363	367	548
7221	334	360	365	547
7246	332	357	367	547
7271	333	358	364	544
7296	333	359	362	546
7321	334	358	362	547
7346	335	362	365	546
7371	336	359	366	542
7396	335	367	366	549
7421	336	363	367	549
7446	335	366	364	547
7471	336	361	364	543
7496	336	362	361	546
7521	336	365	364	546
7546	337	363	363	548
7571	336	363	361	545
7596	336	366	364	549
7625	337	364	365	544
7650	338	363	363	549
7675	337	366	364	544
7700	337	364	364	544
7725	337	363	364	548
7750	337	365	362	546
7775	338	364	363	546
7800	338	363	362	546
7825	337	360	362	545
7850	338	367	361	545
7875	337	362	359	546
7900	337	361	360	547
7925	338	365	362	546
7950	337	363	362	545
7975	338	363	361	546
8000	337	365	362	547
8025	337	363	360	547
8050	337	363	360	544
8075	337	365	359	544
8110	338	364	361	544
8135	338	365	358	547
8160	337	366	359	546
8185	338	366	360	545
8214	338	363	358	545
8239	338	368	358	546
8264	337	367	359	546
8289	337	365	357	547
8314	338	365	357	543
8339	338	367	358	548
8364	338	366	358	545
8389	337	367	356	545
8414	338	364	358	547
8439	338	365	358	548
8464	337	366	357	545
8489	337	365	358	547
8514	337	364	360	546
8539	338	365	358	544
8564	338	364	360	544
8589	338	364	358	545
8614	336	365	357	542
8639	335	368	354	546
8664	336	364	356	546
8689	337	363	354	545
8714	337	364	353	539
8739	336	368	350	550
8764	337	361	355	546
8789	336	349	356	542
8818	337	358	351	535
8843	336	358	350	546
8868	338	343	353	542
8893	338	340	357	540
8918	337	354	352	541
8943	337	357	356	536
8968	338	347	353	542
8993	339	349	354	540
9018	339	353	356	537
9043	339	358	350	541
9068	339	352	353	541
9093	339	356	352	539
9118	339	358	351	539
9143	339	356	353	543
9168	339	353	351	540
9193	339	356	351	540
9218	339	353	346	540
9243	339	351	350	539
9268	339	362	351	539
9293	339	358	349	544
9318	339	355	350	541
9343	340	357	350	537
9368	339	358	349	538
9396	341	356	352	541
9427	340	353	350	542
9452	340	359	347	540
9477	341	360	346	540
9502	341	355	347	541
9527	341	361	348	539
9552	341	355	344	540
9577	340	352	350	540
9602	342	356	349	541
9627	342	362	344	539
9652	342	353	350	541
9677	340	350	359	541
9702	342	364	347	538
9727	342	360	343	540
9752	341	355	346	542
9777	342	357	345	540
9802	342	364	340	536
9827	343	352	344	539
9852	343	355	349	540
9877	344	360	347	539
9902	344	361	345	540
9927	344	356	345	540
9952	344	359	347	540
9981	344	355	347	540
10006	346	355	347	538
10031	345	362	345	538
10056	345	356	345	542
10081	345	359	345	541
10106	345	364	344	540
10131	345	362	346	541
10156	345	362	344	537
10181	345	358	346	540
10206	345	356	345	539
10231	345	353	342	533
10256	345	350	344	534
10281	345	349	346	534
10306	345	346	349	539
10331	345	342	352	536
10356	344	336	355	541
10381	345	340	353	538
10406	344	343	353	532
10431	344	337	360	540
10456	343	338	364	539
10481	343	342	363	539
10506	343	344	371	543
10535	344	338	374	545
10560	342	340	373	541
10585	342	348	377	544
10610	342	345	378	545
10635	341	349	377	544
10660	341	351	378	541
10685	341	350	380	547
10710	341	351	382	546
10735	340	355	383	549
10760	339	361	389	551
10785	339	360	390	552
10810	339	363	389	552
10835	338	356	389	555
10860	338	363	391	556
10885	337	360	390	545
10910	337	361	392	551
10935	336	356	392	553
10960	337	365	395	560
10985	337	359	389	557
11010	337	366	387	553
11035	337	373	381	558
11060	336	374	377	557
11085	337	381	373	552
11114	338	381	364	552
11139	338	375	355	546
11164	338	375	352	551
11189	338	359	347	545
11214	339	347	345	544
11239	339	341	344	535
11264	339	342	344	535
11289	339	335	349	540
11314	339	332	350	532
11339	339	336	352	530
11364	340	331	356	531
11389	339	331	368	539
11414	340	324	367	533
11439	340	326	368	533
11464	340	329	372	530
11489	342	315	382	537
11514	341	315	385	534
11539	342	316	388	533
11564	341	314	397	538
11589	341	322	402	538
11614	341	327	408	537
11639	340	337	410	540
11668	339	326	406	537
11693	339	316	407	534
11718	339	321	411	542
11743	338	330	413	541
11768	337	331	414	540
11793	338	331	414	544
11818	336	340	414	545
11843	336	349	416	546
11868	335	346	413	557
