Time	Volt	Xaxis	Yaxis	Zaxis
446	149	316	441	520
639	219	252	409	485
826	272	225	387	498
1009	243	257	400	452
1187	216	241	410	418
1369	216	246	404	390
1394	212	246	407	385
1419	218	247	405	393
1444	219	250	408	389
1469	221	250	413	380
1494	220	251	413	367
1519	213	246	409	378
1544	204	250	414	382
1569	201	253	411	377
1594	196	245	406	382
1619	211	245	407	367
1644	217	249	411	369
1669	214	250	415	364
1694	218	250	413	378
1719	221	251	412	377
1744	215	248	412	363
1769	231	252	430	353
1794	252	250	412	391
1823	234	244	406	394
1848	212	250	417	352
1873	194	257	418	387
1898	187	248	404	393
1923	183	249	413	369
1948	188	253	415	356
1973	215	264	421	372
1998	197	248	424	359
2023	163	260	420	339
2048	145	255	418	357
2073	127	256	421	352
2098	119	254	422	346
2123	119	263	426	343
2148	120	247	422	350
2173	125	244	414	361
2198	127	246	418	376
2223	118	267	429	374
2248	100	259	413	376
2273	84	249	411	374
2298	81	245	406	369
2323	90	243	414	371
2348	124	244	420	366
2373	127	248	417	366
2402	124	235	412	374
2427	82	224	404	394
2452	47	247	412	391
2477	41	251	413	382
2502	42	243	405	395
2527	43	242	412	403
2552	43	248	410	401
2577	41	260	411	395
2602	42	259	413	395
2627	43	253	415	404
2652	43	258	418	397
2677	44	261	416	395
2702	45	253	412	391
2727	47	247	408	401
2752	48	254	409	399
2777	49	246	415	395
2802	50	249	412	393
2827	52	247	419	405
2852	54	256	415	406
2877	58	250	416	402
2902	68	245	408	396
2927	78	262	413	392
2952	92	241	420	398
2977	96	259	415	394
3006	100	245	418	392
3031	106	263	420	392
3056	114	259	421	395
3081	121	245	421	400
3106	125	254	424	401
3131	129	247	416	401
3156	130	233	419	409
3181	130	251	417	406
3206	131	255	413	423
3231	135	256	416	427
3256	131	265	409	424
3281	129	267	403	423
3306	129	235	396	434
3331	141	257	399	427
3356	152	209	390	451
3381	174	248	403	423
3406	179	231	387	442
3431	184	275	402	456
3456	188	268	372	467
3481	190	255	383	420
3506	198	250	430	440
3531	204	281	410	425
3556	211	242	383	408
3581	217	221	383	427
3610	218	251	397	431
3635	214	234	377	432
3660	206	226	381	442
3685	186	262	395	430
3710	165	268	393	440
3735	152	247	383	450
3760	152	278	389	449
3785	152	240	387	444
3810	158	263	393	423
3835	184	253	390	437
3860	218	254	385	450
3885	238	257	392	447
3910	249	246	385	450
3935	256	253	389	452
3960	259	268	387	463
3985	256	266	390	463
4010	249	282	396	470
4035	242	260	389	468
4060	232	272	397	479
4085	231	271	387	465
4110	230	268	392	456
4135	230	246	385	456
4160	231	250	384	465
4189	230	254	378	471
4214	231	271	386	479
4239	229	276	394	486
4264	229	275	394	488
4289	230	275	395	487
4314	230	277	398	488
4346	230	286	393	497
4371	228	280	393	490
4396	225	270	394	484
4421	226	272	396	485
4446	226	267	396	478
4471	227	268	397	483
4496	228	271	394	478
4521	229	266	397	483
4546	227	269	397	475
4571	224	258	402	473
4596	221	269	399	482
4621	219	272	405	483
4646	215	270	403	482
4671	211	264	399	480
4696	209	271	401	484
4721	207	271	405	478
4746	205	267	406	478
4775	202	264	404	474
4800	202	266	406	475
4825	200	269	407	477
4850	199	268	407	473
4875	198	264	408	476
4900	196	264	405	473
4925	194	267	407	478
4950	193	270	406	480
4975	191	267	405	478
5000	201	265	402	481
5025	202	273	407	481
5050	201	273	411	478
5075	203	261	412	464
5100	209	264	412	468
5125	216	269	410	472
5150	216	256	407	462
5175	207	258	403	466
5200	199	264	403	469
5225	192	254	411	465
5250	187	252	405	467
5275	187	253	408	464
5300	192	266	409	473
5325	192	268	416	458
5354	187	254	411	458
5379	189	261	413	469
5404	206	267	399	485
5429	239	264	406	484
5454	255	278	401	490
5479	264	271	397	481
5504	270	270	403	482
5529	273	267	401	479
5554	276	275	406	472
5579	279	247	392	463
5604	283	275	401	474
5629	289	268	390	475
