Time	Volt	Leap_angle
0.0	63	10.359532132
0.0	64	10.2676672514
0.1	63	9.99713593411
0.2	70	10.3665185907
0.4	152	11.0336740362
0.4	200	13.6095771451
0.5	207	26.5076151763
0.6	208	32.1669573109
0.7	210	36.6707558523
0.8	208	39.456041409
0.9	174	41.4489138033
1.1	85	42.5185340035
1.1	61	40.8839683646
1.2	62	26.0618642249
1.3	62	17.2996343595
1.4	63	15.3143353803
1.5	71	13.2263786899
1.6	158	12.2144967797
1.8	172	17.7046210403
1.8	175	27.3906963354
1.9	175	31.0501513921
2.0	176	33.9508879482
2.1	176	35.5093314428
2.2	177	36.8143596305
2.3	176	37.6981409633
2.5	175	38.5289955822
2.5	175	38.9264740313
2.6	175	39.1567749817
2.7	176	39.1605985529
2.8	175	38.9690777072
2.9	175	38.5882939304
3.0	176	37.9983615072
3.2	176	37.0388451833
3.2	176	36.173077132
3.3	175	35.0803454009
3.4	175	34.2944697989
3.5	105	33.4073628012
3.6	60	32.6655330037
3.8	59	17.691780867
3.8	58	10.3666704186
3.9	59	6.29724967078
4.0	60	5.52339659958
4.1	59	5.45143568297
4.2	60	5.49583049125
4.3	60	5.51789436105
4.5	60	5.55872914892
4.5	60	5.61471645202
4.6	61	5.68292751406
4.7	61	5.78031707888
4.8	60	6.35637881884
4.9	62	6.75955264298
5.0	62	7.15168150644
5.2	62	7.37272623015
5.2	62	7.61071424403
5.3	62	7.70059115525
5.4	63	7.73931028731
5.5	63	7.79419817355
5.6	65	8.03717065123
5.7	73	8.41997872956
5.9	84	9.05533902427
5.9	87	10.1952991748
6.0	82	12.5762965192
6.1	79	14.2556639529
6.2	81	14.795317724
6.3	94	14.9144595566
6.4	123	15.2010181722
6.6	166	15.9922682434
6.6	181	19.7739310056
6.7	186	25.0378681337
6.8	187	27.3244815776
6.9	186	29.0689002591
7.0	187	29.7567373331
7.1	186	30.08751056
7.3	186	30.2205040619
7.3	186	30.4545135744
7.4	186	30.6839174295
7.5	185	30.7915668234
7.6	185	30.8243200277
7.7	185	30.7757991475
7.8	185	30.6188863037
8.0	184	30.3533481541
8.1	184	30.120859848
8.1	183	29.94969333
8.2	179	29.7999962103
8.3	168	29.6103018526
8.5	136	29.3071768112
8.5	98	28.0957941793
8.7	72	21.2078538815
8.7	68	15.0830252346
8.8	67	11.9325429891
9.0	66	13.4639532893
9.0	65	14.5005876186
9.1	65	14.5021833079
9.2	66	14.3179664275
9.4	66	14.2115230768
9.5	66	14.1893464817
9.5	66	14.144723431
9.7	65	14.318877817
9.7	66	14.5237151324
9.8	66	14.5927604844
10.0	65	14.6182488596
10.0	66	14.6736396678
10.2	66	14.7511078993
10.2	103	14.8305287657
10.4	182	15.5961443603
10.5	194	24.1667643256
10.5	196	31.8075447093
10.7	197	34.4468273845
10.8	195	36.5488778305
10.9	196	37.9792527468
11.0	194	38.2718269312
11.1	196	38.4261543994
11.1	197	38.7100027116
11.3	198	38.7530139974
11.4	197	38.6725151172
11.5	196	38.6072566648
11.6	194	38.5504489629
11.7	198	38.4569866755
11.8	196	38.3254976818
11.9	198	38.2294073289
12.0	196	38.1722184491
12.1	147	38.16357527
12.2	87	38.1654212033
12.2	67	30.402322375
12.4	61	20.1260607352
12.5	59	15.3574377297
12.6	58	10.7449918821
12.7	60	9.15821809532
12.8	60	8.072389164
12.9	60	7.82980058779
13.0	61	7.81157983439
13.1	61	7.8268921124
13.2	59	7.89719712373
13.3	60	8.02619605889
13.4	62	8.18518020614
13.5	104	8.3351260816
13.6	167	10.8444956148
13.7	170	16.4152065615
13.8	170	19.4288626815
13.9	171	20.5536608002
14.0	171	21.1283365963
14.1	170	22.8312846327
14.2	173	23.8480985188
14.3	173	24.8398147046
14.4	174	26.7734555196
14.5	173	27.9355137096
14.6	173	28.2249977559
14.7	188	28.4663326304
14.8	173	29.0039708795
14.9	174	29.6596007755
15.0	172	30.2167585252
15.1	145	30.6333529033
15.2	80	30.713698538
15.3	64	24.9989454797
15.4	57	15.1233811511
15.5	54	13.7468920532
15.6	52	11.3927277986
15.7	52	7.16467217951
15.8	51	4.50667394991
15.9	50	3.39361445193
16.0	51	2.84103795866
16.1	50	2.65505423488
16.2	50	2.60225956479
16.3	50	2.6023347821
16.4	51	2.63210072404
16.5	51	2.67846893927
16.6	51	2.68365258798
16.7	52	2.68787970456
16.8	52	2.89678372411
16.9	66	3.04658247368
17.0	121	4.09682058503
17.1	172	9.00477163886
17.2	177	18.7970761699
17.3	176	24.9038553611
17.4	175	30.9327178916
17.5	176	36.7861279341
17.6	176	40.1298700994
17.7	174	44.4372226414
17.8	171	46.7851550497
17.9	168	49.1300800848
18.0	165	51.659111802
18.1	163	53.6076616408
18.2	159	54.8624042567
18.3	128	55.7608563358
18.4	65	56.8446523296
18.5	60	55.5186776896
18.6	59	33.6918437455
18.7	58	23.6484090849
18.8	58	18.4123062509
18.9	58	15.6481015623
19.0	57	13.6501266729
19.1	57	12.6591548602
19.2	57	11.8960344911
19.3	58	11.3499800538
19.4	58	10.8067664363
19.5	58	10.4020054632
19.6	57	9.87103593475
19.7	58	9.52740973912
19.8	58	9.23271615706
19.9	81	9.08566659475
20.0	167	9.88954536955
20.1	187	17.35024315
20.2	190	28.639042776
20.3	191	33.8911964507
20.4	190	38.3673431634
20.5	189	43.9615870759
20.6	188	47.1301045829
20.7	188	50.229334459
20.8	188	52.3990267291
20.9	188	54.1206035532
21.0	188	55.3900012802
21.1	188	56.1985850241
21.2	189	56.7303715715
21.3	188	57.4723256059
21.4	188	57.8930647088
21.5	187	58.0849383994
21.6	171	58.2246696764
21.7	114	58.4187098795
21.8	62	58.4508790138
21.9	54	50.4178195396
22.0	52	21.8198755976
22.1	52	13.1749793349
22.2	51	9.79687274123
22.3	52	8.50246646722
22.4	52	7.63553137399
22.5	52	7.16231696249
22.6	52	6.66623914656
22.7	53	6.23290868193
22.8	54	5.95792429709
22.9	58	6.0892071509
23.0	91	6.56862211878
23.1	148	8.85086239562
23.2	228	14.604277626
23.3	258	32.8224520725
23.4	256	48.005407321
23.5	252	54.45445162
23.6	251	58.604761648
23.7	241	62.7858830353
23.8	238	65.3599668656
23.9	238	67.1347886185
24.0	238	68.2697108707
24.1	235	69.5507560637
24.2	235	70.3211571192
24.3	235	71.3288946308
24.4	235	72.4642890303
24.5	233	73.4784065851
24.6	224	73.9292952751
24.7	213	74.4260306547
24.8	136	74.9787007756
24.9	66	75.1792668239
25.0	55	58.1088376217
25.1	55	20.8428048738
25.2	54	13.3889879978
25.3	55	11.0309435667
25.4	54	9.40347570026
25.5	54	8.60204093722
25.6	55	7.91219589543
25.7	56	7.85222998132
25.8	56	7.7854046448
25.9	56	7.77930132641
26.0	59	8.06387275138
26.1	61	8.36867689732
26.2	65	9.21225993249
26.3	74	10.711565882
26.4	146	13.2803926757
26.5	170	18.4292848126
26.6	173	30.6757183648
26.7	173	35.5658426188
26.8	172	37.4396315981
26.9	171	39.4370889167
27.0	172	41.1766398963
27.1	455	43.1235921548
27.2	171	44.1559501369
27.3	170	44.5860625338
27.4	170	44.7422256667
27.5	170	44.5615962804
27.6	170	44.2567360358
27.7	169	43.5182022526
27.8	169	42.8833084438
27.9	168	42.3592328351
28.0	168	41.8492551477
28.1	167	41.494943242
28.2	167	41.2240690223
28.3	102	40.9946570531
28.4	62	39.1170388821
28.5	55	25.0111613422
28.6	55	12.0744041665
28.7	54	7.73857482049
28.8	54	6.07286265662
28.9	55	5.67053291939
29.0	55	5.61192332598
29.1	56	5.64493330823
29.2	57	5.67001445163
29.3	57	5.69329891093
29.4	57	5.69402179411
29.5	56	5.7248827664
29.6	57	5.74098530123
29.7	58	5.8278319464
29.8	59	6.0035815314
29.9	59	6.44022432978
30.0	68	8.24345441512
