Time	Volt	Leap_angle
0	63	9.997135934
0	64	10.36651859
0.1	63	11.03367404
0.2	70	13.60957715
0.4	152	26.50761518
0.4	200	32.16695731
0.5	207	36.67075585
0.6	208	39.45604141
0.7	210	41.4489138
0.8	208	42.518534
0.9	174	40.88396836
1.1	85	26.06186422
1.1	61	17.29963436
1.2	62	15.31433538
1.3	62	13.22637869
1.4	63	12.21449678
1.5	71	17.70462104
1.6	158	27.39069634
1.8	172	31.05015139
1.8	175	33.95088795
1.9	175	35.50933144
2	176	36.81435963
2.1	176	37.69814096
2.2	177	38.52899558
2.3	176	38.92647403
2.5	175	39.15677498
2.5	175	39.16059855
2.6	175	38.96907771
2.7	176	38.58829393
2.8	175	37.99836151
2.9	175	37.03884518
3	176	36.17307713
3.2	176	35.0803454
3.2	176	34.2944698
3.3	175	33.4073628
3.4	175	32.665533
3.5	105	17.69178087
3.6	60	10.36667042
3.8	59	6.297249671
3.8	58	5.5233966
3.9	59	5.451435683
4	60	5.495830491
4.1	59	5.517894361
4.2	60	5.558729149
4.3	60	5.614716452
4.5	60	5.682927514
4.5	60	5.780317079
4.6	61	6.356378819
4.7	61	6.759552643
4.8	60	7.151681506
4.9	62	7.37272623
5	62	7.610714244
5.2	62	7.700591155
5.2	62	7.739310287
5.3	62	7.794198174
5.4	63	8.037170651
5.5	63	8.41997873
5.6	65	9.055339024
5.7	73	10.19529917
5.9	84	12.57629652
5.9	87	14.25566395
6	82	14.79531772
6.1	79	14.91445956
6.2	81	15.20101817
6.3	94	15.99226824
6.4	123	19.77393101
6.6	166	25.03786813
6.6	181	27.32448158
6.7	186	29.06890026
6.8	187	29.75673733
6.9	186	30.08751056
7	187	30.22050406
7.1	186	30.45451357
7.3	186	30.68391743
7.3	186	30.79156682
7.4	186	30.82432003
7.5	185	30.77579915
7.6	185	30.6188863
7.7	185	30.35334815
7.8	185	30.12085985
8	184	29.94969333
8.1	184	29.79999621
8.1	183	29.61030185
8.2	179	29.30717681
8.3	168	28.09579418
