Time	Volt	Leap_angle
0.0	80	3.45553090553
0.1	80	3.56930265986
0.2	79	3.86087296084
0.3	80	4.07554120536
0.4	80	4.36089378355
0.5	80	4.53967200512
0.6	81	4.79754826703
0.7	82	5.19123816526
0.8	81	5.45114809459
0.9	81	5.69526080966
1.0	81	5.86350878772
1.1	81	6.04669124099
1.2	81	6.23347484871
1.3	80	6.36383932751
1.4	81	6.42650880163
1.5	81	6.53729055988
1.6	81	6.65593464311
1.7	81	6.87657551738
1.8	81	7.11987318576
1.9	80	7.30927504787
2.0	82	7.43178512313
2.1	81	7.56602623548
2.2	81	7.71952993573
2.3	81	7.83593996265
2.4	81	8.01905090044
2.5	81	8.28114508376
2.6	81	8.44903567527
2.7	80	8.64629184773
2.8	83	8.79166991653
2.9	80	9.05507863829
3.0	81	9.17845117035
3.1	81	9.33483599104
3.2	82	9.4493076737
3.3	81	9.50557630262
3.4	81	9.59960044657
3.5	81	9.73282142342
3.6	81	9.91964443696
3.7	82	10.1089249951
3.8	81	10.3027843962
3.9	81	10.4592177822
4.0	81	10.5779714159
4.1	80	10.6215819924
4.2	81	10.6884634356
4.3	81	10.7283651304
4.4	81	10.8662377103
4.5	80	11.0018484957
4.6	80	11.1243640452
4.7	80	11.2102024468
4.8	81	11.2625005895
4.9	80	11.3041636524
5.0	80	11.3590000729
5.1	80	11.4164408821
5.2	81	11.4200635082
5.3	80	11.3975330673
5.4	81	11.5108967576
5.5	81	11.6284569897
5.6	81	11.633216996
5.7	81	11.6047638918
5.8	81	11.5706755053
5.9	80	11.4983628625
6.0	81	11.3739715724
6.1	81	11.2838485332
6.2	80	11.2589678669
6.3	80	11.2455965737
6.4	80	11.2265977628
6.5	80	11.146043833
6.6	81	11.1157052397
6.7	81	10.9559247176
6.8	81	10.8717615812
6.9	81	10.7428301936
7.0	80	10.6070648284
7.1	81	10.5268386383
7.2	81	10.529567432
7.3	81	10.5705646889
7.4	81	10.4774311776
7.5	81	10.3455832483
7.6	81	10.1912080591
7.7	81	10.0942828354
7.8	80	9.96028144647
7.9	80	9.66139298188
8.0	81	9.30584163769
8.1	81	9.22990609127
8.2	81	9.1734398927
8.3	82	9.17483218647
8.4	81	9.17538904534
8.5	81	9.17116893332
8.6	82	9.15549267763
8.7	80	9.09984274264
8.8	81	9.04965224068
8.9	81	9.0108790055
9.0	81	8.98976934456
9.1	81	9.01502095307
9.2	81	9.09089876193
9.3	81	9.1462803916
9.4	81	9.2799558515
9.5	82	9.34472633956
9.6	81	9.3975167515
9.7	81	9.4479346719
9.8	82	9.49208375057
9.9	82	9.59042156585
10.0	81	9.65029639825
10.1	82	9.69829752484
10.2	82	9.77032411059
10.3	82	9.98757065565
10.4	80	10.7256312876
10.5	81	11.4524098665
10.6	81	11.3406403513
10.7	80	11.0946945673
10.8	81	10.9908913637
10.9	81	10.8064203629
11.0	82	10.7379923162
11.1	82	10.6398535091
11.2	82	10.5212854395
11.3	80	10.434544948
11.4	81	10.2978758916
11.5	81	10.1587108902
11.6	81	9.66841090439
11.7	82	9.59941613499
11.8	82	9.59314745411
11.9	83	9.61061182223
12.0	82	9.60838190274
12.1	82	9.59673298059
12.2	74	9.61682834085
12.3	82	9.67239565146
12.4	82	9.63977861461
12.5	81	9.57253052843
12.6	82	9.53159724355
12.7	81	9.71865016115
12.8	82	10.0149433604
12.9	82	10.2283929276
13.0	82	10.1126211568
13.1	82	9.91901003464
13.2	82	9.67731335225
13.2	82	9.34804885085
13.3	83	8.92499870586
13.4	82	8.30118044013
13.6	82	7.73750953846
13.6	82	6.9168468359
13.7	81	6.42989467205
13.8	81	5.22130882676
14.0	81	4.61171871415
14.0	82	4.1773891959
14.1	81	4.21774744111
14.2	81	4.23604927773
14.3	82	4.42474229165
14.4	82	4.625502478
14.5	82	4.90879783229
14.6	82	5.32387952282
14.7	82	5.66282015511
14.8	83	6.0229131652
14.9	82	6.30076694988
15.0	83	6.66970966402
15.1	83	7.11121625789
15.2	83	7.66789950516
15.3	83	8.10624484124
15.4	82	8.51068543465
15.5	82	8.69519991641
15.6	81	8.8778780268
15.7	81	9.12722537076
15.8	81	9.28738629488
15.9	81	9.39582247205
16.0	81	9.47234876784
16.1	81	9.6065198341
16.2	80	9.74394599102
16.3	81	9.95629229203
16.4	82	10.0559814847
16.5	83	10.1927134698
16.6	81	10.3715277481
16.7	80	10.5181803685
16.8	82	10.5740081523
16.9	83	10.6840617577
17.0	83	10.7668959534
17.1	82	10.9331524684
17.2	83	11.034780311
17.3	83	11.1140577191
17.4	83	11.159656397
17.5	82	11.1786618294
17.6	82	11.2257382106
17.7	82	11.2800779848
17.8	81	11.4037527485
17.9	82	11.4534590089
18.0	82	11.5019600304
18.1	82	11.5238616719
18.2	81	11.5440671302
18.3	81	11.5610516466
18.4	81	11.5867204192
18.5	82	11.5853770947
18.6	83	11.5929589132
18.7	82	11.6002641105
18.8	83	11.6276775885
18.9	82	11.6638147292
19.0	83	11.663443093
19.1	82	11.6809648631
19.2	83	11.7071821994
19.3	83	11.7278321996
19.4	83	11.770230485
19.5	93	16.3021742608
19.6	84	17.1214834968
19.7	84	16.3303761482
19.8	84	15.6088924548
19.9	84	13.970536445
20.0	84	13.1843855917
20.1	83	3.64228378615
20.2	83	3.07478914142
20.3	83	3.25858529668
20.4	83	3.49877525873
20.5	83	3.80601182571
20.6	83	4.15953598848
20.7	85	4.53003992105
20.8	82	4.84084077347
20.9	83	5.32796346134
21.0	84	5.78577380664
21.1	84	6.23599052607
21.2	84	6.45849694366
21.3	83	6.89238772999
21.4	83	7.33267167116
21.5	83	7.62097005774
21.6	84	7.74258100522
21.7	84	7.81984212525
21.8	83	7.94218315119
21.9	84	8.12603196202
22.0	83	8.44312988822
22.1	84	8.65087941157
22.2	84	8.80270095231
22.3	83	8.93335967885
22.4	84	3.06017456143
22.5	83	2.86026526508
22.6	83	3.22330778238
22.7	84	3.6029356102
22.8	84	2.73587943451
22.9	83	2.95233976462
23.0	83	3.55847967005
23.1	83	3.91931578366
23.2	83	4.20421344071
23.3	83	4.47071750362
23.4	83	4.8682015492
23.5	83	5.12953837477
23.6	82	5.41022824422
23.7	83	5.69333333601
23.8	83	5.94554057666
23.9	83	6.41147972291
24.0	83	2.93638330117
24.1	83	2.62316161042
24.2	83	2.58580999869
24.3	85	3.17058252313
24.4	83	3.68461457339
24.5	84	4.1261618953
24.6	84	4.43150980706
24.7	84	4.75999842981
24.8	84	5.04403057706
24.9	86	5.33079463106
25.0	84	5.53378270616
25.1	83	5.75551070674
25.2	83	5.95450158008
25.3	82	6.17085456143
25.4	83	6.39347199387
25.5	83	6.55316949282
25.6	84	6.70779662012
25.7	83	6.86952672344
25.8	83	6.93828064659
25.9	83	6.99111616336
26.0	83	7.04595202166
26.1	84	3.47536161009
26.2	82	3.12499539403
26.3	82	3.35053373513
26.4	83	3.72104908599
26.5	84	3.92056467539
26.6	84	4.14746531513
26.7	84	4.38195201181
26.8	84	4.53621889655
26.9	84	4.6524425561
27.0	88	4.82157981939
27.1	84	4.91298659875
27.2	84	4.96281881966
27.3	83	5.08233969516
27.4	84	5.22348495761
27.5	83	5.35467122977
27.6	84	5.42852500949
27.7	84	5.47639823476
27.8	84	5.5191017719
27.9	83	5.55594323969
28.0	84	5.58254650532
