Time	Volt	Leap_angle
0.0	317	64.5224225032
0.0	316	64.430260356
0.1	316	63.2128391377
0.2	316	62.4791427996
0.3	316	61.5449966077
0.4	316	60.947766692
0.5	316	60.4878058132
0.6	314	60.3357203124
0.7	315	59.9202794932
0.8	315	59.5089244483
0.9	315	59.0663611775
1.0	315	58.727874929
1.1	315	58.4325993607
1.2	314	57.6942092282
1.3	313	57.3351603832
1.4	315	57.1387178309
1.5	315	57.0139852372
1.6	315	56.7276103644
1.7	314	56.4803604227
1.8	314	73.1970422442
1.9	312	79.2273281754
2.0	315	78.8818140568
2.1	313	77.8544458616
2.2	313	76.9714189379
2.3	314	75.948100155
2.4	313	74.5560510594
2.5	312	73.9204172317
2.6	313	73.5296397901
2.7	313	73.3654616995
2.8	313	73.1932482695
2.9	313	73.0731823909
3.0	313	72.9976278307
3.1	312	72.9266317743
3.2	312	72.8790252006
3.3	312	72.8319783369
3.4	313	71.1049343705
3.5	313	69.7762050351
3.6	312	69.2555500719
3.7	312	68.7061518495
3.8	313	67.9112442361
3.9	312	66.7300215818
4.0	312	65.8410488164
4.1	312	65.2565294044
4.2	313	64.9894783856
4.3	313	64.6442596703
4.4	312	64.2087170893
4.5	312	63.7140904672
4.6	313	63.2318069674
4.7	313	62.7086569242
4.8	312	62.2188439652
4.9	313	61.7790135887
5.0	312	61.2630755125
5.1	312	60.933926498
5.2	313	60.0651632131
5.3	312	59.0958667278
5.4	313	58.2675312393
5.5	313	58.1672300677
5.6	313	58.105394521
5.7	313	58.0702602909
5.8	312	58.0338727783
5.9	312	58.0267835649
6.0	312	58.0403938881
6.1	312	58.1184341832
6.2	313	58.2583517309
6.3	313	58.2675834387
6.4	312	58.2237899068
6.5	313	58.2348366346
6.6	314	58.18516419
6.7	312	58.0515109103
6.8	313	57.7570582208
6.9	313	57.3896778775
7.0	314	56.8348167523
7.1	312	56.4776977686
7.2	312	56.1350326642
7.3	312	55.6341287334
7.4	313	55.1655436203
7.5	313	54.6425905253
7.6	313	54.3593362133
7.7	313	54.1106685227
7.8	312	53.9100146482
7.9	312	53.6463690168
8.0	312	53.400393534
8.1	313	53.1701150798
8.2	313	53.0185205184
8.3	313	52.9394666455
8.4	313	52.8313903425
8.5	312	52.4730136296
8.6	312	52.2792328068
8.7	312	52.0841472238
8.8	311	51.8148400155
8.9	312	51.5773341722
9.0	313	51.4773727576
9.1	312	51.3712529294
9.2	311	51.3022233564
9.3	311	51.2485912362
9.4	311	51.1780315639
9.5	311	51.1039091655
9.6	311	51.0600027376
9.7	312	51.0403253494
9.8	312	50.985581074
9.9	310	50.9784823058
10.0	311	50.966406169
10.1	311	50.9550051408
10.2	311	50.9557614557
10.3	311	50.9552469865
10.4	312	50.9440552558
10.5	311	50.9625899093
10.6	310	50.9914925074
10.7	311	50.9605849714
10.8	310	50.872593025
10.9	311	50.8690578542
11.0	311	50.8837388776
11.1	312	50.8909131975
11.2	310	50.8931489713
11.3	311	50.8348636355
11.4	310	50.7969861922
11.5	310	50.7277741684
11.6	310	50.6344278896
11.7	310	50.4107648795
11.8	310	50.2091238091
11.9	310	49.9592657405
12.0	310	49.6878319283
12.1	310	49.4715838304
12.2	310	49.3579615371
12.3	310	49.1977244735
12.4	311	49.0698118082
12.5	310	48.9220282341
12.6	310	48.7683899734
12.7	310	48.6137479933
12.8	310	48.5376333636
12.9	310	48.4433728491
13.0	310	48.335604613
13.1	310	48.2033726233
13.2	309	48.0978023463
13.3	309	47.8187479392
13.4	310	47.4920872451
13.5	308	47.2540725952
13.6	309	46.8911440144
13.7	310	46.5826656618
13.8	310	46.2404772704
13.9	308	45.9400582571
14.0	308	45.6839843635
14.1	309	45.5417854915
14.2	309	45.4191553748
14.3	309	45.3422306334
14.4	310	45.2700638547
14.5	309	45.2216893181
14.6	308	45.1740205607
14.7	309	45.1408399865
14.8	312	45.1069991336
14.9	308	45.0827652947
15.0	308	45.0574839009
15.1	308	45.04252979
15.2	308	45.0256311531
15.3	307	45.0075878946
15.4	307	44.994151948
15.5	308	44.979630628
15.6	308	44.9686671521
15.7	308	44.956705919
15.8	309	44.9475992067
15.9	309	44.937586917
16.0	307	44.9298988412
16.1	308	44.9213875637
16.2	307	44.9148243096
16.3	307	44.9074814707
16.4	308	44.9017971362
16.5	309	44.8954203326
16.6	309	44.8904461249
16.7	307	44.8848520427
16.8	308	44.8804770495
16.9	308	44.8755305802
17.0	308	44.8716340867
17.1	308	44.8672193525
17.2	309	44.863743477
17.3	308	44.8597880796
17.4	308	44.8560696591
17.5	308	44.8530918427
17.6	308	44.8497216385
17.7	308	44.8470292057
17.8	308	44.8273114909
17.9	308	44.7753472386
18.0	307	44.6856866633
18.1	307	44.6186045194
18.2	308	44.4963204919
18.3	308	44.3232195781
18.4	308	44.0125752873
18.5	308	43.670081022
18.6	307	43.2875782479
18.7	307	43.0446732287
18.8	308	42.7716913191
18.9	307	42.5493494619
19.0	308	42.2841486021
19.1	308	42.0842265931
19.2	308	41.8992256902
19.3	307	41.7112726637
19.4	307	41.3827149969
19.5	307	41.1112605643
19.6	310	40.7601558106
19.7	307	40.4936112548
19.8	308	40.3422660164
19.9	308	40.1993119174
20.0	307	40.0067739929
20.1	307	39.7613770736
20.2	307	39.5534947722
20.3	306	39.2857921999
20.4	307	39.0384625067
20.5	307	38.7172541357
20.6	307	38.522158418
20.7	307	38.4210713561
20.8	306	38.3912485405
20.9	307	38.3629633629
21.0	307	38.3559085738
21.1	307	38.3501131403
21.2	308	38.3399239295
21.3	307	38.3421149958
21.4	306	38.3650982934
21.5	307	38.4148225552
21.6	305	38.4604130246
21.7	307	38.4714645371
21.8	307	38.4658650002
21.9	307	38.4609346416
22.0	307	38.4574424387
22.1	306	38.4535326106
22.2	307	38.4490787312
22.3	306	38.4551745596
22.4	308	38.5243078214
22.5	307	38.6365666523
22.6	307	38.7446659696
22.7	307	38.8446281865
22.8	306	38.9021394229
22.9	305	39.0238746453
23.0	306	39.1548116969
23.1	304	39.2009135676
23.2	308	39.1978876359
23.3	307	39.1513392387
23.4	307	39.0457764051
23.5	306	38.8945036761
23.6	306	38.8664135038
23.7	307	38.8748156866
23.8	307	38.8678339283
23.9	307	38.7640659827
24.0	308	38.5377776689
24.1	308	38.0392204457
24.2	307	37.4216290396
24.3	307	36.602635823
24.4	307	35.9213373593
24.5	307	35.2876146586
24.6	308	34.8469498549
24.7	309	34.2889841342
24.8	307	33.9370106116
24.9	307	33.5046808811
25.0	306	33.2281903244
25.1	307	33.101381116
25.2	307	33.0963530818
25.3	308	33.3468821536
25.4	308	33.6704690288
25.5	307	33.9689839805
25.6	307	34.1272440817
25.7	308	34.313921033
25.8	307	34.459105871
25.9	308	34.8412953463
26.0	308	35.2396835853
26.1	307	35.4377607899
26.2	308	35.4983056609
26.3	308	35.5035631247
26.4	307	35.529187991
26.5	307	35.6662574895
26.6	308	35.9761186237
26.7	308	36.2005693288
26.8	307	36.3799340349
26.9	307	36.4501539239
27.0	307	36.4626140248
27.1	306	36.4626255177
27.2	307	36.459556812
27.3	307	36.4513897528
27.4	307	36.4216623722
27.5	307	36.3058424593
27.6	307	36.0985614069
27.7	307	35.9226354468
27.8	306	35.7268579185
27.9	306	35.540681339
28.0	307	35.3277295467
28.1	307	35.1383583127
28.2	306	34.9899589524
28.3	303	34.8853446481
28.4	307	34.8702647428
28.5	306	34.8775814476
28.6	308	34.9378797852
28.7	307	35.179563846
28.8	306	35.4172527519
28.9	306	35.8273946938
29.0	306	36.1017087284
29.1	306	36.2565911365
29.2	306	36.388966873
29.3	308	36.7199511281
29.4	305	36.940496838
29.5	306	37.0807965772
29.6	307	37.1268605734
29.7	307	37.1445157462
29.8	307	37.1470437909
29.9	307	37.120398602
30.0	305	37.0627924373
30.1	307	36.9575977474
30.2	306	36.8739545867
