Time	Volt	Xaxis	Yaxis	Zaxis
287	59	615	574	656
308	60	616	577	656
331	59	615	574	655
354	59	613	575	656
377	59	615	577	656
400	59	616	575	656
423	58	616	575	655
446	59	614	575	655
469	59	616	575	656
492	60	616	575	656
515	60	615	574	657
538	60	615	576	655
561	60	616	575	655
584	59	616	577	654
607	60	615	574	657
630	60	615	574	656
653	60	614	574	657
676	61	620	574	656
699	60	620	577	656
722	60	614	574	655
745	60	614	576	656
768	60	616	574	656
791	61	615	574	656
814	60	617	574	656
837	61	620	574	655
863	60	617	574	654
886	61	616	574	656
909	60	618	575	656
932	59	616	575	656
955	61	615	576	656
978	61	618	574	654
1001	61	614	573	654
1024	61	616	575	656
1047	61	618	574	656
1070	60	617	575	656
1093	60	615	576	655
1116	60	617	575	656
1139	61	616	574	656
1162	61	616	574	657
1185	61	616	574	656
1208	61	618	575	655
1231	62	619	575	655
1254	61	619	574	655
1277	61	616	573	656
1300	61	615	575	656
1323	61	617	575	655
1346	61	615	576	655
1369	61	619	576	656
1392	60	619	574	656
1418	61	618	576	656
1441	62	617	575	655
1464	62	615	574	655
1487	62	617	577	655
1510	62	615	575	655
1533	62	618	573	657
1556	62	619	574	657
1579	63	618	573	657
1602	62	616	577	656
1625	62	615	575	654
1648	60	618	577	653
1671	63	618	577	654
1694	62	618	575	653
1717	62	619	575	654
1740	62	618	577	655
1763	61	616	574	655
1786	62	618	576	656
1809	63	619	576	655
1832	63	618	577	654
1855	63	619	579	653
1878	63	619	576	654
1901	64	616	577	654
1924	63	618	577	654
1947	64	621	578	654
1970	64	622	578	655
1996	64	619	578	653
2019	64	622	578	651
2042	65	619	576	653
2065	63	619	579	654
2088	63	617	577	654
2111	63	619	579	655
2134	63	618	579	655
2157	63	614	580	653
2180	63	615	582	652
2203	63	615	580	651
2226	63	617	577	649
2249	62	620	582	649
2272	63	616	586	650
2295	63	616	580	651
2318	63	620	580	652
2341	63	621	582	653
2364	63	617	579	651
2387	63	616	581	651
2410	64	619	579	652
2433	64	621	580	653
2456	62	622	581	653
2479	63	620	582	651
2502	63	617	581	651
2525	63	630	582	655
2552	63	634	574	655
2575	63	613	579	654
2598	64	598	578	657
2621	63	605	580	655
2644	63	622	583	653
2667	64	621	581	652
2690	63	618	579	654
2713	63	609	580	653
2736	63	613	581	653
2759	63	617	583	653
2782	64	616	580	653
2805	64	616	580	656
2828	63	615	580	654
2851	64	614	579	656
2874	63	614	582	655
2897	64	615	581	654
2920	63	616	581	654
2943	64	614	581	654
2966	63	615	581	654
2989	63	617	581	653
3012	63	619	582	653
3035	64	618	582	653
3058	63	616	581	653
3081	63	615	580	653
3104	62	615	579	655
3125	64	619	580	658
3160	62	619	579	660
3183	63	623	577	662
3206	63	634	577	664
3229	63	627	583	663
3252	62	628	581	676
3275	61	639	580	671
3298	62	637	579	647
3321	62	656	569	639
3344	63	711	573	630
3367	63	762	593	599
3390	64	782	615	572
3413	63	779	625	562
3436	66	742	641	554
3459	69	683	664	551
3482	70	654	691	554
3505	68	679	691	551
3528	61	634	688	550
3551	57	584	673	556
3574	53	546	664	561
3597	51	543	647	565
3620	49	555	631	577
3643	47	568	618	572
3666	47	570	606	579
3692	48	555	597	598
3715	50	539	600	604
3738	50	566	592	598
3761	52	605	595	595
3784	54	623	612	595
3807	59	609	640	588
3830	74	612	647	587
3853	120	637	651	600
3876	138	647	651	591
3899	134	680	643	566
3922	132	736	633	546
3945	130	713	663	541
3968	126	661	666	571
3991	115	650	683	578
4014	103	630	682	576
4037	100	611	676	562
4060	111	632	663	558
4083	119	612	690	566
4106	126	570	679	570
4129	128	612	666	581
4152	126	631	694	567
4175	122	645	674	552
4198	121	618	697	552
4221	121	591	695	577
4242	119	584	693	577
4265	121	598	691	579
4288	123	606	693	553
4311	122	570	678	567
4334	121	569	675	572
4357	118	643	685	557
4380	117	649	676	536
4403	119	584	666	537
4426	112	586	652	535
4449	110	597	663	538
4472	102	534	641	555
4495	80	457	664	595
4518	80	571	672	582
4541	85	593	730	556
4564	95	536	706	556
4587	107	530	696	532
4610	110	497	689	519
4633	104	504	719	514
4656	90	549	729	556
4679	76	620	706	619
4702	69	637	735	617
4725	55	627	736	593
4748	46	675	725	542
4774	40	737	725	519
4797	39	681	696	508
4820	38	636	673	510
4843	40	670	676	522
4866	76	648	666	490
4889	45	611	657	492
4912	42	625	670	471
4935	58	649	683	440
4958	68	608	682	474
4981	92	632	695	519
5004	127	662	687	548
5027	130	653	694	546
5050	120	585	695	531
5073	113	608	685	522
5096	115	615	691	486
5119	111	618	690	474
5142	108	624	698	503
5165	115	620	688	522
5188	125	626	706	492
5211	133	647	709	493
5234	135	619	698	520
5257	134	604	692	515
5280	133	598	701	489
5303	131	628	703	496
5330	134	599	688	502
5353	140	587	687	508
5376	145	578	683	518
5399	149	578	678	521
5422	150	581	673	516
5445	152	596	677	512
5468	151	607	685	509
5491	150	614	688	496
5514	151	614	688	499
5537	154	618	695	506
5560	156	630	706	511
5583	158	636	709	510
5606	158	633	713	507
5629	157	627	715	509
5652	156	626	716	515
5675	155	627	716	509
5698	156	634	715	507
5721	156	639	710	512
5744	157	640	709	509
5767	155	638	704	507
5790	154	639	702	507
5813	153	636	699	507
5836	150	632	696	513
5863	144	623	692	510
5886	141	616	685	514
5909	136	611	682	508
5932	128	609	677	511
5967	112	610	672	503
5990	108	607	675	494
6025	124	617	677	493
6048	132	632	670	502
6071	123	616	672	507
6094	68	613	675	483
6117	55	647	665	474
6140	58	646	657	462
6163	53	649	646	457
6186	50	651	657	455
6209	49	658	669	443
6232	48	664	655	448
6255	47	653	642	451
6278	47	674	634	450
6301	46	694	624	450
6324	47	693	625	451
6347	44	694	628	450
6370	43	712	641	461
6393	44	725	648	469
6416	44	728	646	479
6443	44	715	646	460
6466	45	716	652	449
6489	44	722	636	452
6512	46	720	639	455
6535	47	726	635	455
6558	47	721	624	444
6581	46	694	619	442
6604	47	714	612	455
6627	49	740	607	465
6650	50	727	611	466
6673	49	703	610	461
6696	51	693	610	470
6719	53	697	609	482
6742	56	714	609	485
6765	59	716	607	478
6788	63	696	616	476
6811	67	703	619	488
6834	70	729	616	497
6857	72	728	618	505
6880	78	725	617	514
6903	82	744	614	521
6926	86	699	622	529
6949	88	628	633	543
6972	89	600	628	571
6995	90	616	610	593
7016	90	623	609	604
7039	90	628	609	603
7062	89	637	614	596
7085	90	649	612	592
7108	90	647	611	596
7131	91	639	609	606
7154	91	636	614	608
7177	93	655	612	616
7200	93	675	623	621
7223	95	670	621	619
7246	95	652	620	615
7269	97	646	616	611
7292	99	648	616	608
7315	99	653	614	606
7338	100	657	615	604
7361	102	657	615	602
7384	101	658	616	601
7407	103	661	617	601
7430	103	660	618	599
7453	102	661	618	598
7476	103	660	619	595
7499	103	660	620	594
7522	102	664	621	591
7549	103	667	618	589
7572	104	668	620	591
7595	104	665	617	590
7618	103	662	617	590
7641	102	664	617	589
7664	103	668	617	589
7687	103	665	618	589
7710	103	662	619	590
7733	103	662	618	590
7756	104	667	620	588
7779	104	663	620	588
7802	104	664	618	587
7825	103	664	621	587
