Time	Volt	Xaxis	Yaxis	Zaxis
189	133	653	529	639
362	134	653	526	634
386	134	652	526	641
410	133	651	528	643
434	133	656	529	645
458	134	656	526	646
482	133	644	521	642
506	133	656	524	641
530	132	663	526	644
554	132	659	529	638
578	132	658	526	644
602	130	657	529	639
626	130	657	531	635
650	129	655	531	631
674	128	665	532	631
698	127	659	527	635
722	127	660	525	637
746	126	657	523	637
770	125	654	516	640
794	124	654	527	643
818	124	644	534	646
842	124	636	538	648
866	124	635	539	645
890	124	640	537	647
997	123	641	529	652
1021	123	640	530	653
1045	122	635	531	652
1069	122	635	533	651
1093	123	644	536	648
1117	123	647	535	647
1141	123	644	532	647
1165	122	646	531	648
1189	124	648	530	647
1213	124	647	529	647
1237	124	642	533	650
1261	124	641	535	647
1285	124	645	539	646
1309	125	647	541	647
1333	125	639	538	647
1357	126	640	537	647
1381	126	643	534	645
1405	127	644	533	647
1429	128	643	531	648
1453	127	643	531	644
1477	127	646	529	649
1501	129	652	531	649
1525	128	650	534	645
1643	130	647	537	643
1667	129	648	536	644
1691	130	650	534	644
1715	130	649	531	645
1739	130	646	534	644
1763	131	648	535	644
1787	131	650	533	644
1811	131	650	532	644
1835	133	649	533	644
1859	133	648	534	642
1883	133	648	532	646
1907	133	649	532	644
1931	132	647	534	645
1955	132	646	533	644
1979	131	649	533	644
2003	131	649	534	645
2027	131	647	535	643
2051	130	646	536	645
2075	130	646	536	644
2099	129	648	538	644
2123	130	649	536	643
2147	129	649	537	641
2171	130	648	536	646
2285	129	651	536	640
2309	131	651	536	642
2333	129	650	534	641
2357	131	652	532	641
2381	130	650	532	643
2405	130	650	533	643
2429	130	650	534	642
2453	129	651	534	642
2477	128	653	536	641
2501	129	651	536	641
2525	129	651	537	642
2549	128	651	534	643
2573	128	650	536	641
2597	128	649	536	640
2621	126	648	537	642
2645	126	647	527	643
2669	125	649	538	642
2693	123	649	537	639
2717	124	651	539	643
2741	123	653	539	641
2765	123	653	537	641
2789	122	652	537	642
2813	122	651	536	641
2929	123	652	538	639
2953	123	651	536	641
2977	123	653	535	639
3001	123	653	534	639
3025	124	655	536	639
3049	123	654	535	639
3073	123	654	538	639
3097	123	652	537	639
3121	124	653	537	640
3145	124	652	536	641
3169	123	655	536	640
3193	123	654	537	640
3217	124	653	536	639
3241	123	653	537	639
3265	123	654	536	640
3289	124	654	536	639
3313	123	653	537	639
3337	123	654	538	638
3361	122	653	539	637
3385	123	653	538	639
3409	123	655	538	639
3433	122	653	539	640
3457	122	652	537	639
3481	122	653	539	638
3598	122	655	539	639
3622	122	655	538	639
3646	121	653	539	639
3670	122	652	538	639
3694	121	653	538	638
3718	120	653	538	638
3742	120	654	540	639
3766	121	653	538	639
3790	120	655	539	637
3814	121	654	541	637
3838	121	653	542	637
3888	120	653	541	638
3912	122	653	539	639
3936	122	656	537	639
3960	121	656	537	639
3984	121	654	536	640
4008	122	653	537	641
4032	122	653	539	640
4056	121	650	538	642
4080	120	653	542	640
4104	119	654	545	636
4128	119	655	544	634
4152	118	653	545	636
4266	122	655	537	638
4290	120	657	538	637
4314	121	656	540	637
4338	120	658	541	636
4362	120	656	540	638
4386	120	653	540	637
4410	121	652	542	636
4434	121	653	541	637
4458	120	657	542	635
4482	121	657	542	636
4506	121	656	540	635
4530	122	656	537	636
4554	122	658	537	636
4578	123	657	536	639
4602	123	656	537	637
4626	122	656	538	636
4650	123	657	539	638
4674	121	655	539	637
4698	120	654	541	638
4722	121	652	540	638
4746	120	655	540	639
4770	121	654	541	638
4794	120	653	543	639
4912	119	656	541	638
4935	119	655	540	636
4958	120	656	541	636
4981	120	656	540	637
5004	120	654	541	636
5027	121	655	541	638
5050	120	655	541	637
5073	120	656	539	636
5096	120	655	539	637
5119	120	654	541	636
5142	120	656	541	636
5165	121	655	543	635
5188	120	657	542	638
5211	119	657	541	637
5234	121	656	539	637
5257	121	658	540	637
5280	121	656	541	637
5303	119	654	541	637
5326	119	655	540	638
5349	120	656	542	636
5372	119	655	543	635
5395	119	655	542	635
5418	119	655	541	635
5441	120	657	541	637
5462	119	658	540	636
5485	120	656	540	636
5508	120	654	541	639
5531	120	656	542	638
5554	119	654	543	636
5577	119	655	543	636
5600	119	655	541	639
5623	119	654	541	638
5646	119	654	541	638
5669	119	654	541	639
5692	119	654	541	640
5715	120	654	541	640
5738	119	653	543	639
5761	120	653	543	636
5784	120	653	542	639
5807	119	656	540	639
5830	119	656	541	637
5853	119	656	541	636
5876	119	655	544	636
5899	118	656	545	634
5922	119	655	545	634
5945	119	656	544	635
5968	120	661	542	636
5995	119	659	539	634
6018	121	659	539	636
6041	120	658	539	636
6064	122	658	539	636
6087	121	658	540	634
6110	120	657	541	635
6133	120	656	541	636
6156	119	656	542	636
6179	120	657	543	636
6202	120	655	544	635
6225	119	657	543	636
6248	119	656	541	637
6271	120	657	541	635
6318	119	657	540	636
6341	118	657	540	637
6364	119	656	542	637
6387	118	655	543	635
6410	118	654	544	635
6433	119	655	545	636
6456	118	654	544	636
6479	119	655	543	635
6502	120	659	539	638
6525	119	657	540	637
6552	118	659	539	634
6575	119	657	543	634
6598	119	655	546	634
6621	118	653	545	635
6644	119	656	544	635
6667	119	657	543	636
6690	119	658	542	635
6713	119	659	539	635
6736	121	657	538	636
6759	120	656	537	637
6782	120	657	538	637
6805	121	656	540	636
6828	120	656	540	637
6851	119	656	540	636
6874	119	653	538	636
6897	119	656	541	638
6920	118	653	541	638
6943	117	653	543	640
6966	117	647	545	641
6989	117	650	545	640
7012	115	650	543	641
7035	116	650	544	641
7058	116	652	543	640
7085	115	652	541	639
7108	117	653	542	638
7131	116	654	542	639
7154	117	653	542	639
7177	117	653	541	638
7200	117	655	541	639
7223	117	654	540	638
7246	118	654	539	638
7269	118	654	539	638
7292	118	654	540	637
7315	118	655	540	638
7338	119	655	540	637
7361	118	656	541	637
7384	117	655	542	641
7407	118	652	539	638
7430	119	653	539	637
7453	118	655	540	636
7476	118	656	540	637
7499	118	656	540	637
7522	118	654	541	638
7545	118	653	541	636
7568	118	654	541	638
7591	118	655	541	638
7614	118	656	540	638
7641	119	654	540	639
7664	117	655	539	639
7688	118	653	540	639
7711	117	652	541	640
7735	117	651	542	639
7758	117	652	543	638
7782	116	653	542	639
7805	117	652	542	638
7829	117	652	541	639
7852	117	653	541	639
7876	117	654	543	637
7899	117	654	543	636
7923	117	656	542	636
7946	118	655	542	638
7970	118	654	542	638
7993	118	654	542	638
8017	119	655	543	637
8040	120	656	543	637
8064	121	658	543	633
8087	123	658	540	631
8111	124	661	539	632
8134	127	663	539	634
8158	129	663	539	632
8197	130	660	540	632
8221	129	663	541	633
8245	130	661	541	632
8269	130	658	542	633
8293	129	658	542	634
8317	129	659	541	633
8341	129	659	539	633
8365	129	660	540	634
8389	128	658	540	633
8413	128	658	543	634
8437	127	657	540	634
