Time	Volt	Xaxis	Yaxis	Zaxis
172	79	625	503	668
334	102	621	504	671
358	115	619	503	680
382	132	620	503	671
406	147	618	506	666
430	160	611	509	662
454	169	604	511	659
478	175	607	509	656
502	181	594	516	652
526	182	620	506	673
550	179	638	498	684
574	173	621	501	669
598	171	622	498	646
622	140	666	509	627
646	125	651	520	625
670	123	593	509	663
694	124	640	505	699
718	123	655	508	681
742	121	623	502	666
766	119	605	507	650
790	113	621	511	644
814	106	622	516	651
838	96	594	514	658
862	79	567	494	682
976	61	652	476	685
1000	99	688	516	660
1024	114	661	547	674
1048	123	611	495	673
1072	153	588	489	652
1096	164	625	479	667
1120	166	614	483	664
1144	183	604	493	651
1168	193	638	501	669
1192	209	659	513	650
1216	217	637	502	654
1240	211	619	514	653
1264	195	629	505	654
1288	179	638	493	659
1312	174	622	500	658
1336	172	624	501	662
1360	177	641	505	656
1384	181	636	492	658
1408	185	622	494	660
1432	188	613	494	665
1456	190	626	492	666
1480	190	630	486	662
1504	191	635	485	658
1622	135	679	500	680
1646	117	685	522	681
1670	100	672	543	675
1694	88	676	554	659
1718	78	679	559	653
1742	73	655	563	647
1766	58	627	576	645
1790	59	604	576	640
1814	63	583	575	636
1838	65	583	577	627
1862	67	602	572	625
1886	70	581	579	620
1910	72	580	579	616
1934	68	591	556	635
1958	72	586	536	630
1982	84	624	519	653
2006	73	683	485	649
2030	67	639	511	639
2080	71	658	537	666
2104	70	624	537	671
2128	71	593	547	670
2152	73	599	564	662
2176	77	596	562	667
2200	83	611	554	663
2314	98	662	510	632
2338	98	684	514	632
2362	96	696	503	655
2386	95	702	491	664
2410	95	649	519	669
2434	94	608	546	670
2458	91	609	539	664
2482	90	614	535	657
2506	88	617	532	653
2530	87	615	534	653
2554	85	624	525	654
2578	83	652	505	656
2602	80	655	509	641
2626	78	667	502	631
2650	78	691	504	640
2674	77	657	508	648
2698	76	610	521	651
2722	75	592	530	651
2746	74	632	524	659
2770	71	654	534	659
2794	70	632	540	665
2818	69	621	535	664
2842	69	646	518	661
2866	69	664	511	658
2890	70	644	507	652
3006	71	631	513	646
3030	71	652	517	652
3054	70	660	516	653
3078	71	655	511	647
3102	70	648	510	643
3126	71	655	512	646
3150	72	653	509	641
3174	71	646	512	639
3198	72	649	515	641
3222	71	660	518	641
3246	73	654	517	643
3270	72	653	506	652
3294	72	660	501	651
3318	71	642	503	645
3342	73	659	508	637
3366	73	656	516	635
3390	72	648	513	627
3414	70	651	518	627
3438	69	661	520	642
3462	67	662	518	644
3486	65	650	517	642
3510	63	641	514	648
3534	62	641	509	651
3558	62	641	512	652
3675	61	653	514	647
3699	59	648	513	647
3723	60	640	512	647
3747	60	642	514	647
3771	60	642	513	650
3795	59	639	514	650
3819	59	644	517	651
3843	59	646	514	651
3867	59	641	509	650
3891	60	646	508	648
3915	60	648	515	648
3939	60	640	516	648
3963	61	638	515	649
3987	60	642	516	650
4011	60	642	514	650
4035	60	636	514	652
4059	61	638	515	657
4083	61	643	517	654
4107	61	648	510	648
4131	62	641	511	648
4155	61	639	515	648
4179	61	644	515	651
4203	61	639	512	646
4227	62	636	511	648
4341	58	642	513	649
4365	58	640	516	647
4389	58	636	517	648
4413	58	640	514	650
4437	58	641	517	654
4461	59	634	521	654
4485	59	635	518	658
4509	58	640	515	655
4533	58	639	513	652
4557	58	637	514	656
4581	57	641	513	650
4605	55	650	510	650
4629	55	643	517	653
4653	54	639	518	649
4677	53	640	517	651
4701	53	635	517	648
4725	52	635	516	649
4749	53	643	516	651
4773	52	644	515	652
4797	53	635	514	651
4821	53	640	513	648
4845	54	649	516	649
4869	54	641	513	655
4893	54	633	515	656
4917	53	645	513	645
5035	53	642	514	646
5058	51	642	516	648
5081	50	642	514	651
5104	50	640	515	649
5127	50	645	511	647
5150	50	645	516	648
5173	50	644	515	647
5196	50	641	515	648
5219	50	646	515	644
5242	51	647	514	650
5265	51	643	515	649
5288	51	642	514	650
5311	51	643	515	648
5334	51	645	514	648
5357	52	647	515	649
5380	52	644	516	650
5403	52	642	515	648
5426	53	648	516	640
5449	51	655	515	643
5472	53	644	515	646
5495	54	636	514	646
5518	54	647	513	646
5541	55	647	514	648
5564	54	643	514	651
5591	55	649	516	651
5614	55	646	514	649
5637	55	642	512	647
5660	55	644	513	649
5683	55	646	516	648
5706	54	644	515	649
5729	55	641	514	650
5752	56	639	517	649
5775	56	636	517	651
5798	56	640	514	654
