Time	Volt	Xaxis	Yaxis	Zaxis
180	186	662	535	633
353	186	662	539	628
377	186	663	537	630
401	186	663	537	630
425	186	664	539	631
449	186	663	538	633
473	186	663	535	634
497	186	661	536	634
521	186	662	536	632
545	186	661	536	632
569	187	663	538	632
593	187	663	538	631
617	187	665	537	631
641	187	664	536	632
665	186	667	534	632
689	187	667	537	632
713	187	665	538	631
737	187	663	537	631
761	187	664	537	631
785	187	671	539	633
809	188	667	541	631
833	187	667	544	627
857	188	665	543	626
881	187	664	542	626
988	187	659	545	641
1012	187	657	547	640
1036	187	656	549	636
1060	187	649	556	635
1084	186	653	551	629
1108	186	652	555	628
1132	186	649	555	629
1156	185	648	555	629
1180	186	654	553	634
1204	186	655	552	636
1228	187	657	550	638
1252	186	654	550	640
1276	186	659	549	642
1300	186	661	548	644
1324	186	659	551	639
1348	184	650	554	633
1372	182	658	555	633
1396	182	657	557	633
1420	181	651	557	633
1444	181	664	559	632
1468	180	658	563	622
1492	182	646	562	610
1516	179	693	578	600
1634	116	750	567	587
1658	101	706	543	624
1682	90	672	543	616
1706	81	663	557	571
1730	77	722	553	575
1754	84	696	548	605
1778	89	662	563	590
1802	107	656	595	584
1826	117	652	592	551
1850	126	739	596	553
1874	136	700	593	564
1898	145	676	587	555
1922	154	696	590	546
1946	169	682	587	541
1970	181	710	572	556
1994	182	738	589	562
2018	185	724	586	568
2042	185	706	594	545
2066	179	711	589	534
2090	179	698	584	550
2114	182	664	574	596
2138	184	677	548	652
2162	170	701	538	635
2276	109	666	586	566
2300	102	665	604	586
2324	94	646	619	583
2348	84	646	589	591
2372	78	722	579	598
2396	78	780	580	600
2420	84	685	590	584
2444	92	679	578	615
2468	103	671	567	628
2492	122	665	541	659
2516	118	662	543	681
2540	117	665	539	651
2564	115	656	522	630
2588	113	628	532	632
2612	113	630	535	644
2636	113	630	535	653
2660	113	650	520	657
2684	114	627	521	657
2708	115	636	528	652
2732	115	660	522	671
2756	116	615	516	667
2780	118	629	511	661
2804	119	638	510	657
2828	120	642	514	674
2943	92	688	515	629
2967	88	677	521	635
2991	91	638	522	643
3015	91	658	526	631
3039	93	668	537	613
3063	92	686	544	606
3087	91	746	550	616
3111	92	674	531	623
3135	92	633	519	632
3159	93	650	526	657
3183	93	630	514	659
3207	94	631	517	649
3231	93	658	526	636
3255	93	681	527	634
3279	93	667	526	631
3303	94	662	524	635
3327	95	653	522	637
3351	94	657	522	637
3375	94	655	522	635
3399	95	663	524	634
3423	95	662	527	634
3447	95	662	525	636
3471	95	659	523	634
3495	95	659	524	633
3611	95	656	524	636
3635	95	658	523	636
3659	95	661	525	632
3683	95	662	527	631
3707	96	663	526	632
3731	95	658	523	634
3755	96	659	523	634
3779	96	660	525	634
3803	96	662	524	635
3827	95	659	525	633
3851	96	661	527	632
3875	95	666	524	633
3899	96	662	524	633
3923	95	662	524	633
3947	96	662	525	632
3971	95	664	524	634
3995	96	660	524	635
4019	95	659	525	635
4043	96	658	525	634
4067	96	663	525	633
4091	95	666	526	632
4115	95	660	525	632
4139	96	659	525	633
4163	95	662	526	633
4187	95	662	527	633
4301	95	665	525	632
4325	96	661	526	633
4349	96	660	527	633
4373	96	661	526	633
4397	96	662	526	631
4421	96	667	527	632
4445	95	663	525	632
4469	95	661	526	633
4493	95	661	527	632
4517	95	663	526	633
4541	95	662	527	632
4565	96	661	525	632
4589	96	665	526	633
4613	97	663	526	634
4637	96	660	526	633
4661	98	661	526	634
4685	97	659	527	633
4709	99	660	527	634
4733	99	661	526	633
4757	100	663	525	633
4781	100	663	526	632
4805	100	662	525	632
4829	100	661	526	634
4853	101	664	526	633
4968	102	660	526	633
4991	102	662	527	633
5015	102	662	528	633
5038	102	662	527	633
5062	101	661	528	631
5085	102	661	525	633
5109	102	659	524	634
5132	102	660	526	634
5156	102	665	527	631
5179	106	669	530	629
5229	123	661	526	632
5252	128	668	523	637
5275	131	658	523	639
5298	133	643	522	641
5321	133	656	530	639
5344	133	646	531	634
5367	134	656	531	635
5390	136	655	530	634
5413	140	661	522	636
5436	141	661	523	636
5459	142	657	525	638
5482	142	666	530	636
5505	140	661	528	635
5532	139	662	526	634
5555	139	658	528	634
5578	139	657	527	635
5601	138	659	525	636
5624	138	662	527	633
5647	137	665	527	633
5670	139	662	527	632
5693	137	661	526	634
5716	137	661	527	634
5739	136	658	528	634
5762	136	660	528	633
5785	136	662	528	634
5808	136	658	527	634
5831	136	659	527	634
5854	136	661	527	632
5877	135	664	526	632
5900	136	667	526	633
5923	136	662	527	633
5946	135	660	529	633
5969	135	658	531	634
5992	136	659	528	634
6015	136	660	526	633
6038	135	663	527	632
6065	136	665	526	632
6088	136	664	526	632
6111	135	662	526	633
6134	135	660	529	634
6157	135	657	530	633
6180	134	661	530	633
6203	134	663	528	631
6226	135	664	525	631
6249	135	664	525	632
6272	135	662	526	633
6319	135	662	528	633
6342	135	659	530	631
6365	134	661	529	632
6388	136	661	526	632
6411	135	663	524	632
6434	136	664	525	632
6457	135	662	526	634
6480	135	659	529	633
6503	135	659	529	632
6526	135	662	529	631
6549	136	664	526	632
6572	135	663	525	632
6595	134	664	525	631
6618	136	661	526	632
6645	135	662	530	631
6668	135	662	530	633
6691	134	661	528	632
6714	135	662	526	633
6737	135	662	524	633
6760	134	664	527	632
6783	135	663	528	632
6806	135	663	529	633
6829	135	661	528	632
6852	134	664	529	630
6875	134	664	529	632
6898	135	662	528	633
6921	135	661	526	633
6944	135	663	526	634
6967	135	663	529	631
6990	134	665	529	630
7013	135	662	528	632
7036	134	662	527	633
7059	134	659	527	633
7082	135	661	529	633
7105	134	664	527	632
7128	134	664	526	630
7151	134	664	529	631
7178	136	665	528	630
7201	136	663	528	634
7224	134	660	527	635
7247	135	658	527	634
7270	136	661	528	633
7293	134	663	527	631
7316	135	666	527	630
7339	135	666	526	632
7362	135	662	526	632
7385	135	658	528	634
7408	135	659	528	634
7431	135	663	529	633
7454	135	664	527	631
7477	135	665	526	631
7500	135	662	526	631
7523	135	663	527	631
7546	135	663	527	633
7569	135	659	527	633
7592	134	662	530	632
7615	134	664	530	631
7638	134	665	529	632
7661	135	660	526	633
7684	135	662	525	634
7711	134	665	527	632
7734	134	663	529	630
7758	134	662	529	632
7781	134	664	529	631
7805	134	663	527	631
7828	134	664	527	631
7852	135	664	528	631
7875	133	662	527	631
7899	135	661	527	631
7922	135	663	528	632
7946	134	663	527	632
7969	135	664	528	632
7993	134	664	526	631
8016	135	663	526	631
8040	134	663	528	631
8063	134	664	529	630
8087	134	662	528	632
8110	136	663	527	633
8134	135	663	527	631
8157	134	662	528	630
8181	135	663	527	631
8204	135	662	525	632
8228	135	667	527	630
8267	135	663	528	630
8291	136	664	531	630
