Time	Volt	Xaxis	Yaxis	Zaxis
485	114	250	409	473
681	106	259	474	473
872	106	326	465	487
1065	104	313	491	467
1253	110	365	511	418
1440	104	293	521	452
1548	202	341	497	440
1573	203	304	501	455
1598	228	271	501	466
1623	277	299	498	455
1648	302	276	482	469
1673	277	304	493	440
1698	255	289	493	426
1723	253	293	506	416
1748	258	293	508	416
1773	251	301	495	428
1798	249	297	500	435
1823	239	290	498	441
1848	234	300	492	446
1873	227	309	493	434
1898	212	300	488	438
1923	197	304	484	444
1948	175	303	492	430
1977	164	281	493	445
2002	164	259	489	468
2027	158	270	501	446
2052	147	269	502	418
2077	146	268	499	427
2102	142	289	505	421
2127	144	284	503	415
2152	160	278	495	437
2177	193	275	493	441
2202	204	279	506	413
2227	219	252	491	439
2252	257	289	499	422
2277	258	308	509	421
2302	265	311	496	451
2327	253	303	498	468
2352	246	324	495	458
2377	237	305	496	473
2402	235	319	498	464
2427	259	328	493	461
2452	268	309	498	473
2477	270	328	500	465
2502	277	329	499	460
2527	279	334	493	470
2556	283	334	494	472
2581	285	334	492	467
2606	285	330	489	465
2631	286	324	489	465
2656	286	314	491	464
2681	285	296	494	464
2706	285	301	496	465
2731	285	301	498	474
2756	287	296	501	477
2781	287	292	504	475
2806	287	295	503	473
2831	288	291	501	477
2856	289	292	500	480
2881	288	294	501	475
2906	289	292	502	467
2931	289	288	500	466
2956	289	290	501	465
2981	290	297	498	466
3006	289	303	496	464
3031	291	306	493	461
3056	291	310	489	460
3081	293	315	487	460
3106	298	307	488	463
3135	302	304	484	460
3160	288	307	480	458
3185	293	294	482	461
3210	294	282	486	473
3235	302	301	466	476
3260	313	297	479	480
3285	317	286	488	477
3310	323	291	483	487
3335	328	304	488	495
3360	331	293	481	466
3385	331	269	466	482
3410	328	273	472	496
3435	326	277	483	479
3460	321	314	488	425
3485	314	308	482	415
3510	303	266	486	446
3535	293	273	503	431
3560	288	304	504	398
3585	275	301	504	392
3610	260	284	511	400
3635	255	288	512	413
3660	249	342	520	416
3685	235	310	518	391
3714	221	241	503	424
3739	216	284	516	420
3764	222	337	504	420
3789	208	317	503	425
3814	190	257	496	419
3839	176	250	490	447
3864	175	308	495	437
3889	173	332	477	443
3914	172	306	483	450
3939	171	267	478	445
3964	170	260	478	454
3989	167	285	479	463
4014	166	303	475	467
4039	165	300	477	463
4064	164	281	480	459
4089	163	276	482	462
4114	161	282	485	465
4139	161	292	482	463
4164	160	297	484	462
4189	159	290	485	466
4214	156	282	485	468
4239	155	279	483	473
4264	154	287	485	473
4289	153	300	483	464
4318	152	298	480	464
4343	152	285	481	468
4368	152	286	482	472
4393	151	293	479	470
4418	155	291	480	467
4450	155	303	480	468
4475	157	308	480	465
4500	164	289	477	460
4525	165	307	476	476
4550	168	288	476	478
4575	166	285	471	471
4600	166	281	476	471
4625	164	297	475	472
4650	162	294	480	472
4675	161	282	477	459
4700	160	293	478	459
4725	159	292	476	463
4750	158	276	478	457
4775	157	279	480	453
4800	156	292	481	451
4825	155	272	484	457
4850	154	253	490	447
4875	153	259	497	427
4904	153	271	501	422
4929	153	249	507	411
4954	153	226	511	396
4979	153	266	515	389
5004	154	294	512	391
5029	153	266	511	387
5054	152	281	511	389
5079	152	320	511	392
