Time	Volt	Xaxis	Yaxis	Zaxis
454	85	361	394	534
653	107	329	438	619
845	148	403	507	542
1031	132	365	403	494
1209	104	361	307	581
1315	75	390	285	599
1340	77	397	346	588
1365	82	399	378	581
1390	92	451	407	545
1415	104	422	454	520
1440	113	421	502	497
1465	111	398	534	476
1490	107	356	527	456
1515	103	284	472	513
1540	99	254	460	561
1565	96	330	452	581
1590	93	359	448	572
1615	83	397	446	532
1640	75	387	408	541
1665	74	348	379	544
1690	83	338	378	516
1715	92	392	318	572
1740	83	394	396	565
1769	84	382	391	546
1794	93	375	408	549
1819	106	393	414	553
1844	116	380	414	580
1869	123	310	407	599
1894	130	351	386	599
1919	145	373	365	594
1944	161	361	368	600
1969	180	350	375	590
1994	198	330	389	588
2019	221	363	398	570
2044	241	334	407	565
2069	253	337	411	564
2094	269	373	420	561
2119	272	375	432	539
2144	275	371	437	525
2169	276	361	459	515
2194	278	391	464	503
2219	279	391	481	474
2244	283	379	487	444
2269	284	385	487	434
2294	284	382	475	430
2319	281	382	459	427
2344	280	369	456	442
2373	279	350	441	432
2398	276	334	434	439
2423	275	330	435	439
2448	272	327	433	439
2473	266	310	418	451
2498	262	272	402	472
2523	253	222	385	476
2548	239	187	393	471
2573	218	91	405	474
2598	189	135	399	498
2623	167	200	450	500
2648	167	295	426	552
2673	164	212	428	595
2698	163	255	430	566
2723	160	332	431	506
2748	166	396	443	491
2773	168	298	417	527
2798	180	288	421	525
2823	205	315	387	511
2848	241	213	385	537
2873	260	145	413	543
2898	262	178	428	493
2923	253	203	456	484
2952	246	236	464	468
2977	248	275	461	455
3002	254	282	461	440
3027	272	296	454	436
3052	277	331	445	451
3077	276	370	433	459
3102	269	365	433	469
3127	265	327	418	477
3152	242	320	393	496
3177	202	356	366	499
3202	141	293	327	498
3227	111	257	297	541
3252	104	277	298	548
3277	106	291	305	533
3302	109	353	330	519
3327	110	398	344	499
3352	113	358	369	497
3377	117	327	380	499
3402	118	335	397	450
3427	118	286	441	444
3452	116	279	499	415
3477	112	308	491	490
3502	110	248	500	558
3531	101	284	482	570
3556	98	352	442	592
3581	99	398	401	594
3606	101	453	377	603
3631	100	435	346	622
3656	97	427	331	623
3681	97	387	359	589
3706	97	418	361	575
3731	97	355	360	575
3756	99	372	370	565
3781	103	377	377	542
3806	111	352	380	561
3831	119	384	390	575
3856	126	384	393	544
3881	125	371	386	526
3906	131	358	373	532
3931	139	330	386	517
3956	145	354	397	503
3981	151	347	396	502
4006	163	338	403	528
4031	185	329	411	514
4056	204	289	412	515
4081	200	289	407	517
4106	172	339	432	468
4135	125	287	422	504
4160	119	276	458	518
4185	116	304	490	499
4210	113	315	495	501
4235	107	251	495	533
4267	98	293	505	537
4292	88	379	497	519
4317	80	399	485	492
4342	72	379	454	507
4367	66	287	424	553
4392	63	365	404	541
4417	65	454	353	555
4442	71	406	339	562
4467	80	387	375	562
4492	85	371	364	550
4517	91	420	370	558
4542	96	460	383	584
4567	100	449	377	582
4592	101	453	378	593
4617	100	504	392	619
4642	99	508	418	629
4667	98	499	433	609
4692	97	460	461	581
4717	97	445	462	512
4746	102	423	455	501
4771	107	379	435	519
4796	113	375	421	529
4821	117	385	430	514
4846	119	342	418	490
4871	118	297	370	466
4896	108	312	309	458
4921	98	297	237	512
4946	96	302	242	531
4971	94	375	306	517
4996	98	392	341	499
5021	106	396	376	476
5046	117	385	441	467
5071	120	372	489	472
5096	116	309	484	494
5121	99	283	512	477
5146	93	211	473	458
5171	101	192	423	541
5196	132	238	409	618
5221	165	335	413	590
5246	188	328	396	555
5271	205	279	391	555
5296	221	328	363	548
5325	247	264	377	540
5350	268	243	377	538
5375	282	291	366	564
5400	290	282	375	574
5425	294	307	386	554
5450	296	228	401	536
5475	288	194	424	503
5500	280	233	425	492
5525	281	246	420	486
5550	280	280	426	439
5575	272	225	440	456
5600	258	271	443	473
5625	233	309	443	466
5650	202	295	444	456
5675	179	312	441	445
5700	160	313	439	450
5725	142	300	441	441
5750	131	283	432	426
5775	130	256	436	424
5800	145	248	440	421
5825	152	262	439	423
5850	154	287	456	431
5875	155	311	464	422
5900	162	302	472	448
5929	169	277	458	458
5954	179	257	457	478
5979	197	279	468	493
6004	202	288	477	504
6029	204	306	492	498
6054	201	331	517	490
6079	198	365	518	483
6104	193	388	520	453
6129	191	388	511	431
6154	192	376	489	410
6179	194	361	467	412
6204	196	345	448	423
6229	196	321	434	433
6254	195	304	443	426
6279	193	291	447	420
6304	193	294	437	439
6329	190	265	418	470
6354	181	198	415	469
6379	172	112	414	496
6404	161	149	385	512
6429	149	229	403	533
6454	142	260	401	522
6479	137	222	408	488
6508	136	244	416	480
6533	139	281	404	499
6558	136	317	400	499
6583	128	320	412	499
6608	120	323	397	519
6633	118	296	386	549
6658	114	353	397	556
6683	114	415	386	550
6708	113	379	395	569
6733	111	384	390	557
6758	111	343	396	520
6783	108	300	392	523
6808	108	262	420	557
6833	95	354	401	543
6858	85	337	401	544
6883	83	320	409	573
6908	83	396	384	566
6933	84	372	372	591
6958	82	384	375	625
6983	84	425	378	599
7008	87	419	396	548
7033	93	412	410	523
7058	100	407	420	495
7083	101	415	408	506
7112	100	453	407	516
7137	100	450	398	500
7162	99	458	379	510
7187	98	437	388	521
7212	97	431	402	533
7237	96	358	405	558
7262	99	425	393	582
7287	103	416	397	575
7312	104	413	395	557
7337	98	418	404	556
7377	91	389	413	550
7402	85	353	413	536
7427	85	345	407	525
7452	86	357	393	515
7477	79	363	367	558
7502	89	416	372	583
7537	92	409	375	574
7562	93	390	388	552
7587	94	391	403	539
7612	95	378	414	548
7637	95	383	410	561
7662	95	385	395	566
7687	95	384	403	569
7712	93	389	395	560
7741	92	377	395	554
7766	91	380	395	543
7791	88	365	381	533
7816	84	332	370	531
7841	81	319	356	544
7866	84	311	375	541
7891	88	277	385	557
7916	94	318	394	553
7941	100	333	407	538
7966	105	310	419	514
7991	108	317	425	487
8016	112	302	434	460
8041	113	291	448	456
8066	111	289	455	448
8091	104	294	464	463
8116	101	295	471	469
8141	93	299	479	483
8166	84	300	473	499
8191	79	301	472	497
8216	75	334	445	536
8241	76	354	437	563
8266	78	309	432	582
8291	84	318	418	554
8316	89	290	410	510
8345	92	224	397	518
8370	107	281	392	484
8395	122	286	367	484
8420	145	260	366	506
8445	155	289	390	497
8470	159	315	388	478
8495	170	305	374	524
8520	178	261	383	539
8545	182	276	407	501
8570	184	253	404	469
8595	186	243	405	463
8620	189	224	417	470
8645	192	303	410	459
8670	194	319	417	459
8695	192	309	417	476
8720	185	291	414	500
8745	176	277	410	492
8770	165	302	413	482
8795	158	307	410	500
8820	162	284	403	520
8845	166	254	417	552
8870	172	302	412	519
8895	176	303	407	495
8924	187	260	403	486
8949	195	240	411	498
8974	196	262	406	463
8999	190	224	403	472
9024	184	201	411	498
9049	190	222	416	510
9074	199	232	436	502
9099	216	215	451	492
9124	239	245	443	482
9149	250	294	453	490
9174	251	320	444	490
9199	245	340	424	478
9224	219	305	423	459
9249	190	267	409	473
9274	172	339	387	467
9299	161	348	372	463
9324	157	341	376	455
9349	154	335	384	456
9374	148	339	390	466
9399	140	378	401	445
9424	131	323	397	517
9449	132	286	406	563
9474	136	302	384	582
9503	139	276	380	550
9528	141	257	409	526
9553	144	223	426	500
9578	147	224	434	480
9603	146	232	448	489
9628	145	244	454	522
9653	146	291	459	527
9678	142	300	464	517
9703	131	314	489	541
9728	117	332	484	570
9753	98	390	470	548
9778	84	391	449	550
9803	74	428	422	541
9828	63	434	387	516
9853	55	333	379	491
9878	55	282	328	504
9903	66	320	295	535
9928	64	340	307	530
9953	70	387	354	525
9978	69	366	370	535
10003	68	383	380	538
10028	67	331	410	546
10053	66	335	421	522
10078	79	397	413	525
10107	87	398	417	552
10132	85	357	439	570
10157	87	377	432	565
10182	98	397	416	592
10207	110	372	417	596
10232	120	384	411	591
10257	133	370	418	578
10282	142	334	422	569
10307	149	318	414	544
10332	151	325	427	506
10357	160	311	422	475
10382	178	255	408	497
10407	195	263	412	492
10432	200	288	421	471
10457	199	294	418	450
10489	192	276	405	448
10514	187	292	399	475
10539	179	272	401	475
10564	168	246	385	469
10589	143	242	356	455
10614	130	188	325	427
10639	119	176	312	456
10664	118	193	325	495
10686	118	235	352	528
10711	115	294	358	520
10736	114	348	377	531
10761	115	381	414	516
10786	111	370	463	498
10811	102	394	476	476
10836	91	382	466	466
10861	83	355	462	468
10886	80	353	453	506
10911	78	390	430	527
10936	74	394	400	560
10961	73	427	373	555
10986	66	419	347	636
11011	70	388	387	601
11036	72	356	374	564
11061	72	388	354	562
11086	75	410	366	557
11111	77	408	364	562
11136	79	479	360	537
11161	92	489	365	571
11186	96	477	371	579
11211	101	498	379	606
11240	112	492	403	613
11265	127	459	419	594
11290	148	452	441	553
11315	170	450	447	531
11340	185	421	452	504
11365	199	345	455	531
11390	218	349	459	533
11415	240	387	448	531
11440	255	374	436	516
11465	258	369	439	493
11490	255	367	425	481
11515	251	349	407	479
11540	244	334	380	486
11565	240	293	378	485
11590	235	309	384	466
11615	222	329	358	464
11640	202	287	338	492
11665	173	269	329	513
11690	147	279	310	522
11715	125	290	297	533
11740	105	287	307	542
11765	93	314	324	540
11790	83	333	385	527
11819	71	302	403	506
11844	67	291	463	482
11869	65	262	487	468
11894	67	208	498	502
11919	70	231	482	507
11944	72	276	451	482
11969	75	278	429	487
11994	77	271	404	518
12019	85	299	389	516
12044	103	346	379	520
12069	129	303	373	520
12094	160	278	372	531
12119	182	285	366	519
12144	192	250	368	483
12169	205	214	366	469
12194	217	195	393	488
12219	227	221	409	470
12244	231	255	426	433
12269	219	222	425	414
12294	215	231	435	415
12319	210	263	428	438
12344	212	292	421	443
12373	213	267	402	470
12398	219	291	386	482
12423	221	302	385	476
12448	217	299	387	474
12473	207	294	400	475
12498	192	278	404	474
12523	177	247	407	456
12548	167	195	409	448
12573	174	185	414	434
12598	189	165	421	422
12623	202	187	438	417
12648	200	218	447	439
12673	201	249	442	456
12698	203	279	429	469
12723	201	293	424	458
12748	191	367	428	429
12773	175	393	416	461
12798	162	346	405	500
12823	153	352	386	510
12848	136	436	369	532
12873	120	420	368	561
12898	109	315	353	593
12923	108	305	350	615
12952	112	395	355	581
12987	120	378	372	532
13012	126	363	403	501
13037	136	319	425	490
13062	142	292	470	471
13087	138	250	486	434
13112	124	247	484	466
13137	111	223	450	493
13162	99	257	440	507
13187	89	288	408	529
13212	88	272	395	570
13237	87	307	407	566
13262	88	300	405	565
13287	85	316	398	561
13312	83	361	390	539
13337	81	352	395	527
13362	81	324	398	526
13387	80	309	390	523
13412	81	342	393	508
13437	85	369	380	503
13462	90	352	370	543
13487	89	377	363	577
13512	94	422	360	603
13541	95	419	363	595
13566	94	409	371	572
13591	89	378	379	558
13616	84	348	383	546
13641	78	346	388	540
13666	74	341	398	529
13691	75	336	396	517
13716	79	329	401	500
13741	84	316	406	492
13766	86	302	402	496
13791	87	310	393	526
13816	88	308	390	572
13841	87	342	386	581
13876	85	347	384	564
13901	83	339	391	548
13926	84	339	387	533
13951	87	289	376	545
13976	91	286	387	538
14001	96	269	392	513
14026	102	260	392	498
14051	111	265	402	496
14076	118	298	409	469
14101	131	277	391	475
14130	138	316	409	446
14155	140	289	440	425
14180	140	278	436	410
14205	135	260	454	407
14236	133	256	469	424
14261	131	248	469	464
