Time	Volt	Xaxis	Yaxis	Zaxis
422	133	349	393	551
617	126	343	364	546
806	122	342	419	546
992	124	336	373	544
1169	123	342	389	535
1274	122	337	385	542
1299	121	338	386	538
1324	121	347	384	539
1349	122	339	379	541
1374	119	340	385	536
1399	118	338	391	533
1424	117	336	393	530
1449	117	336	396	536
1474	115	343	392	540
1499	115	343	386	541
1524	114	341	384	541
1549	113	341	385	541
1574	113	337	386	540
1599	113	340	388	541
1624	110	339	389	538
1649	111	334	386	540
1674	111	336	387	537
1699	109	335	388	538
1728	109	342	388	538
1753	106	342	388	539
1778	104	341	388	540
1803	101	336	385	536
1828	100	341	389	539
1853	99	337	387	540
1878	97	338	389	541
1903	97	339	388	539
1928	95	342	388	539
1953	94	343	389	541
1978	92	343	392	539
2003	91	345	391	540
2028	91	342	389	542
2053	91	341	389	539
2078	90	342	388	543
2103	90	339	390	542
2128	89	341	389	537
2153	91	339	389	541
2178	90	342	390	541
2203	91	340	391	540
2228	91	341	383	537
2253	91	332	376	539
2278	90	342	379	541
2303	86	341	386	541
2332	85	338	389	540
2357	85	339	388	537
2382	83	335	390	536
2407	86	344	395	544
2432	86	346	394	544
2457	88	349	392	539
2482	89	339	388	540
2507	91	342	389	544
2532	93	344	389	538
2557	94	343	390	542
2582	96	349	392	542
2607	98	343	389	539
2632	99	346	388	546
2657	99	348	390	543
2682	100	344	392	537
2707	100	341	391	538
2732	99	338	388	539
2757	96	335	390	537
2782	95	335	389	535
2807	93	331	389	537
2832	94	331	389	539
2857	93	338	388	540
2882	92	343	387	541
2907	92	342	388	539
2936	93	338	386	538
2961	91	337	387	537
2986	90	340	387	539
3011	89	337	390	537
3036	90	329	390	536
3061	91	332	389	536
3086	92	337	387	538
3111	94	342	387	541
3136	94	340	387	538
3161	95	339	388	537
3186	95	337	387	539
3211	94	336	390	540
3236	93	336	389	536
3261	94	333	389	534
3286	93	334	387	535
3311	94	332	388	539
3336	94	334	387	539
3361	93	337	387	537
3386	93	331	388	536
3411	95	340	386	537
3436	95	338	386	537
3461	96	337	387	539
3486	96	335	387	538
3511	96	332	386	538
3540	97	334	387	537
3565	96	335	387	536
3590	95	332	387	539
3615	97	332	386	537
3640	97	335	387	535
3665	97	335	387	537
3690	97	334	386	537
3715	97	335	387	538
3740	96	334	387	538
3765	95	335	388	537
3790	97	334	387	536
3815	96	333	387	536
3840	97	333	386	537
3865	96	334	386	537
3890	96	332	386	536
3915	96	333	386	536
3940	97	334	386	536
3965	96	333	386	536
3990	97	333	387	536
4015	97	333	387	537
4040	97	333	386	535
4065	96	332	386	536
4090	97	331	387	537
4115	97	331	387	536
4140	96	336	386	536
4169	96	334	387	535
4194	95	334	386	537
4226	96	334	386	539
4251	96	336	385	537
4276	95	336	386	538
4301	95	332	386	536
4326	95	332	386	538
4351	92	331	389	537
4376	93	328	389	534
4401	89	332	391	533
4426	89	329	387	537
4451	87	335	386	536
4476	82	336	388	532
4501	81	325	388	526
4526	78	326	383	541
4551	77	340	384	551
4576	75	339	387	538
4601	75	334	387	530
4626	74	334	388	532
4651	73	332	385	538
4676	72	337	384	548
4701	72	332	386	542
4726	73	347	396	521
4751	75	351	395	547
4780	78	333	377	554
4805	81	311	379	554
4830	80	331	388	539
4855	83	353	385	515
4880	78	348	390	520
4905	76	326	381	534
4930	74	302	390	536
4955	74	321	391	532
4980	75	331	398	546
5005	78	339	397	528
5030	81	325	395	526
5055	86	333	394	537
5080	89	327	386	523
5105	90	301	382	560
5130	86	348	388	550
5155	80	354	394	523
5180	78	351	397	524
5205	77	324	391	538
5230	75	318	380	535
5255	76	320	387	551
5280	73	353	403	532
5305	73	358	399	530
5330	72	334	390	539
5355	73	329	383	554
5380	78	327	393	541
5409	76	338	394	529
5434	78	335	391	524
5459	74	328	393	527
5484	72	333	390	540
5509	68	332	387	537
5534	63	329	390	539
5559	63	336	387	548
5584	62	335	387	545
5609	64	345	388	529
5634	64	338	386	541
5659	67	328	379	555
5684	65	321	381	554
5709	65	326	390	538
5734	65	341	394	526
5759	64	353	391	524
5784	64	338	388	531
5809	65	330	390	534
5834	63	334	393	535
5859	63	331	389	550
5884	65	330	389	543
5909	65	332	390	535
5934	66	330	389	534
5959	68	333	392	534
5984	69	340	389	536
6013	69	333	388	542
6038	69	327	390	536
6063	70	331	395	532
6088	70	345	395	534
6113	71	329	390	537
6138	71	329	380	552
6163	70	370	382	554
6188	69	353	386	546
6213	71	340	392	540
6238	73	351	391	533
6263	75	327	393	539
6288	75	314	393	538
6313	76	317	395	528
6338	76	324	387	529
6363	77	318	376	531
6388	78	325	390	534
6413	77	352	394	537
6438	77	348	396	540
6463	74	349	398	543
6488	73	348	396	542
6513	73	340	386	545
6538	72	334	384	544
6563	72	339	393	529
6588	72	333	398	528
6617	72	328	380	558
6642	73	317	384	555
6667	71	341	395	530
6692	71	349	393	526
6717	70	340	388	539
6742	69	329	390	548
6767	68	334	389	540
6792	67	343	394	540
6817	67	348	390	553
6842	66	325	387	537
6867	63	314	395	514
6892	62	320	399	518
6917	61	334	398	521
6942	61	334	400	528
6967	62	347	396	536
6992	64	339	393	536
7017	66	329	391	538
7042	64	327	381	563
7067	66	304	383	573
7092	69	335	396	537
7117	72	349	400	513
7142	74	348	398	511
7167	74	341	393	524
7192	76	323	394	538
7217	68	324	404	539
7246	69	353	403	530
7280	68	322	380	556
7305	50	334	339	552
7337	67	306	362	557
7362	64	350	379	508
7387	66	343	371	517
7412	67	311	377	539
7437	68	332	394	527
7462	74	332	416	543
7497	84	341	416	536
7522	74	363	409	516
7547	80	353	386	568
7572	79	352	389	545
7597	77	352	386	521
7622	77	339	393	536
7647	77	313	395	536
7672	73	328	395	532
7697	71	353	396	539
7722	73	345	389	543
7747	72	345	389	553
7772	71	350	387	562
7797	71	347	383	552
7822	70	328	390	536
7847	71	324	384	534
7876	72	326	389	532
7901	72	343	394	516
7926	71	325	389	525
7951	70	319	391	518
7976	66	299	383	535
