Time	Volt	Xaxis	Yaxis	Zaxis
471	68	326	393	521
666	73	304	393	531
854	91	321	384	529
1040	108	338	364	536
1218	108	334	374	538
1400	104	338	375	543
1425	105	337	376	539
1450	104	336	378	535
1475	104	337	377	535
1500	105	339	376	540
1525	105	339	375	538
1550	105	339	375	537
1575	104	339	375	536
1600	104	339	374	535
1625	104	340	373	536
1650	104	339	373	536
1675	103	339	376	535
1700	103	338	380	536
1725	103	334	382	539
1750	104	334	385	536
1775	104	328	388	542
1800	103	329	385	538
1825	103	333	382	528
1854	104	315	377	526
1879	105	312	370	528
1904	108	317	369	528
1929	110	311	369	516
1954	112	304	364	512
1979	118	294	353	521
2004	126	311	350	518
2029	126	307	350	508
2054	126	287	349	512
2079	128	304	347	523
2104	130	327	357	524
2129	126	322	366	526
2154	125	329	371	537
2179	124	356	374	542
2204	124	356	379	545
2229	125	368	381	561
2254	128	398	383	574
2279	129	420	386	587
2304	129	434	383	589
2329	125	448	373	580
2354	127	407	388	595
2379	144	365	379	590
2404	154	385	378	557
2433	165	403	366	547
2458	172	356	348	539
2483	179	358	348	531
2508	183	356	347	523
2533	184	323	336	519
2558	184	313	341	505
2583	183	279	334	509
2608	181	274	340	510
2633	174	257	331	507
2658	159	250	326	503
2683	156	279	327	501
2708	180	323	341	493
2733	196	282	330	513
2758	197	260	333	517
2783	194	285	341	504
2808	193	295	349	515
2833	192	331	351	529
2858	185	339	365	533
2883	176	339	371	539
2908	173	376	380	553
2933	170	413	390	572
2958	160	405	393	578
2983	148	418	388	575
3012	129	420	383	564
3037	124	415	364	576
3062	121	429	355	577
3087	111	408	360	573
3112	109	332	361	558
3137	121	360	371	545
3162	135	395	379	529
3187	152	381	364	546
3212	175	338	359	554
3237	185	354	351	528
3262	190	317	347	511
3287	199	277	335	511
3312	202	255	332	503
3337	185	225	318	502
3362	168	242	325	503
3387	175	371	355	504
3412	169	312	347	505
3437	157	277	361	533
3462	147	344	358	533
3487	134	353	364	536
3512	126	361	369	541
3537	132	350	361	542
3562	147	379	369	567
3587	148	377	375	558
3616	147	368	374	558
3641	160	449	389	561
3666	166	445	387	563
3691	146	287	352	566
3716	136	351	396	540
3741	148	401	395	543
3766	175	370	387	570
3791	202	384	368	570
3816	206	369	372	545
3841	207	358	365	542
3866	210	342	358	540
3891	210	342	367	529
3916	216	340	367	547
3941	217	345	357	533
3966	221	334	355	532
3991	230	344	354	542
4016	234	348	350	532
4041	232	328	356	529
4066	236	339	344	527
4091	237	347	355	526
4116	241	352	357	529
4141	246	330	343	541
4166	247	351	354	532
4195	246	343	345	534
4220	243	349	348	530
4245	237	327	352	520
4270	237	334	342	539
4295	236	337	332	537
4320	232	319	321	525
4352	238	330	297	501
4377	273	360	311	513
4402	297	350	301	550
4427	301	335	295	537
4452	295	331	296	507
4477	285	316	303	486
4502	287	301	297	501
4527	289	342	304	511
4552	285	311	326	511
4577	283	308	337	525
4602	282	329	355	518
4627	280	316	366	524
4652	279	319	373	538
4677	275	340	381	550
4702	273	368	382	567
4727	271	408	396	595
4752	263	412	409	631
4781	246	447	423	626
4806	241	481	436	614
4831	203	330	424	583
4856	151	323	407	573
4881	156	405	414	564
4906	173	421	405	587
4931	195	381	384	602
4956	210	377	376	569
4981	210	356	377	535
5006	221	343	357	538
5031	235	321	337	527
5056	245	319	341	520
5081	247	311	333	507
5106	248	313	331	502
5131	256	332	326	519
5156	261	319	315	516
5181	265	299	326	508
5206	269	300	308	509
5231	271	318	305	506
5256	274	306	298	503
5281	276	310	280	498
5306	284	328	282	503
5331	296	347	302	539
5360	307	337	279	531
5385	309	309	277	503
5410	308	300	265	490
5435	306	303	272	484
5460	304	305	284	488
5485	300	318	318	495
5510	295	306	342	500
5535	293	339	357	536
5560	289	361	374	559
5585	287	348	393	572
5610	283	360	406	584
5635	277	385	414	607
5660	268	417	431	610
5685	257	441	441	599
5710	257	444	437	614
5735	252	409	425	628
5760	225	321	410	598
5785	184	372	416	572
5810	182	434	424	549
5835	222	406	402	587
5860	260	369	375	616
5885	266	356	386	550
5910	271	337	392	524
5935	281	331	352	548
5964	287	332	344	512
5989	290	315	338	508
6014	291	313	319	515
6039	292	318	310	498
6064	294	302	294	499
6089	296	324	285	496
6114	299	273	259	473
6139	296	246	264	484
6164	297	320	247	492
6189	312	395	269	531
6214	319	390	280	543
6239	317	279	274	517
6264	314	303	268	488
6289	316	290	268	483
6314	317	318	288	491
6339	320	318	312	506
6364	320	331	332	502
6389	322	313	343	536
6414	323	378	352	548
6439	318	361	372	558
6464	315	363	399	579
6489	313	407	414	610
6514	309	470	437	644
6543	297	483	454	645
6568	284	425	444	617
6593	281	360	425	581
6618	283	386	437	567
6643	287	415	424	583
6668	290	362	412	585
6693	294	378	408	571
6718	298	380	397	562
6743	305	353	389	556
6768	309	348	375	546
6793	313	358	371	528
6818	314	338	355	528
6843	316	313	333	538
6868	320	357	335	524
6893	324	337	324	516
6918	324	326	288	508
6943	323	315	271	510
6968	325	325	268	506
6993	325	309	265	515
7018	332	323	264	521
7043	340	398	281	516
7068	346	395	278	531
7093	348	347	270	537
7122	347	329	263	518
7147	345	323	262	501
7172	344	304	274	508
7197	345	333	297	516
7222	344	332	325	533
7247	343	343	350	540
7272	341	374	367	552
7297	341	375	388	569
7322	338	383	405	575
7347	337	409	424	596
7372	334	437	433	601
7406	327	483	443	584
7431	321	466	456	611
7463	314	414	421	642
7488	310	428	434	584
7513	313	492	424	584
7538	315	425	398	594
7563	318	407	394	572
7588	321	400	385	549
7623	324	353	365	537
7648	326	356	352	540
7673	327	337	348	528
7698	327	365	348	518
7727	326	371	341	530
7752	323	322	319	548
7777	321	349	324	537
7802	322	354	302	523
7827	320	326	280	517
7852	321	321	267	524
7877	324	339	262	527
7902	328	366	255	512
7927	338	411	259	526
7952	339	347	238	524
7977	334	316	244	515
8002	330	318	263	505
8027	328	344	287	512
8052	323	348	316	517
8077	315	353	342	530
8102	309	370	362	552
8127	306	394	382	578
8152	299	426	398	589
8177	291	442	417	593
8202	282	460	427	609
8227	279	475	433	623
8252	286	496	442	607
8277	288	403	434	592
8302	288	397	437	578
8331	290	427	432	579
8356	293	410	427	590
8381	294	381	413	575
8406	297	365	407	559
8431	298	374	399	544
8456	299	364	389	542
8481	302	347	361	551
8506	305	347	348	530
8531	305	373	349	518
8556	303	346	311	521
8581	303	331	292	526
8606	304	337	279	520
8631	302	330	261	513
8656	301	318	257	523
8681	300	330	260	521
8706	297	347	266	512
8731	311	401	290	532
8756	313	366	267	542
8781	312	326	287	535
8806	311	340	289	525
8831	310	341	298	525
8856	308	336	314	520
8881	304	339	336	530
8910	304	357	353	541
8935	300	361	372	550
8960	299	368	388	554
8985	299	381	402	569
9010	298	402	416	574
9035	293	414	426	579
9060	289	403	436	586
9085	287	424	442	585
9110	286	438	457	573
9135	282	416	475	570
9160	279	380	472	577
9185	264	368	456	577
9210	261	398	458	575
9235	264	407	442	584
9260	269	387	431	579
9285	274	397	422	562
9310	279	375	405	560
9335	283	372	389	554
9360	287	385	374	545
9385	288	395	358	529
9410	288	378	338	528
9435	289	388	323	536
9460	289	369	292	541
9489	288	362	285	531
9514	287	350	270	533
9539	286	345	256	542
9564	283	360	274	532
9589	277	376	276	542
9614	279	416	288	529
9639	290	407	277	539
9664	294	402	274	531
9689	294	369	275	540
9714	297	373	276	528
9739	296	363	293	532
