Time	Volt	Xaxis	Yaxis	Zaxis
455	269	260	383	494
649	285	259	392	494
837	212	312	389	514
1021	213	292	385	504
1138	196	286	384	507
1318	204	303	379	511
1423	206	302	391	498
1447	208	295	386	512
1471	212	291	386	505
1495	217	299	389	506
1519	219	291	386	504
1543	223	295	385	513
1567	225	290	384	509
1591	227	287	387	508
1615	227	285	388	507
1639	226	299	382	515
1663	226	309	385	510
1687	226	286	386	503
1711	226	290	387	507
1735	226	293	381	512
1759	227	301	384	509
1783	228	290	391	505
1807	228	283	387	504
1835	227	285	388	505
1860	228	305	385	512
1885	227	305	387	509
1910	230	290	388	510
1935	232	285	386	504
1960	232	285	384	502
1985	232	294	390	508
2010	233	298	389	504
2035	234	282	389	502
2060	235	306	386	516
2085	239	312	383	514
2110	242	283	385	505
2135	244	283	390	500
2160	245	263	388	496
2185	244	284	390	502
2210	246	320	386	510
2235	246	294	387	507
2260	247	293	387	504
2285	247	285	388	504
2310	247	290	386	500
2335	248	270	387	501
2360	248	293	388	501
2385	248	290	388	501
2414	248	300	387	506
2439	247	287	387	509
2464	250	299	388	501
2489	251	291	391	506
2514	253	281	388	503
2539	254	297	387	504
2564	254	286	387	505
2589	255	276	388	501
2614	254	279	386	499
2639	256	278	391	501
2664	255	317	385	505
2689	255	289	388	509
2714	257	292	389	505
2739	257	284	386	502
2764	257	292	389	500
2789	258	276	391	498
2814	258	284	388	500
2839	258	285	387	502
2864	258	286	386	505
2889	259	288	389	501
2914	259	292	385	511
2939	258	307	388	496
2964	260	294	389	486
2993	262	276	392	497
3018	263	293	383	509
3043	264	277	381	496
3068	263	296	376	534
3093	265	243	318	626
3118	265	312	412	503
3143	264	308	403	491
3168	255	350	423	438
3193	244	280	419	458
3218	246	141	399	529
3243	249	338	405	459
3268	253	280	405	499
3293	261	237	385	512
3318	262	292	389	492
3343	259	314	382	526
3368	253	317	392	520
3393	245	298	397	506
3418	238	291	392	504
3443	233	286	393	508
3468	229	286	394	504
3493	227	285	393	508
3518	226	299	390	512
3543	226	301	387	517
3572	224	294	388	519
3597	224	287	393	506
3622	226	289	396	508
3647	229	292	395	503
3672	230	307	388	515
3697	229	299	387	515
3722	230	298	389	516
3747	231	295	394	512
3772	231	287	392	494
3797	231	286	395	502
3822	231	291	394	507
3847	230	304	392	512
3872	230	296	388	515
3897	230	295	390	508
3922	230	297	388	513
3947	231	294	390	511
3972	232	281	395	504
3997	231	298	394	511
4022	231	297	392	511
4047	232	301	390	508
4072	231	296	390	511
4097	232	293	391	505
4122	232	291	389	514
4147	232	291	392	509
4176	232	294	394	510
4201	231	293	394	508
4226	231	296	390	511
4251	231	300	391	512
4276	231	280	391	506
4301	231	294	391	515
4326	230	297	393	504
4351	231	301	394	510
4376	232	295	393	511
4401	232	281	394	506
4426	232	284	385	511
4451	231	308	395	511
4476	231	291	394	503
4501	233	288	392	502
4526	236	303	388	511
4551	235	292	390	506
4576	236	281	396	503
4601	237	284	394	502
4626	237	289	392	505
4651	237	294	392	508
4676	237	300	394	508
4701	237	291	392	508
4726	237	286	393	507
4755	238	278	394	504
4780	237	293	389	514
4805	237	296	390	512
4830	237	282	395	495
4855	238	298	397	499
4880	239	296	393	515
4905	239	274	396	501
4930	239	294	392	509
4955	239	285	390	510
4980	238	312	388	508
5005	236	301	390	513
5030	237	286	396	503
5055	238	288	395	504
5080	240	283	393	508
5105	239	287	391	509
5130	238	296	388	511
5155	239	300	392	498
5180	237	287	395	503
5205	237	292	393	509
5230	237	290	395	504
5255	237	295	394	510
5280	238	292	393	505
5305	238	290	389	509
5334	239	279	392	507
5359	241	286	393	504
5384	241	299	391	513
5409	241	297	390	493
5434	241	292	396	497
5459	242	290	396	505
5484	243	289	390	508
5509	243	273	394	499
5534	244	287	392	501
5559	245	288	393	507
5584	244	289	392	508
5609	244	282	394	507
5634	242	298	388	513
5659	243	289	397	495
5684	245	294	397	501
5709	250	287	394	501
5734	252	295	393	507
5759	253	296	390	503
5784	254	267	394	506
5809	254	279	394	501
5834	254	289	393	504
5859	254	291	395	506
5884	254	287	390	511
5909	254	294	394	512
5931	254	282	398	484
5956	253	294	399	498
5981	253	261	393	499
6006	254	308	390	508
6031	256	285	390	508
6056	260	295	392	516
6081	261	296	401	500
6106	262	312	398	498
6131	262	299	387	511
6156	263	299	383	527
6181	265	259	379	521
6206	266	202	330	600
6231	263	266	383	504
6256	255	324	427	472
6281	241	343	438	428
6306	228	319	434	408
6331	240	274	430	465
6356	250	257	404	539
6381	256	245	392	510
6406	250	296	403	498
6431	233	288	392	507
6456	175	250	389	514
6481	189	300	411	476
6510	235	334	376	527
6535	230	307	392	512
6560	244	293	392	508
6585	251	296	391	513
6610	244	273	399	503
6635	238	288	393	502
6660	234	284	391	502
6685	231	296	393	507
6710	228	296	392	512
6735	227	291	391	507
6760	225	285	392	505
6785	225	287	394	506
6810	224	304	390	512
6835	224	300	389	514
6860	227	299	391	512
6885	226	285	394	508
6910	226	294	392	510
6935	227	294	392	501
6960	229	288	394	502
6985	228	291	396	506
7010	226	299	394	511
7035	225	289	392	508
7060	224	279	395	504
7089	223	320	386	512
7114	222	289	389	515
7139	223	300	393	508
7179	229	294	392	513
7204	229	285	396	501
7229	228	294	391	508
7261	226	288	393	505
7286	226	291	395	508
7311	225	305	387	513
7336	225	295	389	519
7361	226	296	392	506
7386	228	280	393	505
7411	228	285	392	507
7436	227	300	393	507
7467	225	291	392	509
7492	225	297	391	513
7517	224	296	392	513
7542	226	295	392	507
7567	225	285	391	507
7602	225	295	391	508
7627	225	295	390	513
7652	225	291	394	508
7677	226	294	393	509
7706	228	287	395	504
7731	228	289	394	505
7756	226	293	392	506
7781	224	291	390	512
7806	224	298	389	511
7831	223	311	392	503
7856	224	291	392	504
7881	226	294	398	505
7906	226	291	394	509
7931	225	283	394	504
7956	225	287	394	504
7981	225	304	385	521
8006	223	293	392	520
8031	224	278	394	502
8056	224	296	395	506
8081	225	290	395	505
8106	224	300	392	513
8131	223	293	390	511
8156	224	289	391	510
8181	225	293	394	508
8206	225	294	395	505
8231	227	287	396	509
8256	227	293	396	504
8281	227	294	394	510
8310	226	290	392	509
8335	227	293	397	499
8360	226	302	391	515
8385	227	292	392	509
8410	228	289	395	501
8435	228	297	391	510
8460	227	286	393	506
8485	227	286	396	502
8510	227	309	391	506
8535	227	299	388	512
8560	228	298	392	509
8585	230	289	397	506
8610	232	284	395	505
8635	231	276	396	500
8660	232	286	394	504
8685	231	289	391	508
8710	230	284	393	505
8735	229	302	396	512
8760	230	305	392	512
8785	230	295	391	507
8810	233	279	393	504
8835	234	285	398	501
8860	233	294	394	506
8889	233	282	394	503
8914	231	295	399	501
8939	231	310	393	512
8964	231	298	391	509
8989	233	287	396	506
9014	234	283	394	503
9039	233	286	392	505
9064	231	288	395	505
9089	230	310	389	513
9114	231	291	393	508
9139	231	282	401	499
9164	232	285	395	505
9189	231	289	397	504
9214	231	300	395	502
9239	232	297	393	512
9264	234	301	393	511
9289	235	287	397	502
9314	237	271	395	500
9339	237	275	397	496
9364	236	280	396	503
9389	235	284	395	501
9414	234	288	393	507
9439	233	313	395	508
9468	233	288	392	505
9493	234	290	396	502
9518	235	283	397	502
9543	235	280	391	504
9568	235	283	392	507
9593	233	306	391	510
9618	233	290	392	509
9643	233	272	401	496
9668	233	283	398	499
9693	233	288	397	504
9718	233	302	393	506
9743	233	304	390	517
9768	236	296	391	508
9793	238	279	396	500
9818	239	278	396	506
9843	239	280	397	502
9868	240	292	397	509
9893	239	308	393	509
9918	238	299	391	505
9943	238	274	394	499
9968	239	295	395	506
9993	238	294	396	505
10018	239	285	396	505
10047	240	291	396	505
10072	240	292	395	504
10097	242	293	396	501
10122	242	290	394	505
10147	241	290	393	507
10172	241	284	396	505
10197	241	281	396	504
10222	239	287	398	490
10247	240	315	394	505
10272	240	289	397	494
10297	240	289	394	501
10322	241	282	396	502
10347	240	298	395	510
10372	241	291	391	509
10397	243	292	395	506
10422	245	284	394	507
10447	246	287	394	504
10472	246	291	395	500
10497	247	286	396	505
10522	245	287	395	504
10547	244	289	395	505
10572	245	283	395	506
10597	244	290	392	508
10626	244	290	396	513
10651	242	282	397	504
10676	243	291	394	507
10701	243	290	395	507
10726	246	280	395	504
10751	245	289	393	503
10776	246	294	395	503
10801	246	289	395	501
10826	246	290	393	511
10851	244	280	395	502
10876	243	280	396	502
10901	242	273	396	498
10926	241	311	395	500
10951	241	286	395	508
10976	244	298	397	503
11001	247	295	392	506
11026	250	277	398	498
11051	249	281	393	504
11076	249	279	392	507
11101	248	276	397	495
11126	246	317	397	508
11151	246	289	396	502
11180	246	273	397	501
11205	247	289	394	508
11230	248	291	394	506
11255	250	310	394	509
11280	251	292	396	497
11305	252	282	395	505
11330	252	275	396	500
11355	253	279	396	489
11380	253	271	393	502
11405	253	296	395	505
11430	251	297	392	518
11455	252	303	395	505
11480	253	287	392	504
11505	254	292	396	505
11530	255	288	397	506
11555	254	280	397	498
11580	252	277	395	501
11605	253	279	406	460
11630	252	325	397	504
11655	253	284	392	506
11680	254	289	398	505
11705	255	291	392	501
11734	255	282	393	503
11759	254	295	394	508
11784	254	279	395	508
11809	255	290	393	511
11834	257	293	394	509
11859	260	300	401	499
11884	263	300	404	490
11909	264	291	385	502
11934	264	250	397	492
11959	262	250	397	480
11984	261	234	395	497
12009	266	192	421	496
12034	270	205	432	464
12059	269	281	434	428
12084	263	364	427	427
12109	256	392	431	404
12134	253	340	388	485
12159	252	286	368	522
12184	257	208	394	553
12209	260	239	372	525
12234	255	262	391	512
12259	244	280	391	482
12288	194	287	383	495
12313	207	254	383	495
12338	244	266	400	477
12363	237	295	396	493
12388	255	268	395	495
12413	271	281	390	492
12438	278	276	397	499
12463	278	280	395	495
12488	265	278	395	495
12513	244	289	388	502
12538	232	283	390	500
12563	227	285	391	502
12588	225	285	390	502
12613	222	283	393	502
12638	218	285	392	506
12663	217	298	390	505
12688	216	301	390	513
12713	215	288	393	500
12738	217	286	395	504
12763	218	279	391	495
12788	217	292	393	504
12813	216	292	391	510
12838	217	298	386	510
12867	216	303	388	512
12892	215	292	390	505
12917	217	275	396	504
12942	219	281	392	504
12982	220	283	391	501
13007	221	286	391	502
13032	219	287	390	503
13057	219	290	388	506
13082	218	276	391	501
13107	216	314	392	505
13132	214	285	390	508
13157	218	279	392	500
13182	219	282	393	497
13207	218	294	393	505
13232	219	291	391	503
13257	219	291	392	496
13282	218	294	392	507
13314	216	289	391	507
13339	217	285	391	499
13364	219	286	390	502
13389	219	284	392	507
13414	217	293	393	508
13443	217	288	394	484
13468	216	303	394	506
13493	216	293	392	508
13518	218	286	392	503
13543	219	279	392	500
13568	219	279	391	503
13593	218	293	388	512
13618	219	289	393	506
13643	218	293	391	498
13668	218	291	394	503
13693	218	290	393	512
13718	220	277	395	483
13743	219	305	391	503
13768	218	290	395	495
13793	220	286	398	495
13824	226	293	393	506
13849	228	287	389	501
13874	229	285	393	497
13899	231	270	395	492
13924	233	279	390	483
13958	236	280	391	507
13983	237	286	389	529
14012	236	280	387	525
14037	232	287	403	484
14062	218	307	412	469
14087	205	328	427	440
14112	200	283	422	451
14137	213	134	368	558
14162	221	363	420	456
14187	218	268	382	517
14212	216	259	417	511
14237	216	263	391	484
14262	210	272	397	471
14287	179	271	394	483
14312	163	262	406	484
14337	184	274	401	478
14362	208	276	400	491
14387	212	268	396	487
14412	219	293	399	496
14437	223	302	390	509
14462	234	284	386	509
14487	252	288	392	507
14512	264	277	395	497
14537	268	283	395	500
14566	273	280	393	506
14591	274	296	390	505
14616	268	281	396	500
14641	261	285	396	499
14666	251	291	396	504
14691	231	284	395	502
14716	230	297	392	510
14741	235	299	397	508
14766	236	293	395	506
14791	235	288	392	505
14816	228	290	393	508
14841	221	293	394	510
14866	216	291	396	504
14891	211	284	393	507
14916	209	293	391	511
14941	207	294	387	514
14966	206	287	394	510
14991	207	295	397	504
15016	209	278	396	500
15041	207	290	398	508
15066	202	298	392	515
15091	203	279	392	508
15116	201	308	386	513
15145	201	299	393	505
15170	202	281	399	502
15195	205	286	395	508
15220	206	287	396	508
15245	205	288	392	509
15270	203	290	393	505
15295	202	296	390	515
15320	203	278	394	503
15345	203	292	395	507
15370	200	294	394	509
15395	199	284	397	505
15420	199	304	395	522
15445	198	313	396	510
15470	198	281	393	500
15495	200	290	393	502
15520	203	294	393	506
15545	206	293	395	509
15570	206	277	398	501
15595	205	280	393	503
15620	204	297	392	505
15645	207	294	395	505
15670	209	285	399	501
15699	211	293	395	504
15724	213	282	396	505
15749	213	277	396	497
15774	215	286	392	503
15799	215	290	393	504
15824	215	286	393	503
15849	214	287	395	503
15874	214	286	395	502
15899	214	283	395	503
15924	212	285	394	503
15949	211	286	397	488
15974	209	305	392	515
15999	209	284	398	493
16024	209	293	397	501
16049	213	284	394	505
16074	217	291	395	504
16099	218	281	393	504
16124	217	277	395	501
16149	217	279	396	500
16174	216	308	392	507
16199	216	284	392	508
16224	220	291	400	502
16253	221	282	395	502
16278	219	282	390	505
16303	219	292	390	509
16328	217	289	400	489
16353	216	295	399	498
16378	218	279	395	503
16403	219	292	394	504
16428	221	287	395	504
16453	223	287	394	507
16478	224	288	394	499
16503	225	288	394	503
16528	226	284	396	506
16553	225	279	396	504
16578	224	286	394	505
16603	222	288	394	508
16628	220	300	395	497
16653	221	290	396	502
16678	226	280	395	499
16703	231	313	388	507
16728	233	254	386	519
16753	235	220	366	567
16778	236	332	425	475
16803	234	291	422	465
16825	231	293	418	419
16850	227	152	388	519
16875	224	353	389	504
16900	221	285	390	518
16925	217	265	405	495
16950	215	286	391	498
16975	212	298	394	509
17000	210	300	397	509
17025	209	292	396	509
17050	206	296	397	510
17075	205	290	396	510
17100	203	285	395	507
17125	203	285	397	506
17150	203	311	390	509
17175	200	286	393	510
17200	202	295	396	509
17225	205	287	398	504
17250	205	292	395	509
17275	204	288	396	506
17300	204	281	398	503
17325	202	306	397	527
17350	201	293	392	512
17379	202	291	398	504
17404	204	284	398	502
17429	205	283	398	503
17454	204	294	395	509
17479	204	290	396	507
17504	203	301	391	508
17529	203	290	395	510
17554	203	283	397	501
17579	203	288	397	505
17604	203	291	398	506
17629	204	289	396	509
17654	204	293	395	505
17679	204	296	394	509
17704	203	288	398	505
17729	203	289	398	503
17754	203	290	396	505
17779	204	287	396	511
17804	204	290	397	505
17829	204	293	398	505
17854	205	289	397	504
17879	205	287	398	503
17904	204	290	400	504
17933	203	298	396	511
17958	204	289	394	505
17983	204	279	397	505
18008	205	295	397	507
18033	206	293	397	506
18058	207	294	395	507
18083	206	285	399	504
18108	206	289	398	505
18133	207	290	399	503
18158	207	288	396	506
18183	208	284	397	506
18208	207	284	396	504
