Time	Volt	Leap_angle
0.0	81	12.9860718509
0.1	81	12.9299498546
0.2	82	12.5917675754
0.3	83	12.095088043
0.4	91	11.6269320261
0.5	98	10.5871947398
0.6	104	10.1173852876
0.7	109	9.94328693221
0.8	116	10.237889234
0.9	128	10.3214995208
1.0	144	10.4195624526
1.1	153	11.0558143777
1.2	162	11.5639651879
1.3	176	12.1567532787
1.4	178	12.8516499362
1.5	178	13.8306563321
1.6	179	14.9717134416
1.7	179	15.9008562023
1.8	176	16.9332633389
1.9	167	17.9199322589
2.0	159	18.310507068
2.1	144	18.985207986
2.2	128	19.4802031153
2.3	108	18.6049816698
2.4	94	16.9575530577
2.5	84	14.7782571572
2.6	77	13.3008336001
2.7	73	10.8257836355
2.8	72	8.31833569623
2.9	70	6.16758136574
3.0	70	5.20326463228
3.1	70	4.07976754412
3.2	69	3.55787437142
3.3	70	3.36743674616
3.4	75	3.45252663962
3.5	81	3.50486961951
3.6	90	3.53656837469
3.7	102	4.65614622309
3.8	122	6.56623336457
3.9	141	8.13583520282
4.0	161	10.0966207593
4.1	171	12.0351917621
4.2	171	14.8660442993
4.3	171	16.7779851712
4.4	170	17.328620351
4.5	170	18.8843627688
4.6	170	20.3752510561
4.7	170	21.3522296329
4.8	166	22.1309599037
4.9	148	22.3531323863
5.0	125	23.0275141425
5.1	107	25.1639777534
5.2	95	20.0303532145
5.3	88	10.4207897799
5.4	85	8.74370172468
5.5	83	7.02783235533
5.6	82	6.17469756402
5.7	80	5.83841680763
5.8	78	5.4456810384
5.9	76	4.81861290578
6.0	77	4.41924991983
6.1	81	4.12843948849
6.2	85	3.95626485709
6.3	89	3.78102876344
6.4	113	4.19722013729
6.5	150	5.61820591308
6.6	169	8.25478431725
6.7	176	11.4655087486
6.8	183	15.005570246
6.9	184	17.1390259381
7.0	183	17.4535732376
7.1	163	19.281965793
7.2	135	21.7297293355
7.3	121	21.8161541472
7.4	107	18.6620791413
7.5	99	16.1469318611
7.6	93	14.5757259175
7.7	86	13.0175842917
7.8	82	11.7865257719
7.9	80	10.6411111951
8.0	78	9.81600141837
8.1	76	8.14639797336
8.2	76	7.19031064368
8.3	74	5.98317211076
8.4	77	5.24067462398
8.5	87	4.98562352867
8.6	93	4.92302513269
8.7	132	6.73487447897
8.8	147	9.15641554691
8.9	160	12.8687428327
9.0	172	14.1441504453
9.1	179	15.2392890817
9.2	181	17.717227766
9.3	182	18.6429656814
9.4	182	19.1587763599
9.5	179	19.5889752082
9.6	165	20.5401453663
9.7	161	21.4936582195
9.8	156	21.7459398679
9.9	139	21.9372189772
10.0	120	22.3570382197
10.1	108	20.5949911399
10.2	101	18.8906715588
10.3	95	20.2290391879
10.4	87	23.4201874259
10.5	85	22.8952736863
10.6	82	21.3308810025
10.7	79	20.7000440674
10.8	79	18.719434286
10.9	79	16.9081765231
11.0	80	15.0175158552
11.1	82	14.180078782
11.2	83	13.6971077314
11.3	85	13.0589707637
11.4	89	12.4663628768
11.5	96	12.273964849
11.6	100	12.2811115037
11.7	128	14.4998374488
11.8	155	16.9640035461
11.9	179	22.4933995069
12.0	181	27.2501537242
12.1	183	31.7880492568
12.2	181	35.1832387502
12.3	180	37.8455904604
12.4	180	39.3356931257
12.5	166	40.0571974848
12.6	149	40.4940109481
12.7	130	39.9855683444
12.8	105	36.4621255752
12.9	94	29.5850087626
13.0	87	26.2544217795
13.1	84	24.7292087694
13.2	82	22.5390417164
13.3	79	20.9616526086
13.4	79	18.742830617
13.5	78	16.3503804666
13.6	76	14.181723709
13.7	76	11.9988760591
13.8	77	10.5143071122
13.9	78	9.24528720601
14.0	87	8.71397459221
14.1	114	8.07326463169
14.2	121	10.7159380271
14.3	133	12.9996514408
14.4	167	13.7280530088
14.5	194	18.0399259888
14.6	213	22.2032788235
14.7	221	30.238845694
14.8	224	33.8527096062
14.9	225	35.5462388249
15.0	225	36.6880446671
15.1	224	37.0585594141
15.2	221	37.3477883978
15.3	186	37.4538531146
15.4	156	37.4694510431
15.5	125	35.9414386111
15.6	109	31.6972297008
15.6	100	27.3538542955
15.7	93	26.0224885445
15.8	90	27.1571930294
15.9	88	26.5000236533
16.0	85	24.4139878469
16.1	82	22.3313555981
16.2	79	20.8087045626
16.3	76	19.1485134593
16.5	74	16.4621026492
16.5	74	14.3495419686
16.6	73	13.0785442604
16.7	79	12.6558040111
16.8	88	12.7586283525
16.9	95	13.6246919846
17.0	125	15.5183181172
17.1	155	18.237295335
17.2	160	21.7457923836
17.3	166	24.374744614
17.4	175	27.5071757943
17.5	177	31.4582370825
17.6	177	36.4825092492
17.7	176	41.0840476363
17.8	177	43.6535051538
17.9	178	45.845482318
18.0	175	46.7610784634
18.1	153	47.4797539898
18.2	127	47.4710562377
18.3	109	44.174002829
18.4	103	39.3253690612
18.5	99	34.2819213432
18.6	97	31.7025069924
18.7	96	29.4716882839
18.8	93	28.0039095751
18.9	92	26.7914175792
19.0	91	25.9148444633
19.1	92	25.0465493644
19.2	91	24.2697299659
19.3	92	23.1601952626
19.4	95	21.8677228569
19.5	110	20.9063963373
19.6	122	20.8161727713
19.7	134	21.6276373292
19.8	154	23.8949594506
19.9	173	27.6304196896
20.0	176	36.0947645985
20.1	177	41.8646858699
20.2	177	45.4256230994
20.3	176	47.9622863333
20.4	170	50.0184832776
20.5	151	53.1527564408
20.6	134	53.9043683537
20.7	113	54.8688059586
20.8	98	53.026830899
20.9	95	46.5354336493
21.0	97	41.8067109037
21.1	94	40.8847718738
21.2	93	40.8145722251
21.3	93	40.9870869145
21.4	91	41.2646085114
21.5	91	41.7788956973
21.6	89	42.8687730184
21.7	90	44.427271009
21.8	88	46.8087349834
21.9	87	49.1066687739
22.0	84	51.5691386765
22.1	93	53.4945634679
22.2	101	56.3847360962
22.3	119	60.075064047
22.4	131	62.893007441
22.5	145	64.796739495
22.6	149	66.3300674178
22.7	151	67.2587590201
22.8	153	67.7525833846
22.9	154	68.3378119498
23.0	155	69.0101562512
23.1	157	69.8203964795
23.2	158	70.2301715845
23.3	159	70.8200174641
23.4	160	70.9786750282
23.5	161	70.9535782215
23.6	159	70.7830706539
23.7	161	70.4111775398
23.8	164	69.9747173516
23.9	170	69.4878105439
24.0	173	69.1863975108
24.1	173	69.1027616842
24.2	172	68.4873004264
24.3	173	67.7523232556
24.4	174	66.8066172654
24.5	174	66.0263018253
24.6	174	65.5767467103
24.7	174	65.1607300845
24.8	173	64.760159988
24.9	153	64.2930948962
25.0	143	63.8340564236
25.1	130	61.9483029457
25.2	112	59.6956090765
25.3	93	58.1871977365
25.4	94	53.8915105316
25.5	91	51.1536513168
25.6	90	49.3741125584
25.7	87	53.4492252179
25.8	82	56.0719186366
25.9	77	56.9051998626
26.0	71	57.3856478912
26.1	68	56.9340276493
26.2	67	56.5275167901
