Time	Volt	Xaxis	Yaxis	Zaxis
200	252	587	621	646
221	252	588	620	646
244	252	590	622	647
267	251	590	622	650
290	252	588	622	647
313	252	585	622	646
336	252	588	622	649
359	252	587	622	649
382	252	586	625	649
405	253	588	623	653
428	252	590	623	659
451	252	585	621	663
474	251	584	623	661
497	251	583	623	658
520	251	580	625	650
543	250	575	625	644
566	251	575	630	645
589	249	574	635	635
612	249	573	635	622
635	248	575	638	617
658	248	582	646	618
681	247	595	653	615
704	247	604	657	608
727	248	602	663	598
748	247	603	667	600
771	247	608	669	597
794	247	621	680	589
817	247	636	683	595
840	247	647	676	595
863	247	641	677	578
886	246	631	677	563
909	246	642	682	553
932	244	646	684	550
955	243	642	684	539
978	240	643	692	525
1001	238	641	695	521
1024	236	643	689	520
1047	236	637	688	509
1070	237	624	690	499
1093	238	615	690	496
1116	239	618	679	504
1139	239	614	679	506
1162	238	607	685	503
1185	238	610	688	511
1208	238	623	682	527
1231	237	631	682	529
1254	236	624	682	518
1281	234	632	675	532
1304	233	648	670	535
1327	234	649	668	537
1350	232	642	665	539
1373	232	644	666	536
1396	233	644	660	543
1419	233	636	658	545
1442	231	637	660	558
1465	231	645	664	560
1488	230	638	662	560
1511	226	635	653	571
1534	223	649	654	578
1557	222	665	657	583
1580	222	655	650	581
1603	225	666	652	574
1626	223	658	650	585
1649	222	650	646	588
1672	223	649	651	577
1695	225	637	650	573
1718	236	630	652	577
1741	242	636	655	566
1764	245	631	657	558
1787	248	628	659	566
1810	253	632	663	574
1836	258	633	661	583
1859	259	626	658	592
1882	261	623	660	594
1905	263	610	657	609
1928	264	616	644	610
1951	264	617	639	588
1974	262	597	625	585
1997	261	653	602	587
2020	263	692	602	569
2043	263	674	598	577
2066	263	665	577	585
2089	263	686	576	586
2112	261	680	572	591
2135	259	696	566	590
2158	257	706	573	574
2181	256	715	574	580
2204	259	703	583	578
2271	264	679	584	595
2294	265	691	589	595
2317	265	681	587	597
2340	264	671	587	593
2363	264	680	587	597
2386	264	691	581	592
2413	264	680	581	602
2436	266	711	581	597
2459	269	692	574	597
2482	272	686	578	588
2505	275	690	574	590
2528	276	685	575	585
2551	276	696	581	584
2574	278	683	580	582
2597	280	677	579	589
2620	282	686	580	585
2643	284	682	578	585
2666	284	685	581	583
2689	285	683	581	582
2712	285	687	577	577
2735	285	695	582	577
2758	286	688	578	573
2781	287	696	577	569
2804	288	698	581	575
2827	289	692	580	578
2850	289	694	581	581
2873	290	693	584	571
2896	291	696	582	576
2919	292	696	579	579
2946	294	684	585	569
2969	294	700	583	564
2992	295	691	582	571
3015	294	692	582	567
3038	295	698	581	570
3061	295	696	580	569
3084	295	694	582	564
3107	296	693	582	567
3130	296	688	583	570
3153	296	680	585	566
3176	296	693	585	571
3199	297	705	587	572
3222	297	711	588	568
3245	297	707	586	563
3268	297	709	594	560
3291	298	700	591	551
3314	299	692	589	549
3337	298	672	591	552
3360	299	674	588	552
3383	299	688	584	556
3406	299	688	581	561
3429	299	697	581	556
3452	300	710	582	562
3479	300	699	585	553
3502	301	712	587	545
3525	301	717	595	539
3548	301	704	596	528
3571	301	691	600	518
3594	302	699	613	500
3617	302	700	611	493
3640	302	684	611	488
3663	303	685	617	485
3686	303	694	616	473
3709	303	703	622	454
