Time	Volt	Xaxis	Yaxis	Zaxis
218	196	628	614	631
390	193	625	614	634
414	192	628	613	633
438	191	625	618	637
462	190	624	616	640
486	191	625	617	644
510	190	628	619	646
534	193	627	618	647
558	185	616	622	651
582	178	613	624	650
606	174	614	627	650
630	170	614	636	645
654	169	613	636	638
678	171	620	634	631
702	176	619	631	635
726	177	612	630	625
750	170	608	619	620
774	151	606	627	638
798	144	598	618	643
822	138	613	625	637
846	131	602	635	628
870	123	607	631	613
894	119	602	630	607
918	116	596	626	615
1026	127	607	616	627
1050	134	578	604	643
1074	138	611	611	632
1098	143	602	612	642
1122	146	597	615	636
1146	149	599	612	625
1170	152	594	606	635
1194	164	588	607	640
1218	183	585	607	644
1242	209	595	606	661
1266	221	584	612	667
1290	226	586	611	653
1314	229	594	620	638
1338	231	621	608	629
1362	237	663	624	606
1386	266	643	641	633
1410	245	641	633	606
1434	213	670	651	601
1458	196	630	640	637
1482	187	594	628	635
1506	202	622	622	643
1530	223	579	624	651
1554	245	606	621	639
1673	333	625	628	614
1697	336	627	624	608
1721	336	654	628	599
1745	336	641	612	615
1769	334	660	621	610
1793	333	652	622	615
1817	335	656	625	611
1841	337	684	643	611
1865	338	667	632	604
1889	338	633	635	608
1913	338	677	647	598
1937	338	664	636	595
1961	339	656	637	586
1985	339	638	635	576
2009	338	666	636	575
2033	336	662	632	586
2057	337	626	621	603
2081	336	588	623	592
2105	337	635	637	578
2129	336	608	616	595
2153	335	579	608	612
2177	335	554	614	605
2201	335	598	610	622
2315	327	619	561	713
2339	308	642	561	753
2363	281	533	567	825
2387	258	529	593	717
2411	229	590	604	649
2435	214	596	589	650
2459	205	559	578	675
2483	194	571	578	658
2507	189	588	601	653
2531	184	615	601	645
2555	184	625	608	644
2579	187	607	601	642
2603	187	600	599	648
2627	187	596	611	664
2651	177	601	620	702
2675	155	598	626	678
2699	136	592	640	659
2723	118	611	645	657
2747	107	649	661	636
2771	105	635	653	602
2795	108	595	636	592
2819	113	595	626	600
2843	119	594	624	614
2959	132	600	603	613
2983	131	626	583	639
3007	129	604	584	634
3031	126	593	576	618
3055	125	600	569	627
3079	128	607	592	656
3103	137	580	611	644
3127	232	567	589	619
3151	335	657	556	676
3201	344	602	623	690
3225	346	563	616	669
3249	349	588	599	664
3273	350	592	602	661
3297	351	584	587	663
3321	354	588	580	667
3345	354	594	584	662
3369	356	604	592	652
3393	355	592	591	643
3417	354	608	591	650
3441	354	592	591	666
3465	353	572	588	666
3489	354	580	592	650
3513	351	568	585	635
3537	344	582	579	632
3653	128	714	621	537
3677	124	684	611	510
3701	122	672	566	555
3725	117	692	601	525
3749	113	639	581	435
3773	106	732	627	445
3797	100	747	625	457
3821	93	697	588	457
3845	90	867	713	473
3869	86	681	627	493
3893	86	700	669	504
3917	87	683	681	515
3941	89	654	658	551
3965	91	650	650	541
3989	89	585	642	544
4013	89	542	623	555
4037	89	606	600	584
4061	91	640	588	591
4085	89	597	575	580
4109	89	593	572	573
4133	118	654	574	612
4157	120	644	600	587
4181	224	647	540	575
4205	295	739	512	744
4313	332	616	581	640
4337	330	621	558	659
4361	333	615	561	643
4385	337	600	562	633
4409	339	594	556	644
4433	341	617	547	665
4457	343	595	558	652
4481	342	602	570	631
4505	343	649	564	658
4529	345	641	564	678
4553	345	604	567	666
4577	346	631	575	674
4601	346	630	564	658
4625	347	626	563	660
4649	345	616	563	665
4673	344	597	553	664
4697	341	573	539	668
4721	342	586	527	653
4745	303	669	527	607
4769	190	756	539	589
4793	110	710	567	597
4817	92	674	570	606
4841	81	665	593	606
4959	74	638	630	581
4982	71	665	628	595
5005	68	650	622	600
5028	62	646	623	600
5051	59	648	619	602
5074	56	656	616	594
5097	55	687	618	592
5120	54	721	622	599
5143	53	698	621	582
5166	53	664	616	581
5189	53	651	605	582
