Time	Volt	Xaxis	Yaxis	Zaxis
166	233	619	610	631
187	222	620	610	624
210	217	620	609	612
233	214	623	608	601
256	211	639	609	596
279	207	639	605	593
302	201	627	600	587
325	193	617	599	583
348	186	618	589	598
371	176	612	590	599
394	166	615	578	594
417	156	645	570	610
440	145	650	561	627
463	137	640	547	631
486	133	634	532	634
509	134	673	521	646
532	139	673	507	660
555	149	688	474	665
578	145	707	465	715
601	138	728	468	719
624	127	721	483	703
647	118	677	487	665
670	118	670	488	637
693	118	661	492	640
713	121	648	491	633
736	125	656	497	617
759	131	660	500	621
782	138	651	499	621
805	148	645	496	623
828	163	654	496	625
851	197	663	493	619
874	229	663	493	616
897	252	675	483	626
920	271	690	487	624
943	287	685	485	625
966	302	678	486	622
989	316	671	477	627
1012	322	663	478	629
1035	327	655	473	616
1058	329	653	478	621
1081	333	660	488	618
1104	336	665	490	620
1127	338	683	487	631
1150	340	687	488	625
1173	341	677	493	630
1196	342	670	493	638
1219	344	656	476	640
1245	344	652	483	617
1268	344	652	480	623
1291	345	651	466	628
1314	345	661	469	614
1337	345	690	468	628
1360	347	692	464	633
1383	347	663	449	630
1406	347	642	430	625
1429	347	614	422	613
1452	347	621	432	605
1475	347	637	424	608
1498	347	666	411	615
1521	348	661	397	652
1544	347	638	414	646
1567	347	630	411	628
1590	348	628	426	646
1613	348	609	456	636
1636	348	583	428	609
1659	348	628	393	629
1682	349	637	416	617
1705	347	644	430	608
1728	349	652	442	598
1751	349	674	447	604
1774	349	669	441	604
1801	350	681	441	596
1824	349	671	421	607
1847	349	677	395	648
1870	349	670	381	679
1893	349	663	382	666
1916	348	640	412	637
1939	340	638	418	611
1962	328	633	421	590
1985	317	651	438	584
2008	308	633	443	620
2031	294	635	421	616
2054	275	646	451	620
2077	259	661	453	632
2100	249	667	456	631
2123	238	657	463	630
2146	222	653	456	634
2169	200	663	458	647
2192	171	651	462	639
2215	143	649	471	635
2238	129	647	465	638
2261	100	641	467	654
2284	88	642	467	660
2307	79	635	473	660
2333	75	637	473	659
2356	74	643	474	671
2379	73	637	475	677
2402	72	630	476	676
2425	82	622	489	669
2448	87	631	494	671
2504	96	633	510	666
2527	110	621	515	662
2550	102	622	516	664
2573	77	619	524	658
2596	76	611	529	658
2619	76	614	530	667
2642	76	614	537	665
2665	78	611	545	653
2688	92	613	546	670
2711	79	609	550	669
2734	80	599	560	658
2757	84	596	557	678
2780	85	587	565	669
2803	85	594	581	650
2826	85	597	578	662
2849	85	590	582	667
2872	87	586	596	649
2895	90	597	597	643
2921	92	583	604	637
2944	94	573	609	618
