Time	Volt	Xaxis	Yaxis	Zaxis
193	327	721	543	531
380	327	721	542	530
404	329	721	544	530
428	328	721	544	529
452	328	720	542	531
476	328	720	542	530
500	327	718	542	533
524	328	721	542	531
548	328	720	543	531
572	328	721	542	531
596	327	720	542	532
620	328	720	544	530
644	328	722	545	530
668	328	721	547	529
692	327	721	546	529
716	328	721	544	531
740	328	722	542	531
764	327	721	543	530
788	327	720	540	533
812	327	719	542	533
836	327	719	544	533
860	327	720	544	532
884	327	720	543	532
908	327	721	542	532
1015	312	724	546	534
1039	298	716	543	529
1063	287	718	545	529
1087	277	714	543	528
1111	268	716	540	536
1135	261	722	545	528
1159	252	725	545	531
1183	247	717	543	532
1207	250	717	539	539
1231	253	724	545	537
1255	258	717	545	525
1279	263	720	546	534
1303	270	710	536	539
1327	283	706	537	530
1351	298	709	531	547
1375	311	723	532	540
1399	318	723	533	542
1423	324	719	528	547
1447	329	726	532	538
1471	334	729	533	533
1495	335	731	542	536
1519	335	722	534	527
1543	335	714	536	508
1661	275	715	537	513
1685	273	715	540	526
1709	272	735	545	542
1733	266	732	530	530
1757	262	725	541	526
1781	255	712	529	520
1805	252	724	537	520
1829	254	717	527	530
1853	265	724	530	516
1877	285	720	527	520
1901	308	729	514	532
1925	321	716	517	531
1949	331	719	517	532
1973	333	719	514	527
1997	331	727	513	524
2021	323	734	523	526
2045	316	729	514	521
2069	309	732	515	524
2093	310	713	515	526
2117	310	724	508	531
2141	312	709	514	533
2165	317	726	515	515
2189	322	726	513	533
2303	337	727	515	513
2327	338	733	505	505
2351	339	726	516	530
2375	340	716	506	554
2399	341	715	509	550
2423	342	729	521	544
2447	342	718	530	554
2471	343	718	521	554
2495	342	707	535	564
2519	342	707	515	547
2543	342	717	520	552
2567	342	706	507	567
2591	343	710	524	545
2615	342	710	519	541
2639	343	714	518	558
2663	343	718	528	546
2687	342	716	536	541
2711	342	726	533	543
2735	341	724	524	526
2759	343	720	523	542
2783	343	718	516	542
2807	342	714	521	534
2831	340	721	518	537
2946	344	717	514	554
2970	342	716	519	551
2994	343	714	522	553
3018	343	713	516	555
3042	343	716	520	548
3066	343	713	511	565
3090	343	711	515	562
3114	343	714	519	556
3138	343	714	517	555
3162	343	715	519	555
3186	343	713	516	556
3210	343	713	520	558
3234	343	713	514	557
3258	343	715	519	555
3282	343	714	518	554
3306	343	713	518	556
3330	342	708	517	568
3354	344	713	514	559
3378	343	715	519	556
3402	344	712	519	561
3426	343	713	518	560
3450	343	714	517	557
3474	343	714	517	560
3498	343	711	517	562
3613	344	709	518	558
3637	344	713	514	561
3661	344	710	518	559
3685	344	713	518	558
3709	345	714	520	560
3733	343	709	519	562
3757	344	715	515	556
3781	343	715	517	558
3805	344	711	519	556
3829	344	713	516	554
3853	344	712	520	553
3877	344	712	521	559
3901	343	714	516	558
3925	344	718	516	550
3949	344	716	518	557
3973	344	714	512	563
3997	345	701	521	572
4021	345	712	514	560
4045	344	724	521	544
4069	343	718	515	542
4093	344	716	519	554
4117	343	712	517	557
4141	343	699	513	574
4255	344	720	513	551
4279	344	714	511	556
4303	343	713	515	558
4327	344	712	518	557
4351	344	715	517	555
4375	343	705	515	560
4399	344	716	515	556
4423	344	709	515	560
4447	344	709	516	569
4471	344	711	514	559
4495	344	714	516	561
4519	344	714	517	555
4543	344	718	513	551
4567	344	720	516	553
4591	343	715	515	557
4615	344	717	516	555
4639	344	714	516	557
4663	345	713	513	558
4687	344	710	517	560
4711	343	714	515	552
4735	344	715	517	554
4759	343	708	514	562
4783	344	712	517	552
4902	343	721	514	547
4925	343	722	517	542
4948	344	714	517	553
4971	342	710	515	558
4994	343	717	518	553
5017	344	694	512	571
5040	343	726	515	554
5063	344	703	517	561
5086	343	720	513	555
5109	343	705	513	560
5132	342	725	520	539
5155	342	718	519	547
5178	342	714	508	563
5201	342	713	515	557
5224	342	711	517	555
5247	342	713	517	554
5270	343	711	509	562
5293	342	714	517	559
5316	342	712	512	558
5339	341	710	516	556
5362	342	714	513	555
5385	342	710	517	560
5408	343	710	516	561
5435	343	716	515	552
5458	343	708	513	560
5481	341	717	513	581
5504	341	712	516	554
5527	341	711	512	556
5550	341	703	516	564
5573	341	734	551	523
5596	341	737	580	522
5619	341	736	543	508
5642	342	743	537	515
5665	342	728	518	537
5688	342	657	495	559
5712	342	655	489	566
5735	342	756	471	639
5759	342	699	474	546
5815	342	720	488	551
5839	342	720	547	533
5862	341	716	510	549
5886	342	718	532	550
5909	342	712	514	559
5932	342	713	518	554
5955	343	711	515	560
5978	343	712	517	557
6001	343	718	518	553
6028	343	711	517	555
6051	343	715	516	555
6074	343	718	518	555
6097	342	711	515	561
6120	343	707	518	560
6143	343	716	518	557
6166	343	710	518	563
6189	343	708	516	564
6212	343	716	516	559
6235	343	708	521	556
6258	343	713	517	558
6281	343	710	516	559
6304	343	719	515	549
6327	342	720	516	545
6350	343	718	518	550
6373	343	719	516	553
6396	343	714	519	555
6419	344	712	516	559
6442	343	716	515	556
6466	344	715	518	557
6489	344	710	513	561
6512	344	712	518	554
6535	343	714	518	556
6562	343	713	514	565
6585	343	717	517	556
6608	344	707	519	562
6632	343	714	516	558
6655	343	715	517	555
6679	343	713	513	557
6702	343	717	518	549
6726	344	721	517	548
6749	343	714	516	566
6773	343	711	513	571
6796	343	707	521	562
6820	343	714	514	555
6843	343	716	516	554
6866	343	720	515	552
6916	344	716	515	555
6939	343	718	518	551
6962	343	716	516	555
6985	343	717	515	556
7008	343	688	515	576
7031	344	719	519	558
7054	343	706	517	564
7077	343	715	517	566
7100	343	696	516	566
7127	343	713	519	554
7150	343	707	513	559
7173	343	720	516	552
7196	343	720	514	550
