Time	Volt	Xaxis	Yaxis	Zaxis
424	250	278	470	457
620	261	279	471	458
809	268	279	472	456
1001	272	279	470	455
1197	271	279	471	454
1385	271	278	473	457
1569	270	277	470	455
1746	270	278	467	458
1928	267	280	464	462
1953	267	279	465	463
1978	267	279	463	463
2003	266	276	463	461
2028	266	277	462	462
2053	266	278	461	463
2078	265	276	462	465
2103	266	273	463	461
2128	264	276	462	463
2153	265	278	460	465
2178	265	277	459	464
2203	265	275	459	464
2228	263	275	459	464
2253	265	276	458	465
2278	265	275	459	464
2307	265	274	460	465
2332	266	275	458	465
2357	265	277	456	466
2382	266	276	457	467
2407	266	274	456	467
2432	267	278	456	467
2457	268	274	458	467
2482	267	275	455	466
2507	268	276	454	467
2532	268	275	457	468
2557	267	279	456	467
2582	267	276	455	468
2607	267	277	456	466
2632	267	274	458	467
2657	266	274	458	465
2682	267	275	457	467
2707	266	276	457	468
2732	266	274	457	468
2757	265	276	456	468
2782	267	275	457	468
2807	267	276	456	466
2832	267	274	457	465
2857	266	276	456	464
2886	266	274	456	463
2911	265	274	456	463
2936	265	275	456	464
2961	265	273	456	466
2986	264	276	455	465
3011	265	274	456	466
3036	265	277	460	466
3061	264	275	458	468
3086	265	275	459	467
3111	264	276	458	465
3136	264	275	459	465
3161	264	275	459	464
3186	265	275	459	464
3211	265	275	458	463
3236	264	275	457	463
3261	263	275	458	464
3286	264	276	458	464
3311	264	274	459	463
3336	263	276	460	463
3361	263	275	460	464
3386	264	273	461	463
3411	264	276	459	463
3436	265	274	459	466
3465	265	274	459	463
3490	265	276	460	465
3515	265	276	460	461
3540	265	275	461	464
3565	265	275	461	464
3590	265	277	459	463
3615	265	274	458	464
3640	265	275	461	463
3665	265	276	460	464
3690	265	276	460	465
3715	265	275	459	463
3740	265	276	460	465
3765	265	277	462	464
3790	265	276	462	464
3815	266	275	461	463
3840	265	274	459	462
3865	265	278	460	463
3890	264	275	463	467
3915	264	274	460	466
3940	265	278	459	464
3965	266	276	461	462
3990	265	277	462	463
4015	265	275	459	467
4044	265	276	460	466
4069	264	276	458	465
4094	264	278	456	465
4119	263	275	457	464
4144	263	271	462	463
4169	264	276	462	463
4194	263	278	457	463
4219	262	274	450	468
4244	262	269	448	463
4269	262	272	448	458
4294	262	272	453	460
4319	263	274	456	461
4344	262	273	456	460
4369	263	265	453	460
4394	263	265	448	455
4419	261	267	446	457
4444	263	267	447	458
4469	263	266	448	458
4494	264	269	457	461
4519	263	271	452	462
4544	263	267	449	457
4569	263	263	446	457
4594	263	268	447	459
4619	263	270	448	461
4648	263	268	448	462
4673	264	267	449	460
4698	264	270	448	460
4723	265	268	447	461
4748	266	264	446	460
4780	265	267	440	463
4805	266	270	441	463
4830	267	267	440	463
4855	267	263	442	463
4880	266	267	440	463
4905	266	269	437	461
4930	267	266	437	461
4955	267	262	433	463
4980	266	263	433	464
5005	267	270	432	466
5030	267	267	433	464
5055	267	262	435	465
5080	265	267	436	464
5105	266	269	432	464
5130	266	262	432	463
5155	266	262	429	464
5180	266	266	430	467
5205	266	270	429	466
5234	267	262	429	465
5259	267	265	430	466
5284	267	265	430	465
5309	267	265	428	466
5334	266	262	425	467
5359	267	267	426	467
5384	266	267	427	467
5409	267	262	426	466
5434	267	264	426	467
5459	267	269	430	466
5484	267	265	428	466
5509	267	263	428	465
5534	266	264	429	465
5559	267	266	430	467
5584	266	264	430	469
5609	265	264	427	466
5634	266	267	426	469
5659	266	265	429	466
5684	266	265	428	466
5709	265	265	428	466
5734	265	266	427	464
5759	265	265	429	465
5784	264	267	431	467
5813	265	263	430	463
5838	265	264	432	466
5863	265	265	433	468
5888	264	268	435	466
5913	264	267	431	465
5938	264	267	430	466
5963	263	269	429	464
5988	263	267	434	463
6013	264	264	441	460
6038	265	262	446	463
6063	266	266	443	465
6088	264	267	438	466
6113	264	267	436	465
6138	264	267	438	466
6163	266	266	442	466
6188	264	269	440	462
6213	264	267	440	459
6238	264	265	440	458
6263	265	268	440	460
6288	264	266	443	460
